0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
73,,,,,,Nilphamari Zila Total,674676,845911,362866,399590,311810,446321,44.4,47.6,41.1
73,,,,,1,Nilphamari Zila,529016,742769,284570,351355,244446,391414,41.6,44.7,38.4
73,,,,,2,Nilphamari Zila,121516,81886,65438,38346,56078,43540,59.7,63.1,56.3
73,,,,,3,Nilphamari Zila,24144,21256,12858,9889,11286,11367,53.2,56.5,49.8
73,12,,,,,Dimla Upazila Total,98370,134697,52183,64435,46187,70262,42.2,44.7,39.7
73,12,,,,1,Dimla Upazila,89171,127290,47225,60994,41946,66296,41.2,43.6,38.8
73,12,,,,3,Dimla Upazila,9199,7407,4958,3441,4241,3966,55.4,59.0,51.7
73,12,13,,,,'  Bala Para' Union Total,11725,15501,6142,7586,5583,7915,43.1,44.7,41.4
73,12,13,168,,1,*Chhatnai Bala Para,2764,3648,1447,1782,1317,1866,43.1,44.8,41.4
73,12,13,244,,1,*Dakshin Bala Para,1816,1701,924,824,892,877,51.6,52.9,50.4
73,12,13,337,,1,*Dakshin Sundarkhata,1497,2335,775,1125,722,1210,39.1,40.8,37.4
73,12,13,619,,1,*Madhyam Sundarkhata,589,796,310,395,279,401,42.5,44.0,41.0
73,12,13,675,,1,*Nij Sundarkhata,1648,2332,846,1140,802,1192,41.4,42.6,40.2
73,12,13,807,,1,*Rupahara,915,1110,511,513,404,597,45.2,49.9,40.4
73,12,13,882,,1,*Sobhanganja Bala Par,1115,1741,569,900,546,841,39.0,38.7,39.4
73,12,13,976,,1,*Uttar Sundarkhata,1381,1838,760,907,621,931,42.9,45.6,40.0
73,12,19,,,,Dimla Union Total,18710,19480,10097,9015,8613,10465,49.0,52.8,45.1
73,12,19,,,1,Dimla Union,9511,12073,5139,5574,4372,6499,44.1,48.0,40.2
73,12,19,,,3,Dimla Union,9199,7407,4958,3441,4241,3966,55.4,59.0,51.7
73,12,19,037,,3,*Baburhat,3559,2325,1983,1105,1576,1220,60.5,64.2,56.4
73,12,19,356,,3,*Dakshin Tita Para,4092,2790,2155,1263,1937,1527,59.5,63.0,55.9
73,12,19,394,,1,*Dimla,2430,2485,1300,1124,1130,1361,49.4,53.6,45.4
73,12,19,563,,1,*Kumar Para,1137,1491,637,642,500,849,43.3,49.8,37.1
73,12,19,581,,1,*Kutirdanga,345,685,173,331,172,354,33.5,34.3,32.7
73,12,19,638,,1,*Natabari,718,1104,383,524,335,580,39.4,42.2,36.6
73,12,19,694,,1,*Pacharhat,942,1349,526,596,416,753,41.1,46.9,35.6
73,12,19,788,,3,*Ramdanga,1548,2292,820,1073,728,1219,40.3,43.3,37.4
73,12,19,844,,1,*Sardarhat,1178,1718,665,808,513,910,40.7,45.1,36.1
73,12,19,994,,1,*Uttar Tita Para,2761,3241,1455,1549,1306,1692,46.0,48.4,43.6
73,12,28,,,,Gayabari Union Total,7949,11243,4237,5310,3712,5933,41.4,44.4,38.5
73,12,28,262,,1,*Dakshin Gayabari,1955,3463,1035,1682,920,1781,36.1,38.1,34.1
73,12,28,431,,1,*Gayabari,4069,5174,2187,2403,1882,2771,44.0,47.6,40.4
73,12,28,732,,1,*Paschim Kharibari,1925,2606,1015,1225,910,1381,42.5,45.3,39.7
73,12,38,,,,Jhunagachh Chapani Union Total,10701,17270,5539,8256,5162,9014,38.3,40.2,36.4
73,12,38,093,,1,*Bhendabari,248,474,127,234,121,240,34.3,35.2,33.5
73,12,38,206,,1,*Chhatunama,888,1999,487,984,401,1015,30.8,33.1,28.3
73,12,38,281,,1,*Dakshin Jhunagachh C,2790,4243,1443,1953,1347,2290,39.7,42.5,37.0
73,12,38,319,,1,*Dakshin Sonakhuli,1778,2753,907,1371,871,1382,39.2,39.8,38.7
73,12,38,919,,1,*Uttar Jhunagachh Cha,3187,5109,1631,2450,1556,2659,38.4,40.0,36.9
73,12,38,957,,1,*Uttar Sonakhuli,1810,2692,944,1264,866,1428,40.2,42.8,37.8
73,12,47,,,,Khalisa Chapani Union Total,11708,16170,6209,7866,5499,8304,42.0,44.1,39.8
73,12,47,056,,1,*Baish Pukur,934,2018,499,984,435,1034,31.6,33.6,29.6
73,12,47,112,,1,*Chapani Kakina,1079,1540,578,732,501,808,41.2,44.1,38.3
73,12,47,225,,1,*Chhota Khata,2578,4133,1365,2002,1213,2131,38.4,40.5,36.3
73,12,47,375,,1,*Dalia,2857,3007,1548,1490,1309,1517,48.7,51.0,46.3
73,12,47,506,,1,*Khalisa Chapani,4025,5232,2080,2551,1945,2681,43.5,44.9,42.0
73,12,47,544,,1,*Kismat Satighat,235,240,139,107,96,133,49.5,56.5,41.9
73,12,57,,,,Khoga Kharibari Union Total,8349,9332,4444,4411,3905,4921,47.2,50.2,44.2
73,12,57,075,,1,*Bandar Kharibari,2974,3467,1565,1687,1409,1780,46.2,48.1,44.2
73,12,57,187,,1,*Kismat Chhatnai,129,442,79,212,50,230,22.6,27.1,17.9
73,12,57,413,,1,*Dolpara,2738,3292,1501,1506,1237,1786,45.4,49.9,40.9
73,12,57,525,,1,*Khoga Kharibari,2508,2131,1299,1006,1209,1125,54.1,56.4,51.8
73,12,66,,,,Naotara Union Total,10692,18442,5666,8916,5026,9526,36.7,38.9,34.5
73,12,66,018,,1,*Akashkuri,2835,3525,1524,1724,1311,1801,44.6,46.9,42.1
73,12,66,469,,1,*Kakra,1471,3288,746,1611,725,1677,30.9,31.7,30.2
