0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
73,,,,,,Nilphamari Zila Total,619602,282790,336812,241845,16671,2860,977,3481,279564,34604,39600
73,,,,,1,Nilphamari Zila,544741,248815,295926,214564,13001,2405,776,3110,249532,28736,32617
73,,,,,2,Nilphamari Zila,59827,27285,32542,21491,3101,364,162,285,23264,5145,6015
73,,,,,3,Nilphamari Zila,15034,6690,8344,5790,569,91,39,86,6768,723,968
73,12,,,,,Dimla Upazila Total,101465,47124,54341,40289,1925,370,139,558,45954,5907,6323
73,12,,,,1,Dimla Upazila,95940,44674,51266,38156,1757,356,131,528,43454,5634,5924
73,12,,,,3,Dimla Upazila,5525,2450,3075,2133,168,14,8,30,2500,273,399
73,12,13,,,,'  Bala Para' Union Total,12102,5767,6335,5048,136,27,7,36,5629,656,563
73,12,13,168,,1,*Chhatnai Bala Para,2886,1381,1505,1192,31,2,1,12,1316,175,157
73,12,13,244,,1,*Dakshin Bala Para,1379,653,726,574,45,0,1,4,601,75,79
73,12,13,337,,1,*Dakshin Sundarkhata,1711,775,936,697,13,5,0,5,861,68,62
73,12,13,619,,1,*Madhyam Sundarkhata,606,283,323,244,3,1,2,2,284,36,34
73,12,13,675,,1,*Nij Sundarkhata,1999,966,1033,825,12,5,1,4,913,132,107
73,12,13,807,,1,*Rupahara,838,390,448,329,7,9,1,3,397,49,43
73,12,13,882,,1,*Sobhanganja Bala Par,1291,655,636,589,14,5,0,4,592,57,30
73,12,13,976,,1,*Uttar Sundarkhata,1392,664,728,598,11,0,1,2,665,64,51
73,12,19,,,,Dimla Union Total,13859,6078,7781,5323,321,22,16,55,6528,678,916
73,12,19,,,1,Dimla Union,8334,3628,4706,3190,153,8,8,25,4028,405,517
73,12,19,,,3,Dimla Union,5525,2450,3075,2133,168,14,8,30,2500,273,399
73,12,19,037,,3,*Baburhat,1638,712,926,600,72,6,1,9,703,97,150
73,12,19,356,,3,*Dakshin Tita Para,2090,917,1173,795,72,4,4,13,951,105,146
73,12,19,394,,1,*Dimla,1659,694,965,601,73,1,1,5,775,87,116
73,12,19,563,,1,*Kumar Para,999,402,597,352,26,0,0,1,490,49,81
