0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
73,,,,,,Nilphamari Zila Total,420906,0.7,96.3,3.0,34.5,92.3,2.7,4.9
73,,,,,1,Nilphamari Zila,358647,0.2,96.5,3.3,28.8,94.6,0.5,4.9
73,,,,,2,Nilphamari Zila,49640,4.4,94.6,1.0,74.1,77.0,18.5,4.5
73,,,,,3,Nilphamari Zila,12619,0.3,97.1,2.6,40.5,87.8,4.2,8.0
73,12,,,,,Dimla Upazila Total,63460,0.2,96.0,3.8,24.9,90.6,0.7,8.7
73,12,,,,1,Dimla Upazila,59055,0.2,96.0,3.8,23.3,90.7,0.4,8.9
73,12,,,,3,Dimla Upazila,4405,0.4,96.0,3.7,46.6,88.8,5.5,5.7
73,12,13,,,,'  Bala Para' Union Total,7552,0.1,97.4,2.4,16.8,88.0,0.6,11.4
73,12,13,168,,1,*Chhatnai Bala Para,1810,0.4,98.7,0.9,16.5,89.6,1.9,8.6
73,12,13,244,,1,*Dakshin Bala Para,948,0.0,98.7,1.3,13.7,90.0,0.0,10.0
73,12,13,337,,1,*Dakshin Sundarkhata,1066,0.0,97.8,2.2,28.3,86.3,0.4,13.3
73,12,13,619,,1,*Madhyam Sundarkhata,381,0.0,97.4,2.6,24.1,91.1,0.0,8.9
73,12,13,675,,1,*Nij Sundarkhata,1133,0.2,93.6,6.3,19.1,78.1,0.1,21.8
73,12,13,807,,1,*Rupahara,520,0.0,98.8,1.2,24.4,90.0,1.7,8.3
73,12,13,882,,1,*Sobhanganja Bala Par,820,0.1,96.0,3.9,4.6,91.7,0.0,8.3
73,12,13,976,,1,*Uttar Sundarkhata,874,0.0,98.3,1.7,7.9,91.2,0.1,8.7
73,12,19,,,,Dimla Union Total,10190,0.2,95.0,4.8,38.8,92.7,2.5,4.8
73,12,19,,,1,Dimla Union,5785,0.0,94.3,5.7,32.8,95.7,0.2,4.1
73,12,19,,,3,Dimla Union,4405,0.4,96.0,3.7,46.6,88.8,5.5,5.7
73,12,19,037,,3,*Baburhat,1539,0.7,97.9,1.4,60.3,80.8,11.8,7.4
73,12,19,356,,3,*Dakshin Tita Para,1782,0.2,95.9,3.9,49.2,90.7,3.4,5.8
73,12,19,394,,1,*Dimla,1305,0.0,92.7,7.3,40.0,94.6,0.5,4.9
73,12,19,563,,1,*Kumar Para,727,0.0,91.1,8.9,27.5,96.4,0.0,3.6
73,12,19,581,,1,*Kutirdanga,284,0.0,98.9,1.1,1.8,98.9,0.0,1.1
73,12,19,638,,1,*Natabari,476,0.0,90.5,9.5,33.2,97.1,0.0,2.9
73,12,19,694,,1,*Pacharhat,663,0.2,91.1,8.7,23.2,97.1,0.0,2.9
73,12,19,788,,3,*Ramdanga,1084,0.1,93.4,6.5,22.9,97.0,0.0,3.0
73,12,19,844,,1,*Sardarhat,792,0.0,99.6,0.4,28.4,96.7,0.5,2.8
73,12,19,994,,1,*Uttar Tita Para,1538,0.0,96.0,4.0,41.2,94.1,0.0,5.9
73,12,28,,,,Gayabari Union Total,5015,0.2,95.8,4.0,27.6,92.2,0.3,7.5
73,12,28,262,,1,*Dakshin Gayabari,1440,0.2,91.8,8.0,19.0,92.2,0.0,7.8
73,12,28,431,,1,*Gayabari,2289,0.3,96.5,3.2,33.5,92.4,0.7,6.9
73,12,28,732,,1,*Paschim Kharibari,1286,0.1,99.0,0.9,26.7,91.8,0.0,8.2
73,12,38,,,,Jhunagachh Chapani Union Total,7964,0.0,99.0,0.9,20.4,89.6,0.6,9.8
73,12,38,093,,1,*Bhendabari,204,0.0,99.5,0.5,0.0,91.2,1.0,7.8
73,12,38,206,,1,*Chhatunama,801,0.0,98.3,1.7,0.4,82.4,2.1,15.5
73,12,38,281,,1,*Dakshin Jhunagachh C,2120,0.0,99.6,0.4,32.7,85.0,0.0,15.0
73,12,38,319,,1,*Dakshin Sonakhuli,1245,0.2,97.7,2.2,28.3,92.6,0.0,7.4
73,12,38,919,,1,*Uttar Jhunagachh Cha,2304,0.0,99.4,0.6,20.5,94.7,1.0,4.3
73,12,38,957,,1,*Uttar Sonakhuli,1290,0.0,99.1,0.9,8.1,89.4,0.3,10.3
73,12,47,,,,Khalisa Chapani Union Total,7120,0.6,93.9,5.4,34.0,87.6,0.6,11.8
73,12,47,056,,1,*Baish Pukur,747,0.0,93.8,6.2,0.0,91.8,0.4,7.8
73,12,47,112,,1,*Chapani Kakina,682,0.7,90.3,8.9,33.9,85.9,0.0,14.1
73,12,47,225,,1,*Chhota Khata,1809,0.1,94.9,5.1,39.1,81.6,0.1,18.3
73,12,47,375,,1,*Dalia,1401,2.4,94.6,3.0,39.5,87.3,2.1,10.6
73,12,47,506,,1,*Khalisa Chapani,2364,0.2,93.8,6.0,39.2,91.9,0.3,7.7
73,12,47,544,,1,*Kismat Satighat,117,0.0,96.6,3.4,0.0,82.1,0.0,17.9
73,12,57,,,,Khoga Kharibari Union Total,4917,0.2,93.2,6.6,25.6,90.5,0.2,9.3
73,12,57,075,,1,*Bandar Kharibari,1779,0.5,95.6,3.9,29.1,88.0,0.3,11.7
73,12,57,187,,1,*Kismat Chhatnai,166,0.0,60.8,39.2,5.4,97.6,0.0,2.4
73,12,57,413,,1,*Dolpara,1649,0.1,91.6,8.2,18.3,91.6,0.2,8.1
73,12,57,525,,1,*Khoga Kharibari,1323,0.1,96.0,3.9,32.7,91.6,0.0,8.4
73,12,66,,,,Naotara Union Total,8243,0.0,95.6,4.4,22.1,93.7,0.2,6.1
73,12,66,018,,1,*Akashkuri,1709,0.0,94.2,5.8,32.9,96.9,0.1,3.0
73,12,66,469,,1,*Kakra,1445,0.0,96.7,3.3,11.7,87.7,0.0,12.3
73,12,66,657,,1,*Naotara,2642,0.2,94.4,5.5,24.9,96.4,0.5,3.1
73,12,66,826,,1,*Salhati,1119,0.0,96.5,3.5,17.1,97.1,0.1,2.8
73,12,66,863,,1,*Satjan,1328,0.0,97.7,2.3,18.0,87.9,0.0,12.1
73,12,76,,,,Paschim Chhatnai Union Total,5147,0.0,98.1,1.9,12.5,90.5,0.3,9.2
73,12,76,488,,1,*Kaliganja,1593,0.0,98.0,2.0,11.2,92.5,0.1,7.5
73,12,76,600,,1,*Madhya Chhatnai,1245,0.0,98.1,1.9,7.1,91.0,0.4,8.6
