0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
75,,,,,,Noakhali Zila Total,62545,64907,85767,100676,14264,6478,91972,153075,2228,661,101476,145492
75,,,,,1,Noakhali Zila,49971,52206,71744,85975,9241,3783,75902,129482,1341,376,83276,122088
75,,,,,2,Noakhali Zila,10278,10236,10248,10213,4527,2490,11944,17097,814,258,13668,17151
75,,,,,3,Noakhali Zila,2296,2465,3775,4488,496,205,4126,6496,73,27,4532,6253
75,07,,,,,Begumganj Upazila Total,12956,13899,15171,18010,3123,1267,17378,27230,403,122,17295,24995
75,07,,,,1,Begumganj Upazila,9854,10752,10987,13824,1964,819,12336,20994,246,72,12171,19003
75,07,,,,2,Begumganj Upazila,2035,1908,2584,2283,959,368,3196,3713,137,40,3438,3601
75,07,,,,3,Begumganj Upazila,1067,1239,1600,1903,200,80,1846,2523,20,10,1686,2391
,,,,,,Begumganj Paurashava,,,,,,,,,,,,
75,07,01,,,,Ward No-01 Total,278,169,432,285,108,23,453,401,11,3,452,365
75,07,01,560,,2,*Maddha Nazair Pur (Part-1),65,61,74,92,62,9,84,132,0,1,89,109
75,07,01,643,,2,*Mir Warish Pur,12,8,242,81,5,5,224,57,2,0,181,74
75,07,01,995,,2,*Uttar Nazirpur,201,100,116,112,41,9,145,212,9,2,182,182
75,07,02,,,,Ward No-02 Total,134,157,281,286,38,14,290,356,8,0,292,332
75,07,02,354,,2,*Daskhin Nazirpur,98,122,206,202,31,11,216,247,5,0,198,221
75,07,02,565,,2,*Maddha Nazirpur (Part-2),36,35,75,84,7,3,74,109,3,0,94,111
75,07,03,,,,Ward No-03 Total,343,282,288,306,233,70,404,476,13,11,418,494
75,07,03,125,,2,*Dakshin Alipur,88,76,108,99,61,18,144,141,3,1,142,165
75,07,03,143,,2,*Madhya Alipur,167,131,86,117,122,37,132,195,4,6,133,173
75,07,03,156,,2,*Uttar Alipur (Kuri Para),69,55,67,58,36,12,88,97,5,2,103,110
75,07,03,724,,2,*Paschim Alipur,19,20,27,32,14,3,40,43,1,2,40,46
75,07,04,,,,Ward No-04 Total,284,299,439,334,162,52,542,566,27,10,660,547
75,07,04,300,,2,*Gola Baria,73,87,105,36,58,18,134,71,11,0,170,85
75,07,04,421,,2,*Karimpur,153,156,246,214,72,25,284,354,11,9,332,334
75,07,04,597,,2,*Paschim Hajipur (Chaumohani),53,49,43,49,26,9,82,85,5,1,115,77
75,07,04,648,,2,*Purba Alipur,5,7,45,35,6,0,42,56,0,0,43,51
75,07,05,,,,Ward No-05 Total,153,160,270,289,58,23,339,391,12,2,344,335
75,07,05,706,,2,*Dakshin Ganipur,21,18,46,40,7,2,48,53,2,1,57,53
75,07,05,748,,2,*Paschim Ganipur,132,142,224,249,51,21,291,338,10,1,287,282
75,07,06,,,,Ward No-06 Total,272,230,220,198,153,85,332,392,32,4,394,449
75,07,06,470,,2,*Paschim Narottampur,47,31,31,28,11,5,50,76,4,0,60,61
75,07,06,648,,2,*Purba Ganipur,225,199,189,170,142,80,282,316,28,4,334,388
75,07,07,,,,Ward No-07 Total,257,277,189,212,109,67,294,473,24,4,347,486
75,07,07,433,,2,*Kismat Karimpur,37,57,28,34,31,16,37,82,8,2,56,87
75,07,07,673,,2,*Purba Narottampur,28,25,29,29,18,7,53,66,4,0,38,57
75,07,07,770,,2,*Uttar Hajipur,192,195,132,149,60,44,204,325,12,2,253,342
75,07,08,,,,Ward No-08 Total,158,178,227,191,39,26,280,361,7,3,314,300
75,07,08,770,,2,*Madhya Hazipur,158,178,227,191,39,26,280,361,7,3,314,300
75,07,09,,,,Ward No-09 Total,156,156,238,182,59,8,262,297,3,3,217,293
75,07,09,371,,2,*Dakshin Hazipur,119,92,142,100,47,6,153,169,2,3,131,164
75,07,09,871,,2,*Purba Hajipur,37,64,96,82,12,2,109,128,1,0,86,129
75,07,10,,,,Alyerapur Union Total,861,946,784,1035,153,69,883,1776,24,12,926,1582
75,07,10,018,,1,*Alyerapur,54,69,86,85,18,2,70,130,2,3,84,90
75,07,10,042,,1,*Amanullapur,42,55,41,47,7,4,41,83,0,2,38,80
75,07,10,078,,1,*Atmarampur,4,20,16,13,1,0,16,26,0,0,12,33
75,07,10,103,,1,*Bahadurpur,12,22,20,53,1,0,25,73,1,0,29,57
75,07,10,106,,1,*Balu Char,19,43,35,45,10,4,28,76,2,1,25,55
75,07,10,106,01,1,Balu Char,14,40,30,37,8,4,26,60,2,1,19,46
75,07,10,106,02,1,Char Mehedi,5,3,5,8,2,0,2,16,0,0,6,9
75,07,10,151,,1,*Bhababhadri,91,83,78,79,14,10,101,160,1,0,104,116
75,07,10,200,,1,*Bara Newazpur,15,18,22,17,3,3,14,29,1,0,19,24
75,07,10,242,,1,*Chaupalli,8,12,11,18,4,0,12,21,0,0,19,16
75,07,10,260,,1,*Debdhipur,4,8,0,7,3,0,2,3,0,3,10,10
75,07,10,285,,1,*Dhitpur,53,71,58,89,4,2,45,127,0,0,46,106
75,07,10,306,,1,*Doalia Bazar,53,34,26,60,5,2,24,72,0,0,42,83
75,07,10,336,,1,*Ekabbarpur,55,44,54,51,8,4,56,123,2,0,58,104
75,07,10,342,,1,*Enayetnagar,13,21,15,24,1,0,24,48,1,0,29,39
75,07,10,394,,1,*Hari Ballabhpur,36,34,2,5,2,3,20,19,0,1,11,39
75,07,10,412,,1,*Jagadishpur,40,43,31,42,6,3,52,86,0,0,46,69
75,07,10,521,,1,*Koreshpur,5,10,7,11,1,0,3,12,1,0,5,16
75,07,10,564,,1,*Chhota Kalikapur,12,14,4,12,0,0,7,15,0,0,6,22
75,07,10,576,,1,*Chhota Newazpur,8,6,3,9,0,1,2,20,0,0,10,19
75,07,10,585,,1,*Chhota Sonaimuri,18,12,11,14,1,0,15,29,0,0,13,28
75,07,10,624,,1,*Masakpur,18,31,27,45,7,3,39,68,1,0,30,60
75,07,10,649,,1,*Molayempur,11,5,17,7,0,0,19,27,0,0,13,14
75,07,10,679,,1,*Narayanpur,0,3,4,3,0,0,1,4,0,0,2,5
75,07,10,891,,1,*Dakshin Abhirampur,52,49,25,34,17,7,29,67,2,0,21,85
75,07,10,891,01,1,Dakshin Abhirampur,46,43,20,28,9,5,24,56,2,0,16,70
75,07,10,891,02,1,Domonpur,6,6,5,6,8,2,5,11,0,0,5,15
75,07,10,900,,1,*Dakshin Hirapur,18,34,14,20,2,1,21,35,1,1,31,47
75,07,10,922,,1,*Dakshin Kutubpur,4,8,4,5,1,0,4,10,0,0,10,7
75,07,10,931,,1,*Dakshin Miapur,89,77,81,85,15,14,82,186,5,0,99,161
75,07,10,943,,1,*Dakshin Rampur,53,51,48,64,4,2,46,70,1,1,34,95
75,07,10,955,,1,*Sujatpur,19,17,16,24,9,1,28,45,2,0,22,28
75,07,10,958,,1,*Sultanpur,55,52,28,67,9,3,57,112,1,0,58,74
75,07,10,958,01,1,Purba Sultanpur,37,43,15,42,5,0,38,83,0,0,37,48
75,07,10,958,02,1,Paschim Sultanpur,18,9,13,25,4,3,19,29,1,0,21,26
75,07,12,,,,Amanullapur Union Total,635,688,772,962,112,43,797,1395,21,4,778,1301
75,07,12,039,,1,*Amanullapur,21,12,10,20,2,1,36,33,0,0,24,28
75,07,12,081,,1,*Ayubpur,33,41,42,71,7,1,47,94,0,0,48,92
75,07,12,248,,1,*Dahar Para,19,18,20,25,0,0,9,22,0,0,12,16
75,07,12,379,,1,*Gobinderkhil,52,59,78,117,10,0,60,115,1,0,62,109
75,07,12,382,,1,*Gobindapur,8,5,6,13,1,0,6,11,1,0,9,17
75,07,12,430,,1,*Joy Narayanpur,71,75,75,77,19,6,91,145,3,0,81,124
75,07,12,444,,1,*Kachihata,61,43,57,115,17,6,70,138,2,1,75,130
75,07,12,470,,1,*Karimpur,87,78,63,93,11,9,55,136,1,0,63,145
75,07,12,476,,1,*Kashipur,22,18,20,33,1,2,29,44,0,0,16,45
75,07,12,503,,1,*Khemchandpur,20,25,23,22,4,0,30,40,0,0,27,36
75,07,12,515,,1,*Koaria,36,47,57,66,6,2,64,98,2,0,53,89
75,07,12,546,,1,*Lakuriakandi,29,25,33,38,10,3,33,71,2,0,34,47
75,07,12,567,,1,*Chhota Khanpur,10,10,19,21,1,0,14,32,1,0,16,24
75,07,12,612,,1,*Mohammadpur,37,41,86,79,9,2,88,94,4,0,69,85
75,07,12,703,,1,*Uttar Abhirampur,39,68,45,40,4,1,34,77,1,0,46,79
75,07,12,725,,1,*Uttar Krishnarampur,33,41,40,39,1,2,37,102,1,1,59,100
75,07,12,731,,1,*Uttar Maheshpur,29,52,50,42,5,5,49,75,1,0,40,65
75,07,12,776,,1,*Phatika,11,8,20,10,3,2,17,21,1,2,17,30
75,07,12,809,,1,*Ramchandrapur,15,19,22,33,1,1,28,40,0,0,21,34
75,07,12,814,,1,*Ramdebpur,2,3,6,8,0,0,0,7,0,0,6,6
75,07,24,,,,Begumganj Union Total,385,451,637,671,103,28,663,1012,10,1,669,857
75,07,24,036,,1,*Amanatpur,170,184,210,195,43,10,222,333,2,0,272,345
75,07,24,257,,1,*Darbeshpur,48,37,63,82,16,6,80,116,3,0,71,101
75,07,24,339,,1,*Kazinagar,24,40,116,110,5,0,116,134,0,0,84,86
75,07,24,409,,1,*Islampur,6,7,13,19,4,1,18,30,1,0,15,23
75,07,24,597,,1,*Mahabbatpur,72,90,110,130,19,1,108,167,3,1,119,168
75,07,24,646,,1,*Mujahidpur,65,93,125,135,16,10,119,232,1,0,108,134
75,07,28,,,,Chhayani Union Total,820,874,790,994,124,45,952,1721,17,6,916,1606
75,07,28,003,,1,*Abdullahpur,2,6,6,10,0,1,7,27,0,0,13,17
75,07,28,051,,1,*Amirpur,14,12,10,39,1,0,13,37,0,0,18,18
75,07,28,157,,1,*Bhabani Jibanpur,108,94,124,153,3,0,148,233,1,1,123,161
75,07,28,178,,1,*Bhupatipur,8,13,27,31,1,0,32,59,0,0,27,36
75,07,28,197,,1,*Bara Mahiddipur,35,37,53,68,7,2,61,83,1,0,68,94
75,07,28,206,,1,*Bara Shibnarayanpur,3,4,7,1,0,0,4,7,0,0,4,10
75,07,28,230,,1,*Chandipur,0,1,0,0,0,0,1,2,0,0,1,3
75,07,28,266,,1,*Debipur,7,13,14,18,0,0,20,28,0,0,20,22
75,07,28,279,,1,*Doalia,73,75,45,65,10,7,53,136,0,0,74,111
75,07,28,300,,1,*Doalia (2nd Part),19,16,13,10,1,0,8,26,0,0,6,25
75,07,28,303,,1,*Doalia Kismat,30,19,21,17,1,1,21,35,0,0,20,37
75,07,28,324,,1,*Durlabhpur,4,7,4,7,0,0,3,12,0,0,6,26
75,07,28,357,,1,*Gangabar,33,39,31,33,12,2,42,58,1,1,26,47
75,07,28,418,,1,*Jagiman Rajpur,14,13,8,17,2,0,10,22,0,0,14,22
75,07,28,421,,1,*Jahedpur,3,3,6,15,1,0,5,15,0,0,9,20
