0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
75,,,,,,Noakhali Zila Total,58,347,201,146,269,0,3,75
75,,,,,1,Noakhali Zila,16,69,34,35,24,0,0,45
75,,,,,2,Noakhali Zila,41,272,163,109,239,0,3,30
75,,,,,3,Noakhali Zila,1,6,4,2,6,0,0,0
75,07,,,,,Begumganj Upazila Total,8,154,107,47,153,0,0,1
75,07,,,,1,Begumganj Upazila,0,0,0,0,0,0,0,0
75,07,,,,2,Begumganj Upazila,8,154,107,47,153,0,0,1
75,07,,,,3,Begumganj Upazila,0,0,0,0,0,0,0,0
,,,,,,Begumganj Paurashava,,,,,,,,0
75,07,01,,,,Ward No-01 Total,5,144,99,45,143,0,0,1
75,07,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
75,07,03,,,,Ward No-03 Total,3,10,8,2,10,0,0,0
75,07,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
75,07,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
75,07,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
75,07,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
75,07,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
75,07,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
75,07,10,,,,Alyerapur Union Total,0,0,0,0,0,0,0,0
75,07,12,,,,Amanullapur Union Total,0,0,0,0,0,0,0,0
75,07,24,,,,Begumganj Union Total,0,0,0,0,0,0,0,0
75,07,28,,,,Chhayani Union Total,0,0,0,0,0,0,0,0
75,07,38,,,,Durgapur Union Total,0,0,0,0,0,0,0,0
75,07,42,,,,Eklashpur Union Total,0,0,0,0,0,0,0,0
75,07,45,,,,Gopalpur Union Total,0,0,0,0,0,0,0,0
75,07,49,,,,Narottampur Union Total,0,0,0,0,0,0,0,0
75,07,49,,,3,Narottampur Union,0,0,0,0,0,0,0,0
75,07,52,,,,Hajipur Union Total,0,0,0,0,0,0,0,0
75,07,52,,,3,Hajipur Union,0,0,0,0,0,0,0,0
75,07,56,,,,Jirtali Union Total,0,0,0,0,0,0,0,0
75,07,63,,,,Kadirpur Union Total,0,0,0,0,0,0,0,0
75,07,66,,,,Kutubpur Union Total,0,0,0,0,0,0,0,0
75,07,70,,,,Mir Warishpur Union Total,0,0,0,0,0,0,0,0
75,07,70,,,1,Mir Warishpur Union,0,0,0,0,0,0,0,0
75,07,70,,,3,Mir Warishpur Union,0,0,0,0,0,0,0,0
75,07,80,,,,Rajganj Union Total,0,0,0,0,0,0,0,0
75,07,84,,,,Rasulpur Union Total,0,0,0,0,0,0,0,0
75,07,87,,,,Sharifpur Union Total,0,0,0,0,0,0,0,0
75,10,,,,,Chatkhil Upazila Total,4,16,9,7,12,0,0,4
75,10,,,,1,Chatkhil Upazila,2,9,4,5,5,0,0,4
75,10,,,,2,Chatkhil Upazila,2,7,5,2,7,0,0,0
,,,,,,Chatkhil Paurashava,,,,,,,,0
75,10,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
75,10,02,,,,Ward No-02 Total,1,3,2,1,3,0,0,0
75,10,03,,,,Ward No-03 Total,1,4,3,1,4,0,0,0
75,10,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
75,10,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
75,10,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
75,10,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
75,10,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
75,10,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
75,10,17,,,,Badalkut Union Total,0,0,0,0,0,0,0,0
75,10,19,,,,Hatpukuria Ghatlabag Union Total,0,0,0,0,0,0,0,0
75,10,28,,,,Khil Para Union Total,0,0,0,0,0,0,0,0
75,10,38,,,,Mohammadpur Union Total,1,4,0,4,0,0,0,4
75,10,47,,,,Nayakhola Union Total,1,5,4,1,5,0,0,0
75,10,57,,,,Panchgaon Union Total,0,0,0,0,0,0,0,0
75,10,66,,,,Parkote Union Total,0,0,0,0,0,0,0,0
75,10,76,,,,Ramnarayanpur Union Total,0,0,0,0,0,0,0,0
75,10,85,,,,Sahapur Union Total,0,0,0,0,0,0,0,0
75,21,,,,,Companiganj Upazila Total,1,1,1,0,1,0,0,0
75,21,,,,1,Companiganj Upazila,0,0,0,0,0,0,0,0
75,21,,,,2,Companiganj Upazila,1,1,1,0,1,0,0,0
,,,,,,Companiganj Paurashava,,,,,,,,0
75,21,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
75,21,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
