0,1,2,3,4,5,6,7,8,9,10,11,12
75,,,,,,Noakhali Zila Total,3108083,2965950,140541,934,558,100
75,,,,,1,Noakhali Zila,2611383,2498930,111716,476,173,88
75,,,,,2,Noakhali Zila,364460,338298,25335,431,384,12
75,,,,,3,Noakhali Zila,132240,128722,3490,27,1,0
75,07,,,,,Begumganj Upazila Total,549308,521206,28049,21,25,7
75,07,,,,1,Begumganj Upazila,416360,399563,16779,11,2,5
75,07,,,,2,Begumganj Upazila,80001,70540,9426,10,23,2
75,07,,,,3,Begumganj Upazila,52947,51103,1844,0,0,0
,,,,,,Begumganj Paurashava,,,,,,
75,07,01,,,,Ward No-01 Total,8677,8513,152,1,11,0
75,07,01,560,,2,*Maddha Nazair Pur (Part-1),2359,2302,55,0,2,0
75,07,01,643,,2,*Mir Warish Pur,1938,1854,83,1,0,0
75,07,01,995,,2,*Uttar Nazirpur,4380,4357,14,0,9,0
75,07,02,,,,Ward No-02 Total,7357,7240,117,0,0,0
75,07,02,354,,2,*Daskhin Nazirpur,5297,5262,35,0,0,0
75,07,02,565,,2,*Maddha Nazirpur (Part-2),2060,1978,82,0,0,0
75,07,03,,,,Ward No-03 Total,10811,8749,2051,0,11,0
75,07,03,125,,2,*Dakshin Alipur,3213,2746,464,0,3,0
75,07,03,143,,2,*Madhya Alipur,4230,3908,318,0,4,0
75,07,03,156,,2,*Uttar Alipur (Kuri Para),2450,1180,1266,0,4,0
75,07,03,724,,2,*Paschim Alipur,918,915,3,0,0,0
75,07,04,,,,Ward No-04 Total,12975,11793,1179,1,1,1
75,07,04,300,,2,*Gola Baria,2395,2066,328,0,1,0
75,07,04,421,,2,*Karimpur,7359,7072,285,1,0,1
75,07,04,597,,2,*Paschim Hajipur (Chaumohani),2131,1577,554,0,0,0
75,07,04,648,,2,*Purba Alipur,1090,1078,12,0,0,0
75,07,05,,,,Ward No-05 Total,7896,7506,386,4,0,0
75,07,05,706,,2,*Dakshin Ganipur,1427,1262,161,4,0,0
75,07,05,748,,2,*Paschim Ganipur,6469,6244,225,0,0,0
75,07,06,,,,Ward No-06 Total,9192,5481,3711,0,0,0
75,07,06,470,,2,*Paschim Narottampur,1497,696,801,0,0,0
75,07,06,648,,2,*Purba Ganipur,7695,4785,2910,0,0,0
75,07,07,,,,Ward No-07 Total,9413,7629,1780,4,0,0
75,07,07,433,,2,*Kismat Karimpur,1644,1371,271,2,0,0
75,07,07,673,,2,*Purba Narottampur,1264,1014,250,0,0,0
75,07,07,770,,2,*Uttar Hajipur,6505,5244,1259,2,0,0
75,07,08,,,,Ward No-08 Total,7015,6964,50,0,0,1
75,07,08,770,,2,*Madhya Hazipur,7015,6964,50,0,0,1
75,07,09,,,,Ward No-09 Total,6665,6665,0,0,0,0
75,07,09,371,,2,*Dakshin Hazipur,3963,3963,0,0,0,0
75,07,09,871,,2,*Purba Hajipur,2702,2702,0,0,0,0
75,07,10,,,,Alyerapur Union Total,33791,33189,602,0,0,0
75,07,10,018,,1,*Alyerapur,2296,2294,2,0,0,0
75,07,10,042,,1,*Amanullapur,1868,1868,0,0,0,0
75,07,10,078,,1,*Atmarampur,528,528,0,0,0,0
75,07,10,103,,1,*Bahadurpur,1148,1148,0,0,0,0
75,07,10,106,,1,*Balu Char,1356,1328,28,0,0,0
75,07,10,106,01,1,Balu Char,1167,1139,28,0,0,0
75,07,10,106,02,1,Char Mehedi,189,189,0,0,0,0
75,07,10,151,,1,*Bhababhadri,2838,2683,155,0,0,0
75,07,10,200,,1,*Bara Newazpur,588,588,0,0,0,0
75,07,10,242,,1,*Chaupalli,369,369,0,0,0,0
75,07,10,260,,1,*Debdhipur,171,171,0,0,0,0
75,07,10,285,,1,*Dhitpur,2554,2551,3,0,0,0
75,07,10,306,,1,*Doalia Bazar,1467,1467,0,0,0,0
75,07,10,336,,1,*Ekabbarpur,2236,2236,0,0,0,0
75,07,10,342,,1,*Enayetnagar,828,828,0,0,0,0
75,07,10,394,,1,*Hari Ballabhpur,689,577,112,0,0,0
75,07,10,412,,1,*Jagadishpur,1576,1576,0,0,0,0
75,07,10,521,,1,*Koreshpur,238,238,0,0,0,0
75,07,10,564,,1,*Chhota Kalikapur,389,331,58,0,0,0
75,07,10,576,,1,*Chhota Newazpur,300,300,0,0,0,0
