0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
76,,,,,,Pabna Zila Total,2523179,10.4,12.2,11.0,8.2,9.1,9.6,25.0,6.5,2.9,5.0
76,,,,,1,Pabna Zila,2135504,10.7,12.5,11.1,8.0,9.0,9.6,24.6,6.5,2.9,5.1
76,,,,,2,Pabna Zila,387675,8.9,10.6,10.7,9.4,10.0,9.9,26.7,6.7,2.7,4.5
76,05,,,,,Atgharia Upazila Total,157254,10.4,12.1,11.1,7.6,8.6,9.6,25.9,6.7,2.9,5.0
76,05,,,,1,Atgharia Upazila,143568,10.5,12.3,11.2,7.6,8.5,9.5,25.8,6.7,2.9,5.0
76,05,,,,2,Atgharia Upazila,13686,8.7,10.4,11.0,7.9,9.7,10.5,26.7,6.9,3.0,5.1
76,05,,,,2,Atgharia  Paurashava,13686,8.7,10.4,11.0,7.9,9.7,10.5,26.7,6.9,3.0,5.1
76,05,01,,,,Ward No-01 Total,2000,9.2,10.9,11.0,6.8,9.0,11.5,26.1,6.7,3.7,5.4
76,05,01,170,,2,*Chandba (Part),403,7.2,7.9,11.4,10.7,10.7,11.7,24.3,6.5,4.5,5.2
76,05,01,531,,2,*Kushtia Para (Part),1597,9.6,11.6,10.8,5.8,8.6,11.4,26.5,6.7,3.4,5.4
76,05,02,,,,Ward No-02 Total,1342,8.5,12.1,11.5,7.7,7.8,12.1,25.5,7.0,2.3,5.5
76,05,02,026,,2,*Atgharia (Part),213,13.6,13.6,9.4,3.8,6.1,16.4,25.8,7.0,1.4,2.8
76,05,02,853,,2,*Rustampur,1129,7.5,11.9,11.9,8.4,8.1,11.2,25.4,7.0,2.5,6.0
76,05,03,,,,Ward No-03 Total,1451,8.4,10.1,10.7,7.1,8.7,11.5,28.5,7.3,3.0,4.7
76,05,03,026,,2,*Atgharia (Part),1451,8.4,10.1,10.7,7.1,8.7,11.5,28.5,7.3,3.0,4.7
76,05,04,,,,Ward No-04 Total,1407,10.1,10.9,10.0,6.9,10.2,10.0,26.4,8.4,4.1,3.1
76,05,04,026,,2,*Atgharia (Part),1407,10.1,10.9,10.0,6.9,10.2,10.0,26.4,8.4,4.1,3.1
76,05,05,,,,Ward No-05 Total,1393,7.6,9.8,11.1,10.7,10.6,8.8,23.5,7.0,3.6,7.2
76,05,05,125,,2,*Bishrampur,513,8.4,10.3,10.9,11.5,9.2,7.8,21.2,7.2,4.1,9.4
76,05,05,995,,2,*Uttarchak (Part),880,7.2,9.4,11.3,10.2,11.5,9.4,24.9,6.9,3.3,5.9
76,05,06,,,,Ward No-06 Total,1536,8.7,9.9,10.6,8.9,10.7,10.1,26.0,5.5,3.8,5.9
76,05,06,277,,2,*Dhaleshwar (Part),1003,8.6,10.2,12.1,10.0,9.2,9.0,25.8,5.3,3.6,6.4
76,05,06,995,,2,*Uttarchak (Part),533,8.8,9.4,7.9,6.8,13.7,12.2,26.3,5.8,4.1,5.1
76,05,07,,,,Ward No-07 Total,1859,9.0,10.4,9.5,7.7,11.3,10.2,27.3,7.0,2.3,5.2
76,05,07,080,,2,*Baruria,652,8.6,11.0,10.9,5.4,14.7,11.3,25.9,5.2,1.5,5.4
76,05,07,259,,2,*Debottar (Part),487,8.2,9.9,8.4,10.5,8.8,9.7,30.0,7.2,1.6,5.7
76,05,07,744,,2,*Radhakantapur,720,10.0,10.1,9.0,8.1,9.9,9.6,26.8,8.5,3.3,4.7
76,05,08,,,,Ward No-08 Total,1458,8.2,10.8,12.2,8.2,9.2,10.2,28.1,7.2,1.9,4.2
76,05,08,259,,2,*Debottar (Part),997,8.3,11.2,12.4,7.7,8.9,10.4,27.8,7.0,2.0,4.1
76,05,08,501,,2,*Kandarpapur (Part),461,7.8,9.8,11.7,9.1,9.8,9.5,28.6,7.6,1.7,4.3
76,05,09,,,,Ward No-09 Total,1240,8.5,8.9,13.1,7.4,8.9,10.2,29.5,6.5,2.4,4.7
76,05,09,143,,2,*Chak Dhaleshwar,238,8.4,9.2,10.5,4.6,9.2,13.0,28.6,6.7,4.2,5.5
76,05,09,501,,2,*Kandarpapur (Part),605,8.9,8.3,14.9,7.1,8.9,9.8,29.8,5.3,2.5,4.6
76,05,09,797,,2,*Ramchandrapur,397,8.1,9.6,11.8,9.6,8.6,9.1,29.7,8.1,1.3,4.3
76,05,15,,,,Chandba Union Total,26245,9.7,11.9,11.3,7.9,8.3,10.1,26.5,6.6,2.8,5.1
76,05,15,035,,1,*Bachamara,871,9.4,13.4,10.1,7.0,8.6,10.4,26.3,5.7,3.2,5.7
76,05,15,044,,1,*Baira,401,10.0,8.2,9.5,10.0,8.5,7.7,27.7,7.0,4.2,7.2
76,05,15,053,,1,*Baoikhola,856,11.1,11.4,10.0,7.9,8.5,11.0,25.7,6.8,2.7,4.8
76,05,15,071,,1,*Barai Para,254,11.4,15.4,14.6,4.3,5.5,13.0,28.3,3.1,1.2,3.1
76,05,15,098,,1,*Beruan,1670,9.2,11.1,10.4,6.8,6.9,8.9,26.9,8.7,5.0,6.2
76,05,15,107,,1,*Bharatpur,3271,9.4,11.8,12.3,8.8,8.7,10.0,25.3,6.9,2.4,4.2
76,05,15,170,,1,*Chandba (Part),5255,10.2,12.1,12.5,8.2,8.0,10.0,25.6,6.1,2.5,4.8
76,05,15,170,01,1,Chandba,1343,9.8,11.8,13.6,9.0,7.1,8.8,26.8,5.9,2.5,4.7
76,05,15,170,02,1,Sanjoypur,3070,10.7,12.0,12.2,7.4,7.8,10.8,25.5,6.4,2.4,4.8
76,05,15,170,03,1,Kushtia Para (Part),373,9.1,14.2,10.7,8.8,10.7,10.2,22.5,5.6,3.2,4.8
76,05,15,170,04,1,Kuti Para,469,9.0,11.9,12.8,10.7,10.0,7.9,24.9,4.9,2.8,5.1
76,05,15,394,,1,*Hapania,1986,10.4,12.7,9.6,6.8,8.9,9.8,29.2,6.4,2.3,3.9
76,05,15,412,,1,*Hasaikhali,720,11.8,10.8,10.4,9.2,9.3,8.5,26.3,6.5,2.4,4.9
76,05,15,519,,1,*Khamar Kodalia,1477,9.1,11.4,12.9,7.7,8.7,8.9,26.5,6.2,2.8,5.8
76,05,15,528,,1,*Kumareshwar,1353,11.5,12.3,11.0,8.4,9.5,11.2,24.8,5.6,2.1,3.6
76,05,15,537,,1,*Lakshmanpur,1313,7.5,13.2,10.6,8.0,8.1,9.4,28.7,7.2,2.7,4.6
76,05,15,573,,1,*Miah Para,959,8.0,13.7,8.4,9.6,8.8,11.5,26.7,5.2,2.3,5.8
76,05,15,609,,1,*Nagdaha,3520,9.6,10.6,11.1,7.0,7.8,10.2,26.5,7.2,3.4,6.6
76,05,15,609,01,1,Nagdaha,2263,9.1,10.7,11.6,7.0,7.7,9.9,26.9,7.6,3.6,5.9
76,05,15,609,02,1,Kadamdanga,1257,10.6,10.3,10.3,7.0,7.9,10.9,25.8,6.4,3.0,7.8
76,05,15,663,,1,*Par Kodalia,696,7.9,12.1,14.4,8.2,5.0,9.2,28.9,7.5,2.6,4.3
