0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
76,,,,,,Pabna Zila Total,971599,35.0,64.4,0.5,0.1,980223,22.0,69.7,7.6,0.7
76,,,,,1,Pabna Zila,814047,34.4,65.0,0.5,0.1,825822,21.5,70.2,7.6,0.7
76,,,,,2,Pabna Zila,157552,38.1,61.2,0.5,0.1,154401,25.0,66.5,7.8,0.7
76,05,,,,,Atgharia Upazila Total,60246,33.0,66.4,0.4,0.1,61659,21.3,70.5,7.5,0.8
76,05,,,,1,Atgharia Upazila,54819,33.0,66.4,0.5,0.1,56022,21.1,70.6,7.6,0.8
76,05,,,,2,Atgharia Upazila,5427,32.9,66.6,0.4,0.1,5637,22.8,69.5,7.1,0.6
76,05,,,,2,Atgharia  Paurashava,5427,32.9,66.6,0.4,0.1,5637,22.8,69.5,7.1,0.6
76,05,01,,,,Ward No-01 Total,767,32.9,66.8,0.3,0.1,832,22.7,67.5,8.5,1.2
76,05,01,170,,2,*Chandba (Part),178,39.3,59.6,1.1,0.0,164,25.0,62.8,11.6,0.6
76,05,01,531,,2,*Kushtia Para (Part),589,30.9,68.9,0.0,0.2,668,22.2,68.7,7.8,1.3
76,05,02,,,,Ward No-02 Total,503,30.6,69.0,0.2,0.2,562,23.3,68.9,7.5,0.4
76,05,02,026,,2,*Atgharia (Part),74,20.3,79.7,0.0,0.0,81,16.0,77.8,6.2,0.0
76,05,02,853,,2,*Rustampur,429,32.4,67.1,0.2,0.2,481,24.5,67.4,7.7,0.4
76,05,03,,,,Ward No-03 Total,590,33.4,66.3,0.3,0.0,593,23.8,68.6,6.9,0.7
76,05,03,026,,2,*Atgharia (Part),590,33.4,66.3,0.3,0.0,593,23.8,68.6,6.9,0.7
76,05,04,,,,Ward No-04 Total,561,33.5,66.1,0.0,0.4,550,18.9,71.3,8.5,1.3
76,05,04,026,,2,*Atgharia (Part),561,33.5,66.1,0.0,0.4,550,18.9,71.3,8.5,1.3
