0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
76,,,,,,Pabna Zila Total,996965,1137078,509343,555643,487622,581435,46.7,47.8,45.6
76,,,,,1,Pabna Zila,781298,1016366,397246,497596,384052,518770,43.5,44.4,42.5
76,,,,,2,Pabna Zila,215667,120712,112097,58047,103570,62665,64.1,65.9,62.3
76,05,,,,,Atgharia Upazila Total,58071,74906,28799,37073,29272,37833,43.7,43.7,43.6
76,05,,,,1,Atgharia Upazila,51297,69739,25443,34566,25854,35173,42.4,42.4,42.4
76,05,,,,2,Atgharia Upazila,6774,5167,3356,2507,3418,2660,56.7,57.2,56.2
76,05,,,,2,Atgharia  Paurashava,6774,5167,3356,2507,3418,2660,56.7,57.2,56.2
76,05,01,,,,Ward No-01 Total,951,784,470,363,481,421,54.8,56.4,53.3
76,05,01,170,,2,*Chandba (Part),250,111,138,50,112,61,69.3,73.4,64.7
76,05,01,531,,2,*Kushtia Para (Part),701,673,332,313,369,360,51.0,51.5,50.6
76,05,02,,,,Ward No-02 Total,618,549,281,268,337,281,53.0,51.2,54.5
76,05,02,026,,2,*Atgharia (Part),46,126,16,63,30,63,26.7,20.3,32.3
76,05,02,853,,2,*Rustampur,572,423,265,205,307,218,57.5,56.4,58.5
76,05,03,,,,Ward No-03 Total,838,445,430,211,408,234,65.3,67.1,63.6
76,05,03,026,,2,*Atgharia (Part),838,445,430,211,408,234,65.3,67.1,63.6
76,05,04,,,,Ward No-04 Total,577,601,289,307,288,294,49.0,48.5,49.5
76,05,04,026,,2,*Atgharia (Part),577,601,289,307,288,294,49.0,48.5,49.5
76,05,05,,,,Ward No-05 Total,642,593,335,286,307,307,52.0,53.9,50.0
76,05,05,125,,2,*Bishrampur,268,180,133,83,135,97,59.8,61.6,58.2
76,05,05,995,,2,*Uttarchak (Part),374,413,202,203,172,210,47.5,49.9,45.0
76,05,06,,,,Ward No-06 Total,670,681,338,342,332,339,49.6,49.7,49.5
76,05,06,277,,2,*Dhaleshwar (Part),449,429,211,226,238,203,51.1,48.3,54.0
76,05,06,995,,2,*Uttarchak (Part),221,252,127,116,94,136,46.7,52.3,40.9
76,05,07,,,,Ward No-07 Total,1018,606,492,297,526,309,62.7,62.4,63.0
76,05,07,080,,2,*Baruria,344,228,169,109,175,119,60.1,60.8,59.5
76,05,07,259,,2,*Debottar (Part),259,166,136,83,123,83,60.9,62.1,59.7
76,05,07,744,,2,*Radhakantapur,415,212,187,105,228,107,66.2,64.0,68.1
76,05,08,,,,Ward No-08 Total,803,474,395,232,408,242,62.9,63.0,62.8
76,05,08,259,,2,*Debottar (Part),586,289,291,137,295,152,67.0,68.0,66.0
76,05,08,501,,2,*Kandarpapur (Part),217,185,104,95,113,90,54.0,52.3,55.7
76,05,09,,,,Ward No-09 Total,657,434,326,201,331,233,60.2,61.9,58.7
76,05,09,143,,2,*Chak Dhaleshwar,133,75,63,29,70,46,63.9,68.5,60.3
76,05,09,501,,2,*Kandarpapur (Part),302,229,141,107,161,122,56.9,56.9,56.9
76,05,09,797,,2,*Ramchandrapur,222,130,122,65,100,65,63.1,65.2,60.6
76,05,15,,,,Chandba Union Total,11474,11029,5453,5345,6021,5684,51.0,50.5,51.4
76,05,15,035,,1,*Bachamara,329,404,171,183,158,221,44.9,48.3,41.7
76,05,15,044,,1,*Baira,185,165,94,82,91,83,52.9,53.4,52.3
76,05,15,053,,1,*Baoikhola,366,356,189,174,177,182,50.7,52.1,49.3
76,05,15,071,,1,*Barai Para,76,135,35,59,41,76,36.0,37.2,35.0
76,05,15,098,,1,*Beruan,1204,237,561,105,643,132,83.6,84.2,83.0
76,05,15,107,,1,*Bharatpur,1370,1442,633,755,737,687,48.7,45.6,51.8
76,05,15,170,,1,*Chandba (Part),2039,2424,982,1178,1057,1246,45.7,45.5,45.9
76,05,15,170,01,1,Chandba,498,662,247,320,251,342,42.9,43.6,42.3
76,05,15,170,02,1,Sanjoypur,1174,1404,554,694,620,710,45.5,44.4,46.6
76,05,15,170,03,1,Kushtia Para (Part),121,198,54,99,67,99,37.9,35.3,40.4
76,05,15,170,04,1,Kuti Para,246,160,127,65,119,95,60.6,66.1,55.6
76,05,15,394,,1,*Hapania,911,770,439,366,472,404,54.2,54.5,53.9
76,05,15,412,,1,*Hasaikhali,322,298,154,147,168,151,51.9,51.2,52.7
76,05,15,519,,1,*Khamar Kodalia,622,647,287,292,335,355,49.0,49.6,48.6
76,05,15,528,,1,*Kumareshwar,545,585,234,301,311,284,48.2,43.7,52.3
76,05,15,537,,1,*Lakshmanpur,579,581,261,289,318,292,49.9,47.5,52.1
76,05,15,573,,1,*Miah Para,577,243,290,99,287,144,70.4,74.6,66.6
76,05,15,609,,1,*Nagdaha,1353,1678,634,818,719,860,44.6,43.7,45.5
76,05,15,609,01,1,Nagdaha,949,1003,438,491,511,512,48.6,47.1,50.0
76,05,15,609,02,1,Kadamdanga,404,675,196,327,208,348,37.4,37.5,37.4
76,05,15,663,,1,*Par Kodalia,282,331,126,158,156,173,46.0,44.4,47.4
76,05,15,842,,1,*Ratipur,465,484,241,224,224,260,49.0,51.8,46.3
76,05,15,878,,1,*Sarabaria,249,249,122,115,127,134,50.0,51.5,48.7
76,05,31,,,,Debottar Union Total,7320,11055,3628,5503,3692,5552,39.8,39.7,39.9
