0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
76,,,,,,Pabna Zila Total,54213,44963,53695,55252,16341,9851,79405,124738,3759,1552,107557,130505
76,,,,,1,Pabna Zila,43090,35552,46145,47018,11069,6093,67591,106937,2533,924,91118,110444
76,,,,,2,Pabna Zila,11123,9411,7550,8234,5272,3758,11814,17801,1226,628,16439,20061
76,05,,,,,Atgharia Upazila Total,3223,2776,3137,2826,936,530,4657,7414,206,74,6740,8122
76,05,,,,1,Atgharia Upazila,2879,2491,2914,2599,835,446,4221,6713,186,61,6100,7355
76,05,,,,2,Atgharia Upazila,344,285,223,227,101,84,436,701,20,13,640,767
76,05,,,,2,Atgharia  Paurashava,344,285,223,227,101,84,436,701,20,13,640,767
76,05,01,,,,Ward No-01 Total,39,37,29,31,11,3,70,96,3,4,105,117
76,05,01,170,,2,*Chandba (Part),9,13,15,6,4,0,21,18,0,0,22,25
76,05,01,531,,2,*Kushtia Para (Part),30,24,14,25,7,3,49,78,3,4,83,92
76,05,02,,,,Ward No-02 Total,34,28,16,25,6,8,28,63,1,0,67,94
76,05,02,026,,2,*Atgharia (Part),0,2,2,4,0,0,3,10,0,0,14,21
76,05,02,853,,2,*Rustampur,34,26,14,21,6,8,25,53,1,0,53,73
76,05,03,,,,Ward No-03 Total,30,28,23,22,12,11,41,62,3,0,73,91
76,05,03,026,,2,*Atgharia (Part),30,28,23,22,12,11,41,62,3,0,73,91
76,05,04,,,,Ward No-04 Total,28,27,23,19,14,8,50,72,1,0,62,77
76,05,04,026,,2,*Atgharia (Part),28,27,23,19,14,8,50,72,1,0,62,77
76,05,05,,,,Ward No-05 Total,55,33,30,31,11,6,53,78,3,1,64,55
76,05,05,125,,2,*Bishrampur,16,12,14,17,3,0,15,29,1,0,16,23
76,05,05,995,,2,*Uttarchak (Part),39,21,16,14,8,6,38,49,2,1,48,32
76,05,06,,,,Ward No-06 Total,45,28,29,34,18,10,58,79,5,3,69,78
76,05,06,277,,2,*Dhaleshwar (Part),30,19,27,24,10,9,26,47,3,3,38,46
76,05,06,995,,2,*Uttarchak (Part),15,9,2,10,8,1,32,32,2,0,31,32
76,05,07,,,,Ward No-07 Total,44,51,24,25,15,12,58,125,2,1,78,109
76,05,07,080,,2,*Baruria,14,8,3,10,1,3,31,61,0,0,33,41
76,05,07,259,,2,*Debottar (Part),19,16,10,6,4,3,11,25,2,0,21,24
76,05,07,744,,2,*Radhakantapur,11,27,11,9,10,6,16,39,0,1,24,44
76,05,08,,,,Ward No-08 Total,34,24,32,29,7,13,48,66,0,0,71,77
76,05,08,259,,2,*Debottar (Part),25,15,23,14,6,12,29,42,0,0,48,56
76,05,08,501,,2,*Kandarpapur (Part),9,9,9,15,1,1,19,24,0,0,23,21
76,05,09,,,,Ward No-09 Total,35,29,17,11,7,13,30,60,2,4,51,69
76,05,09,143,,2,*Chak Dhaleshwar,4,5,0,2,0,5,6,11,0,0,11,20
76,05,09,501,,2,*Kandarpapur (Part),11,18,9,5,6,6,11,31,1,3,27,28
76,05,09,797,,2,*Ramchandrapur,20,6,8,4,1,2,13,18,1,1,13,21
76,05,15,,,,Chandba Union Total,555,562,460,507,155,103,726,1189,46,17,1116,1462
76,05,15,035,,1,*Bachamara,18,17,17,9,6,1,18,50,1,0,41,49
76,05,15,044,,1,*Baira,18,12,6,4,6,3,11,14,1,0,11,19
76,05,15,053,,1,*Baoikhola,22,13,19,14,6,1,34,32,3,0,34,57
76,05,15,071,,1,*Barai Para,3,0,3,5,0,0,3,11,0,0,12,21
76,05,15,098,,1,*Beruan,36,43,12,22,17,15,37,47,11,3,49,85
76,05,15,107,,1,*Bharatpur,75,70,65,77,14,11,105,156,2,2,131,193
76,05,15,170,,1,*Chandba (Part),118,110,103,100,22,15,124,260,3,1,232,288
76,05,15,170,01,1,Chandba,36,30,31,24,6,6,25,59,2,0,44,72
76,05,15,170,02,1,Sanjoypur,57,65,53,52,10,7,71,150,1,0,150,180
76,05,15,170,03,1,Kushtia Para (Part),7,8,9,9,3,1,11,25,0,1,19,18
76,05,15,170,04,1,Kuti Para,18,7,10,15,3,1,17,26,0,0,19,18
76,05,15,394,,1,*Hapania,33,36,31,36,18,9,56,94,2,0,88,105
76,05,15,412,,1,*Hasaikhali,13,15,13,25,4,9,25,29,3,0,26,32
76,05,15,519,,1,*Khamar Kodalia,27,28,29,29,2,4,50,73,0,0,59,73
76,05,15,528,,1,*Kumareshwar,29,21,27,36,5,1,42,80,2,1,74,75
76,05,15,537,,1,*Lakshmanpur,26,33,18,28,13,9,31,54,2,5,49,68
76,05,15,573,,1,*Miah Para,29,35,8,20,10,4,37,33,5,0,40,65
76,05,15,609,,1,*Nagdaha,63,74,56,54,15,9,97,153,5,3,149,203
76,05,15,609,01,1,Nagdaha,41,56,27,35,10,9,61,95,5,3,91,124
76,05,15,609,02,1,Kadamdanga,22,18,29,19,5,0,36,58,0,0,58,79
76,05,15,663,,1,*Par Kodalia,9,11,18,19,5,1,12,17,2,0,25,37
76,05,15,842,,1,*Ratipur,28,33,23,24,6,5,23,58,3,2,66,63
76,05,15,878,,1,*Sarabaria,8,11,12,5,6,6,21,28,1,0,30,29
76,05,31,,,,Debottar Union Total,404,339,402,288,126,64,617,940,26,9,920,1153
76,05,31,008,,1,*Abhirampur,45,36,39,49,15,8,65,80,4,3,88,112
76,05,31,017,,1,*Arjya Para,9,7,7,4,5,0,23,18,1,0,32,36
76,05,31,152,,1,*Chak Tarapasha,7,6,13,2,1,1,9,17,0,0,22,21
76,05,31,197,,1,*Chandpur,32,30,38,33,12,6,74,103,1,1,92,99
76,05,31,197,01,1,Chandpur,24,19,30,26,9,5,57,89,0,1,81,76
76,05,31,197,02,1,Roypur,8,11,8,7,3,1,17,14,1,0,11,23
76,05,31,250,,1,*Dari Nazirpur,5,6,9,7,1,0,15,28,0,0,20,22
