0,1,2,3,4,5,6,7,8,9,10,11,12
76,,,,,,Pabna Zila Total,2523179,2445702,73487,3074,43,873
76,,,,,1,Pabna Zila,2135504,2082491,49329,2810,24,850
76,,,,,2,Pabna Zila,387675,363211,24158,264,19,23
76,05,,,,,Atgharia Upazila Total,157254,154136,2886,125,4,103
76,05,,,,1,Atgharia Upazila,143568,141237,2110,118,0,103
76,05,,,,2,Atgharia Upazila,13686,12899,776,7,4,0
76,05,,,,2,Atgharia  Paurashava,13686,12899,776,7,4,0
76,05,01,,,,Ward No-01 Total,2000,1924,76,0,0,0
76,05,01,170,,2,*Chandba (Part),403,331,72,0,0,0
76,05,01,531,,2,*Kushtia Para (Part),1597,1593,4,0,0,0
76,05,02,,,,Ward No-02 Total,1342,1341,1,0,0,0
76,05,02,026,,2,*Atgharia (Part),213,213,0,0,0,0
76,05,02,853,,2,*Rustampur,1129,1128,1,0,0,0
76,05,03,,,,Ward No-03 Total,1451,1331,120,0,0,0
76,05,03,026,,2,*Atgharia (Part),1451,1331,120,0,0,0
76,05,04,,,,Ward No-04 Total,1407,1221,182,4,0,0
76,05,04,026,,2,*Atgharia (Part),1407,1221,182,4,0,0
76,05,05,,,,Ward No-05 Total,1393,1205,188,0,0,0
76,05,05,125,,2,*Bishrampur,513,513,0,0,0,0
76,05,05,995,,2,*Uttarchak (Part),880,692,188,0,0,0
76,05,06,,,,Ward No-06 Total,1536,1492,44,0,0,0
76,05,06,277,,2,*Dhaleshwar (Part),1003,1003,0,0,0,0
76,05,06,995,,2,*Uttarchak (Part),533,489,44,0,0,0
76,05,07,,,,Ward No-07 Total,1859,1726,133,0,0,0
76,05,07,080,,2,*Baruria,652,651,1,0,0,0
76,05,07,259,,2,*Debottar (Part),487,355,132,0,0,0
76,05,07,744,,2,*Radhakantapur,720,720,0,0,0,0
76,05,08,,,,Ward No-08 Total,1458,1432,26,0,0,0
76,05,08,259,,2,*Debottar (Part),997,971,26,0,0,0
76,05,08,501,,2,*Kandarpapur (Part),461,461,0,0,0,0
76,05,09,,,,Ward No-09 Total,1240,1227,6,3,4,0
76,05,09,143,,2,*Chak Dhaleshwar,238,238,0,0,0,0
76,05,09,501,,2,*Kandarpapur (Part),605,592,6,3,4,0
76,05,09,797,,2,*Ramchandrapur,397,397,0,0,0,0
76,05,15,,,,Chandba Union Total,26245,26086,159,0,0,0
76,05,15,035,,1,*Bachamara,871,753,118,0,0,0
76,05,15,044,,1,*Baira,401,401,0,0,0,0
76,05,15,053,,1,*Baoikhola,856,856,0,0,0,0
76,05,15,071,,1,*Barai Para,254,254,0,0,0,0
76,05,15,098,,1,*Beruan,1670,1670,0,0,0,0
76,05,15,107,,1,*Bharatpur,3271,3271,0,0,0,0
76,05,15,170,,1,*Chandba (Part),5255,5214,41,0,0,0
76,05,15,170,01,1,Chandba,1343,1332,11,0,0,0
76,05,15,170,02,1,Sanjoypur,3070,3040,30,0,0,0
76,05,15,170,03,1,Kushtia Para (Part),373,373,0,0,0,0
76,05,15,170,04,1,Kuti Para,469,469,0,0,0,0
76,05,15,394,,1,*Hapania,1986,1986,0,0,0,0
76,05,15,412,,1,*Hasaikhali,720,720,0,0,0,0
76,05,15,519,,1,*Khamar Kodalia,1477,1477,0,0,0,0
76,05,15,528,,1,*Kumareshwar,1353,1353,0,0,0,0
76,05,15,537,,1,*Lakshmanpur,1313,1313,0,0,0,0
76,05,15,573,,1,*Miah Para,959,959,0,0,0,0
76,05,15,609,,1,*Nagdaha,3520,3520,0,0,0,0
76,05,15,609,01,1,Nagdaha,2263,2263,0,0,0,0
76,05,15,609,02,1,Kadamdanga,1257,1257,0,0,0,0
76,05,15,663,,1,*Par Kodalia,696,696,0,0,0,0
76,05,15,842,,1,*Ratipur,1084,1084,0,0,0,0
76,05,15,878,,1,*Sarabaria,559,559,0,0,0,0
76,05,31,,,,Debottar Union Total,21711,21358,353,0,0,0
76,05,31,008,,1,*Abhirampur,2147,2147,0,0,0,0
76,05,31,017,,1,*Arjya Para,649,608,41,0,0,0
76,05,31,152,,1,*Chak Tarapasha,437,437,0,0,0,0
76,05,31,197,,1,*Chandpur,1930,1930,0,0,0,0
76,05,31,197,01,1,Chandpur,1475,1475,0,0,0,0
76,05,31,197,02,1,Roypur,455,455,0,0,0,0
76,05,31,250,,1,*Dari Nazirpur,459,459,0,0,0,0
76,05,31,277,,1,*Dhaleshwar (Part),249,249,0,0,0,0
76,05,31,340,,1,*Garuri,874,678,196,0,0,0
76,05,31,349,,1,*Gobindapur,560,560,0,0,0,0
76,05,31,457,,1,*Jumaikhiri,1141,1141,0,0,0,0
76,05,31,493,,1,*Kairabari,1524,1524,0,0,0,0
76,05,31,654,,1,*Paik Para,830,830,0,0,0,0
76,05,31,699,,1,*Patashwar,2601,2601,0,0,0,0
76,05,31,735,,1,*Pustigachha,537,537,0,0,0,0
76,05,31,761,,1,*Raghunathpur,1861,1861,0,0,0,0
76,05,31,761,01,1,Raghunathpur,559,559,0,0,0,0
76,05,31,761,02,1,Singharia,1302,1302,0,0,0,0
76,05,31,815,,1,*Ramnagar,374,267,107,0,0,0
76,05,31,860,,1,*Sabdanga,512,510,2,0,0,0
76,05,31,914,,1,*Sirajpur,72,72,0,0,0,0
76,05,31,923,,1,*Sirajpur Matigachha,1579,1579,0,0,0,0
76,05,31,950,,1,*Sreekantapur,1798,1791,7,0,0,0
76,05,31,977,,1,*Tarapasha,1177,1177,0,0,0,0
76,05,31,977,01,1,Tarapasha,598,598,0,0,0,0
76,05,31,977,02,1,Gangarampur,579,579,0,0,0,0
76,05,31,994,,1,*Ujangram,400,400,0,0,0,0
76,05,47,,,,Ekdanta Union Total,36039,35342,476,118,0,103
76,05,47,089,,1,*Beldaha,492,492,0,0,0,0
76,05,47,134,,1,*Chachkia,1908,1850,7,51,0,0
76,05,47,161,,1,*Chandai,3122,3122,0,0,0,0
76,05,47,179,,1,*Chandipasha,954,944,10,0,0,0
76,05,47,206,,1,*Chaubaria,1512,1475,37,0,0,0
76,05,47,215,,1,*Chaukibari,1370,1370,0,0,0,0
76,05,47,215,01,1,Chaukibari,507,507,0,0,0,0
76,05,47,215,02,1,Chak Chaukibari,863,863,0,0,0,0
76,05,47,268,,1,*Dengargram,1381,1381,0,0,0,0
76,05,47,268,01,1,Dengargram,1006,1006,0,0,0,0
76,05,47,268,02,1,Maheshpur,375,375,0,0,0,0
76,05,47,313,,1,*Ekdanta Barai Para,2757,2757,0,0,0,0
76,05,47,322,,1,*Ekdanta Debottar,1023,729,294,0,0,0
76,05,47,322,01,1,Ekdanta Debottar,513,457,56,0,0,0
76,05,47,322,02,1,Ekdantta Bazar,510,272,238,0,0,0
76,05,47,367,,1,*Gopalpur,3606,3606,0,0,0,0
76,05,47,376,,1,*Gurubasi,1070,1070,0,0,0,0
76,05,47,385,,1,*Haidharpur,1059,1059,0,0,0,0
76,05,47,385,01,1,Haidharpur,587,587,0,0,0,0
76,05,47,385,02,1,Hiranandapur,472,472,0,0,0,0
76,05,47,430,,1,*Hidaskol,2360,2328,32,0,0,0
76,05,47,475,,1,*Kadim Baghdi,1090,987,0,0,0,103
76,05,47,510,,1,*Kendar Para,562,562,0,0,0,0
76,05,47,600,,1,*Nagar Chachkia,1438,1371,0,67,0,0
76,05,47,627,,1,*Narjan,2874,2873,1,0,0,0
76,05,47,627,01,1,Narjan,996,996,0,0,0,0
76,05,47,627,02,1,Ramnagar,901,901,0,0,0,0
76,05,47,627,03,1,Niamatpur,977,976,1,0,0,0
76,05,47,636,,1,*Naynagar,641,641,0,0,0,0
76,05,47,896,,1,*Shaitgachha,2201,2197,4,0,0,0
76,05,47,905,,1,*Shibpur,3221,3130,91,0,0,0
76,05,47,968,,1,*Sujapur,958,958,0,0,0,0
76,05,47,986,,1,*Trimohan,440,440,0,0,0,0
76,05,63,,,,Lakshmipur Union Total,24472,24020,452,0,0,0
76,05,63,062,,1,*Baoikhola,3429,3429,0,0,0,0
76,05,63,233,,1,*Dapunia,912,912,0,0,0,0
76,05,63,286,,1,*Dulampur,381,377,4,0,0,0
76,05,63,331,,1,*Garulia,1388,1388,0,0,0,0
76,05,63,439,,1,*Jatrapur,2586,2566,20,0,0,0
76,05,63,448,,1,*Joykrishnapur,244,244,0,0,0,0
76,05,63,484,,1,*Kaijuri,1616,1458,158,0,0,0
76,05,63,546,,1,*Lakshmipur,4728,4480,248,0,0,0
76,05,63,708,,1,*Phalia,3722,3722,0,0,0,0
76,05,63,708,01,1,Phalia,1317,1317,0,0,0,0
76,05,63,708,02,1,Balughat,911,911,0,0,0,0
76,05,63,708,03,1,Balarampur,1053,1053,0,0,0,0
76,05,63,708,04,1,Kashabpur,441,441,0,0,0,0
76,05,63,770,,1,*Raghurampur,1178,1178,0,0,0,0
76,05,63,779,,1,*Rajapur,388,388,0,0,0,0
76,05,63,824,,1,*Ranigram,1043,1039,4,0,0,0
