0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
76,,,,,,Pabna Zila Total,588891,2.1,93.6,4.4,60.1,92.1,3.5,4.4
76,,,,,1,Pabna Zila,500675,0.7,94.5,4.7,56.3,95.1,1.1,3.8
76,,,,,2,Pabna Zila,88216,9.5,88.2,2.3,81.5,74.8,17.1,8.1
76,05,,,,,Atgharia Upazila Total,38411,1.0,94.5,4.5,47.8,96.7,0.5,2.8
76,05,,,,1,Atgharia Upazila,35025,0.9,94.8,4.3,46.5,97.2,0.2,2.7
76,05,,,,2,Atgharia Upazila,3386,2.5,90.8,6.7,61.1,92.1,4.3,3.6
76,05,,,,2,Atgharia  Paurashava,3386,2.5,90.8,6.7,61.1,92.1,4.3,3.6
76,05,01,,,,Ward No-01 Total,499,2.2,84.8,13.0,60.1,95.8,2.8,1.4
76,05,01,170,,2,*Chandba (Part),88,4.5,93.2,2.3,67.0,97.7,0.0,2.3
76,05,01,531,,2,*Kushtia Para (Part),411,1.7,83.0,15.3,58.6,95.4,3.4,1.2
76,05,02,,,,Ward No-02 Total,333,2.7,63.4,33.9,60.7,89.2,1.2,9.6
76,05,02,026,,2,*Atgharia (Part),58,0.0,39.7,60.3,0.0,81.0,0.0,19.0
76,05,02,853,,2,*Rustampur,275,3.3,68.4,28.4,73.5,90.9,1.5,7.6
76,05,03,,,,Ward No-03 Total,334,0.3,99.7,0.0,67.7,87.7,10.2,2.1
76,05,03,026,,2,*Atgharia (Part),334,0.3,99.7,0.0,67.7,87.7,10.2,2.1
76,05,04,,,,Ward No-04 Total,360,1.1,97.5,1.4,52.2,88.9,5.3,5.8
76,05,04,026,,2,*Atgharia (Part),360,1.1,97.5,1.4,52.2,88.9,5.3,5.8
76,05,05,,,,Ward No-05 Total,346,4.3,93.1,2.6,54.6,94.2,1.2,4.6
76,05,05,125,,2,*Bishrampur,137,8.8,91.2,0.0,61.3,95.6,0.0,4.4
76,05,05,995,,2,*Uttarchak (Part),209,1.4,94.3,4.3,50.2,93.3,1.9,4.8
76,05,06,,,,Ward No-06 Total,392,2.3,90.8,6.9,44.1,95.9,0.8,3.3
76,05,06,277,,2,*Dhaleshwar (Part),244,2.5,97.5,0.0,39.8,98.0,0.0,2.0
76,05,06,995,,2,*Uttarchak (Part),148,2.0,79.7,18.2,51.4,92.6,2.0,5.4
76,05,07,,,,Ward No-07 Total,465,4.3,94.8,0.9,70.3,95.5,3.2,1.3
76,05,07,080,,2,*Baruria,179,1.1,98.9,0.0,65.4,95.5,2.8,1.7
76,05,07,259,,2,*Debottar (Part),108,11.1,88.9,0.0,82.4,91.7,6.5,1.9
76,05,07,744,,2,*Radhakantapur,178,3.4,94.4,2.2,68.0,97.8,1.7,0.6
76,05,08,,,,Ward No-08 Total,355,1.7,97.5,0.8,65.9,90.4,8.2,1.4
76,05,08,259,,2,*Debottar (Part),239,2.1,96.7,1.3,59.8,88.7,9.2,2.1
76,05,08,501,,2,*Kandarpapur (Part),116,0.9,99.1,0.0,78.4,94.0,6.0,0.0
76,05,09,,,,Ward No-09 Total,302,3.0,97.0,0.0,75.8,87.7,7.6,4.6
76,05,09,143,,2,*Chak Dhaleshwar,58,1.7,98.3,0.0,65.5,94.8,3.4,1.7
76,05,09,501,,2,*Kandarpapur (Part),156,5.1,94.9,0.0,85.3,78.2,13.5,8.3
76,05,09,797,,2,*Ramchandrapur,88,0.0,100.0,0.0,65.9,100.0,0.0,0.0
76,05,15,,,,Chandba Union Total,6594,1.7,90.9,7.4,45.0,97.5,0.1,2.4
76,05,15,035,,1,*Bachamara,227,0.9,98.2,0.9,47.6,98.2,0.0,1.8
76,05,15,044,,1,*Baira,105,0.0,100.0,0.0,79.0,100.0,0.0,0.0
76,05,15,053,,1,*Baoikhola,211,0.0,100.0,0.0,41.2,96.2,0.0,3.8
76,05,15,071,,1,*Barai Para,63,0.0,36.5,63.5,0.0,98.4,0.0,1.6
76,05,15,098,,1,*Beruan,444,2.3,92.8,5.0,63.1,95.5,0.0,4.5
76,05,15,107,,1,*Bharatpur,763,0.4,79.9,19.7,58.3,97.6,0.1,2.2
76,05,15,170,,1,*Chandba (Part),1289,2.9,86.7,10.5,32.5,97.7,0.3,2.0
76,05,15,170,01,1,Chandba,323,0.9,99.1,0.0,45.8,96.6,1.2,2.2
76,05,15,170,02,1,Sanjoypur,757,4.4,79.5,16.1,21.7,98.5,0.0,1.5
76,05,15,170,03,1,Kushtia Para (Part),90,0.0,97.8,2.2,24.4,91.1,0.0,8.9
76,05,15,170,04,1,Kuti Para,119,0.8,89.9,9.2,71.4,100.0,0.0,0.0
76,05,15,394,,1,*Hapania,492,2.0,97.8,0.2,57.9,98.0,0.4,1.6
