0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
77,,,,,,Panchagarh Zila Total,987644,11.0,13.0,11.3,8.9,8.7,9.4,24.8,6.3,2.4,4.1
77,,,,,1,Panchagarh Zila,892495,11.2,13.2,11.3,8.8,8.7,9.4,24.6,6.3,2.5,4.1
77,,,,,2,Panchagarh Zila,60376,9.1,10.8,11.3,10.5,9.9,9.8,26.7,6.3,2.2,3.3
77,,,,,3,Panchagarh Zila,34773,10.3,12.2,10.8,9.5,8.4,9.6,26.4,6.6,2.3,3.9
77,04,,,,,Atwari Upazila Total,133650,10.8,12.4,10.8,8.7,8.0,9.3,26.3,6.7,2.6,4.3
77,04,,,,1,Atwari Upazila,122376,10.8,12.4,10.9,8.7,8.0,9.3,26.2,6.7,2.6,4.3
77,04,,,,3,Atwari Upazila,11274,10.7,12.6,9.9,8.5,7.9,9.3,27.7,6.9,2.3,4.3
77,04,13,,,,Alowa Khowa Union Total,26587,10.9,12.2,10.7,8.7,7.7,9.4,26.1,6.9,2.8,4.6
77,04,13,016,,1,*Alowa Khowa,2602,10.9,11.7,11.0,8.9,7.3,9.9,27.7,6.5,1.6,4.5
77,04,13,081,,1,*Bakdokra,800,11.6,12.8,9.0,9.8,8.9,8.4,26.6,6.0,2.9,4.1
77,04,13,114,,1,*Balia,3013,11.0,11.2,9.9,9.3,7.9,8.9,26.1,7.0,3.0,5.8
77,04,13,130,,1,*Baman Kumar,6843,11.8,12.6,11.0,8.8,8.0,10.3,23.6,7.0,2.8,4.2
77,04,13,179,,1,*Bara Singa,4108,10.5,12.1,11.9,9.0,6.5,9.3,26.6,7.0,2.9,4.2
77,04,13,212,,1,*Bara Shalu Para,3055,10.5,12.2,11.1,7.4,7.3,7.6,28.7,7.1,3.2,4.9
77,04,13,717,,1,*Molani,2140,11.8,11.4,9.3,8.3,9.5,10.7,25.7,6.2,2.4,4.8
77,04,13,766,,1,*Palta Para,921,10.6,15.0,7.9,7.3,10.1,8.5,25.1,6.8,3.0,5.6
77,04,13,864,,1,*Rampur,3105,9.3,12.8,10.7,9.1,7.0,9.2,27.6,7.3,3.0,4.0
77,04,27,,,,Balarampur Union Total,21044,10.3,12.4,10.4,8.8,8.4,9.8,26.6,6.6,2.5,4.3
77,04,27,032,,1,*Arazi Chameshwari,1000,12.0,13.0,9.5,5.8,7.0,11.5,24.5,6.2,3.8,6.7
77,04,27,097,,1,*Balarampur,3170,9.6,11.8,10.7,9.1,7.8,9.8,26.8,7.0,2.8,4.6
77,04,27,244,,1,*Chameshwari,1563,9.7,12.6,10.2,10.9,8.0,9.6,26.1,5.8,2.6,4.5
