0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
77,,,,,,Panchagarh Zila Total,2349,2274,37104,35492,53914,51392,12333,10699,34716,37440,8606,4494
77,,,,,1,Panchagarh Zila,1904,1928,34270,32764,49162,46906,11473,9845,31354,33994,7815,3946
77,,,,,2,Panchagarh Zila,328,240,1663,1564,2942,2772,493,484,2178,2211,540,351
77,,,,,3,Panchagarh Zila,117,106,1171,1164,1810,1714,367,370,1184,1235,251,197
77,04,,,,,Atwari Upazila Total,203,182,4892,4802,6877,6786,1415,1296,4976,4991,763,438
77,04,,,,1,Atwari Upazila,168,151,4486,4408,6304,6257,1311,1167,4591,4590,706,409
77,04,,,,3,Atwari Upazila,35,31,406,394,573,529,104,129,385,401,57,29
77,04,13,,,,Alowa Khowa Union Total,48,38,946,877,1353,1368,332,255,935,1010,159,85
77,04,13,016,,1,*Alowa Khowa,0,2,95,85,132,103,35,39,84,102,26,16
77,04,13,081,,1,*Bakdokra,1,0,33,24,44,49,10,8,16,18,7,5
77,04,13,114,,1,*Balia,8,7,114,88,156,176,14,11,94,93,11,9
77,04,13,130,,1,*Baman Kumar,18,15,249,248,351,374,94,58,241,275,39,15
77,04,13,179,,1,*Bara Singa,10,4,127,138,215,222,37,43,163,161,37,15
77,04,13,212,,1,*Bara Shalu Para,3,3,88,87,176,152,36,27,123,122,15,11
77,04,13,717,,1,*Molani,1,1,95,75,102,103,26,18,63,64,13,9
77,04,13,766,,1,*Palta Para,1,1,31,33,36,49,27,15,29,31,2,1
77,04,13,864,,1,*Rampur,6,5,114,99,141,140,53,36,122,144,9,4
77,04,27,,,,Balarampur Union Total,30,34,724,710,1121,1124,162,185,761,753,112,59
77,04,27,032,,1,*Arazi Chameshwari,0,2,45,37,43,58,11,11,35,35,2,1
77,04,27,097,,1,*Balarampur,0,0,103,95,168,158,33,30,122,115,13,10
77,04,27,244,,1,*Chameshwari,0,0,52,51,91,92,10,12,60,53,7,6
77,04,27,293,,1,*Chuchuli,1,2,116,109,163,170,15,23,116,120,13,9
77,04,27,375,,1,*Duhasuha,9,6,95,97,136,123,32,25,102,99,16,9
77,04,27,489,,1,*Kalamegh,0,0,55,47,59,57,6,4,58,58,8,3
77,04,27,619,,1,*Kurulia,1,2,39,45,54,68,15,26,69,58,7,4
77,04,27,636,,1,*Lakshir Dwar,3,2,49,45,84,87,5,5,36,42,8,1
77,04,27,913,,1,*Satkhamar,14,20,122,145,247,248,18,27,124,142,34,15
77,04,27,978,,1,*Trishulia,2,0,48,39,76,63,17,22,39,31,4,1
77,04,40,,,,Dhamor Union Total,25,18,733,674,924,834,199,181,700,704,118,77
77,04,40,065,,1,*Atwari,0,2,64,32,62,59,16,8,44,49,7,4
77,04,40,195,,1,*Baragaon,0,0,21,21,26,31,9,2,18,24,4,1
77,04,40,326,,1,*Danabir,0,0,19,16,30,16,0,3,19,19,0,1
77,04,40,358,,1,*Dhamor,3,3,137,133,234,160,25,21,154,160,34,9
77,04,40,391,,1,*Fatehpur,0,0,27,18,23,24,8,10,30,22,0,0
77,04,40,407,,1,*Giragaon,2,1,84,71,103,88,11,15,87,86,17,8
77,04,40,473,,1,*Jogikata,1,4,57,47,52,62,26,20,38,27,13,10
77,04,40,587,,1,*Kismat Sonapatila,2,3,161,153,177,164,43,50,125,121,26,18
77,04,40,668,,1,*Latijhari,1,4,44,40,48,45,14,13,32,42,1,3
77,04,40,799,,1,*Panishali,2,0,42,59,50,63,27,20,55,62,6,8
77,04,40,848,,1,*Rajagaon,11,1,60,69,94,104,19,18,81,78,9,12
77,04,40,848,01,1,Malgoba,9,0,6,15,31,23,2,4,23,16,4,5
77,04,40,848,02,1,Rajagaon,2,1,54,54,63,81,17,14,58,62,5,7
77,04,40,929,,1,*Siktihari,0,0,8,9,12,12,0,0,14,5,1,2
77,04,40,994,,1,*Uttar Durgapur,3,0,9,6,13,6,1,1,3,9,0,1
77,04,54,,,,Mirzapur Union Total,22,16,920,916,1168,1232,252,244,867,810,129,83
77,04,54,048,,1,*Arazi Krishnanagar,0,0,6,6,3,7,6,7,10,11,0,1
77,04,54,146,,1,*Bara Aulia,2,0,228,220,268,296,51,57,191,200,26,21
