0,1,2,3,4,5,6,7,8,9,10,11,12
77,,,,,,Panchagarh Zila Total,987644,820629,163404,2513,21,1077
77,,,,,1,Panchagarh Zila,892495,735350,153973,2150,17,1005
77,,,,,2,Panchagarh Zila,60376,56832,3505,24,4,11
77,,,,,3,Panchagarh Zila,34773,28447,5926,339,0,61
77,04,,,,,Atwari Upazila Total,133650,99681,32281,1476,4,208
77,04,,,,1,Atwari Upazila,122376,91278,29756,1158,4,180
77,04,,,,3,Atwari Upazila,11274,8403,2525,318,0,28
77,04,13,,,,Alowa Khowa Union Total,26587,17298,8964,293,1,31
77,04,13,016,,1,*Alowa Khowa,2602,271,2317,0,1,13
77,04,13,081,,1,*Bakdokra,800,800,0,0,0,0
77,04,13,114,,1,*Balia,3013,705,2104,203,0,1
77,04,13,130,,1,*Baman Kumar,6843,6462,374,7,0,0
77,04,13,179,,1,*Bara Singa,4108,2615,1454,39,0,0
77,04,13,212,,1,*Bara Shalu Para,3055,2558,497,0,0,0
77,04,13,717,,1,*Molani,2140,760,1380,0,0,0
77,04,13,766,,1,*Palta Para,921,471,389,44,0,17
77,04,13,864,,1,*Rampur,3105,2656,449,0,0,0
77,04,27,,,,Balarampur Union Total,21044,14546,6408,8,0,82
77,04,27,032,,1,*Arazi Chameshwari,1000,911,89,0,0,0
77,04,27,097,,1,*Balarampur,3170,2558,612,0,0,0
77,04,27,244,,1,*Chameshwari,1563,775,788,0,0,0
77,04,27,293,,1,*Chuchuli,3168,1953,1215,0,0,0
77,04,27,375,,1,*Duhasuha,2611,2117,435,4,0,55
77,04,27,489,,1,*Kalamegh,1309,1096,213,0,0,0
77,04,27,619,,1,*Kurulia,1448,514,934,0,0,0
77,04,27,636,,1,*Lakshir Dwar,1374,417,957,0,0,0
77,04,27,913,,1,*Satkhamar,4213,3813,391,0,0,9
77,04,27,978,,1,*Trishulia,1188,392,774,4,0,18
77,04,40,,,,Dhamor Union Total,17253,13406,3746,98,2,1
77,04,40,065,,1,*Atwari,1190,727,454,9,0,0
77,04,40,195,,1,*Baragaon,508,359,149,0,0,0
77,04,40,326,,1,*Danabir,426,356,70,0,0,0
77,04,40,358,,1,*Dhamor,3672,3111,469,89,2,1
77,04,40,391,,1,*Fatehpur,608,608,0,0,0,0
77,04,40,407,,1,*Giragaon,1907,1577,330,0,0,0
77,04,40,473,,1,*Jogikata,1273,684,589,0,0,0
77,04,40,587,,1,*Kismat Sonapatila,3216,3016,200,0,0,0
77,04,40,668,,1,*Latijhari,1091,313,778,0,0,0
77,04,40,799,,1,*Panishali,1185,1179,6,0,0,0
77,04,40,848,,1,*Rajagaon,1799,1447,352,0,0,0
77,04,40,848,01,1,Malgoba,456,456,0,0,0,0
77,04,40,848,02,1,Rajagaon,1343,991,352,0,0,0
77,04,40,929,,1,*Siktihari,220,0,220,0,0,0
77,04,40,994,,1,*Uttar Durgapur,158,29,129,0,0,0
77,04,54,,,,Mirzapur Union Total,23623,19633,3433,550,0,7
77,04,54,048,,1,*Arazi Krishnanagar,206,17,189,0,0,0
77,04,54,146,,1,*Bara Aulia,5255,3980,1190,85,0,0
77,04,54,456,,1,*Jhaljhali,1801,1458,343,0,0,0
77,04,54,505,,1,*Kalikapur,1623,1309,22,287,0,5
77,04,54,554,,1,*Kismat Panbara,646,474,168,4,0,0
77,04,54,603,,1,*Krishnanagar,2144,1531,613,0,0,0
77,04,54,652,,1,*Lakshmipur,1670,1585,85,0,0,0
77,04,54,701,,1,*Mirzapur,3692,3645,30,15,0,2
77,04,54,734,,1,*Nalpukhari,1679,1487,192,0,0,0
77,04,54,782,,1,*Panbara,1851,1465,386,0,0,0
77,04,54,897,,1,*Sardar Para,3056,2682,215,159,0,0
77,04,67,,,,Radhanagar Union Total,23659,15914,7598,65,0,82
