0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
78,,,,,,Patuakhali Zila Total,346462,345113,157,1192,1535854,753441,782413,96
78,,,,,1,Patuakhali Zila,301231,300605,89,537,1333972,650724,683248,95
78,,,,,2,Patuakhali Zila,27911,27258,53,600,124144,64101,60043,107
78,,,,,3,Patuakhali Zila,17320,17250,15,55,77738,38616,39122,99
78,38,,,,,Bauphal Upazila Total,67833,67663,12,158,304284,144545,159739,90
78,38,,,,1,Bauphal Upazila,64128,63988,11,129,287368,136223,151145,90
78,38,,,,2,Bauphal Upazila,2538,2509,1,28,11435,5653,5782,98
78,38,,,,3,Bauphal Upazila,1167,1166,0,1,5481,2669,2812,95
78,38,,,,2,Bauphal Paurashava,2538,2509,1,28,11435,5653,5782,98
78,38,01,,,,Ward No-01 Total,146,140,0,6,627,310,317,98
78,38,01,201,,2,*Bil Bilas (Part),146,140,0,6,627,310,317,98
78,38,02,,,,Ward No-02 Total,213,200,0,13,885,452,433,104
78,38,02,166,,2,*Bauphal (Part),93,82,0,11,376,196,180,109
78,38,02,229,,2,*Chandapara (Part),120,118,0,2,509,256,253,101
78,38,03,,,,Ward No-03 Total,398,395,0,3,1817,886,931,95
78,38,03,166,,2,*Bauphal (Part),398,395,0,3,1817,886,931,95
78,38,04,,,,Ward No-04 Total,364,362,0,2,1709,860,849,101
78,38,04,166,,2,*Bauphal (Part),364,362,0,2,1709,860,849,101
78,38,05,,,,Ward No-05 Total,189,189,0,0,851,428,423,101
78,38,05,166,,2,*Bauphal (Part),189,189,0,0,851,428,423,101
78,38,06,,,,Ward No-06 Total,179,178,1,0,835,406,429,95
78,38,06,445,,2,*Daspara (Part),179,178,1,0,835,406,429,95
78,38,07,,,,Ward No-07 Total,498,497,0,1,2226,1107,1119,99
78,38,07,445,,2,*Daspara (Part),498,497,0,1,2226,1107,1119,99
78,38,08,,,,Ward No-08 Total,186,183,0,3,810,367,443,83
78,38,08,772,,2,*Nazirpur (Part),186,183,0,3,810,367,443,83
78,38,09,,,,Ward No-09 Total,365,365,0,0,1675,837,838,100
78,38,09,445,,2,*Daspara (Part),365,365,0,0,1675,837,838,100
78,38,10,,,,Adabaria Union Total,3787,3779,0,8,17659,8340,9319,89
78,38,10,006,,1,*Adabaria,1183,1182,0,1,5594,2646,2948,90
78,38,10,006,01,1,Adabaria,335,335,0,0,1573,736,837,88
78,38,10,006,02,1,Gulithamouj,150,150,0,0,609,258,351,74
78,38,10,006,03,1,Dakshin Madhabpur,406,406,0,0,2046,998,1048,95
78,38,10,006,04,1,Uttar Madhabpur,292,291,0,1,1366,654,712,92
78,38,10,062,,1,*Atashkhali,567,567,0,0,2643,1251,1392,90
78,38,10,438,,1,*Dakshin Lakshmipasha,406,406,0,0,1921,916,1005,91
78,38,10,633,,1,*Kashipur,283,276,0,7,1414,706,708,100
78,38,10,695,,1,*Madhabpur (Part),334,334,0,0,1497,660,837,79
78,38,10,702,,1,*Mahasradhi,695,695,0,0,3256,1529,1727,89
78,38,10,890,,1,*Sabupur (Part),120,120,0,0,503,237,266,89
78,38,10,918,,1,*Sapleza,82,82,0,0,273,137,136,101
78,38,10,988,,1,*Uttar Lakshmipasha,117,117,0,0,558,258,300,86
78,38,11,,,,Baga Union Total,4859,4853,0,6,22559,10637,11922,89
78,38,11,076,,1,*Baga,459,458,0,1,2206,1113,1093,102
78,38,11,111,,1,*Bamnikati,316,315,0,1,1552,718,834,86
78,38,11,118,,1,*Banajora,306,306,0,0,1419,703,716,98
78,38,11,215,,1,*Chabua,88,88,0,0,446,221,225,98
78,38,11,222,,1,*Chandpal,164,163,0,1,764,350,414,85
78,38,11,473,,1,*Dhaurabhanga,265,265,0,0,1265,606,659,92
78,38,11,647,,1,*Kaukhali,413,413,0,0,1873,824,1049,79
78,38,11,693,,1,*Madhabpur (Part),321,321,0,0,1448,698,750,93
78,38,11,693,01,1,Balia,166,166,0,0,729,349,380,92
78,38,11,693,02,1,Chandan Baria,155,155,0,0,719,349,370,94
78,38,11,821,,1,*Paschim Kayna,206,205,0,1,900,403,497,81
78,38,11,848,,1,*Rajnagar,1141,1139,0,2,5405,2590,2815,92
78,38,11,890,,1,*Sabupur,754,754,0,0,3437,1544,1893,82
78,38,11,890,01,1,Sabupur (Part),653,653,0,0,3014,1336,1678,80
78,38,11,890,02,1,Dasher Haowla,101,101,0,0,423,208,215,97
78,38,11,904,,1,*Sannyasikanda,186,186,0,0,829,394,435,91
78,38,11,911,,1,*Saplakhali,240,240,0,0,1015,473,542,87
78,38,29,,,,Bauphal Union Total,4716,4709,0,7,21094,9978,11116,90
78,38,29,,,1,Bauphal Union,4459,4452,0,7,19952,9447,10505,90
78,38,29,,,3,Bauphal Union,257,257,0,0,1142,531,611,87
78,38,29,027,,1,*Alipura,531,531,0,0,2400,1138,1262,90
78,38,29,166,,3,*Bauphal (Part),257,257,0,0,1142,531,611,87
78,38,29,201,,1,*Bil Bilas (Part),1746,1741,0,5,7750,3629,4121,88
78,38,29,424,,1,*Dakshin Hosnabad,176,176,0,0,888,410,478,86
78,38,29,535,,1,*Gosinga,988,988,0,0,4302,2111,2191,96
78,38,29,556,,1,*Jauta,855,853,0,2,3928,1835,2093,88
78,38,29,654,,1,*Kayna,163,163,0,0,684,324,360,90
78,38,35,,,,Daspara Union Total,4035,4032,1,2,19052,9296,9756,95
78,38,35,,,1,Daspara Union,3125,3123,1,1,14713,7158,7555,95
78,38,35,,,3,Daspara Union,910,909,0,1,4339,2138,2201,97
78,38,35,090,,1,*Bahir Daspara,699,698,1,0,3233,1529,1704,90
78,38,35,243,,1,*Char Algi,456,456,0,0,2162,1028,1134,91
78,38,35,445,,3,*Daspara (Part),910,909,0,1,4339,2138,2201,97
78,38,35,667,,1,*Khajurbaria,1970,1969,0,1,9318,4601,4717,98
78,38,41,,,,Dhulia Union Total,3991,3987,1,3,16841,8326,8515,98
78,38,41,013,,1,*Adhbaral,9,9,0,0,44,22,22,100
78,38,41,034,,1,*Aloki Chandkati,464,464,0,0,1831,903,928,97
78,38,41,230,,1,*Chandkati,941,940,0,1,3976,1945,2031,96
78,38,41,246,,1,*Basudebpasha,36,36,0,0,136,73,63,116
78,38,41,257,,1,*Char Basudebpasha,180,180,0,0,730,410,320,128
78,38,41,278,,1,*Char Chandkati,240,240,0,0,999,469,530,88
78,38,41,480,,1,*Dhulia,375,374,1,0,1776,932,844,110
78,38,41,521,,1,*Ghurchakati,1221,1219,0,2,5124,2471,2653,93
78,38,41,521,01,1,Ghurchakati,780,780,0,0,3243,1582,1661,95
78,38,41,521,02,1,Jamolkati,441,439,0,2,1881,889,992,90
78,38,41,737,,1,*Mathbaria,270,270,0,0,1150,565,585,97
78,38,41,960,,1,*Tentulia,19,19,0,0,87,45,42,107
78,38,41,974,,1,*Uttar Hosnabad,236,236,0,0,988,491,497,99
78,38,47,,,,Kanchi Para Union Total,3950,3944,0,6,16436,7675,8761,88
78,38,47,041,,1,*Amarkhali,240,240,0,0,1029,472,557,85
78,38,47,055,,1,*Anarasia,150,149,0,1,674,308,366,84
78,38,47,354,,1,*Char Raghunathdi,120,116,0,4,533,256,277,92
78,38,47,382,,1,*Chhatrakanda,355,355,0,0,1296,592,704,84
78,38,47,452,,1,*Deopaskia,111,111,0,0,504,245,259,95
78,38,47,570,,1,*Kanchi Para,1206,1205,0,1,5018,2378,2640,90
78,38,47,619,,1,*Karkhana,841,841,0,0,3290,1528,1762,87
78,38,47,619,01,1,Karkhana,390,390,0,0,1729,790,939,84
