0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
78,,,,,,Patuakhali Zila Total,345113,2.6,5.7,86.6,5.0,23.9,47.5,25.3,3.4
78,,,,,1,Patuakhali Zila,300605,1.2,3.6,89.7,5.5,20.6,49.0,26.6,3.7
78,,,,,2,Patuakhali Zila,27258,16.5,25.3,56.4,1.8,46.9,35.8,16.5,0.8
78,,,,,3,Patuakhali Zila,17250,5.8,11.3,81.3,1.5,44.3,38.7,15.8,1.2
78,38,,,,,Bauphal Upazila Total,67663,2.2,5.7,91.3,0.8,19.3,50.7,28.5,1.5
78,38,,,,1,Bauphal Upazila,63988,1.8,5.0,92.4,0.8,18.3,51.0,29.2,1.6
78,38,,,,2,Bauphal Upazila,2509,12.5,25.7,61.1,0.6,46.4,38.7,14.7,0.2
78,38,,,,3,Bauphal Upazila,1166,1.8,3.5,94.4,0.3,14.8,61.7,22.7,0.8
78,38,,,,2,Bauphal Paurashava,2509,12.5,25.7,61.1,0.6,46.4,38.7,14.7,0.2
78,38,01,,,,Ward No-01 Total,140,6.4,19.3,67.1,7.1,40.7,59.3,0.0,0.0
78,38,01,201,,2,*Bil Bilas (Part),140,6.4,19.3,67.1,7.1,40.7,59.3,0.0,0.0
78,38,02,,,,Ward No-02 Total,200,17.5,37.5,45.0,0.0,52.5,43.5,2.5,1.5
78,38,02,166,,2,*Bauphal (Part),82,23.2,45.1,31.7,0.0,64.6,35.4,0.0,0.0
78,38,02,229,,2,*Chandapara (Part),118,13.6,32.2,54.2,0.0,44.1,49.2,4.2,2.5
78,38,03,,,,Ward No-03 Total,395,7.6,26.1,66.3,0.0,50.4,49.1,0.3,0.3
78,38,03,166,,2,*Bauphal (Part),395,7.6,26.1,66.3,0.0,50.4,49.1,0.3,0.3
78,38,04,,,,Ward No-04 Total,362,13.0,38.4,48.6,0.0,99.4,0.6,0.0,0.0
78,38,04,166,,2,*Bauphal (Part),362,13.0,38.4,48.6,0.0,99.4,0.6,0.0,0.0
78,38,05,,,,Ward No-05 Total,189,2.6,13.2,84.1,0.0,13.8,84.7,1.6,0.0
78,38,05,166,,2,*Bauphal (Part),189,2.6,13.2,84.1,0.0,13.8,84.7,1.6,0.0
78,38,06,,,,Ward No-06 Total,178,0.0,6.7,92.7,0.6,97.2,1.7,1.1,0.0
78,38,06,445,,2,*Daspara (Part),178,0.0,6.7,92.7,0.6,97.2,1.7,1.1,0.0
78,38,07,,,,Ward No-07 Total,497,22.7,22.3,54.7,0.2,30.8,26.4,42.9,0.0
78,38,07,445,,2,*Daspara (Part),497,22.7,22.3,54.7,0.2,30.8,26.4,42.9,0.0
78,38,08,,,,Ward No-08 Total,183,8.2,45.9,45.9,0.0,23.5,44.8,31.7,0.0
78,38,08,772,,2,*Nazirpur (Part),183,8.2,45.9,45.9,0.0,23.5,44.8,31.7,0.0
78,38,09,,,,Ward No-09 Total,365,16.4,18.9,63.6,1.1,13.4,62.5,23.8,0.3
78,38,09,445,,2,*Daspara (Part),365,16.4,18.9,63.6,1.1,13.4,62.5,23.8,0.3
78,38,10,,,,Adabaria Union Total,3779,2.0,6.7,91.2,0.2,32.4,45.6,18.5,3.5
78,38,10,006,,1,*Adabaria,1182,1.4,7.5,90.9,0.1,31.0,49.2,17.4,2.4
78,38,10,006,01,1,Adabaria,335,0.3,6.6,92.8,0.3,34.9,29.9,34.6,0.6
78,38,10,006,02,1,Gulithamouj,150,1.3,2.0,96.7,0.0,0.0,99.3,0.0,0.7
78,38,10,006,03,1,Dakshin Madhabpur,406,2.0,10.3,87.7,0.0,15.0,68.0,13.8,3.2
78,38,10,006,04,1,Uttar Madhabpur,291,2.1,7.6,90.4,0.0,64.6,19.6,11.7,4.1
78,38,10,062,,1,*Atashkhali,567,0.5,3.5,95.8,0.2,26.5,41.1,22.8,9.7
78,38,10,438,,1,*Dakshin Lakshmipasha,406,3.4,9.6,86.7,0.2,14.8,82.5,2.7,0.0
78,38,10,633,,1,*Kashipur,276,4.7,9.1,86.2,0.0,11.6,63.4,25.0,0.0
78,38,10,695,,1,*Madhabpur (Part),334,1.5,9.0,88.6,0.9,25.7,40.1,27.5,6.6
78,38,10,702,,1,*Mahasradhi,695,3.2,4.3,92.5,0.0,53.8,23.7,18.8,3.6
78,38,10,890,,1,*Sabupur (Part),120,0.8,7.5,91.7,0.0,28.3,32.5,39.2,0.0
78,38,10,918,,1,*Sapleza,82,0.0,11.0,89.0,0.0,52.4,31.7,15.9,0.0
78,38,10,988,,1,*Uttar Lakshmipasha,117,0.0,0.9,99.1,0.0,67.5,30.8,0.9,0.9
78,38,11,,,,Baga Union Total,4853,2.1,5.0,92.8,0.1,13.6,46.4,38.7,1.3
78,38,11,076,,1,*Baga,458,7.6,15.5,76.6,0.2,19.7,61.6,17.9,0.9
78,38,11,111,,1,*Bamnikati,315,0.0,1.9,98.1,0.0,0.6,58.1,41.0,0.3
78,38,11,118,,1,*Banajora,306,2.9,5.9,91.2,0.0,61.1,38.6,0.3,0.0
78,38,11,215,,1,*Chabua,88,1.1,0.0,98.9,0.0,8.0,86.4,5.7,0.0
78,38,11,222,,1,*Chandpal,163,0.6,7.4,92.0,0.0,16.0,38.7,42.9,2.5
78,38,11,473,,1,*Dhaurabhanga,265,1.1,7.9,90.6,0.4,5.3,29.8,64.5,0.4
78,38,11,647,,1,*Kaukhali,413,1.0,1.0,98.1,0.0,0.0,31.2,64.9,3.9
78,38,11,693,,1,*Madhabpur (Part),321,0.6,8.4,91.0,0.0,33.6,42.7,23.7,0.0
78,38,11,693,01,1,Balia,166,1.2,16.3,82.5,0.0,10.8,81.3,7.8,0.0
78,38,11,693,02,1,Chandan Baria,155,0.0,0.0,100.0,0.0,58.1,1.3,40.6,0.0
78,38,11,821,,1,*Paschim Kayna,205,1.0,6.3,92.7,0.0,11.2,69.8,18.0,1.0
78,38,11,848,,1,*Rajnagar,1139,2.2,4.3,93.5,0.0,4.2,41.9,53.6,0.3
78,38,11,890,,1,*Sabupur,754,2.0,1.5,96.3,0.3,10.1,56.5,33.0,0.4
78,38,11,890,01,1,Sabupur (Part),653,2.1,1.7,95.9,0.3,9.5,56.4,33.7,0.5
78,38,11,890,02,1,Dasher Haowla,101,1.0,0.0,99.0,0.0,13.9,57.4,28.7,0.0
78,38,11,904,,1,*Sannyasikanda,186,0.0,2.2,96.8,1.1,8.1,5.9,74.7,11.3
78,38,11,911,,1,*Saplakhali,240,1.3,2.1,96.7,0.0,26.7,53.8,16.7,2.9
78,38,29,,,,Bauphal Union Total,4709,1.6,3.7,94.5,0.2,15.4,58.6,25.1,0.9
78,38,29,,,1,Bauphal Union,4452,1.6,3.7,94.5,0.2,16.0,56.6,26.5,1.0
78,38,29,,,3,Bauphal Union,257,1.6,3.1,95.3,0.0,5.1,93.8,1.2,0.0
78,38,29,027,,1,*Alipura,531,1.5,0.6,97.9,0.0,9.0,34.3,53.9,2.8
78,38,29,166,,3,*Bauphal (Part),257,1.6,3.1,95.3,0.0,5.1,93.8,1.2,0.0
78,38,29,201,,1,*Bil Bilas (Part),1741,2.4,5.1,92.4,0.2,15.4,68.5,15.1,1.0
78,38,29,424,,1,*Dakshin Hosnabad,176,0.6,5.1,94.3,0.0,38.6,51.7,9.7,0.0
78,38,29,535,,1,*Gosinga,988,1.4,4.0,94.2,0.3,23.6,54.0,21.8,0.6
78,38,29,556,,1,*Jauta,853,0.9,2.2,96.6,0.2,3.4,49.7,46.4,0.5
78,38,29,654,,1,*Kayna,163,0.6,3.1,96.3,0.0,39.9,59.5,0.6,0.0
78,38,35,,,,Daspara Union Total,4032,1.2,3.1,95.5,0.3,24.4,49.8,24.0,1.8
78,38,35,,,1,Daspara Union,3123,1.0,2.9,95.9,0.3,26.4,49.0,22.6,2.0
78,38,35,,,3,Daspara Union,909,1.9,3.6,94.2,0.3,17.5,52.7,28.8,1.0
78,38,35,090,,1,*Bahir Daspara,698,0.4,1.9,97.3,0.4,23.5,49.4,23.5,3.6
78,38,35,243,,1,*Char Algi,456,0.0,0.2,99.8,0.0,13.6,57.2,27.6,1.5
78,38,35,445,,3,*Daspara (Part),909,1.9,3.6,94.2,0.3,17.5,52.7,28.8,1.0
78,38,35,667,,1,*Khajurbaria,1969,1.4,3.9,94.5,0.3,30.5,46.9,21.1,1.5
78,38,41,,,,Dhulia Union Total,3987,0.9,3.5,94.6,1.0,41.9,48.9,9.1,0.1
78,38,41,013,,1,*Adhbaral,9,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
78,38,41,034,,1,*Aloki Chandkati,464,1.1,3.2,95.7,0.0,40.1,57.3,2.6,0.0
78,38,41,230,,1,*Chandkati,940,0.7,6.8,91.8,0.6,57.1,42.3,0.5,0.0
78,38,41,246,,1,*Basudebpasha,36,0.0,0.0,100.0,0.0,0.0,8.3,91.7,0.0
78,38,41,257,,1,*Char Basudebpasha,180,0.0,0.0,100.0,0.0,0.6,50.6,48.9,0.0
78,38,41,278,,1,*Char Chandkati,240,1.3,1.7,97.1,0.0,3.8,95.8,0.0,0.4
78,38,41,480,,1,*Dhulia,374,0.3,0.3,97.9,1.6,31.8,59.1,9.1,0.0
78,38,41,521,,1,*Ghurchakati,1219,1.1,3.9,92.9,2.2,44.3,41.9,13.5,0.2
78,38,41,521,01,1,Ghurchakati,780,0.8,4.5,92.7,2.1,36.3,43.7,19.7,0.3
78,38,41,521,02,1,Jamolkati,439,1.6,2.7,93.2,2.5,58.5,38.7,2.5,0.2
78,38,41,737,,1,*Mathbaria,270,0.4,0.7,98.9,0.0,91.1,0.0,8.9,0.0
78,38,41,960,,1,*Tentulia,19,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
78,38,41,974,,1,*Uttar Hosnabad,236,2.5,3.0,94.5,0.0,2.1,97.0,0.8,0.0
78,38,47,,,,Kanchi Para Union Total,3944,1.5,7.9,87.7,2.9,13.0,42.9,42.9,1.2
78,38,47,041,,1,*Amarkhali,240,0.0,2.5,97.5,0.0,1.3,49.6,49.2,0.0
78,38,47,055,,1,*Anarasia,149,2.0,3.4,92.6,2.0,5.4,0.7,92.6,1.3
78,38,47,354,,1,*Char Raghunathdi,116,5.2,18.1,76.7,0.0,8.6,44.8,44.8,1.7
78,38,47,382,,1,*Chhatrakanda,355,0.6,4.5,93.8,1.1,45.9,38.0,16.1,0.0
78,38,47,452,,1,*Deopaskia,111,0.9,6.3,92.8,0.0,2.7,82.0,15.3,0.0
78,38,47,570,,1,*Kanchi Para,1205,2.6,12.9,80.1,4.4,8.7,57.3,33.1,0.8
78,38,47,619,,1,*Karkhana,841,0.8,5.8,93.3,0.0,16.4,34.7,48.9,0.0
78,38,47,619,01,1,Karkhana,390,1.0,6.9,92.1,0.0,26.4,46.7,26.9,0.0
78,38,47,619,02,1,Suradi,116,0.9,0.0,99.1,0.0,2.6,0.9,96.6,0.0
78,38,47,619,03,1,Dariabad,115,0.9,4.3,94.8,0.0,0.9,46.1,53.0,0.0
78,38,47,619,04,1,Arazi Baultala,100,0.0,5.0,95.0,0.0,17.0,1.0,82.0,0.0
78,38,47,619,05,1,Bazar Khola,120,0.8,10.0,89.2,0.0,11.7,45.8,42.5,0.0
78,38,47,730,,1,*Mandarban,267,0.7,3.4,85.0,10.9,7.1,39.7,53.2,0.0
78,38,47,807,,1,*Pakdal,660,1.1,6.5,88.6,3.8,9.7,31.1,54.4,4.8
78,38,53,,,,Kalaiya Union Total,5515,2.7,6.4,90.5,0.5,21.4,46.4,29.7,2.4
78,38,53,180,,1,*Baze Sandwip,92,2.2,1.1,94.6,2.2,3.3,1.1,95.7,0.0
78,38,53,487,,1,*Diarakachua,316,8.9,1.6,88.3,1.3,13.3,59.5,26.6,0.6
