0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
79,,,,,,Pirojpur Zila Total,1113257,9.6,12.2,12.1,8.5,7.9,8.1,24.4,7.3,3.3,6.5
79,,,,,1,Pirojpur Zila,930626,9.8,12.5,12.1,8.4,7.8,8.0,24.0,7.4,3.4,6.7
79,,,,,2,Pirojpur Zila,98450,8.8,10.5,12.0,9.3,9.0,9.1,26.4,6.8,2.7,5.5
79,,,,,3,Pirojpur Zila,84181,9.1,11.3,12.0,9.2,8.4,8.7,25.6,7.2,3.0,5.6
79,14,,,,,Bhandaria Upazila Total,148159,10.2,12.9,13.0,8.5,7.4,7.7,23.6,7.1,3.4,6.2
79,14,,,,1,Bhandaria Upazila,122899,10.4,13.2,13.1,8.5,7.2,7.5,23.2,7.1,3.5,6.4
79,14,,,,3,Bhandaria Upazila,25260,9.5,11.6,12.4,8.9,8.4,8.9,25.4,6.9,2.8,5.1
79,14,11,,,,Bhandaria Union Total,25782,9.7,11.9,12.6,9.0,8.1,8.7,24.7,6.9,2.9,5.5
79,14,11,,,1,Bhandaria Union,5146,10.3,11.9,13.3,9.4,7.0,7.5,23.4,7.1,3.1,7.1
79,14,11,,,3,Bhandaria Union,20636,9.6,11.9,12.4,8.9,8.4,8.9,25.0,6.9,2.8,5.1
79,14,11,080,,3,*Bhandaria,18396,9.6,12.0,12.6,9.0,8.2,8.9,25.0,6.9,2.7,4.9
79,14,11,080,01,3,Bhandaria,8091,9.1,11.4,11.9,8.8,8.4,9.5,27.4,6.7,2.4,4.4
79,14,11,080,02,3,Uttar Purba Bhandaria,3386,10.8,13.8,13.8,8.6,8.1,7.7,21.7,6.9,3.5,5.2
79,14,11,080,03,3,Purba Bhandaria,1858,9.6,11.9,14.6,10.4,7.3,7.4,23.2,6.5,2.6,6.3
79,14,11,080,04,3,Dakshin Purba Bhandaria,2322,10.0,11.8,11.7,9.3,7.9,9.5,23.8,7.3,3.4,5.3
79,14,11,080,05,3,Dakshin Bhandaria,2739,9.3,12.0,12.3,9.1,8.9,9.2,24.6,7.5,2.4,4.6
79,14,11,349,,1,*Gazipur,2375,10.4,13.1,14.1,9.2,5.1,7.3,24.0,5.9,3.5,7.5
79,14,11,510,,1,*Kanua,2771,10.2,10.9,12.6,9.6,8.5,7.7,22.9,8.0,2.8,6.8
79,14,11,510,01,1,Choto Kanua,1656,10.4,11.7,12.6,8.5,8.3,8.0,23.1,8.5,2.1,6.8
