0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
79,,,,,,Pirojpur Zila Total,4791,4716,33334,32474,59831,58089,12823,10974,42802,44748,9839,5267
79,,,,,1,Pirojpur Zila,3886,3865,28629,27843,50612,49385,11291,9550,35130,37638,8412,4473
79,,,,,2,Pirojpur Zila,590,533,2399,2316,4948,4547,759,645,4401,3709,692,387
79,,,,,3,Pirojpur Zila,315,318,2306,2315,4271,4157,773,779,3271,3401,735,407
79,14,,,,,Bhandaria Upazila Total,572,551,4814,4826,8637,8155,1748,1574,6294,6336,1232,742
79,14,,,,1,Bhandaria Upazila,435,427,4134,4093,7200,6845,1570,1375,5252,5339,1028,616
79,14,,,,3,Bhandaria Upazila,137,124,680,733,1437,1310,178,199,1042,997,204,126
79,14,11,,,,Bhandaria Union Total,141,131,705,760,1528,1355,190,196,1069,1028,230,124
79,14,11,,,1,Bhandaria Union,19,19,150,177,306,270,52,34,232,220,52,14
79,14,11,,,3,Bhandaria Union,122,112,555,583,1222,1085,138,162,837,808,178,110
79,14,11,080,,3,*Bhandaria,99,105,495,518,1108,956,129,152,759,726,164,100
79,14,11,080,01,3,Bhandaria,50,54,195,209,450,398,48,61,331,325,58,39
79,14,11,080,02,3,Uttar Purba Bhandaria,12,15,114,142,232,167,38,49,142,142,44,23
79,14,11,080,03,3,Purba Bhandaria,4,9,54,45,116,110,8,11,97,88,22,5
79,14,11,080,04,3,Dakshin Purba Bhandaria,14,8,62,63,142,123,17,18,81,78,16,14
79,14,11,080,05,3,Dakshin Bhandaria,19,19,70,59,168,158,18,13,108,93,24,19
79,14,11,349,,1,*Gazipur,13,13,73,83,148,133,17,18,125,114,21,4
79,14,11,510,,1,*Kanua,6,6,77,94,158,137,35,16,107,106,31,10
79,14,11,510,01,1,Choto Kanua,2,4,44,61,101,89,16,6,64,68,17,9
79,14,11,510,02,1,Bhara Kanua,4,1,31,26,41,42,15,9,40,36,13,1
79,14,11,510,03,1,Kanua Gussogram,0,1,2,7,16,6,4,1,3,2,1,0
79,14,11,537,,3,*Lakshmipura,23,7,60,65,114,129,9,10,78,82,14,10
79,14,23,,,,Bhitabaria Union Total,39,36,504,490,839,854,195,164,630,727,124,56
79,14,23,215,,1,*Dakshin Bhitabaria,17,16,157,149,260,270,68,47,197,223,56,18
79,14,23,618,,1,*Medirabad Tarabunia,0,1,55,53,82,80,12,9,58,64,6,6
79,14,23,887,,1,*Shialkati,11,6,161,167,269,283,62,64,207,246,39,22
79,14,23,994,,1,*Uttar Bhitabaria,11,13,131,121,228,221,53,44,168,194,23,10
79,14,35,,,,Dhaoa Union Total,92,82,586,552,1171,1033,183,182,898,865,136,76
79,14,35,295,,1,*Dhaoa,44,42,247,250,566,467,87,98,418,389,76,39
79,14,35,806,,1,*Purba Pasuribunia,30,23,170,146,322,312,53,39,254,261,34,19
79,14,35,860,,1,*Rajapasha,18,17,169,156,283,254,43,45,226,215,26,18
79,14,47,,,,Gauripur Union Total,52,74,704,655,1129,1149,254,299,981,956,128,73
79,14,47,242,,1,*Dakshin Charail,2,4,74,82,127,108,26,42,119,82,17,12
79,14,47,389,,1,*Gauripur,8,12,108,109,190,203,38,43,170,175,24,12
79,14,47,564,,1,*Madhabpura,4,0,9,10,14,15,1,0,14,10,0,1
79,14,47,591,,1,*Matibhanga,5,18,168,114,230,229,54,59,192,190,24,17
79,14,47,672,,1,*Nalbania (New Nalbunia),0,0,25,15,20,19,3,7,9,20,4,2
79,14,47,699,,1,*Nayakhali,4,7,16,25,47,49,5,3,44,34,4,0
79,14,47,726,,1,*Paikkhali,3,2,166,181,274,267,85,84,245,246,28,16
79,14,47,726,01,1,Uttor Paikkhali,1,1,86,96,97,111,50,45,117,110,13,10
79,14,47,726,02,1,Paikkhali,2,1,80,85,177,156,35,39,128,136,15,6
79,14,47,779,,1,*Patlakhali,0,0,11,4,11,17,2,5,8,7,2,0
79,14,47,833,,1,*Radhanagar,25,24,33,41,105,109,4,19,82,84,11,3
79,14,47,914,,1,*Sreepur,1,7,44,44,64,70,23,19,54,49,4,6
79,14,47,914,01,1,Sreepur,1,6,35,37,53,55,22,18,50,42,3,6
79,14,47,914,02,1,Sreepur Gussogram,0,1,9,7,11,15,1,1,4,7,1,0
79,14,47,968,,1,*Tewaripur,0,0,50,30,47,63,13,18,44,59,10,4
79,14,59,,,,Ikri Union Total,71,79,729,703,1180,1224,278,198,854,834,159,109
79,14,59,026,,1,*Atarkhali,11,16,186,172,247,276,70,56,189,178,30,23
79,14,59,053,,1,*Betagi Singhakhali,20,16,149,156,237,261,69,49,174,154,50,25
79,14,59,107,,1,*Bothla,6,9,58,55,112,108,14,10,70,67,12,6
79,14,59,430,,1,*Ikri,33,32,240,237,435,437,75,51,303,310,46,38
79,14,59,752,,1,*Paschim Pasuribunia,1,6,96,83,149,142,50,32,118,125,21,17
79,14,71,,,,Nudmulla Union Total,75,56,717,798,1365,1248,242,200,1010,998,168,98
79,14,71,,,1,Nudmulla Union,60,44,592,648,1150,1023,202,163,805,809,142,82
79,14,71,,,3,Nudmulla Union,15,12,125,150,215,225,40,37,205,189,26,16
79,14,71,134,,1,*Char Khali,2,7,96,125,224,178,53,35,133,164,35,13
79,14,71,161,,1,*Chauaria,3,8,45,50,107,69,13,14,145,61,11,3
79,14,71,188,,1,*Chingaria Bhitabaria,12,3,81,100,155,144,18,28,113,125,20,10
79,14,71,268,,3,*Dakshin Shialkati,15,12,125,150,215,225,40,37,205,189,26,16
79,14,71,403,,1,*Hetalia,19,14,140,136,256,230,44,26,151,171,25,28
79,14,71,645,,1,*Nadmula,24,12,230,237,408,402,74,60,263,288,51,28
79,14,83,,,,Telikhali Union Total,102,93,869,868,1425,1292,406,335,852,928,287,206
79,14,83,376,,1,*Golbunia,14,13,156,162,336,255,57,50,173,204,38,27
79,14,83,457,,1,*Junia,22,20,210,211,315,309,119,74,195,225,61,58
79,14,83,484,,1,*Junia Haripagla,20,24,230,250,317,332,136,116,220,198,94,66
79,14,83,941,,1,*Telikhali,46,36,273,245,457,396,94,95,264,301,94,55
79,47,,,,,Kawkhali Upazila Total,261,257,1936,1914,3631,3458,803,631,2774,2861,594,301
