0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
79,,,,,,Pirojpur Zila Total,1113257,2.0,0.3,0.4,0.2,0.9,0.2,0.1
79,,,,,1,Pirojpur Zila,930626,2.1,0.3,0.4,0.2,0.9,0.2,0.1
79,,,,,2,Pirojpur Zila,98450,1.2,0.2,0.1,0.1,0.5,0.2,0.1
79,,,,,3,Pirojpur Zila,84181,1.6,0.3,0.3,0.1,0.7,0.2,0.1
79,14,,,,,Bhandaria Upazila Total,148159,3.0,0.2,0.6,0.2,1.7,0.2,0.1
79,14,,,,1,Bhandaria Upazila,122899,3.3,0.2,0.6,0.3,1.9,0.2,0.1
79,14,,,,3,Bhandaria Upazila,25260,1.7,0.2,0.3,0.1,0.8,0.2,0.2
79,14,11,,,,Bhandaria Union Total,25782,1.8,0.2,0.3,0.1,0.8,0.2,0.1
79,14,11,,,1,Bhandaria Union,5146,2.0,0.2,0.3,0.2,1.0,0.3,0.1
79,14,11,,,3,Bhandaria Union,20636,1.8,0.2,0.3,0.1,0.8,0.2,0.2
79,14,23,,,,Bhitabaria Union Total,15361,1.1,0.2,0.2,0.1,0.4,0.2,0.1
79,14,35,,,,Dhaoa Union Total,19481,2.4,0.2,0.6,0.4,1.1,0.2,0.0
79,14,47,,,,Gauripur Union Total,20408,1.3,0.2,0.2,0.1,0.6,0.2,0.1
79,14,59,,,,Ikri Union Total,21070,4.9,0.2,1.5,0.6,2.3,0.2,0.1
79,14,71,,,,Nudmulla Union Total,22355,1.7,0.2,0.4,0.1,0.7,0.2,0.1
79,14,71,,,1,Nudmulla Union,17731,1.7,0.2,0.4,0.1,0.7,0.2,0.1
79,14,71,,,3,Nudmulla Union,4624,1.7,0.2,0.3,0.1,0.8,0.2,0.1
79,14,83,,,,Telikhali Union Total,23702,7.1,0.3,0.8,0.4,5.3,0.2,0.2
79,47,,,,,Kawkhali Upazila Total,70130,1.8,0.3,0.3,0.2,0.7,0.2,0.1
