0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
79,,,,,,Pirojpur Zila Total,45247,42146,3101,29584,1055,2767,325,9795,1721
79,,,,,1,Pirojpur Zila,40077,37527,2550,28202,978,2383,285,6942,1287
79,,,,,2,Pirojpur Zila,2924,2588,336,679,32,191,14,1718,290
79,,,,,3,Pirojpur Zila,2246,2031,215,703,45,193,26,1135,144
79,14,,,,,Bhandaria Upazila Total,6402,6097,305,4114,118,521,39,1462,148
79,14,,,,1,Bhandaria Upazila,5640,5402,238,3949,116,479,30,974,92
79,14,,,,3,Bhandaria Upazila,762,695,67,165,2,42,9,488,56
79,14,11,,,,Bhandaria Union Total,806,742,64,184,7,39,7,519,50
79,14,11,,,1,Bhandaria Union,195,188,7,73,5,11,0,104,2
79,14,11,,,3,Bhandaria Union,611,554,57,111,2,28,7,415,48
79,14,11,080,,3,*Bhandaria,573,518,55,108,1,25,7,385,47
79,14,11,080,01,3,Bhandaria,201,166,35,13,0,6,5,147,30
79,14,11,080,02,3,Uttar Purba Bhandaria,149,142,7,46,1,5,0,91,6
79,14,11,080,03,3,Purba Bhandaria,33,32,1,17,0,2,0,13,1
79,14,11,080,04,3,Dakshin Purba Bhandaria,86,82,4,27,0,6,0,49,4
79,14,11,080,05,3,Dakshin Bhandaria,104,96,8,5,0,6,2,85,6
79,14,11,349,,1,*Gazipur,91,89,2,36,1,1,0,52,1
79,14,11,510,,1,*Kanua,104,99,5,37,4,10,0,52,1
79,14,11,510,01,1,Choto Kanua,63,63,0,14,0,10,0,39,0
79,14,11,510,02,1,Bhara Kanua,32,27,5,14,4,0,0,13,1
79,14,11,510,03,1,Kanua Gussogram,9,9,0,9,0,0,0,0,0
79,14,11,537,,3,*Lakshmipura,38,36,2,3,1,3,0,30,1
79,14,23,,,,Bhitabaria Union Total,522,500,22,256,9,41,0,203,13
79,14,23,215,,1,*Dakshin Bhitabaria,242,237,5,100,1,7,0,130,4
79,14,23,618,,1,*Medirabad Tarabunia,39,38,1,30,1,0,0,8,0
79,14,23,887,,1,*Shialkati,164,154,10,80,5,23,0,51,5
79,14,23,994,,1,*Uttar Bhitabaria,77,71,6,46,2,11,0,14,4
79,14,35,,,,Dhaoa Union Total,612,588,24,458,12,57,2,73,10
79,14,35,295,,1,*Dhaoa,380,363,17,296,6,19,1,48,10
79,14,35,806,,1,*Purba Pasuribunia,133,129,4,81,3,28,1,20,0
79,14,35,860,,1,*Rajapasha,99,96,3,81,3,10,0,5,0
79,14,47,,,,Gauripur Union Total,604,557,47,310,15,37,2,210,30
79,14,47,242,,1,*Dakshin Charail,117,111,6,72,1,3,0,36,5
79,14,47,389,,1,*Gauripur,132,123,9,49,0,29,1,45,8
79,14,47,564,,1,*Madhabpura,0,0,0,0,0,0,0,0,0
79,14,47,591,,1,*Matibhanga,104,96,8,74,3,3,1,19,4
79,14,47,672,,1,*Nalbania (New Nalbunia),13,13,0,13,0,0,0,0,0
79,14,47,699,,1,*Nayakhali,29,27,2,9,0,1,0,17,2
79,14,47,726,,1,*Paikkhali,106,103,3,29,0,1,0,73,3
79,14,47,726,01,1,Uttor Paikkhali,61,61,0,20,0,0,0,41,0
79,14,47,726,02,1,Paikkhali,45,42,3,9,0,1,0,32,3
79,14,47,779,,1,*Patlakhali,24,18,6,17,6,0,0,1,0
79,14,47,833,,1,*Radhanagar,50,45,5,34,5,0,0,11,0
79,14,47,914,,1,*Sreepur,29,21,8,13,0,0,0,8,8
79,14,47,914,01,1,Sreepur,20,18,2,13,0,0,0,5,2
79,14,47,914,02,1,Sreepur Gussogram,9,3,6,0,0,0,0,3,6
79,14,47,968,,1,*Tewaripur,0,0,0,0,0,0,0,0,0
79,14,59,,,,Ikri Union Total,970,940,30,808,12,40,1,92,17
79,14,59,026,,1,*Atarkhali,206,195,11,152,4,13,1,30,6
79,14,59,053,,1,*Betagi Singhakhali,347,336,11,296,5,11,0,29,6
79,14,59,107,,1,*Bothla,114,113,1,108,0,3,0,2,1
79,14,59,430,,1,*Ikri,253,248,5,215,2,10,0,23,3
79,14,59,752,,1,*Paschim Pasuribunia,50,48,2,37,1,3,0,8,1
79,14,71,,,,Nudmulla Union Total,1091,1056,35,683,12,58,3,315,20
79,14,71,,,1,Nudmulla Union,940,915,25,629,12,44,1,242,12
79,14,71,,,3,Nudmulla Union,151,141,10,54,0,14,2,73,8
79,14,71,134,,1,*Char Khali,105,101,4,89,2,4,0,8,2
79,14,71,161,,1,*Chauaria,31,31,0,15,0,2,0,14,0
79,14,71,188,,1,*Chingaria Bhitabaria,172,166,6,98,0,14,0,54,6
79,14,71,268,,3,*Dakshin Shialkati,151,141,10,54,0,14,2,73,8
79,14,71,403,,1,*Hetalia,163,159,4,99,4,1,0,59,0
79,14,71,645,,1,*Nadmula,469,458,11,328,6,23,1,107,4
79,14,83,,,,Telikhali Union Total,1797,1714,83,1415,51,249,24,50,8
79,14,83,376,,1,*Golbunia,280,276,4,234,3,41,1,1,0
79,14,83,457,,1,*Junia,322,315,7,260,2,50,3,5,2
