0,1,2,3,4,5,6,7,8,9,10,11,12
79,,,,,,Pirojpur Zila Total,1113257,925895,186865,216,210,71
79,,,,,1,Pirojpur Zila,930626,769233,160942,186,194,71
79,,,,,2,Pirojpur Zila,98450,83071,15346,17,16,0
79,,,,,3,Pirojpur Zila,84181,73591,10577,13,0,0
79,14,,,,,Bhandaria Upazila Total,148159,134135,14009,15,0,0
79,14,,,,1,Bhandaria Upazila,122899,112411,10482,6,0,0
79,14,,,,3,Bhandaria Upazila,25260,21724,3527,9,0,0
79,14,11,,,,Bhandaria Union Total,25782,22769,3004,9,0,0
79,14,11,,,1,Bhandaria Union,5146,4282,864,0,0,0
79,14,11,,,3,Bhandaria Union,20636,18487,2140,9,0,0
79,14,11,080,,3,*Bhandaria,18396,16386,2005,5,0,0
79,14,11,080,01,3,Bhandaria,8091,7064,1022,5,0,0
79,14,11,080,02,3,Uttar Purba Bhandaria,3386,3250,136,0,0,0
79,14,11,080,03,3,Purba Bhandaria,1858,1766,92,0,0,0
79,14,11,080,04,3,Dakshin Purba Bhandaria,2322,1939,383,0,0,0
79,14,11,080,05,3,Dakshin Bhandaria,2739,2367,372,0,0,0
79,14,11,349,,1,*Gazipur,2375,2113,262,0,0,0
79,14,11,510,,1,*Kanua,2771,2169,602,0,0,0
79,14,11,510,01,1,Choto Kanua,1656,1445,211,0,0,0
79,14,11,510,02,1,Bhara Kanua,991,601,390,0,0,0
79,14,11,510,03,1,Kanua Gussogram,124,123,1,0,0,0
79,14,11,537,,3,*Lakshmipura,2240,2101,135,4,0,0
79,14,23,,,,Bhitabaria Union Total,15361,13150,2211,0,0,0
79,14,23,215,,1,*Dakshin Bhitabaria,5000,4248,752,0,0,0
79,14,23,618,,1,*Medirabad Tarabunia,1550,1038,512,0,0,0
79,14,23,887,,1,*Shialkati,4919,4294,625,0,0,0
79,14,23,994,,1,*Uttar Bhitabaria,3892,3570,322,0,0,0
79,14,35,,,,Dhaoa Union Total,19481,16919,2556,6,0,0
79,14,35,295,,1,*Dhaoa,8939,8314,619,6,0,0
79,14,35,806,,1,*Purba Pasuribunia,5381,4200,1181,0,0,0
79,14,35,860,,1,*Rajapasha,5161,4405,756,0,0,0
79,14,47,,,,Gauripur Union Total,20408,18952,1456,0,0,0
79,14,47,242,,1,*Dakshin Charail,2136,2131,5,0,0,0
79,14,47,389,,1,*Gauripur,3622,3262,360,0,0,0
79,14,47,564,,1,*Madhabpura,204,204,0,0,0,0
79,14,47,591,,1,*Matibhanga,4024,3862,162,0,0,0
79,14,47,672,,1,*Nalbania (New Nalbunia),339,339,0,0,0,0
79,14,47,699,,1,*Nayakhali,798,798,0,0,0,0
79,14,47,726,,1,*Paikkhali,4961,4766,195,0,0,0
79,14,47,726,01,1,Uttor Paikkhali,2285,2276,9,0,0,0
79,14,47,726,02,1,Paikkhali,2676,2490,186,0,0,0
79,14,47,779,,1,*Patlakhali,262,57,205,0,0,0
79,14,47,833,,1,*Radhanagar,1654,1210,444,0,0,0
79,14,47,914,,1,*Sreepur,1305,1220,85,0,0,0
79,14,47,914,01,1,Sreepur,1150,1065,85,0,0,0
79,14,47,914,02,1,Sreepur Gussogram,155,155,0,0,0,0
79,14,47,968,,1,*Tewaripur,1103,1103,0,0,0,0
79,14,59,,,,Ikri Union Total,21070,18720,2350,0,0,0
79,14,59,026,,1,*Atarkhali,4697,3789,908,0,0,0
79,14,59,053,,1,*Betagi Singhakhali,4711,3911,800,0,0,0
79,14,59,107,,1,*Bothla,1716,1651,65,0,0,0
79,14,59,430,,1,*Ikri,7106,6942,164,0,0,0
79,14,59,752,,1,*Paschim Pasuribunia,2840,2427,413,0,0,0
79,14,71,,,,Nudmulla Union Total,22355,20405,1950,0,0,0
79,14,71,,,1,Nudmulla Union,17731,17168,563,0,0,0
79,14,71,,,3,Nudmulla Union,4624,3237,1387,0,0,0
79,14,71,134,,1,*Char Khali,3206,3111,95,0,0,0
79,14,71,161,,1,*Chauaria,1379,1379,0,0,0,0
79,14,71,188,,1,*Chingaria Bhitabaria,2559,2450,109,0,0,0
79,14,71,268,,3,*Dakshin Shialkati,4624,3237,1387,0,0,0
79,14,71,403,,1,*Hetalia,3834,3765,69,0,0,0
79,14,71,645,,1,*Nadmula,6753,6463,290,0,0,0
79,14,83,,,,Telikhali Union Total,23702,23220,482,0,0,0
79,14,83,376,,1,*Golbunia,4759,4593,166,0,0,0
79,14,83,457,,1,*Junia,5297,5287,10,0,0,0
79,14,83,484,,1,*Junia Haripagla,6036,5961,75,0,0,0
79,14,83,941,,1,*Telikhali,7610,7379,231,0,0,0
79,47,,,,,Kawkhali Upazila Total,70130,59418,10705,5,0,2
79,47,,,,1,Kawkhali Upazila,60489,52594,7888,5,0,2
79,47,,,,3,Kawkhali Upazila,9641,6824,2817,0,0,0
79,47,15,,,,Amrajuri Union Total,8526,5050,3476,0,0,0
79,47,15,,,1,Amrajuri Union,5500,2657,2843,0,0,0
79,47,15,,,3,Amrajuri Union,3026,2393,633,0,0,0
79,47,15,043,,1,*Amrajuri,1214,373,841,0,0,0
79,47,15,064,,1,*Asoa,662,662,0,0,0,0
79,47,15,432,,1,*Gandharbba,1191,333,858,0,0,0
79,47,15,432,01,1,Gandharbba,772,333,439,0,0,0
79,47,15,432,02,1,Rongakati,419,0,419,0,0,0
79,47,15,475,,1,*Gopalpur,668,156,512,0,0,0
79,47,15,519,,1,*Harindhara,775,613,162,0,0,0
79,47,15,821,,3,*Purba Amrajuri,3026,2393,633,0,0,0
79,47,15,821,01,3,Purba Amrajuri,844,588,256,0,0,0
79,47,15,821,02,3,Magura,1031,1000,31,0,0,0
79,47,15,821,03,3,Kumian,1151,805,346,0,0,0
79,47,15,951,,1,*Sonakur,990,520,470,0,0,0
79,47,31,,,,Chira Para Parsaturia Union Total,13425,11998,1425,0,0,2
79,47,31,194,,1,*Bekutia,1797,1526,271,0,0,0
79,47,31,237,,1,*Bijoynagar,717,717,0,0,0,0
79,47,31,302,,1,*Chira Para Parsatura,4502,4064,436,0,0,2
79,47,31,302,01,1,Chira Para,3087,2649,436,0,0,2
79,47,31,302,02,1,Parsatura,1415,1415,0,0,0,0
79,47,31,389,,1,*Domjuri,1167,1162,5,0,0,0
79,47,31,605,,1,*Jibka Saturia,1416,1363,53,0,0,0
79,47,31,713,,1,*Kesarta,427,295,132,0,0,0
79,47,31,778,,1,*Nilati,1608,1456,152,0,0,0
79,47,31,973,,1,*Subidpur,1791,1415,376,0,0,0
79,47,47,,,,Kawkhali Union Total,25768,21772,3991,5,0,0
79,47,47,,,1,Kawkhali Union,19153,17341,1807,5,0,0
79,47,47,,,3,Kawkhali Union,6615,4431,2184,0,0,0
79,47,47,021,,1,*Airan Jhaparsi,1761,1760,1,0,0,0
79,47,47,021,01,1,Airan Jhaparsi,711,711,0,0,0,0
79,47,47,021,02,1,Badarpur,409,408,1,0,0,0
79,47,47,021,03,1,Airan,641,641,0,0,0,0
79,47,47,086,,3,*Aspaddi,2090,1701,389,0,0,0
79,47,47,086,01,3,Aspaddi,1707,1386,321,0,0,0
79,47,47,086,02,3,Gandappur,383,315,68,0,0,0
79,47,47,129,,1,*Bara Biraljuri,1372,1370,0,2,0,0
79,47,47,151,,1,*Basuri,1648,1494,154,0,0,0
79,47,47,173,,1,*Baulakanda,480,429,51,0,0,0
79,47,47,259,,1,*Bipra Basuri,185,70,115,0,0,0
79,47,47,281,,1,*Chhota Biraljuri,959,959,0,0,0,0
79,47,47,324,,1,*Daserkati,1616,1590,26,0,0,0
79,47,47,410,,1,*Gandata,959,677,282,0,0,0
79,47,47,497,,1,*Gosantara,682,680,2,0,0,0
79,47,47,584,,1,*Joykul,1124,1124,0,0,0,0
79,47,47,648,,1,*Kachuakati,2846,1841,1002,3,0,0
79,47,47,648,01,1,Kachuakati,2067,1568,496,3,0,0
79,47,47,648,02,1,Balbadrahpur,779,273,506,0,0,0
79,47,47,670,,1,*Kanthalia,1160,1103,57,0,0,0
79,47,47,670,01,1,Kanthalia,757,712,45,0,0,0
79,47,47,670,02,1,Paikaran,403,391,12,0,0,0
79,47,47,692,,1,*Keundia Madhukati,2685,2673,12,0,0,0
79,47,47,692,01,1,Keundia,2640,2637,3,0,0,0
79,47,47,692,02,1,Madahur Kati,45,36,9,0,0,0
79,47,47,735,,1,*Muktarkati,456,456,0,0,0,0
79,47,47,757,,1,*Nanguli,863,766,97,0,0,0
79,47,47,865,,1,*Sapura,357,349,8,0,0,0
79,47,47,994,,3,*Uzial Khan,4525,2730,1795,0,0,0
79,47,47,994,01,3,Uzial Khan,2063,1111,952,0,0,0
79,47,47,994,02,3,Kawkhali Bandar,2462,1619,843,0,0,0
79,47,63,,,,Sayna Raghunathpur Union Total,10941,9349,1592,0,0,0
79,47,63,108,,1,*Banna Kanda,646,421,225,0,0,0
79,47,63,216,,1,*Betka,2722,2692,30,0,0,0
79,47,63,346,,1,*Dhabri,1075,833,242,0,0,0
79,47,63,454,,1,*Goalta,706,706,0,0,0,0
79,47,63,540,,1,*Hogla,1816,1782,34,0,0,0
79,47,63,562,,1,*Jabdakati,345,199,146,0,0,0
79,47,63,886,,1,*Sayna Raghunathpur,2998,2083,915,0,0,0
79,47,63,886,01,1,Raghunathpur,1459,1022,437,0,0,0
79,47,63,886,02,1,Sayna,674,318,356,0,0,0
79,47,63,886,03,1,Meghpal,865,743,122,0,0,0
79,47,63,930,,1,*Sirsa,633,633,0,0,0,0
79,47,79,,,,Shialkati Union Total,11470,11249,221,0,0,0
79,47,79,627,,1,*Jolagati,3923,3914,9,0,0,0
79,47,79,800,,1,*Phalaibunia,2481,2429,52,0,0,0
79,47,79,800,01,1,Phalaibunia,2175,2123,52,0,0,0
79,47,79,800,02,1,Saplaja,306,306,0,0,0,0
79,47,79,843,,1,*Shankarpur,774,730,44,0,0,0
79,47,79,908,,1,*Shialkati,4292,4176,116,0,0,0
79,58,,,,,Mathbaria Upazila Total,262841,236344,26307,26,137,27
79,58,,,,1,Mathbaria Upazila,233990,211610,22204,20,129,27
79,58,,,,2,Mathbaria Upazila,18375,15395,2966,6,8,0
79,58,,,,3,Mathbaria Upazila,10476,9339,1137,0,0,0
79,58,,,,2,Mathbaria  Paurashava,18375,15395,2966,6,8,0
79,58,01,,,,Ward No-01 Total,1565,1451,114,0,0,0
79,58,01,750,,2,*Madhya Mithakhali,1115,1094,21,0,0,0
79,58,01,979,,2,*Uttar Mithakhali,450,357,93,0,0,0
79,58,02,,,,Ward No-02 Total,2281,1540,741,0,0,0
79,58,02,215,,2,*Bandar Mathbaria,1485,1057,428,0,0,0
79,58,02,320,,2,*Hospital Para,796,483,313,0,0,0
79,58,03,,,,Ward No-03 Total,2844,2363,481,0,0,0
79,58,03,346,,2,*Dakshin Mithakhali,2844,2363,481,0,0,0
79,58,04,,,,Ward No-04 Total,1047,718,327,2,0,0
79,58,04,210,,2,*Bazar Elaka,751,454,295,2,0,0
79,58,04,680,,2,*Paschim Bakshir Ghatichara,296,264,32,0,0,0
79,58,05,,,,Ward No-05 Total,2507,1827,672,0,8,0
79,58,05,085,,2,*Arambhag,1137,1038,91,0,8,0
79,58,05,320,,2,*Thana Parishad (Bahera Tala),378,311,67,0,0,0
79,58,05,625,,2,*T & T Para (Goalipara),992,478,514,0,0,0
79,58,06,,,,Ward No-06 Total,1711,1644,67,0,0,0
79,58,06,720,,2,*New Market & College Area,1711,1644,67,0,0,0
79,58,07,,,,Ward No-07 Total,2268,1924,340,4,0,0
79,58,07,720,,2,*New Market Area,1281,1143,138,0,0,0
79,58,07,910,,2,*Uttar Purba New Market,987,781,202,4,0,0
79,58,08,,,,Ward No-08 Total,2207,2064,143,0,0,0
79,58,08,760,,2,*Madhya Purba Baksir Ghatichar,474,388,86,0,0,0
79,58,08,915,,2,*Uttar Baksir Ghatichara,1733,1676,57,0,0,0
79,58,09,,,,Ward No-09 Total,1945,1864,81,0,0,0
79,58,09,285,,2,*Dakshin Baksir Ghatichara,1945,1864,81,0,0,0
79,58,15,,,,Amragachhia Union Total,21090,17944,3140,0,0,6
79,58,15,030,,1,*Amragachhia Hogalpati,13650,12325,1319,0,0,6
79,58,15,030,01,1,Golbunia,2311,1843,468,0,0,0
79,58,15,030,02,1,Hogalpati,2768,2642,126,0,0,0
79,58,15,030,03,1,Kalikabari,2078,1936,142,0,0,0
79,58,15,030,04,1,Amragachhia,2071,1565,500,0,0,6
79,58,15,030,05,1,Manikkhali,1721,1721,0,0,0,0
79,58,15,030,06,1,Dhupati,1231,1231,0,0,0,0
79,58,15,030,07,1,Pashuria,1470,1387,83,0,0,0
79,58,15,361,,1,*Dakshin Sonakhali,2260,1209,1051,0,0,0
79,58,15,633,,1,*Madhyam Sonakhali,2028,1804,224,0,0,0
79,58,15,994,,1,*Uttar Sonakhali,3152,2606,546,0,0,0
79,58,17,,,,Bara Machhua Union Total,11808,9841,1967,0,0,0
79,58,17,135,,1,*Dakshin Bara Machhua,4617,4366,251,0,0,0
79,58,17,226,,1,*Char Bholmara,1546,1546,0,0,0,0
79,58,17,587,,1,*Khejurbaria,5645,3929,1716,0,0,0
79,58,17,587,01,1,Hejurbaria,2151,1022,1129,0,0,0
