0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
82,,,,,,Rajbari Zila Total,466977,426306,237548,202555,229429,223751,52.3,54.0,50.6
82,,,,,1,Rajbari Zila,388932,386152,197184,184311,191748,201841,50.2,51.7,48.7
82,,,,,2,Rajbari Zila,63348,27620,32986,12337,30362,15283,69.6,72.8,66.5
82,,,,,3,Rajbari Zila,14697,12534,7378,5907,7319,6627,54.0,55.5,52.5
82,07,,,,,Baliakandi Upazila Total,98430,79045,50578,37985,47852,41060,55.5,57.1,53.8
82,07,,,,1,Baliakandi Upazila,92706,76217,47590,36674,45116,39543,54.9,56.5,53.3
82,07,,,,3,Baliakandi Upazila,5724,2828,2988,1311,2736,1517,66.9,69.5,64.3
82,07,17,,,,Baharpur Union Total,16206,13285,8446,6410,7760,6875,55.0,56.9,53.0
82,07,17,,,1,Baharpur Union,14286,12699,7405,6153,6881,6546,52.9,54.6,51.2
82,07,17,,,3,Baharpur Union,1920,586,1041,257,879,329,76.6,80.2,72.8
82,07,17,005,,1,*Acharjyapur,95,137,47,72,48,65,40.9,39.5,42.5
82,07,17,025,,1,*Arazi Narayanpur,182,159,88,82,94,77,53.4,51.8,55.0
82,07,17,030,,1,*Arkandi,340,95,172,37,168,58,78.2,82.3,74.3
82,07,17,040,,1,*Babultala,356,224,172,112,184,112,61.4,60.6,62.2
82,07,17,050,,1,*Bagutia,780,768,418,361,362,407,50.4,53.7,47.1
82,07,17,060,,1,*Baharpur,3696,2624,1880,1239,1816,1385,58.5,60.3,56.7
82,07,17,060,01,1,Uttar Baharpur,1204,957,598,464,606,493,55.7,56.3,55.1
82,07,17,060,02,1,Madhyam Baharpur,1138,770,572,362,566,408,59.6,61.2,58.1
82,07,17,060,03,1,Dakshin Baharpur,893,577,466,263,427,314,60.7,63.9,57.6
82,07,17,060,04,1,Char Baharpur,461,320,244,150,217,170,59.0,61.9,56.1
82,07,17,115,,1,*Bankur,206,489,102,249,104,240,29.6,29.1,30.2
82,07,17,155,,1,*Barugram,383,417,202,197,181,220,47.9,50.6,45.1
82,07,17,201,,1,*Bara Ramdia,496,452,269,235,227,217,52.3,53.4,51.1
82,07,17,341,,1,*Dahar Pancharia,257,528,142,259,115,269,32.7,35.4,29.9
82,07,17,412,,1,*Faridpur,946,814,490,398,456,416,53.8,55.2,52.3
82,07,17,512,,1,*Ikarjana,302,514,169,252,133,262,37.0,40.1,33.7
82,07,17,517,,3,*Ilishkhol,1920,586,1041,257,879,329,76.6,80.2,72.8
82,07,17,537,,1,*Jadupur,506,272,269,128,237,144,65.0,67.8,62.2
82,07,17,537,01,1,Jadupur,291,163,145,80,146,83,64.1,64.4,63.8
82,07,17,537,02,1,Samaspur,215,109,124,48,91,61,66.4,72.1,59.9
82,07,17,653,,1,*Kupdi,292,384,147,194,145,190,43.2,43.1,43.3
82,07,17,653,01,1,Kupdi,190,220,91,110,99,110,46.3,45.3,47.4
82,07,17,653,02,1,Kupdidangi,102,164,56,84,46,80,38.3,40.0,36.5
82,07,17,678,,1,*Madhupur,177,175,91,83,86,92,50.3,52.3,48.3
82,07,17,773,,1,*Pakalia,538,330,289,172,249,158,62.0,62.7,61.2
82,07,17,773,01,1,Pakalia,246,157,135,80,111,77,61.0,62.8,59.0
82,07,17,773,02,1,Char Pakalia,292,173,154,92,138,81,62.8,62.6,63.0
82,07,17,783,,1,*Parkul Gohailbari,979,1064,487,524,492,540,47.9,48.2,47.7
82,07,17,783,01,1,Parkul Gohailbari,238,203,112,98,126,105,54.0,53.3,54.5
82,07,17,783,02,1,Khurda Ramdi,358,410,181,199,177,211,46.6,47.6,45.6
82,07,17,783,03,1,Gohalbare,260,323,129,167,131,156,44.6,43.6,45.6
82,07,17,783,04,1,Parkul,123,128,65,60,58,68,49.0,52.0,46.0
82,07,17,799,,1,*Paturia,1464,1430,803,665,661,765,50.6,54.7,46.4
82,07,17,799,01,1,Paturia,431,292,242,117,189,175,59.6,67.4,51.9
82,07,17,799,02,1,Char Guadaha,264,338,137,163,127,175,43.9,45.7,42.1
82,07,17,799,03,1,Matlakhali,417,426,228,201,189,225,49.5,53.1,45.7
82,07,17,799,04,1,Betanga Bazar,352,374,196,184,156,190,48.5,51.6,45.1
82,07,17,844,,1,*Roypur,787,427,390,206,397,221,64.8,65.4,64.2
82,07,17,889,,1,*Sarusail,64,92,30,50,34,42,41.0,37.5,44.7
82,07,17,944,,1,*Shyamsundarpur,341,333,176,160,165,173,50.6,52.4,48.8
82,07,17,964,,1,*Tentulia,1099,971,572,478,527,493,53.1,54.5,51.7
82,07,19,,,,Baliakandi Union Total,12868,10746,6558,5213,6310,5533,54.5,55.7,53.3
82,07,19,,,1,Baliakandi Union,9064,8504,4611,4159,4453,4345,51.6,52.6,50.6
82,07,19,,,3,Baliakandi Union,3804,2242,1947,1054,1857,1188,62.9,64.9,61.0
82,07,19,045,,1,*Back Char,302,228,164,92,138,136,57.0,64.1,50.4
82,07,19,080,,3,*Baliakandi,3490,2018,1790,946,1700,1072,63.4,65.4,61.3
82,07,19,080,01,3,Uttar Baliakandi,1479,652,764,278,715,374,69.4,73.3,65.7
82,07,19,080,02,3,Dakshin Baliakandi,2011,1366,1026,668,985,698,59.5,60.6,58.5
82,07,19,195,,1,*Bhar Jabarkul,5,14,2,10,3,4,26.3,16.7,42.9
82,07,19,216,,1,*Bhimnagar,931,833,458,417,473,416,52.8,52.3,53.2
82,07,19,216,01,1,Bhimnagar,627,677,314,334,313,343,48.1,48.5,47.7
