0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
82,,,,,,Rajbari Zila Total,2621,2480,34129,32748,53371,51509,14386,12597,38366,40605,8594,4131
82,,,,,1,Rajbari Zila,2100,1982,30472,29291,47180,45499,13052,11362,33718,35719,7642,3557
82,,,,,2,Rajbari Zila,435,412,2680,2451,4605,4350,934,893,3553,3693,702,438
82,,,,,3,Rajbari Zila,86,86,977,1006,1586,1660,400,342,1095,1193,250,136
82,07,,,,,Baliakandi Upazila Total,537,528,6505,6225,10871,10499,2290,1948,7392,7956,1677,676
82,07,,,,1,Baliakandi Upazila,497,494,6238,5960,10405,10033,2195,1886,7083,7647,1606,642
82,07,,,,3,Baliakandi Upazila,40,34,267,265,466,466,95,62,309,309,71,34
82,07,17,,,,Baharpur Union Total,103,105,1061,984,1869,1781,354,279,1175,1272,336,99
82,07,17,,,1,Baharpur Union,94,98,989,905,1722,1671,340,268,1098,1183,319,92
82,07,17,,,3,Baharpur Union,9,7,72,79,147,110,14,11,77,89,17,7
82,07,17,005,,1,*Acharjyapur,0,0,11,15,17,15,3,2,8,12,4,2
82,07,17,025,,1,*Arazi Narayanpur,0,0,16,15,24,27,4,3,17,14,3,0
82,07,17,030,,1,*Arkandi,2,4,14,8,25,27,2,2,18,11,1,2
82,07,17,040,,1,*Babultala,3,2,16,5,35,31,9,4,16,22,4,1
82,07,17,050,,1,*Bagutia,5,1,53,57,105,120,32,27,68,66,31,10
82,07,17,060,,1,*Baharpur,26,49,193,177,413,402,41,58,243,307,80,16
82,07,17,060,01,1,Uttar Baharpur,13,18,62,47,153,142,13,13,100,119,29,6
82,07,17,060,02,1,Madhyam Baharpur,3,17,58,62,119,117,11,23,63,95,30,6
82,07,17,060,03,1,Dakshin Baharpur,7,9,51,42,90,94,14,15,50,57,14,2
82,07,17,060,04,1,Char Baharpur,3,5,22,26,51,49,3,7,30,36,7,2
82,07,17,115,,1,*Bankur,3,0,22,30,40,40,34,15,30,35,23,7
82,07,17,155,,1,*Barugram,0,0,38,36,35,37,20,22,30,22,10,3
82,07,17,201,,1,*Bara Ramdia,1,2,35,22,67,59,3,2,43,49,9,2
82,07,17,341,,1,*Dahar Pancharia,2,1,21,31,56,46,17,10,45,33,6,4
82,07,17,412,,1,*Faridpur,9,4,67,59,124,112,24,15,63,69,30,2
82,07,17,512,,1,*Ikarjana,0,0,32,39,57,44,17,9,46,34,5,1
82,07,17,517,,3,*Ilishkhol,9,7,72,79,147,110,14,11,77,89,17,7
82,07,17,537,,1,*Jadupur,0,0,27,38,35,50,8,3,29,36,7,2
82,07,17,537,01,1,Jadupur,0,0,19,18,19,34,5,2,14,22,6,0
82,07,17,537,02,1,Samaspur,0,0,8,20,16,16,3,1,15,14,1,2
82,07,17,653,,1,*Kupdi,3,0,31,22,36,41,16,9,43,28,10,4
82,07,17,653,01,1,Kupdi,3,0,18,12,24,28,5,7,23,17,7,3
82,07,17,653,02,1,Kupdidangi,0,0,13,10,12,13,11,2,20,11,3,1
82,07,17,678,,1,*Madhupur,1,1,12,11,20,29,1,0,3,10,3,0
82,07,17,773,,1,*Pakalia,1,1,37,31,49,45,10,7,30,41,10,3
82,07,17,773,01,1,Pakalia,1,0,21,13,17,18,4,4,14,15,2,1
82,07,17,773,02,1,Char Pakalia,0,1,16,18,32,27,6,3,16,26,8,2
82,07,17,783,,1,*Parkul Gohailbari,10,3,95,79,149,133,18,14,80,91,22,6
82,07,17,783,01,1,Parkul Gohailbari,0,0,22,23,26,34,1,1,10,14,5,1
82,07,17,783,02,1,Khurda Ramdi,3,2,38,26,63,49,9,5,22,39,7,2
82,07,17,783,03,1,Gohalbare,3,1,22,17,40,35,3,4,39,26,7,0
82,07,17,783,04,1,Parkul,4,0,13,13,20,15,5,4,9,12,3,3
82,07,17,799,,1,*Paturia,9,12,134,96,183,191,35,32,119,107,27,14
82,07,17,799,01,1,Paturia,1,1,29,25,41,47,2,6,33,21,4,1
82,07,17,799,02,1,Char Guadaha,0,0,30,25,28,39,22,13,30,26,6,7
82,07,17,799,03,1,Matlakhali,8,10,44,26,56,65,4,9,29,28,12,3
82,07,17,799,04,1,Betanga Bazar,0,1,31,20,58,40,7,4,27,32,5,3
82,07,17,844,,1,*Roypur,6,7,47,47,55,68,10,5,40,66,10,1
82,07,17,889,,1,*Sarusail,1,0,6,3,10,12,1,1,10,7,2,0
82,07,17,944,,1,*Shyamsundarpur,0,1,26,24,43,21,22,13,26,26,1,4
82,07,17,964,,1,*Tentulia,12,10,56,60,144,121,13,15,91,97,21,8
82,07,19,,,,Baliakandi Union Total,111,85,826,846,1417,1438,319,229,905,1004,228,100
82,07,19,,,1,Baliakandi Union,80,58,631,660,1098,1082,238,178,673,784,174,73
82,07,19,,,3,Baliakandi Union,31,27,195,186,319,356,81,51,232,220,54,27
82,07,19,045,,1,*Back Char,2,1,27,18,31,33,3,1,15,20,1,1
82,07,19,080,,3,*Baliakandi,27,27,173,164,298,325,68,45,207,199,48,22
82,07,19,080,01,3,Uttar Baliakandi,18,10,66,57,119,156,23,16,81,78,15,9
82,07,19,080,02,3,Dakshin Baliakandi,9,17,107,107,179,169,45,29,126,121,33,13
82,07,19,195,,1,*Bhar Jabarkul,0,0,1,0,2,0,1,1,1,0,0,0
82,07,19,216,,1,*Bhimnagar,6,6,61,84,113,121,22,17,70,71,20,6
82,07,19,216,01,1,Bhimnagar,3,3,53,61,85,91,15,13,52,47,13,3
82,07,19,216,02,1,Purba Bhimnagar,3,3,8,23,28,30,7,4,18,24,7,3
82,07,19,276,,1,*Chaita Bhimnagar,0,0,5,12,10,8,2,4,7,4,2,0
82,07,19,281,,1,*Chamta,5,4,42,53,72,72,22,10,50,60,9,5
82,07,19,281,01,1,Chamta,0,0,7,20,23,8,2,0,9,11,3,0
82,07,19,281,02,1,Banagram,2,1,9,12,11,19,4,4,11,9,1,3
82,07,19,281,03,1,Kanaigara,0,0,6,4,5,12,1,3,4,3,1,0
82,07,19,281,04,1,Bara Kanaibila,0,2,8,7,9,10,2,2,8,8,0,0
82,07,19,281,05,1,Taltala,2,0,3,5,10,9,0,0,7,10,2,2
82,07,19,281,06,1,Bauni,1,0,7,2,12,14,11,1,9,12,1,0
82,07,19,281,07,1,Chhota Kanabila,0,1,2,3,2,0,2,0,2,7,1,0
82,07,19,296,,1,*Char Arkandi,9,4,44,42,85,60,5,6,64,55,8,6
82,07,19,351,,1,*Dakshin Salmara,8,5,67,64,122,114,31,14,70,97,21,5
82,07,19,371,,1,*Deokol,0,0,12,8,17,8,6,8,11,14,0,2
82,07,19,371,01,1,Deokol,0,0,7,4,13,7,3,6,7,11,0,1
82,07,19,371,02,1,Harikhali,0,0,5,4,4,1,3,2,4,3,0,1
82,07,19,402,,3,*Durgabardi,4,0,22,22,21,31,13,6,25,21,6,5
82,07,19,402,01,3,Sreepur,2,0,3,1,6,9,2,3,6,6,0,0
82,07,19,402,02,3,Durgabardi,2,0,19,21,15,22,11,3,19,15,6,5
82,07,19,422,,1,*Fulbari,1,0,15,17,22,17,4,9,8,12,5,2
82,07,19,507,,1,*Ikar Char,3,0,14,3,9,8,7,5,8,9,6,1
82,07,19,527,,1,*Irsalbari,1,3,32,21,45,45,7,3,21,33,5,3
82,07,19,532,,1,*Jaburkul,0,0,28,29,68,63,14,4,43,39,11,6
82,07,19,623,,1,*Khurda Megchami,5,9,52,54,73,81,16,11,35,42,19,6
82,07,19,743,,1,*Nischintapur,8,8,59,71,97,101,20,14,73,80,17,6
82,07,19,743,01,1,Nischintapur,8,5,42,52,69,71,18,14,54,63,11,6
82,07,19,743,02,1,Bahir Char,0,3,17,19,28,30,2,0,19,17,6,0
82,07,19,768,,1,*Paikandi,10,5,81,77,132,144,28,31,75,92,22,6
