0,1,2,3,4,5,6,7,8,9,10,11,12
82,,,,,,Rajbari Zila Total,1049778,942527,106974,189,4,84
82,,,,,1,Rajbari Zila,913736,826872,86668,154,3,39
82,,,,,2,Rajbari Zila,104074,87824,16220,29,1,0
82,,,,,3,Rajbari Zila,31968,27831,4086,6,0,45
82,07,,,,,Baliakandi Upazila Total,207086,164206,42819,57,3,1
82,07,,,,1,Baliakandi Upazila,197189,156486,40644,56,3,0
82,07,,,,3,Baliakandi Upazila,9897,7720,2175,1,0,1
82,07,17,,,,Baharpur Union Total,34490,28398,6084,7,1,0
82,07,17,,,1,Baharpur Union,31622,26176,5438,7,1,0
82,07,17,,,3,Baharpur Union,2868,2222,646,0,0,0
82,07,17,005,,1,*Acharjyapur,286,270,16,0,0,0
82,07,17,025,,1,*Arazi Narayanpur,407,407,0,0,0,0
82,07,17,030,,1,*Arkandi,497,193,304,0,0,0
82,07,17,040,,1,*Babultala,654,544,110,0,0,0
82,07,17,050,,1,*Bagutia,1838,1042,795,1,0,0
82,07,17,060,,1,*Baharpur,7333,6268,1060,5,0,0
82,07,17,060,01,1,Uttar Baharpur,2493,2379,114,0,0,0
82,07,17,060,02,1,Madhyam Baharpur,2226,1669,552,5,0,0
82,07,17,060,03,1,Dakshin Baharpur,1700,1333,367,0,0,0
82,07,17,060,04,1,Char Baharpur,914,887,27,0,0,0
82,07,17,115,,1,*Bankur,834,779,55,0,0,0
82,07,17,155,,1,*Barugram,953,706,247,0,0,0
82,07,17,201,,1,*Bara Ramdia,1096,919,177,0,0,0
82,07,17,341,,1,*Dahar Pancharia,927,790,137,0,0,0
82,07,17,412,,1,*Faridpur,2061,1911,150,0,0,0
82,07,17,512,,1,*Ikarjana,968,894,74,0,0,0
82,07,17,517,,3,*Ilishkhol,2868,2222,646,0,0,0
82,07,17,537,,1,*Jadupur,907,907,0,0,0,0
82,07,17,537,01,1,Jadupur,521,521,0,0,0,0
82,07,17,537,02,1,Samaspur,386,386,0,0,0,0
82,07,17,653,,1,*Kupdi,811,724,87,0,0,0
82,07,17,653,01,1,Kupdi,494,494,0,0,0,0
82,07,17,653,02,1,Kupdidangi,317,230,87,0,0,0
82,07,17,678,,1,*Madhupur,412,412,0,0,0,0
82,07,17,773,,1,*Pakalia,1005,643,361,0,1,0
82,07,17,773,01,1,Pakalia,458,125,332,0,1,0
82,07,17,773,02,1,Char Pakalia,547,518,29,0,0,0
82,07,17,783,,1,*Parkul Gohailbari,2432,2432,0,0,0,0
82,07,17,783,01,1,Parkul Gohailbari,520,520,0,0,0,0
82,07,17,783,02,1,Khurda Ramdi,928,928,0,0,0,0
82,07,17,783,03,1,Gohalbare,679,679,0,0,0,0
82,07,17,783,04,1,Parkul,305,305,0,0,0,0
82,07,17,799,,1,*Paturia,3418,2443,975,0,0,0
82,07,17,799,01,1,Paturia,841,238,603,0,0,0
82,07,17,799,02,1,Char Guadaha,716,716,0,0,0,0
82,07,17,799,03,1,Matlakhali,1004,929,75,0,0,0
82,07,17,799,04,1,Betanga Bazar,857,560,297,0,0,0
82,07,17,844,,1,*Roypur,1435,1202,233,0,0,0
82,07,17,889,,1,*Sarusail,185,185,0,0,0,0
82,07,17,944,,1,*Shyamsundarpur,779,582,196,1,0,0
82,07,17,964,,1,*Tentulia,2384,1923,461,0,0,0
82,07,19,,,,Baliakandi Union Total,27597,21299,6293,4,0,1
82,07,19,,,1,Baliakandi Union,20568,15801,4764,3,0,0
82,07,19,,,3,Baliakandi Union,7029,5498,1529,1,0,1
82,07,19,045,,1,*Back Char,621,203,418,0,0,0
82,07,19,080,,3,*Baliakandi,6388,5020,1366,1,0,1
82,07,19,080,01,3,Uttar Baliakandi,2464,2208,255,1,0,0
82,07,19,080,02,3,Dakshin Baliakandi,3924,2812,1111,0,0,1
82,07,19,195,,1,*Bhar Jabarkul,22,22,0,0,0,0
82,07,19,216,,1,*Bhimnagar,2113,1771,342,0,0,0
82,07,19,216,01,1,Bhimnagar,1565,1372,193,0,0,0
82,07,19,216,02,1,Purba Bhimnagar,548,399,149,0,0,0
82,07,19,276,,1,*Chaita Bhimnagar,218,118,100,0,0,0
82,07,19,281,,1,*Chamta,1625,493,1132,0,0,0
82,07,19,281,01,1,Chamta,406,30,376,0,0,0
82,07,19,281,02,1,Banagram,275,275,0,0,0,0
82,07,19,281,03,1,Kanaigara,126,92,34,0,0,0
82,07,19,281,04,1,Bara Kanaibila,229,4,225,0,0,0
82,07,19,281,05,1,Taltala,189,26,163,0,0,0
82,07,19,281,06,1,Bauni,291,66,225,0,0,0
82,07,19,281,07,1,Chhota Kanabila,109,0,109,0,0,0
82,07,19,296,,1,*Char Arkandi,1416,1360,56,0,0,0
82,07,19,351,,1,*Dakshin Salmara,2181,2181,0,0,0,0
82,07,19,371,,1,*Deokol,317,119,198,0,0,0
82,07,19,371,01,1,Deokol,228,119,109,0,0,0
82,07,19,371,02,1,Harikhali,89,0,89,0,0,0
82,07,19,402,,3,*Durgabardi,641,478,163,0,0,0
82,07,19,402,01,3,Sreepur,148,148,0,0,0,0
82,07,19,402,02,3,Durgabardi,493,330,163,0,0,0
82,07,19,422,,1,*Fulbari,338,337,1,0,0,0
82,07,19,507,,1,*Ikar Char,274,274,0,0,0,0
82,07,19,527,,1,*Irsalbari,820,332,488,0,0,0
82,07,19,532,,1,*Jaburkul,1153,880,273,0,0,0
82,07,19,623,,1,*Khurda Megchami,1345,1332,13,0,0,0
82,07,19,743,,1,*Nischintapur,1940,1092,848,0,0,0
82,07,19,743,01,1,Nischintapur,1390,1006,384,0,0,0
82,07,19,743,02,1,Bahir Char,550,86,464,0,0,0
82,07,19,768,,1,*Paikandi,2468,2468,0,0,0,0
82,07,19,768,01,1,Paikandi,1945,1945,0,0,0,0
82,07,19,768,02,1,Purba Paikandi,523,523,0,0,0,0
82,07,19,793,,1,*Paschim Maukuri,490,97,393,0,0,0
82,07,19,814,,1,*Purba Maukuri,2293,1788,502,3,0,0
82,07,19,814,01,1,Purba Maukuri,2056,1660,393,3,0,0
82,07,19,814,02,1,Amtala Bazar,237,128,109,0,0,0
82,07,19,869,,1,*Salki,934,934,0,0,0,0
82,07,47,,,,Islampur Union Total,30970,28056,2884,30,0,0
82,07,47,020,,1,*Arabaria,374,374,0,0,0,0
82,07,47,110,,1,*Bangal Para,118,118,0,0,0,0
82,07,47,145,,1,*Bara Mallik,2806,2752,54,0,0,0
82,07,47,145,01,1,Bara Mallik,2452,2435,17,0,0,0
82,07,47,145,02,1,Ambaria,354,317,37,0,0,0
82,07,47,150,,1,*Baradi,1594,1560,34,0,0,0
82,07,47,175,,1,*Beradanga,1039,1002,14,23,0,0
82,07,47,211,,1,*Bellabari,893,850,43,0,0,0
82,07,47,386,,1,*Diara,607,607,0,0,0,0
82,07,47,417,,1,*Fazil Tenai,741,655,86,0,0,0
82,07,47,437,,1,*Ganapatia,1465,983,482,0,0,0
82,07,47,437,01,1,Ganapatia,588,198,390,0,0,0
82,07,47,437,02,1,Chhota Bhellabari,405,398,7,0,0,0
82,07,47,437,03,1,Dangi Para,172,172,0,0,0,0
82,07,47,437,04,1,Hirunkandi,300,215,85,0,0,0
82,07,47,462,,1,*Gobindapur,1463,1455,8,0,0,0
82,07,47,467,,1,*Golaramdi,1126,470,649,7,0,0
82,07,47,482,,1,*Haikul,161,161,0,0,0,0
82,07,47,487,,1,*Haludbari,336,336,0,0,0,0
82,07,47,492,,1,*Harikul,352,332,20,0,0,0
82,07,47,502,,1,*Hulail,1896,1896,0,0,0,0
82,07,47,562,,1,*Jasai,10,10,0,0,0,0
82,07,47,577,,1,*Karamchandpur,594,594,0,0,0,0
82,07,47,587,,1,*Kaunnair,1564,1491,73,0,0,0
82,07,47,603,,1,*Khalkula,5238,4869,369,0,0,0
82,07,47,603,01,1,Purba Khalkula,1638,1555,83,0,0,0
82,07,47,603,02,1,Paschim Khalkula,2016,1988,28,0,0,0
82,07,47,603,03,1,Anandanagar,235,128,107,0,0,0
82,07,47,603,04,1,Batsala,680,612,68,0,0,0
82,07,47,603,05,1,Sarutia,669,586,83,0,0,0
82,07,47,648,,1,*Krishnapur,572,436,136,0,0,0
82,07,47,733,,1,*Narayanpur,1672,1490,182,0,0,0
82,07,47,733,01,1,Narayanpur,888,706,182,0,0,0
82,07,47,733,02,1,Sekara,784,784,0,0,0,0
82,07,47,829,,1,*Rajdharpur,2884,2879,5,0,0,0
82,07,47,829,01,1,Purba Rajdharpur,493,488,5,0,0,0
82,07,47,829,02,1,Paschim Rajdharpur,495,495,0,0,0,0
82,07,47,829,03,1,Rajdharpur Molla Para,455,455,0,0,0,0
82,07,47,829,04,1,Alikhar Para,276,276,0,0,0,0
82,07,47,829,05,1,Bari Chhara,167,167,0,0,0,0
82,07,47,829,06,1,Sreeramkandi,823,823,0,0,0,0
82,07,47,829,07,1,Baunara,175,175,0,0,0,0
82,07,47,874,,1,*Samuk Khola,620,592,28,0,0,0
82,07,47,899,,1,*Shibpur,101,101,0,0,0,0
82,07,47,949,,1,*Teghari,372,372,0,0,0,0
82,07,47,959,,1,*Tenai,794,671,123,0,0,0
82,07,47,959,01,1,Tenai,471,471,0,0,0,0
82,07,47,959,02,1,Barai Tenai,323,200,123,0,0,0
82,07,47,969,,1,*Thakur Noapara,1578,1000,578,0,0,0
82,07,57,,,,Jamalpur Union Total,30096,23670,6417,8,1,0
82,07,57,015,,1,*Alokdia,1962,1397,564,0,1,0
82,07,57,105,,1,*Baduli Khalkula,2350,2246,104,0,0,0
82,07,57,185,,1,*Betanga,1652,1224,428,0,0,0
82,07,57,206,,1,*Batikhalkul,1515,1413,102,0,0,0
82,07,57,271,,1,*Bri-Magura,820,687,133,0,0,0
82,07,57,286,,1,*Chandana Sreerampur,348,343,5,0,0,0
82,07,57,361,,1,*Danga Hatimohan,2752,1730,1022,0,0,0
82,07,57,407,,1,*Durgapur,701,575,126,0,0,0
82,07,57,472,,1,*Gosai Gobindapur,2032,2000,32,0,0,0
82,07,57,472,01,1,Gosai Gobindapur,1382,1350,32,0,0,0
82,07,57,472,02,1,Sholakura,650,650,0,0,0,0
82,07,57,477,,1,*Gupta Lakshmandia,914,822,92,0,0,0
82,07,57,497,,1,*Hatimohan,946,701,245,0,0,0
82,07,57,547,,1,*Jamalpur,522,397,125,0,0,0
82,07,57,608,,1,*Khamar Magura,1978,1609,369,0,0,0
82,07,57,618,,1,*Khurda Magura,349,298,51,0,0,0
82,07,57,628,,1,*Kumardia,364,364,0,0,0,0
82,07,57,633,,1,*Kumarghara,246,246,0,0,0,0
82,07,57,663,,1,*Lakshmandia,2919,1839,1080,0,0,0
82,07,57,663,01,1,Lakshmandia,1441,1064,377,0,0,0
82,07,57,663,02,1,Masalia,742,184,558,0,0,0
82,07,57,663,03,1,Bagchidanga,736,591,145,0,0,0
82,07,57,693,,1,*Matiabari,288,104,184,0,0,0
82,07,57,718,,1,*Nalia,1540,1103,437,0,0,0
82,07,57,718,01,1,Nalia,1017,890,127,0,0,0
82,07,57,718,02,1,Sabni Para,523,213,310,0,0,0
82,07,57,834,,1,*Ratandia,172,11,161,0,0,0
82,07,57,879,,1,*Sanghora,2220,1923,289,8,0,0
82,07,57,884,,1,*Sarpa Betanga,1522,1506,16,0,0,0
82,07,57,919,,1,*Sonadanga,650,643,7,0,0,0
82,07,57,934,,1,*Sonda,463,39,424,0,0,0
82,07,57,984,,1,*Tulsi Barat,871,450,421,0,0,0
82,07,66,,,,Jangal Union Total,20301,3828,16464,8,1,0
82,07,66,055,,1,*Bahar Sadhukhali,1823,19,1804,0,0,0
82,07,66,055,01,1,Bahar Sadhukhali,762,0,762,0,0,0
82,07,66,055,02,1,Aksukna,631,0,631,0,0,0
82,07,66,055,03,1,Basukhali,430,19,411,0,0,0
82,07,66,120,,1,*Bannytali,1087,0,1087,0,0,0
82,07,66,140,,1,*Bara Janjal,1225,52,1170,3,0,0
82,07,66,140,01,1,Bara Janjal,127,0,127,0,0,0
82,07,66,140,02,1,Natun Gurguria,1098,52,1043,3,0,0
82,07,66,190,,1,*Bhalakanda,305,0,305,0,0,0
82,07,66,291,,1,*Chapri,394,1,393,0,0,0
82,07,66,376,,1,*Dholjani,856,387,469,0,0,0
82,07,66,557,,1,*Janjal,5436,2361,3075,0,0,0
82,07,66,557,01,1,Janjal,2497,0,2497,0,0,0
82,07,66,557,02,1,Donikhali,588,588,0,0,0,0
82,07,66,557,03,1,Khaguria,48,0,48,0,0,0
82,07,66,557,04,1,Alankarpur,1667,1656,11,0,0,0
82,07,66,557,05,1,Bablatala,42,0,42,0,0,0
82,07,66,557,06,1,Chapalbagha,45,19,26,0,0,0
82,07,66,557,07,1,Gangasagar,484,33,451,0,0,0
82,07,66,557,08,1,Khalilpur,65,65,0,0,0,0
82,07,66,788,,1,*Parulia,1180,4,1171,5,0,0
82,07,66,804,,1,*Potra,3758,40,3717,0,1,0
82,07,66,804,01,1,Ag Potra,1447,0,1447,0,0,0
82,07,66,804,02,1,Char Potra,777,0,776,0,1,0
82,07,66,804,03,1,Pachh Potra,608,40,568,0,0,0
82,07,66,804,04,1,Taralia,549,0,549,0,0,0
82,07,66,804,05,1,Habaspur,377,0,377,0,0,0
82,07,66,819,,1,*Push Amla,1245,13,1232,0,0,0
82,07,66,819,01,1,Push Amla,763,2,761,0,0,0
82,07,66,819,02,1,Samadhinagar,413,11,402,0,0,0
82,07,66,819,03,1,Bijoynagar,69,0,69,0,0,0
82,07,66,864,,1,*Sadhukhali,419,0,419,0,0,0
82,07,66,894,,1,*Sasapur,159,0,159,0,0,0
