0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
81,,,,,,Rajshahi Zila Total,1061874,36.4,62.9,0.5,0.2,1048934,22.3,67.2,8.8,1.6
81,,,,,1,Rajshahi Zila,698357,33.7,65.6,0.5,0.2,701877,20.1,69.1,9.1,1.7
81,,,,,2,Rajshahi Zila,353598,41.7,57.6,0.5,0.2,337290,27.0,63.4,8.2,1.4
81,,,,,3,Rajshahi Zila,9919,33.7,65.5,0.6,0.2,9767,21.0,68.3,9.4,1.3
81,10,,,,,Bagha Upazila Total,73947,35.4,63.9,0.6,0.1,75021,20.7,68.4,9.5,1.4
81,10,,,,1,Bagha Upazila,55798,35.3,64.0,0.6,0.1,56880,20.5,68.5,9.5,1.5
81,10,,,,2,Bagha Upazila,18149,35.7,63.7,0.5,0.1,18141,21.3,68.2,9.3,1.2
81,10,,,,2,Bagha  Paurashava,,,,,,,,,,
81,10,01,,,,Ward No-01 Total,1605,34.6,65.0,0.3,0.1,1629,20.1,68.2,9.5,2.2
81,10,01,128,,2,*Baliher,599,34.7,64.4,0.8,0.0,545,19.3,71.2,8.1,1.5
81,10,01,220,,2,*Chak Ahmedpur,268,32.1,67.5,0.0,0.4,296,16.6,65.5,14.2,3.7
81,10,01,680,,2,*Ahmdedpur Paschim,83,39.8,60.2,0.0,0.0,78,24.4,64.1,10.3,1.3
81,10,01,695,,2,*Bajubagha Natun Basati Pasch,310,36.1,63.5,0.0,0.3,347,22.5,67.7,8.4,1.4
81,10,01,800,,2,*Uttar Millik Bagha Paschim,345,33.6,66.4,0.0,0.0,363,20.9,67.2,8.8,3.0
81,10,02,,,,Ward No-02 Total,1903,35.3,64.1,0.4,0.2,1838,20.5,70.1,8.4,1.1
81,10,02,220,,2,*Chak Satari,996,32.9,66.5,0.3,0.3,967,18.8,72.0,8.2,1.0
81,10,02,240,,2,*Satari,907,37.8,61.5,0.6,0.1,871,22.3,68.0,8.6,1.1
81,10,03,,,,Ward No-03 Total,1118,38.0,61.4,0.5,0.0,1106,23.3,64.6,11.6,0.5
81,10,03,260,,2,*Chak Naraenpur Paschim,515,35.7,63.5,0.8,0.0,554,25.5,61.9,11.9,0.7
81,10,03,400,,2,*Kaligram,577,40.6,59.1,0.3,0.0,524,21.2,67.6,11.1,0.2
81,10,03,405,,2,*Gaonpara Paschim,26,26.9,73.1,0.0,0.0,28,21.4,64.3,14.3,0.0
81,10,04,,,,Ward No-04 Total,1058,35.1,63.9,0.9,0.2,1139,21.2,64.9,11.3,2.5
81,10,04,230,,2,*Gaonpara Dakshin,69,36.2,62.3,0.0,1.4,63,19.0,68.3,9.5,3.2
81,10,04,275,,2,*Chak Naraenpur Dakshin,989,35.0,64.0,0.9,0.1,1076,21.4,64.7,11.4,2.5
81,10,05,,,,Ward No-05 Total,1100,37.0,62.3,0.6,0.1,1057,19.8,71.0,8.0,1.2
81,10,05,230,,2,*Ganapara Dakshin,616,36.7,62.7,0.5,0.2,590,18.8,70.7,9.2,1.4
81,10,05,770,,2,*Gaonpara Uttar,337,35.3,63.8,0.9,0.0,317,18.6,76.7,3.8,0.9
81,10,05,795,,2,*Chak Naraenpur Uttar,147,42.2,57.1,0.7,0.0,150,26.0,60.0,12.7,1.3
81,10,06,,,,Ward No-06 Total,1182,38.2,61.1,0.6,0.1,1104,23.7,66.7,9.0,0.6
81,10,06,295,,2,*Dakshin Millik Bagha Paschim,742,39.2,60.2,0.5,0.0,688,22.8,66.1,10.5,0.6
81,10,06,775,,2,*Uttar Millik Bagha Purba,440,36.6,62.5,0.7,0.2,416,25.2,67.5,6.5,0.7
81,10,07,,,,Ward No-07 Total,1203,35.8,63.5,0.5,0.2,1204,21.2,69.0,8.7,1.1
81,10,07,020,,2,*Ahmedpur Purba,128,34.4,64.8,0.8,0.0,144,23.6,61.1,15.3,0.0
81,10,07,190,,2,*Bajubagha Natun Basati Purba,115,35.7,62.6,1.7,0.0,131,22.9,64.9,9.2,3.1
81,10,07,300,,2,*Chakipara,256,36.3,63.7,0.0,0.0,248,22.2,68.5,8.9,0.4
81,10,07,630,,2,*Nichintapur,133,34.6,64.7,0.0,0.8,126,13.5,76.2,7.9,2.4
81,10,07,700,,2,*Millik Bagha Purba,571,36.3,63.0,0.5,0.2,555,21.4,70.6,7.0,0.9
81,10,08,,,,Ward No-08 Total,897,34.2,65.4,0.2,0.1,893,18.3,71.0,10.1,0.7
81,10,08,160,,2,*Baniapara,607,32.5,67.1,0.3,0.2,612,17.5,71.4,10.1,1.0
81,10,08,225,,2,*Chandipur Uttar,138,37.0,63.0,0.0,0.0,141,22.7,68.8,8.5,0.0
81,10,08,260,,2,*Jijal Palli Dakshin,152,38.8,61.2,0.0,0.0,140,17.1,71.4,11.4,0.0
81,10,09,,,,Ward No-09 Total,1337,37.5,62.2,0.1,0.1,1340,23.4,68.6,6.8,1.2
81,10,09,295,,2,*Dakshin Milik Bagha(Purba),399,38.3,61.4,0.3,0.0,394,26.1,68.0,5.8,0.0
81,10,09,395,,2,*Jotsaesta,168,38.1,61.9,0.0,0.0,174,21.8,70.1,4.6,3.4
81,10,09,610,,2,*Murshidpur,770,36.9,62.7,0.1,0.3,772,22.4,68.5,7.8,1.3
81,10,,,,2,Arani  Paurashava,,,,,,,,,,
81,10,11,,,,Ward No-01 (Arani) Total,603,36.0,62.5,1.2,0.3,619,23.6,63.2,11.0,2.3
81,10,11,502,,2,*Jotraghu (Part) Uttar,215,41.9,56.3,0.9,0.9,201,19.9,62.7,13.4,4.0
81,10,11,691,,2,*Kusabari,388,32.7,66.0,1.3,0.0,418,25.4,63.4,9.8,1.4
81,10,12,,,,Ward No-02 Total,546,30.6,69.0,0.2,0.2,563,20.2,72.5,5.9,1.4
81,10,12,424,,2,*Gochar,546,30.6,69.0,0.2,0.2,563,20.2,72.5,5.9,1.4
81,10,13,,,,Ward No-03 Total,437,34.3,65.4,0.2,0.0,433,20.1,70.9,9.0,0.0
81,10,13,476,,2,*Hamidkura (Part),437,34.3,65.4,0.2,0.0,433,20.1,70.9,9.0,0.0
81,10,14,,,,Ward No-04 Total,684,35.7,63.6,0.6,0.1,707,18.8,66.3,12.7,2.1
81,10,14,288,,2,*Chakor Para,351,37.3,62.4,0.3,0.0,366,21.0,64.5,10.9,3.6
81,10,14,476,,2,*Hamidkura (Part),78,26.9,73.1,0.0,0.0,84,16.7,71.4,11.9,0.0
81,10,14,502,,2,*Jotraghu (Part) South,35,20.0,71.4,8.6,0.0,37,5.4,67.6,27.0,0.0
81,10,14,806,,2,*Nurnagar (Part),220,38.6,60.9,0.0,0.5,220,18.2,67.3,13.6,0.9
81,10,15,,,,Ward No-05 Total,647,34.0,65.2,0.8,0.0,611,20.0,71.7,8.3,0.0
81,10,15,027,,2,*Arani Dear Para(Part)East35,75,36.0,64.0,0.0,0.0,67,22.4,74.6,3.0,0.0
