0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
81,,,,,,Rajshahi Zila Total,77227,57900,50599,51492,36328,19710,80543,120332,8216,2939,114602,136679
81,,,,,1,Rajshahi Zila,44884,32176,34038,34304,13307,5662,54803,83399,3053,868,77276,94031
81,,,,,2,Rajshahi Zila,31667,25185,16126,16765,22792,13926,24965,35751,5107,2049,36136,41394
81,,,,,3,Rajshahi Zila,676,539,435,423,229,122,775,1182,56,22,1190,1254
81,10,,,,,Bagha Upazila Total,5355,4039,3307,3196,1511,830,5383,7935,379,152,7464,9692
81,10,,,,1,Bagha Upazila,4087,2947,2437,2402,1129,588,3950,5944,288,112,5563,7357
81,10,,,,2,Bagha Upazila,1268,1092,870,794,382,242,1433,1991,91,40,1901,2335
81,10,,,,2,Bagha  Paurashava,,,,,,,,,,,,
81,10,01,,,,Ward No-01 Total,105,88,78,79,36,20,128,183,5,2,161,220
81,10,01,128,,2,*Baliher,43,23,22,37,12,5,47,70,3,2,64,60
81,10,01,220,,2,*Chak Ahmedpur,11,7,18,19,4,1,25,44,0,0,31,50
81,10,01,680,,2,*Ahmdedpur Paschim,7,6,0,2,4,3,4,6,1,0,4,6
81,10,01,695,,2,*Bajubagha Natun Basati Pasch,21,28,11,7,13,10,27,34,1,0,31,51
81,10,01,800,,2,*Uttar Millik Bagha Paschim,23,24,27,14,3,1,25,29,0,0,31,53
81,10,02,,,,Ward No-02 Total,143,111,80,74,41,29,146,211,7,4,208,251
81,10,02,220,,2,*Chak Satari,79,51,40,44,16,9,78,130,2,2,125,133
81,10,02,240,,2,*Satari,64,60,40,30,25,20,68,81,5,2,83,118
81,10,03,,,,Ward No-03 Total,73,72,51,44,21,20,98,117,3,4,102,127
81,10,03,260,,2,*Chak Naraenpur Paschim,26,33,30,23,8,11,52,60,3,2,41,62
81,10,03,400,,2,*Kaligram,46,38,21,19,13,9,45,50,0,2,56,61
81,10,03,405,,2,*Gaonpara Paschim,1,1,0,2,0,0,1,7,0,0,5,4
81,10,04,,,,Ward No-04 Total,61,61,67,56,13,8,120,138,2,1,125,140
81,10,04,230,,2,*Gaonpara Dakshin,0,2,9,5,0,1,12,9,0,0,7,11
81,10,04,275,,2,*Chak Naraenpur Dakshin,61,59,58,51,13,7,108,129,2,1,118,129
81,10,05,,,,Ward No-05 Total,65,47,59,42,26,9,102,139,5,1,123,138
81,10,05,230,,2,*Ganapara Dakshin,30,22,40,29,15,0,50,82,1,1,73,76
81,10,05,770,,2,*Gaonpara Uttar,23,14,15,9,5,4,38,43,2,0,33,43
81,10,05,795,,2,*Chak Naraenpur Uttar,12,11,4,4,6,5,14,14,2,0,17,19
81,10,06,,,,Ward No-06 Total,116,95,57,42,25,17,96,108,7,0,134,148
81,10,06,295,,2,*Dakshin Millik Bagha Paschim,78,48,29,29,15,7,72,76,3,0,88,98
81,10,06,775,,2,*Uttar Millik Bagha Purba,38,47,28,13,10,10,24,32,4,0,46,50
81,10,07,,,,Ward No-07 Total,90,74,50,44,39,28,68,128,13,5,135,161
81,10,07,020,,2,*Ahmedpur Purba,4,7,5,5,6,6,9,15,2,1,15,21
81,10,07,190,,2,*Bajubagha Natun Basati Purba,3,11,9,2,4,5,7,14,0,0,9,20
