0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
81,,,,,,Rajshahi Zila Total,630331,12.8,27.8,55.2,4.2,24.3,28.6,37.9,9.2
81,,,,,1,Rajshahi Zila,435295,5.5,23.6,66.3,4.7,16.2,29.5,43.2,11.2
81,,,,,2,Rajshahi Zila,189046,29.7,37.6,29.7,3.1,42.7,26.6,26.0,4.7
81,,,,,3,Rajshahi Zila,5990,16.4,22.0,56.9,4.7,31.4,32.8,31.2,4.6
81,10,,,,,Bagha Upazila Total,46690,3.9,36.5,50.8,8.7,9.6,25.5,55.5,9.4
81,10,,,,1,Bagha Upazila,35602,2.8,35.0,52.4,9.9,10.0,23.2,57.1,9.7
81,10,,,,2,Bagha Upazila,11088,7.6,41.5,46.0,4.9,8.2,33.2,50.3,8.4
81,10,,,,2,Bagha  Paurashava,,,,,,,,,
81,10,01,,,,Ward No-01 Total,1014,3.6,48.6,43.1,4.7,14.6,48.2,31.9,5.3
81,10,01,128,,2,*Baliher,346,4.3,45.4,46.8,3.5,16.5,24.0,51.7,7.8
81,10,01,220,,2,*Chak Ahmedpur,183,1.1,42.1,41.5,15.3,13.1,30.1,46.4,10.4
81,10,01,680,,2,*Ahmdedpur Paschim,51,5.9,45.1,49.0,0.0,13.7,31.4,51.0,3.9
81,10,01,695,,2,*Bajubagha Natun Basati Pasch,201,5.5,65.7,24.9,4.0,16.9,65.2,15.9,2.0
81,10,01,800,,2,*Uttar Millik Bagha Paschim,233,2.1,44.6,53.2,0.0,11.2,87.6,0.4,0.9
81,10,02,,,,Ward No-02 Total,1161,5.3,47.4,43.7,3.7,11.3,31.6,43.4,13.7
81,10,02,220,,2,*Chak Satari,618,4.2,48.1,42.4,5.3,5.2,33.3,48.1,13.4
81,10,02,240,,2,*Satari,543,6.4,46.6,45.1,1.8,18.2,29.7,38.1,14.0
81,10,03,,,,Ward No-03 Total,645,9.9,56.9,31.6,1.6,25.9,22.3,48.5,3.3
81,10,03,260,,2,*Chak Naraenpur Paschim,292,19.2,51.0,27.1,2.7,29.8,13.0,53.4,3.8
81,10,03,400,,2,*Kaligram,337,2.1,60.5,37.1,0.3,23.7,27.9,45.7,2.7
81,10,03,405,,2,*Gaonpara Paschim,16,6.3,87.5,0.0,6.3,0.0,75.0,18.8,6.3
81,10,04,,,,Ward No-04 Total,686,2.0,45.2,52.2,0.6,9.2,28.4,50.6,11.8
81,10,04,230,,2,*Gaonpara Dakshin,41,0.0,53.7,41.5,4.9,0.0,22.0,58.5,19.5
81,10,04,275,,2,*Chak Naraenpur Dakshin,645,2.2,44.7,52.9,0.3,9.8,28.8,50.1,11.3
81,10,05,,,,Ward No-05 Total,710,4.4,43.0,52.4,0.3,6.2,47.3,41.5,4.9
81,10,05,230,,2,*Ganapara Dakshin,378,2.9,37.0,59.8,0.3,9.3,23.8,63.8,3.2
81,10,05,770,,2,*Gaonpara Uttar,242,6.2,53.7,39.7,0.4,1.7,69.4,21.1,7.9
