0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
81,,,,,,Rajshahi Zila Total,630331,8.1,88.5,3.4,62.1,90.5,6.5,3.0
81,,,,,1,Rajshahi Zila,435295,5.3,90.6,4.1,54.1,96.8,0.6,2.6
81,,,,,2,Rajshahi Zila,189046,14.4,83.9,1.8,80.2,75.8,20.2,4.0
81,,,,,3,Rajshahi Zila,5990,10.0,86.7,3.3,69.1,91.9,6.4,1.7
81,10,,,,,Bagha Upazila Total,46690,0.7,97.7,1.7,52.5,97.5,1.0,1.5
81,10,,,,1,Bagha Upazila,35602,0.6,98.1,1.3,49.5,98.4,0.2,1.4
81,10,,,,2,Bagha Upazila,11088,1.0,96.1,2.9,62.0,94.5,3.4,2.1
81,10,,,,2,Bagha  Paurashava,,,,,,,,
81,10,01,,,,Ward No-01 Total,1014,0.7,98.8,0.5,55.1,94.2,1.2,4.6
81,10,01,128,,2,*Baliher,346,2.0,97.4,0.6,70.8,88.7,0.0,11.3
81,10,01,220,,2,*Chak Ahmedpur,183,0.0,100.0,0.0,3.8,100.0,0.0,0.0
81,10,01,680,,2,*Ahmdedpur Paschim,51,0.0,96.1,3.9,66.7,100.0,0.0,0.0
81,10,01,695,,2,*Bajubagha Natun Basati Pasch,201,0.0,99.5,0.5,76.1,99.0,1.0,0.0
81,10,01,800,,2,*Uttar Millik Bagha Paschim,233,0.0,100.0,0.0,51.5,92.3,4.3,3.4
81,10,02,,,,Ward No-02 Total,1161,0.5,94.9,4.6,64.2,94.3,1.6,4.1
81,10,02,220,,2,*Chak Satari,618,0.8,98.4,0.8,68.3,92.9,2.4,4.7
81,10,02,240,,2,*Satari,543,0.2,91.0,8.8,59.5,95.9,0.6,3.5
81,10,03,,,,Ward No-03 Total,645,0.0,98.9,1.1,76.3,95.0,2.9,2.0
81,10,03,260,,2,*Chak Naraenpur Paschim,292,0.0,97.9,2.1,79.8,91.1,5.5,3.4
81,10,03,400,,2,*Kaligram,337,0.0,99.7,0.3,72.4,98.8,0.6,0.6
81,10,03,405,,2,*Gaonpara Paschim,16,0.0,100.0,0.0,93.8,87.5,6.3,6.3
81,10,04,,,,Ward No-04 Total,686,0.3,99.7,0.0,62.5,97.4,0.6,2.0
81,10,04,230,,2,*Gaonpara Dakshin,41,0.0,100.0,0.0,56.1,90.2,0.0,9.8
81,10,04,275,,2,*Chak Naraenpur Dakshin,645,0.3,99.7,0.0,62.9,97.8,0.6,1.6
81,10,05,,,,Ward No-05 Total,710,1.1,97.3,1.5,70.6,95.8,2.7,1.5
81,10,05,230,,2,*Ganapara Dakshin,378,0.5,97.6,1.9,76.2,97.4,0.5,2.1
81,10,05,770,,2,*Gaonpara Uttar,242,2.5,95.9,1.7,56.6,95.5,3.7,0.8
81,10,05,795,,2,*Chak Naraenpur Uttar,90,0.0,100.0,0.0,84.4,90.0,8.9,1.1
81,10,06,,,,Ward No-06 Total,690,2.8,97.1,0.1,84.1,84.9,14.8,0.3
81,10,06,295,,2,*Dakshin Millik Bagha Paschim,436,2.8,97.2,0.0,89.2,83.9,15.6,0.5
81,10,06,775,,2,*Uttar Millik Bagha Purba,254,2.8,96.9,0.4,75.2,86.6,13.4,0.0
81,10,07,,,,Ward No-07 Total,737,1.2,90.4,8.4,64.9,94.2,4.3,1.5
81,10,07,020,,2,*Ahmedpur Purba,87,0.0,100.0,0.0,64.4,95.4,4.6,0.0
81,10,07,190,,2,*Bajubagha Natun Basati Purba,80,0.0,98.8,1.3,56.3,92.5,5.0,2.5
81,10,07,300,,2,*Chakipara,156,0.0,100.0,0.0,67.9,100.0,0.0,0.0
81,10,07,630,,2,*Nichintapur,83,0.0,78.3,21.7,10.8,91.6,0.0,8.4
81,10,07,700,,2,*Millik Bagha Purba,331,2.7,84.3,13.0,79.2,92.1,7.3,0.6
81,10,08,,,,Ward No-08 Total,601,1.0,85.5,13.5,44.9,99.0,0.5,0.5
81,10,08,160,,2,*Baniapara,392,0.5,91.3,8.2,41.3,98.5,0.8,0.8
81,10,08,225,,2,*Chandipur Uttar,102,3.9,74.5,21.6,52.9,100.0,0.0,0.0
81,10,08,260,,2,*Jijal Palli Dakshin,107,0.0,74.8,25.2,50.5,100.0,0.0,0.0
81,10,09,,,,Ward No-09 Total,789,2.0,97.3,0.6,58.7,95.8,3.9,0.3
81,10,09,295,,2,*Dakshin Milik Bagha(Purba),232,6.9,90.9,2.2,94.8,87.9,12.1,0.0
81,10,09,395,,2,*Jotsaesta,99,0.0,100.0,0.0,22.2,100.0,0.0,0.0
81,10,09,610,,2,*Murshidpur,458,0.0,100.0,0.0,48.3,98.9,0.7,0.4
81,10,,,,2,Arani  Paurashava,,,,,,,,
81,10,11,,,,Ward No-01 (Arani) Total,359,0.0,100.0,0.0,57.1,100.0,0.0,0.0
81,10,11,502,,2,*Jotraghu (Part) Uttar,120,0.0,100.0,0.0,67.5,100.0,0.0,0.0
81,10,11,691,,2,*Kusabari,239,0.0,100.0,0.0,51.9,100.0,0.0,0.0
81,10,12,,,,Ward No-02 Total,349,0.0,100.0,0.0,73.6,98.3,0.0,1.7
81,10,12,424,,2,*Gochar,349,0.0,100.0,0.0,73.6,98.3,0.0,1.7
81,10,13,,,,Ward No-03 Total,271,0.0,100.0,0.0,65.3,100.0,0.0,0.0
81,10,13,476,,2,*Hamidkura (Part),271,0.0,100.0,0.0,65.3,100.0,0.0,0.0
81,10,14,,,,Ward No-04 Total,431,0.0,92.3,7.7,42.0,91.2,1.4,7.4
81,10,14,288,,2,*Chakor Para,224,0.0,100.0,0.0,25.0,100.0,0.0,0.0
81,10,14,476,,2,*Hamidkura (Part),49,0.0,100.0,0.0,89.8,95.9,2.0,2.0
81,10,14,502,,2,*Jotraghu (Part) South,28,0.0,100.0,0.0,53.6,100.0,0.0,0.0
81,10,14,806,,2,*Nurnagar (Part),130,0.0,74.6,25.4,50.8,72.3,3.8,23.8
81,10,15,,,,Ward No-05 Total,416,0.0,99.8,0.2,48.8,98.8,0.0,1.2
81,10,15,027,,2,*Arani Dear Para(Part)East35,43,0.0,97.7,2.3,0.0,97.7,0.0,2.3
81,10,15,908,,2,*Sahapur,373,0.0,100.0,0.0,54.4,98.9,0.0,1.1
81,10,16,,,,Ward No-06 Total,609,3.8,89.5,6.7,80.8,81.0,17.1,2.0
81,10,16,026,,2,*Arani Bazar,154,3.9,96.1,0.0,96.8,77.9,20.1,1.9
81,10,16,297,,2,*Dakshinpara,135,3.7,77.8,18.5,57.0,85.9,11.1,3.0
81,10,16,502,,2,*Jotraghu (Part) North,123,1.6,98.4,0.0,82.9,78.9,19.5,1.6
81,10,16,873,,2,*Purba Arani Para,197,5.1,86.8,8.1,83.2,81.2,17.3,1.5
81,10,17,,,,Ward No-07 Total,723,1.8,98.1,0.1,58.5,95.2,2.9,1.9
81,10,17,027,,2,*Arani Dearpara(Part)West,163,1.2,98.8,0.0,39.3,98.2,0.0,1.8
81,10,17,277,,2,*Chak Singa(Part)East,241,2.1,97.9,0.0,54.4,97.9,0.8,1.2
81,10,17,859,,2,*Piyada Para,319,1.9,97.8,0.3,71.5,91.5,6.0,2.5
81,10,18,,,,Ward No-08 Total,479,0.0,96.0,4.0,51.8,96.9,1.0,2.1
81,10,18,204,,2,*Bharati Para(Part)Mominpur,49,0.0,91.8,8.2,67.3,100.0,0.0,0.0
81,10,18,277,,2,*Chak Singa(Part)West,258,0.0,100.0,0.0,67.1,95.3,1.9,2.7
81,10,18,843,,2,*Panch Para (Part)North,151,0.0,90.1,9.9,27.8,98.0,0.0,2.0
81,10,18,958,,2,*Sonadaha (Part)North,21,0.0,100.0,0.0,0.0,100.0,0.0,0.0
81,10,19,,,,Ward No-09 Total,418,0.0,100.0,0.0,40.2,98.3,0.5,1.2
81,10,19,204,,2,*Bharati Para(Part)West,418,0.0,100.0,0.0,40.2,98.3,0.5,1.2
81,10,21,,,,Arani Union Total,2664,0.1,99.2,0.7,51.0,98.3,0.3,1.4
81,10,21,178,,1,*Bererbari,567,0.2,99.6,0.2,60.0,98.1,0.0,1.9
81,10,21,487,,1,*Haripur,269,0.0,99.6,0.4,17.8,99.3,0.0,0.7
81,10,21,544,,1,*Jhina,778,0.0,98.1,1.9,46.1,97.6,0.8,1.7
81,10,21,649,,1,*Khord Bausa,214,0.0,99.5,0.5,58.9,99.5,0.0,0.5
81,10,21,806,,1,*Nurnagar (Part),154,0.0,100.0,0.0,27.3,99.4,0.6,0.0
81,10,21,843,,1,*Panch Para (Part),274,0.0,99.6,0.4,61.7,99.3,0.0,0.7
81,10,21,958,,1,*Sonadaha (Part),408,0.2,99.8,0.0,67.2,97.8,0.0,2.2
81,10,22,,,,Bajubagha Union Total,3616,0.4,98.9,0.7,51.0,97.8,0.2,2.0
81,10,22,068,,1,*Bagh Sayesta,202,0.0,97.5,2.5,70.3,99.5,0.0,0.5
81,10,22,073,,1,*Bajubagha,1617,0.6,99.2,0.2,57.5,96.5,0.1,3.5
81,10,22,073,01,1,Teapukuria,402,2.2,97.0,0.7,66.2,100.0,0.0,0.0
81,10,22,073,02,1,Ahamadpur,364,0.0,100.0,0.0,75.0,99.7,0.0,0.3
81,10,22,073,03,1,Nouthika,356,0.0,100.0,0.0,72.8,99.4,0.0,0.6
81,10,22,073,04,1,Arifpur,238,0.0,100.0,0.0,13.0,81.1,0.0,18.9
81,10,22,073,05,1,Bara Khadia,116,0.0,100.0,0.0,51.7,99.1,0.9,0.0
81,10,22,073,06,1,Bajitpur,141,0.7,99.3,0.0,29.1,94.3,0.0,5.7
81,10,22,130,,1,*Bara Chhaighati,244,0.0,100.0,0.0,49.6,99.2,0.4,0.4
81,10,22,293,,1,*Chandipur,329,0.0,94.8,5.2,55.9,99.4,0.0,0.6
81,10,22,345,,1,*Dhaka Chandragati,282,0.0,99.6,0.4,2.8,99.6,0.0,0.4
81,10,22,497,,1,*Hijal Palli,108,0.0,100.0,0.0,48.1,100.0,0.0,0.0
81,10,22,555,,1,*Jot Joyram,328,0.9,99.1,0.0,68.6,97.9,0.3,1.8
81,10,22,576,,1,*Jot Raghab,324,0.0,100.0,0.0,48.5,98.8,1.2,0.0
81,10,22,659,,1,*Khudi Chhaighati,182,0.0,100.0,0.0,13.2,96.7,0.0,3.3
81,10,23,,,,Bausa Union Total,7528,0.2,98.1,1.8,52.3,98.1,0.2,1.6
81,10,23,015,,1,*Amarpur,299,0.7,90.0,9.4,56.9,98.3,0.0,1.7
81,10,23,041,,1,*Arpara,785,0.0,98.5,1.5,66.5,95.0,0.0,5.0
81,10,23,167,,1,*Bausa,2894,0.2,97.8,2.0,48.3,98.8,0.1,1.1
81,10,23,350,,1,*Dhandaha,397,0.0,100.0,0.0,57.7,98.5,0.0,1.5
81,10,23,366,,1,*Digha,912,0.0,100.0,0.0,35.9,97.5,0.2,2.3
81,10,23,481,,1,*Harina,530,0.2,99.8,0.0,70.0,98.5,0.2,1.3
81,10,23,665,,1,*Khagarbaria,410,0.2,99.5,0.2,42.9,99.8,0.0,0.2
