0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
84,,,,,,Rangamati Zila Total,595979,10.5,13.3,11.9,8.7,9.1,9.7,24.4,6.1,2.3,3.9
84,,,,,1,Rangamati Zila,436352,11.1,14.1,11.8,8.1,8.8,9.5,23.9,6.2,2.3,4.1
84,,,,,2,Rangamati Zila,97807,8.4,10.6,12.1,10.7,10.2,10.6,26.1,5.9,2.1,3.3
84,,,,,3,Rangamati Zila,61820,9.2,11.8,12.0,9.9,9.6,9.7,25.8,6.4,2.2,3.5
84,07,,,,,Baghaichhari Upazila Total,96899,10.9,14.0,12.3,8.2,8.5,9.5,23.6,6.2,2.4,4.4
84,07,,,,1,Baghaichhari Upazila,77024,11.4,14.4,12.3,7.9,8.4,9.4,23.2,6.2,2.3,4.4
84,07,,,,2,Baghaichhari Upazila,13807,9.0,12.2,13.1,9.5,9.0,10.3,24.4,5.7,2.8,4.2
84,07,,,,3,Baghaichhari Upazila,6068,9.1,12.7,11.7,8.8,7.6,8.9,27.0,7.1,2.2,5.0
84,07,,,,,Baghaichhari Paurashava,,,,,,,,,,,
84,07,01,,,,Ward No-01 Total,1399,8.9,12.7,11.6,9.4,9.3,11.0,24.2,5.1,3.1,4.9
84,07,01,167,,2,*Debar Para,438,7.5,11.4,11.0,9.1,11.9,11.0,21.0,7.1,4.8,5.3
84,07,01,470,,2,*Master Para,961,9.5,13.2,11.9,9.5,8.1,11.0,25.7,4.2,2.3,4.7
84,07,02,,,,Ward No-02 Total,2311,8.7,13.7,14.8,10.0,7.9,10.3,22.4,4.8,3.0,4.3
84,07,02,193,,2,*Gucchagram (Part),251,10.0,14.7,12.0,14.3,7.2,12.4,19.5,5.6,2.0,2.4
84,07,02,219,,2,*Headman Bepari Para(Part),118,8.5,14.4,9.3,11.9,11.0,10.2,21.2,1.7,6.8,5.1
84,07,02,291,,2,*Kuddush Para,223,8.1,12.1,13.5,10.8,9.9,7.6,22.4,5.4,3.1,7.2
84,07,02,410,,2,*Madhyapara,837,7.4,13.9,16.5,9.4,8.1,11.1,22.9,3.8,2.6,4.2
84,07,02,497,,2,*Matbar Para (Part),472,9.5,14.6,15.0,8.5,7.6,8.9,21.0,6.6,3.0,5.3
84,07,02,566,,2,*Munshi Para,167,8.4,13.2,16.2,6.0,6.0,9.6,28.7,4.2,4.2,3.6
84,07,02,583,,2,*Natun Para,160,13.8,11.9,11.9,11.3,6.9,11.3,20.0,6.3,3.8,3.1
84,07,02,644,,2,*Sarkar Para (Part),83,7.2,12.0,18.1,12.0,6.0,12.0,26.5,4.8,0.0,1.2
84,07,03,,,,Ward No-03 Total,1194,8.1,9.7,10.3,8.0,9.6,13.5,28.5,6.2,2.4,3.7
84,07,03,049,,2,*B.D.R.Camp,324,4.0,3.4,1.2,1.2,10.2,23.8,46.9,9.3,0.0,0.0
84,07,03,141,,2,*College Para,560,9.5,12.1,12.1,11.8,10.7,9.3,22.7,4.5,3.0,4.3
84,07,03,256,,2,*Imam Para,310,10.0,11.9,16.5,8.1,7.1,10.3,19.7,6.1,3.9,6.5
84,07,04,,,,Ward No-04 Total,1641,10.9,11.6,12.4,10.1,11.1,10.5,23.2,5.2,1.8,3.2
84,07,04,214,,2,*Hajipara,717,10.5,13.5,8.9,8.6,11.0,12.6,25.5,5.0,2.1,2.2
84,07,04,425,,2,*Madrasha Para,924,11.3,10.1,15.0,11.1,11.1,9.0,21.4,5.3,1.6,4.0
84,07,05,,,,Ward No-05 Total,1583,8.3,12.1,13.3,9.4,8.9,9.5,27.2,6.4,2.2,2.7
84,07,05,025,,2,*Ansar Camp,72,0.0,0.0,0.0,0.0,16.7,23.6,58.3,1.4,0.0,0.0
84,07,05,075,,2,*Baidhy Colony,196,9.2,11.7,14.3,10.7,13.3,8.2,20.4,6.6,2.0,3.6
84,07,05,082,,2,*Bazar Colony,321,10.6,10.0,15.6,10.0,6.5,8.4,29.3,4.7,2.2,2.8
84,07,05,314,,2,*Kasalang Bazar,191,4.7,16.2,15.7,9.9,4.7,7.9,30.9,5.2,3.1,1.6
84,07,05,501,,2,*Model Town,652,9.2,12.9,12.0,9.4,9.4,9.0,25.3,7.7,2.0,3.2
84,07,05,549,,2,*Mostafa Colony,151,7.3,13.9,15.9,10.6,7.9,11.3,19.9,8.6,3.3,1.3
84,07,06,,,,Ward No-06 Total,2109,8.7,13.7,13.5,9.8,8.6,9.2,23.4,4.8,3.7,4.6
