0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
84,,,,,,Rangamati Zila Total,77532,57781,19751,49798,17347,2306,248,5677,2156
84,,,,,1,Rangamati Zila,65082,47507,17575,43943,15915,969,135,2595,1525
84,,,,,2,Rangamati Zila,5495,4625,870,1486,273,796,93,2343,504
84,,,,,3,Rangamati Zila,6955,5649,1306,4369,1159,541,20,739,127
84,07,,,,,Baghaichhari Upazila Total,14840,10845,3995,10330,3842,169,13,346,140
84,07,,,,1,Baghaichhari Upazila,12859,9049,3810,8764,3684,61,9,224,117
84,07,,,,2,Baghaichhari Upazila,1009,943,66,735,44,99,4,109,18
84,07,,,,3,Baghaichhari Upazila,972,853,119,831,114,9,0,13,5
84,07,,,,,Baghaichhari Paurashava,,,,,,,,,
84,07,01,,,,Ward No-01 Total,159,143,16,83,6,40,0,20,10
84,07,01,167,,2,*Debar Para,74,65,9,5,0,40,0,20,9
84,07,01,470,,2,*Master Para,85,78,7,78,6,0,0,0,1
84,07,02,,,,Ward No-02 Total,239,234,5,194,4,24,1,16,0
84,07,02,193,,2,*Gucchagram (Part),20,20,0,20,0,0,0,0,0
84,07,02,219,,2,*Headman Bepari Para(Part),5,5,0,4,0,0,0,1,0
84,07,02,291,,2,*Kuddush Para,15,15,0,11,0,0,0,4,0
84,07,02,410,,2,*Madhyapara,80,78,2,63,1,14,1,1,0
84,07,02,497,,2,*Matbar Para (Part),60,57,3,44,3,10,0,3,0
84,07,02,566,,2,*Munshi Para,34,34,0,29,0,0,0,5,0
84,07,02,583,,2,*Natun Para,10,10,0,8,0,0,0,2,0
84,07,02,644,,2,*Sarkar Para (Part),15,15,0,15,0,0,0,0,0
84,07,03,,,,Ward No-03 Total,17,17,0,8,0,3,0,6,0
84,07,03,049,,2,*B.D.R.Camp,1,1,0,0,0,0,0,1,0
84,07,03,141,,2,*College Para,15,15,0,7,0,3,0,5,0
84,07,03,256,,2,*Imam Para,1,1,0,1,0,0,0,0,0
84,07,04,,,,Ward No-04 Total,82,77,5,25,2,23,2,29,1
84,07,04,214,,2,*Hajipara,52,49,3,8,0,19,2,22,1
84,07,04,425,,2,*Madrasha Para,30,28,2,17,2,4,0,7,0
84,07,05,,,,Ward No-05 Total,156,142,14,130,12,3,0,9,2
84,07,05,025,,2,*Ansar Camp,0,0,0,0,0,0,0,0,0
84,07,05,075,,2,*Baidhy Colony,27,20,7,19,7,0,0,1,0
84,07,05,082,,2,*Bazar Colony,41,40,1,38,1,1,0,1,0
84,07,05,314,,2,*Kasalang Bazar,15,14,1,13,1,0,0,1,0
84,07,05,501,,2,*Model Town,55,50,5,42,3,2,0,6,2
84,07,05,549,,2,*Mostafa Colony,18,18,0,18,0,0,0,0,0
84,07,06,,,,Ward No-06 Total,154,136,18,118,15,0,0,18,3
84,07,06,021,,2,*Abdul Hoque Headman Para,27,25,2,18,1,0,0,7,1
84,07,06,028,,2,*Ananda Karbari,6,4,2,4,2,0,0,0,0
84,07,06,103,,2,*Chairman Para,11,11,0,11,0,0,0,0,0
84,07,06,191,,2,*Guccha Gram,19,13,6,13,6,0,0,0,0
84,07,06,193,,2,*Gucchagram T & T Area (P.S.),34,31,3,21,2,0,0,10,1
84,07,06,603,,2,*Paschim Nailla Ghona,57,52,5,51,4,0,0,1,1
84,07,07,,,,Ward No-07 Total,62,60,2,56,1,3,1,1,0
84,07,07,188,,2,*F.Block Area ( Puran Basti ),62,60,2,56,1,3,1,1,0
84,07,08,,,,Ward No-08 Total,33,30,3,29,2,0,0,1,1
84,07,08,060,,2,*Babupara,19,17,2,16,2,0,0,1,0
84,07,08,223,,2,*Jibtali,13,12,1,12,0,0,0,0,1
84,07,08,707,,2,*Talukdar Para (Part),1,1,0,1,0,0,0,0,0
84,07,09,,,,Ward No-09 Total,107,104,3,92,2,3,0,9,1
84,07,09,071,,2,*Maddhya Baghai Chhari (Part),35,33,2,32,1,1,0,0,1
84,07,09,558,,2,*Purba Baghsi Chari (Part),11,11,0,10,0,0,0,1,0
84,07,09,675,,2,*Uttat Baghai Chari (Part),16,15,1,7,1,0,0,8,0
84,07,09,738,,2,*Ugal Chhari (Part),45,45,0,43,0,2,0,0,0
84,07,10,,,,Amtali Union Total,414,380,34,353,20,14,4,13,10
84,07,10,026,,1,*Amtali,414,380,34,353,20,14,4,13,10
84,07,10,026,01,1,Amtali Bazar,24,23,1,21,1,2,0,0,0
84,07,10,026,02,1,Aziz Pradan Para,19,19,0,18,0,0,0,1,0
84,07,10,026,03,1,Churakhali,48,42,6,38,4,3,2,1,0
84,07,10,026,04,1,Chand Mia Sarder Para,10,10,0,10,0,0,0,0,0
84,07,10,026,05,1,Khirar Char,3,3,0,1,0,0,0,2,0
84,07,10,026,06,1,Master Para-1,9,9,0,9,0,0,0,0,0
84,07,10,026,07,1,Imam Para,16,14,2,11,1,3,1,0,0
84,07,10,026,08,1,Purba Amtali,41,40,1,37,1,2,0,1,0
84,07,10,026,09,1,Mahila Bazar,51,49,2,48,2,1,0,0,0
84,07,10,026,10,1,Kabir Pur,3,1,2,1,2,0,0,0,0
