0,1,2,3,4,5,6,7,8,9,10,11,12
84,,,,,,Rangamati Zila Total,595979,209465,30244,8663,347038,569
84,,,,,1,Rangamati Zila,436352,125243,13541,8227,289043,298
84,,,,,2,Rangamati Zila,97807,55385,13123,350,28710,239
84,,,,,3,Rangamati Zila,61820,28837,3580,86,29285,32
84,07,,,,,Baghaichhari Upazila Total,96899,22008,6140,858,67796,97
84,07,,,,1,Baghaichhari Upazila,77024,10409,5317,819,60434,45
84,07,,,,2,Baghaichhari Upazila,13807,10590,795,23,2347,52
84,07,,,,3,Baghaichhari Upazila,6068,1009,28,16,5015,0
84,07,,,,,Baghaichhari Paurashava,,,,,,
84,07,01,,,,Ward No-01 Total,1399,1366,33,0,0,0
84,07,01,167,,2,*Debar Para,438,415,23,0,0,0
84,07,01,470,,2,*Master Para,961,951,10,0,0,0
84,07,02,,,,Ward No-02 Total,2311,2286,25,0,0,0
84,07,02,193,,2,*Gucchagram (Part),251,251,0,0,0,0
84,07,02,219,,2,*Headman Bepari Para(Part),118,118,0,0,0,0
84,07,02,291,,2,*Kuddush Para,223,221,2,0,0,0
84,07,02,410,,2,*Madhyapara,837,815,22,0,0,0
84,07,02,497,,2,*Matbar Para (Part),472,472,0,0,0,0
84,07,02,566,,2,*Munshi Para,167,166,1,0,0,0
84,07,02,583,,2,*Natun Para,160,160,0,0,0,0
84,07,02,644,,2,*Sarkar Para (Part),83,83,0,0,0,0
84,07,03,,,,Ward No-03 Total,1194,1115,73,0,6,0
84,07,03,049,,2,*B.D.R.Camp,324,314,8,0,2,0
84,07,03,141,,2,*College Para,560,491,65,0,4,0
84,07,03,256,,2,*Imam Para,310,310,0,0,0,0
84,07,04,,,,Ward No-04 Total,1641,1399,213,0,18,11
84,07,04,214,,2,*Hajipara,717,591,110,0,5,11
84,07,04,425,,2,*Madrasha Para,924,808,103,0,13,0
84,07,05,,,,Ward No-05 Total,1583,1029,361,13,139,41
84,07,05,025,,2,*Ansar Camp,72,68,2,0,0,2
84,07,05,075,,2,*Baidhy Colony,196,66,84,0,46,0
84,07,05,082,,2,*Bazar Colony,321,247,37,0,2,35
84,07,05,314,,2,*Kasalang Bazar,191,125,58,5,3,0
84,07,05,501,,2,*Model Town,652,390,170,0,88,4
84,07,05,549,,2,*Mostafa Colony,151,133,10,8,0,0
84,07,06,,,,Ward No-06 Total,2109,1817,11,0,281,0
84,07,06,021,,2,*Abdul Hoque Headman Para,419,419,0,0,0,0
84,07,06,028,,2,*Ananda Karbari,93,0,0,0,93,0
84,07,06,103,,2,*Chairman Para,578,578,0,0,0,0
84,07,06,191,,2,*Guccha Gram,103,53,0,0,50,0
