0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
85,,,,,,Rangpur Zila Total,720180,717362,389,2429,2881086,1443816,1437270,100
85,,,,,1,Rangpur Zila,620384,619571,185,628,2438373,1216653,1221720,100
85,,,,,2,Rangpur Zila,85888,84022,180,1686,387370,199176,188194,106
85,,,,,3,Rangpur Zila,13908,13769,24,115,55343,27987,27356,102
85,03,,,,,Badarganj Upazila Total,71982,71805,26,151,287746,144254,143492,101
85,03,,,,1,Badarganj Upazila,65693,65590,23,80,262460,131328,131132,100
85,03,,,,2,Badarganj Upazila,6289,6215,3,71,25286,12926,12360,105
85,03,,,,2,Badarganj  Paurashava,6289,6215,3,71,25286,12926,12360,105
85,03,01,,,,Ward No-01 Total,811,809,0,2,3594,1813,1781,102
85,03,01,870,,2,*Shaha Pur,811,809,0,2,3594,1813,1781,102
85,03,02,,,,Ward No-02 Total,671,665,1,5,2891,1514,1377,110
85,03,02,200,,2,*Badargonj Bazar,671,665,1,5,2891,1514,1377,110
85,03,03,,,,Ward No-03 Total,612,608,0,4,2372,1222,1150,106
85,03,03,330,,2,*Daktar Para,194,193,0,1,805,422,383,110
85,03,03,400,,2,*Feski Para,191,191,0,0,702,359,343,105
85,03,03,510,,2,*Munshi Para,227,224,0,3,865,441,424,104
85,03,04,,,,Ward No-04 Total,631,628,1,2,2744,1394,1350,103
85,03,04,900,,2,*Upazila Office Para,631,628,1,2,2744,1394,1350,103
85,03,05,,,,Ward No-05 Total,734,733,1,0,3134,1622,1512,107
85,03,05,320,,2,*Danga Para,734,733,1,0,3134,1622,1512,107
85,03,06,,,,Ward No-06 Total,642,642,0,0,2368,1158,1210,96
85,03,06,850,,2,*Uttar Jamubari,420,420,0,0,1559,772,787,98
85,03,06,960,,2,*Zadu Nagar,222,222,0,0,809,386,423,91
85,03,07,,,,Ward No-07 Total,887,878,0,9,3706,1865,1841,101
85,03,07,180,,2,*Balua Vata,887,878,0,9,3706,1865,1841,101
85,03,08,,,,Ward No-08 Total,653,607,0,46,2259,1193,1066,112
85,03,08,690,,2,*Purba Jmubari,653,607,0,46,2259,1193,1066,112
85,03,09,,,,Ward No-09 Total,648,645,0,3,2218,1145,1073,107
85,03,09,889,,2,*Sankar Pur (Part),648,645,0,3,2218,1145,1073,107
85,03,16,,,,Kalu Para Union Total,5109,5107,0,2,19697,9870,9827,100
85,03,16,076,,1,*Bairampur,1109,1108,0,1,4266,2175,2091,104
85,03,16,430,,1,*Jamubari,665,665,0,0,2581,1272,1309,97
85,03,16,459,,1,*Kalu Para,1963,1962,0,1,7259,3647,3612,101
85,03,16,889,,1,*Sankarpur (Part),1372,1372,0,0,5591,2776,2815,99
85,03,18,,,,Bishnupur Union Total,7308,7306,1,1,29860,14948,14912,100
