0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
85,,,,,,Rangpur Zila Total,1113236,35.3,63.9,0.7,0.2,1122917,22.1,67.3,9.7,0.9
85,,,,,1,Rangpur Zila,928331,33.7,65.5,0.7,0.2,947514,20.7,68.5,9.9,0.9
85,,,,,2,Rangpur Zila,162906,44.1,55.0,0.7,0.2,153635,31.0,59.5,8.6,0.9
85,,,,,3,Rangpur Zila,21999,37.6,61.7,0.6,0.1,21768,24.0,65.5,9.5,1.0
85,03,,,,,Badarganj Upazila Total,109277,33.4,65.8,0.7,0.1,110046,20.4,68.6,10.1,0.8
85,03,,,,1,Badarganj Upazila,99055,32.9,66.3,0.7,0.1,100159,20.1,68.9,10.1,0.8
85,03,,,,2,Badarganj Upazila,10222,38.0,61.0,0.8,0.2,9887,23.6,65.6,10.1,0.7
85,03,,,,2,Badarganj  Paurashava,10222,38.0,61.0,0.8,0.2,9887,23.6,65.6,10.1,0.7
85,03,01,,,,Ward No-01 Total,1398,35.3,63.5,0.8,0.4,1418,24.0,66.6,8.7,0.6
85,03,01,870,,2,*Shaha Pur,1398,35.3,63.5,0.8,0.4,1418,24.0,66.6,8.7,0.6
85,03,02,,,,Ward No-02 Total,1261,42.7,56.8,0.6,0.0,1137,24.3,63.1,11.7,0.9
85,03,02,200,,2,*Badargonj Bazar,1261,42.7,56.8,0.6,0.0,1137,24.3,63.1,11.7,0.9
85,03,03,,,,Ward No-03 Total,978,37.1,62.2,0.2,0.5,932,24.6,64.9,10.1,0.4
85,03,03,330,,2,*Daktar Para,349,45.6,53.9,0.3,0.3,320,27.5,60.3,11.9,0.3
85,03,03,400,,2,*Feski Para,271,28.4,70.5,0.4,0.7,266,18.0,74.4,7.1,0.4
85,03,03,510,,2,*Munshi Para,358,35.5,64.0,0.0,0.6,346,26.9,61.8,10.7,0.6
85,03,04,,,,Ward No-04 Total,1154,38.2,60.7,1.0,0.1,1097,25.1,65.1,9.6,0.3
85,03,04,900,,2,*Upazila Office Para,1154,38.2,60.7,1.0,0.1,1097,25.1,65.1,9.6,0.3
85,03,05,,,,Ward No-05 Total,1268,36.0,62.1,1.9,0.1,1213,23.2,65.5,10.9,0.4
85,03,05,320,,2,*Danga Para,1268,36.0,62.1,1.9,0.1,1213,23.2,65.5,10.9,0.4
85,03,06,,,,Ward No-06 Total,893,33.9,64.9,1.1,0.0,933,21.3,66.5,11.0,1.2
85,03,06,850,,2,*Uttar Jamubari,592,34.3,64.2,1.5,0.0,607,22.1,65.6,11.2,1.2
85,03,06,960,,2,*Zadu Nagar,301,33.2,66.4,0.3,0.0,326,19.9,68.1,10.7,1.2
85,03,07,,,,Ward No-07 Total,1504,41.2,58.0,0.8,0.0,1496,26.0,63.0,10.6,0.5
85,03,07,180,,2,*Balua Vata,1504,41.2,58.0,0.8,0.0,1496,26.0,63.0,10.6,0.5
85,03,08,,,,Ward No-08 Total,918,42.6,56.9,0.3,0.2,821,22.4,67.0,9.3,1.3
85,03,08,690,,2,*Purba Jmubari,918,42.6,56.9,0.3,0.2,821,22.4,67.0,9.3,1.3
85,03,09,,,,Ward No-09 Total,848,33.0,66.3,0.4,0.4,840,19.2,70.7,8.8,1.3
85,03,09,889,,2,*Sankar Pur (Part),848,33.0,66.3,0.4,0.4,840,19.2,70.7,8.8,1.3
85,03,16,,,,Kalu Para Union Total,7394,30.8,68.7,0.3,0.2,7404,18.1,71.1,9.8,1.0
85,03,16,076,,1,*Bairampur,1578,29.3,69.8,0.4,0.4,1537,17.4,72.2,9.9,0.6
85,03,16,430,,1,*Jamubari,959,29.7,69.8,0.5,0.0,987,16.6,71.0,11.2,1.1
85,03,16,459,,1,*Kalu Para,2770,31.4,68.3,0.1,0.2,2766,17.5,71.3,10.4,0.9
85,03,16,889,,1,*Sankarpur (Part),2087,31.6,68.1,0.2,0.1,2114,20.2,70.1,8.2,1.5
85,03,18,,,,Bishnupur Union Total,11148,33.6,65.8,0.5,0.1,11328,19.1,69.2,11.1,0.6
85,03,18,153,,1,*Buzruk Bagbar,1077,35.2,64.8,0.0,0.0,1091,20.3,66.5,13.1,0.2
85,03,18,153,01,1,Asraf Uddiner Para,189,33.9,66.1,0.0,0.0,174,18.4,70.1,11.5,0.0
85,03,18,153,02,1,Abdur Rahimer Para,114,34.2,65.8,0.0,0.0,120,22.5,63.3,13.3,0.8
85,03,18,153,03,1,Danga Para,81,33.3,66.7,0.0,0.0,94,24.5,62.8,12.8,0.0
85,03,18,153,04,1,Koch Para,109,38.5,61.5,0.0,0.0,118,16.9,71.2,11.0,0.8
85,03,18,153,05,1,Bairagi Para,62,43.5,56.5,0.0,0.0,56,19.6,66.1,14.3,0.0
85,03,18,153,06,1,Sarkar Para,340,32.9,67.1,0.0,0.0,358,20.9,64.5,14.5,0.0
85,03,18,153,07,1,Sekar Para,182,37.4,62.6,0.0,0.0,171,19.3,67.8,12.9,0.0
85,03,18,162,,1,*Buzruk Hazipur,983,33.8,65.3,0.7,0.2,986,20.4,68.0,11.4,0.3
85,03,18,191,,1,*Chhota Hazipur,1656,34.9,64.3,0.6,0.2,1692,17.6,68.1,13.5,0.8
