0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
85,,,,,,Rangpur Zila Total,7795,7713,98318,94083,141299,134682,48574,41686,97890,99387,25202,14872
85,,,,,1,Rangpur Zila,5954,5910,87092,83391,121860,116653,43040,36149,82409,84219,21018,11113
85,,,,,2,Rangpur Zila,1696,1659,9527,9104,16637,15427,4812,4887,13433,13227,3707,3505
85,,,,,3,Rangpur Zila,145,144,1699,1588,2802,2602,722,650,2048,1941,477,254
85,03,,,,,Badarganj Upazila Total,547,601,11146,10830,14398,13723,5195,4373,9407,9731,2668,1419
85,03,,,,1,Badarganj Upazila,494,537,10291,10099,13334,12745,4800,3990,8558,8920,2420,1234
85,03,,,,2,Badarganj Upazila,53,64,855,731,1064,978,395,383,849,811,248,185
85,03,,,,2,Badarganj  Paurashava,53,64,855,731,1064,978,395,383,849,811,248,185
85,03,01,,,,Ward No-01 Total,16,12,138,99,167,171,51,41,110,142,47,19
85,03,01,870,,2,*Shaha Pur,16,12,138,99,167,171,51,41,110,142,47,19
85,03,02,,,,Ward No-02 Total,7,4,74,75,118,94,29,36,126,81,23,20
85,03,02,200,,2,*Badargonj Bazar,7,4,74,75,118,94,29,36,126,81,23,20
85,03,03,,,,Ward No-03 Total,9,12,65,66,119,98,24,26,74,73,16,17
85,03,03,330,,2,*Daktar Para,3,4,12,20,44,35,3,7,37,18,0,8
85,03,03,400,,2,*Feski Para,1,2,34,26,35,32,14,6,11,20,14,5
85,03,03,510,,2,*Munshi Para,5,6,19,20,40,31,7,13,26,35,2,4
85,03,04,,,,Ward No-04 Total,4,5,69,76,101,87,45,38,76,76,26,19
85,03,04,900,,2,*Upazila Office Para,4,5,69,76,101,87,45,38,76,76,26,19
85,03,05,,,,Ward No-05 Total,0,5,121,99,126,108,58,58,96,86,28,31
85,03,05,320,,2,*Danga Para,0,5,121,99,126,108,58,58,96,86,28,31
85,03,06,,,,Ward No-06 Total,3,4,94,90,102,89,27,40,58,79,30,12
85,03,06,850,,2,*Uttar Jamubari,3,3,66,59,71,54,13,29,42,59,16,3
85,03,06,960,,2,*Zadu Nagar,0,1,28,31,31,35,14,11,16,20,14,9
85,03,07,,,,Ward No-07 Total,9,11,108,92,131,130,65,67,134,124,38,38
85,03,07,180,,2,*Balua Vata,9,11,108,92,131,130,65,67,134,124,38,38
85,03,08,,,,Ward No-08 Total,0,4,90,69,108,90,44,38,95,76,17,21
85,03,08,690,,2,*Purba Jmubari,0,4,90,69,108,90,44,38,95,76,17,21
85,03,09,,,,Ward No-09 Total,5,7,96,65,92,111,52,39,80,74,23,8
85,03,09,889,,2,*Sankar Pur (Part),5,7,96,65,92,111,52,39,80,74,23,8
85,03,16,,,,Kalu Para Union Total,20,11,846,784,1016,1010,333,326,568,613,218,124
85,03,16,076,,1,*Bairampur,7,1,223,200,193,214,95,87,111,102,42,27
85,03,16,430,,1,*Jamubari,2,1,95,99,156,145,29,27,71,90,34,14
85,03,16,459,,1,*Kalu Para,7,7,297,255,382,361,108,111,206,237,68,40
85,03,16,889,,1,*Sankarpur (Part),4,2,231,230,285,290,101,101,180,184,74,43
85,03,18,,,,Bishnupur Union Total,77,86,1176,1123,1533,1464,580,452,1006,986,277,122
85,03,18,153,,1,*Buzruk Bagbar,3,6,108,120,144,122,82,66,82,75,30,19
85,03,18,153,01,1,Asraf Uddiner Para,0,1,10,16,25,11,12,9,12,13,5,4
85,03,18,153,02,1,Abdur Rahimer Para,2,1,16,16,16,11,9,8,11,8,2,2
85,03,18,153,03,1,Danga Para,0,0,3,5,11,13,0,1,8,8,0,0
85,03,18,153,04,1,Koch Para,0,0,14,20,18,24,2,1,15,5,2,2
85,03,18,153,05,1,Bairagi Para,0,2,5,3,8,5,2,0,5,5,0,0
85,03,18,153,06,1,Sarkar Para,0,0,43,48,50,38,37,26,23,24,10,5
85,03,18,153,07,1,Sekar Para,1,2,17,12,16,20,20,21,8,12,11,6
85,03,18,162,,1,*Buzruk Hazipur,1,0,114,114,95,79,80,47,85,98,30,13
85,03,18,191,,1,*Chhota Hazipur,21,29,164,140,240,227,42,36,176,157,42,16
85,03,18,210,,1,*Dakshin Bishnupur,3,5,212,205,244,233,120,110,161,209,39,10
85,03,18,210,01,1,Chowdhury Para,2,0,12,8,14,14,7,6,9,19,4,1
85,03,18,210,02,1,Teli Para,1,0,12,9,4,15,6,1,8,12,2,1
85,03,18,210,03,1,Pramanik Para,0,0,15,11,18,9,13,14,4,12,4,2
85,03,18,210,04,1,Dhar Para,0,0,20,10,13,8,26,13,7,14,2,0
85,03,18,210,05,1,Sardar Para,0,0,11,7,9,9,0,7,8,6,0,1
85,03,18,210,06,1,Chand Para,0,0,12,19,30,25,12,16,20,27,6,1
85,03,18,210,07,1,Kazi Para,0,5,18,15,27,27,3,2,13,17,3,0
85,03,18,210,08,1,Munshi Para,0,0,11,9,13,12,4,6,13,14,1,1
85,03,18,210,09,1,Dewan Para,0,0,22,30,23,25,9,18,18,20,4,1
85,03,18,210,10,1,Dafadar Para,0,0,6,11,8,11,4,1,5,5,0,0
85,03,18,210,11,1,Purbapara,0,0,20,20,22,26,4,6,14,20,3,0
85,03,18,210,12,1,Majh Para,0,0,27,31,29,22,26,18,23,26,6,1
85,03,18,210,13,1,Jola Para,0,0,22,20,32,20,5,2,14,15,3,0
85,03,18,210,14,1,Hari Para,0,0,4,5,2,10,1,0,5,2,1,1
85,03,18,239,,1,*Dalua,5,5,59,38,61,53,13,12,27,33,15,3
85,03,18,239,01,1,Purbapara,0,0,33,26,20,21,13,10,10,14,11,1
85,03,18,239,02,1,Dalua,5,5,26,12,41,32,0,2,17,19,4,2
85,03,18,344,,1,*Ghrilai,11,10,108,91,142,157,55,43,103,96,40,6
85,03,18,487,,1,*Khagrband,13,15,173,153,239,237,43,26,124,118,27,17
85,03,18,487,01,1,Baragharia,1,1,21,16,25,23,5,3,19,18,3,2
85,03,18,487,02,1,Sona Para,1,1,10,5,18,10,1,0,5,7,2,2
85,03,18,487,03,1,Guna Para,0,0,19,23,27,25,6,1,6,10,6,3
85,03,18,487,04,1,Mandal Para,4,6,17,8,22,21,3,0,20,17,1,2
85,03,18,487,05,1,Moyan Para,0,0,22,18,25,21,6,2,16,17,2,1
85,03,18,487,06,1,Bania Para,0,2,38,33,35,34,17,9,20,14,4,3
85,03,18,487,07,1,Gachua Para,1,0,1,2,7,6,0,0,0,4,0,0
85,03,18,487,08,1,Saha Para,2,0,9,9,12,18,1,3,11,7,2,0
85,03,18,487,09,1,Thatari Para,4,3,11,15,27,30,1,3,16,12,2,0
85,03,18,487,10,1,Jumma Para,0,1,8,5,28,20,0,1,6,3,1,3
85,03,18,487,11,1,Paschimpara,0,1,17,19,13,29,3,4,5,9,4,1
85,03,18,774,,1,*Osmanpur,20,16,238,262,368,356,145,112,248,200,54,38
85,03,25,,,,Damodarpur Union Total,54,67,1086,1104,1495,1514,506,404,828,902,346,182
85,03,25,019,,1,*Amrulbari,15,12,213,250,321,338,102,89,232,231,79,39
85,03,25,172,,1,*Chak Palashbari,0,0,49,54,46,69,23,29,28,40,17,9
85,03,25,353,,1,*Gopalpur,7,15,242,260,343,337,101,83,162,188,67,36
85,03,25,353,01,1,Gopalpur,2,6,117,115,188,158,45,33,83,97,30,19
85,03,25,353,02,1,Uttar Gopalpur,5,9,125,145,155,179,56,50,79,91,37,17
85,03,25,420,,1,*Jamalpur,0,1,40,42,32,49,15,12,25,36,9,1
85,03,25,717,,1,*Mostafapur,8,6,137,128,198,195,108,89,97,125,70,43
85,03,25,870,,1,*Sahapur,3,2,85,85,113,104,32,27,65,61,23,13
85,03,25,956,,1,*Taluk Damodarpur,21,31,320,285,442,422,125,75,219,221,81,41
85,03,31,,,,'  Gopalpur' Union Total,42,32,1036,1108,1348,1279,590,444,921,974,271,139
85,03,31,047,,1,*Bachharajpur,0,2,40,39,27,42,38,14,12,23,22,6
85,03,31,105,,1,*Basantapur,8,1,68,62,68,58,30,28,51,62,13,13
85,03,31,363,,1,*Gopalpur,11,10,355,390,426,433,209,172,283,320,83,49
85,03,31,363,01,1,Station Para,0,4,18,15,19,29,6,7,21,28,2,2
85,03,31,363,02,1,Palpara,0,0,20,20,23,26,14,3,14,16,2,3
85,03,31,363,03,1,Ananda Para,0,0,2,8,5,7,1,3,5,6,0,1
85,03,31,363,04,1,Baroi Para,0,0,2,4,5,5,0,1,4,4,4,1
85,03,31,363,05,1,Acharuddin Para,0,1,13,19,18,18,10,9,12,8,2,1
85,03,31,363,06,1,Holli Para,0,0,17,26,19,20,3,4,6,19,4,4
85,03,31,363,07,1,Masna Para,0,0,19,17,22,17,5,10,10,13,6,1
85,03,31,363,08,1,Akhand Para,0,0,22,22,27,26,17,7,20,16,2,0
85,03,31,363,09,1,Ayarmari,0,1,31,33,30,28,7,8,41,25,2,2
85,03,31,363,10,1,Baragharia,10,2,13,16,39,30,8,6,15,15,6,2
85,03,31,363,11,1,Madhyapara,0,0,10,22,19,17,12,16,4,12,13,7
85,03,31,363,12,1,Paschimpara,0,2,48,40,32,28,39,24,18,19,10,5
85,03,31,363,13,1,Naya Para,0,0,36,37,39,43,15,26,19,26,3,9
85,03,31,363,14,1,Uttarpara,1,0,46,38,54,59,24,10,28,46,12,1
85,03,31,363,15,1,Thatari Para,0,0,23,29,28,20,15,9,13,23,3,1
85,03,31,363,16,1,Dakshinpara,0,0,30,29,36,51,25,20,44,39,9,6
85,03,31,363,17,1,Achar Para,0,0,5,15,11,9,8,9,9,5,3,3
85,03,31,554,,1,*Kismat Basantapur,1,0,72,66,100,91,39,35,101,81,20,13
85,03,31,746,,1,*Nandanpur,1,0,49,69,77,50,50,18,49,76,17,5
85,03,31,937,,1,*Shibpur,21,19,452,482,650,605,224,177,425,412,116,53
85,03,37,,,,Gopinathpur Union Total,90,92,1046,934,1420,1263,362,308,890,923,180,101
85,03,37,038,,1,*Arazi Dilalpur,2,2,163,141,217,168,53,47,120,118,36,15
85,03,37,258,,1,*Danga Para,23,32,170,149,312,246,55,51,204,178,37,23
85,03,37,373,,1,*Gopinathpur,6,7,148,149,183,173,57,32,122,121,34,12
85,03,37,526,,1,*Khiar Para,42,28,277,267,405,391,88,91,255,311,36,20
85,03,37,727,,1,*Mauagachh,17,23,288,228,303,285,109,87,189,195,37,31
85,03,63,,,,Kutubpur Union Total,76,69,915,859,1155,1124,425,405,740,755,191,93
85,03,63,200,,1,*Dakshin Bauchandi,3,2,229,228,242,262,118,102,161,148,46,23
85,03,63,602,,1,*Kutubpur,38,24,204,181,289,240,74,68,184,178,45,21
85,03,63,612,,1,*Kutubpur Khiar Para,2,1,56,61,106,98,26,17,50,62,9,11
85,03,63,621,,1,*Kutubpur Uttarpara,6,14,197,148,194,204,79,83,117,166,26,17
85,03,63,765,,1,*Nataram,27,27,142,134,191,201,75,68,120,118,37,13
85,03,63,861,,1,*Rostamabad,0,1,87,107,133,119,53,67,108,83,28,8
