0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
85,,,,,,Rangpur Zila Total,717362,3.6,15.9,77.3,3.2,17.5,24.9,36.3,21.3
85,,,,,1,Rangpur Zila,619571,1.5,13.4,81.8,3.3,14.9,23.9,38.2,23.0
85,,,,,2,Rangpur Zila,84022,18.6,33.0,46.1,2.3,35.0,31.7,22.3,11.1
85,,,,,3,Rangpur Zila,13769,4.6,27.3,66.5,1.6,25.5,29.4,33.8,11.3
85,03,,,,,Badarganj Upazila Total,71805,2.5,17.4,76.4,3.7,13.2,15.3,45.2,26.3
85,03,,,,1,Badarganj Upazila,65590,2.3,15.0,79.5,3.3,12.1,14.7,46.1,27.0
85,03,,,,2,Badarganj Upazila,6215,5.1,43.5,44.0,7.3,24.7,21.4,35.3,18.7
85,03,,,,2,Badarganj  Paurashava,6215,5.1,43.5,44.0,7.3,24.7,21.4,35.3,18.7
85,03,01,,,,Ward No-01 Total,809,4.2,45.9,36.5,13.5,14.7,36.8,36.5,12.0
85,03,01,870,,2,*Shaha Pur,809,4.2,45.9,36.5,13.5,14.7,36.8,36.5,12.0
85,03,02,,,,Ward No-02 Total,665,11.6,51.9,28.6,8.0,29.2,32.8,33.2,4.8
85,03,02,200,,2,*Badargonj Bazar,665,11.6,51.9,28.6,8.0,29.2,32.8,33.2,4.8
85,03,03,,,,Ward No-03 Total,608,7.9,38.0,50.8,3.3,26.6,20.7,32.6,20.1
85,03,03,330,,2,*Daktar Para,193,18.7,60.1,21.2,0.0,59.1,25.9,14.5,0.5
85,03,03,400,,2,*Feski Para,191,0.0,19.4,74.3,6.3,5.2,7.3,38.2,49.2
85,03,03,510,,2,*Munshi Para,224,5.4,34.8,56.3,3.6,17.0,27.7,43.3,12.1
85,03,04,,,,Ward No-04 Total,628,8.6,51.9,36.5,3.0,32.0,31.5,19.7,16.7
85,03,04,900,,2,*Upazila Office Para,628,8.6,51.9,36.5,3.0,32.0,31.5,19.7,16.7
85,03,05,,,,Ward No-05 Total,733,3.3,42.4,44.7,9.5,17.2,17.3,42.7,22.8
