0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
87,,,,,,Satkhira Zila Total,468853,2.7,10.6,22.1,28.3,18.3,9.3,4.3,4.4,4.2
87,,,,,1,Satkhira Zila,422470,2.6,10.5,21.9,28.4,18.5,9.4,4.3,4.4,4.2
87,,,,,2,Satkhira Zila,33093,3.5,11.7,23.9,28.2,16.4,8.2,3.9,4.3,4.1
87,,,,,3,Satkhira Zila,13290,3.8,10.6,21.9,27.6,17.6,9.2,4.5,4.8,4.2
87,04,,,,,Assasuni Upazila Total,61964,2.5,9.6,20.3,27.8,19.5,10.6,4.9,4.8,4.3
87,04,,,,1,Assasuni Upazila,59952,2.5,9.6,20.3,27.7,19.5,10.6,4.9,4.9,4.3
87,04,,,,3,Assasuni Upazila,2012,2.2,10.4,20.7,29.2,19.5,10.1,4.0,3.9,4.2
87,04,15,,,,Anulia Union Total,5504,1.7,9.3,18.8,27.3,19.3,11.9,5.7,5.9,4.5
87,04,15,025,,1,*Anulia,494,2.8,8.7,18.8,28.3,20.0,9.5,6.5,5.3,4.4
87,04,15,025,01,1,Anulia,421,2.9,8.8,18.3,29.9,19.5,9.3,6.7,4.8,4.4
87,04,15,025,02,1,Nayakhali,73,2.7,8.2,21.9,19.2,23.3,11.0,5.5,8.2,4.5
87,04,15,081,,1,*Ballabhpur,334,0.9,10.8,21.6,29.9,16.5,11.1,4.5,4.8,4.3
87,04,15,113,,1,*Bara Nasipur,349,1.4,6.9,17.8,26.1,19.5,14.3,6.9,7.2,4.7
87,04,15,113,01,1,Chenchua,229,0.9,7.0,19.2,26.6,22.3,13.5,4.8,5.7,4.6
87,04,15,113,02,1,Jaliakhali,120,2.5,6.7,15.0,25.0,14.2,15.8,10.8,10.0,4.9
87,04,15,119,,1,*Basudebpur,149,2.0,11.4,19.5,33.6,16.8,6.0,6.0,4.7,4.3
87,04,15,151,,1,*Bholanathpur,184,0.0,4.3,19.0,26.6,25.5,15.2,3.8,5.4,4.7
87,04,15,157,,1,*Bichhat,616,1.6,9.9,21.3,26.3,18.0,12.0,5.4,5.5,4.4
87,04,15,283,,1,*Dakshin Eksara,223,0.4,15.2,19.3,26.9,17.9,10.8,5.4,4.0,4.3
87,04,15,321,,1,*Eksara,1050,1.0,8.4,18.3,27.3,20.2,11.6,7.1,6.0,4.6
87,04,15,321,01,1,Uttar Eksara,582,1.0,7.6,18.9,26.1,19.8,11.0,8.6,7.0,4.6
