0,1,2,3,4,5,6,7,8,9,10,11,12
87,,,,,,Satkhira Zila Total,1985959,1625782,351551,6178,18,2430
87,,,,,1,Satkhira Zila,1788343,1453445,327064,5492,9,2333
87,,,,,2,Satkhira Zila,140572,125853,14058,653,8,0
87,,,,,3,Satkhira Zila,57044,46484,10429,33,1,97
87,04,,,,,Assasuni Upazila Total,268754,196026,71122,1342,1,263
87,04,,,,1,Assasuni Upazila,260169,188943,69706,1341,1,178
87,04,,,,3,Assasuni Upazila,8585,7083,1416,1,0,85
87,04,15,,,,Anulia Union Total,24710,22027,2660,23,0,0
87,04,15,025,,1,*Anulia,2175,1550,625,0,0,0
87,04,15,025,01,1,Anulia,1844,1219,625,0,0,0
87,04,15,025,02,1,Nayakhali,331,331,0,0,0,0
87,04,15,081,,1,*Ballabhpur,1434,937,497,0,0,0
87,04,15,113,,1,*Bara Nasipur,1637,1491,146,0,0,0
87,04,15,113,01,1,Chenchua,1050,904,146,0,0,0
87,04,15,113,02,1,Jaliakhali,587,587,0,0,0,0
87,04,15,119,,1,*Basudebpur,636,528,108,0,0,0
87,04,15,151,,1,*Bholanathpur,861,619,242,0,0,0
87,04,15,157,,1,*Bichhat,2738,2502,236,0,0,0
87,04,15,283,,1,*Dakshin Eksara,954,954,0,0,0,0
87,04,15,321,,1,*Eksara,4784,4607,154,23,0,0
87,04,15,321,01,1,Uttar Eksara,2705,2528,154,23,0,0
87,04,15,321,02,1,Madhya Eksara,2079,2079,0,0,0,0
87,04,15,503,,1,*Kakbasia,1692,1640,52,0,0,0
87,04,15,692,,1,*Manipur,1793,1313,480,0,0,0
87,04,15,692,01,1,Manipur,1283,1283,0,0,0,0
87,04,15,692,02,1,Ghustia (Khalia),510,30,480,0,0,0
87,04,15,711,,1,*Mirzapur,861,861,0,0,0,0
87,04,15,736,,1,*Naka Gadarghat,276,276,0,0,0,0
87,04,15,761,,1,*Nangla,639,639,0,0,0,0
87,04,15,780,,1,*Paikpara,201,201,0,0,0,0
87,04,15,831,,1,*Rajapur,3166,3137,29,0,0,0
87,04,15,831,01,1,Rajapur,2630,2601,29,0,0,0
87,04,15,831,02,1,Gorali,536,536,0,0,0,0
87,04,15,957,,1,*Swaranpur,863,772,91,0,0,0
87,04,15,957,01,1,Bagali,530,530,0,0,0,0
87,04,15,957,02,1,Atali,192,178,14,0,0,0
87,04,15,957,03,1,Kuitar Bil,107,30,77,0,0,0
87,04,15,957,04,1,Hamder Kunia,34,34,0,0,0,0
87,04,17,,,,Assasuni Union Total,23624,13567,9956,15,0,86
87,04,17,,,1,Assasuni Union,15039,6484,8540,14,0,1
87,04,17,,,3,Assasuni Union,8585,7083,1416,1,0,85
87,04,17,006,,1,*Adalatpur,966,965,0,0,0,1
87,04,17,037,,3,*Assasuni,6985,5493,1406,1,0,85
87,04,17,037,01,3,Assasuni,5815,4752,977,1,0,85
87,04,17,037,02,3,Manikhali,458,341,117,0,0,0
87,04,17,037,03,3,Jelekhali,298,63,235,0,0,0
87,04,17,037,04,3,Doyerghat,77,0,77,0,0,0
87,04,17,037,05,3,Gucchhagram,337,337,0,0,0,0
87,04,17,201,,1,*Chak Bausuli,291,274,17,0,0,0
87,04,17,289,,1,*Daserati,926,9,917,0,0,0
87,04,17,289,01,1,Daserati,331,9,322,0,0,0
87,04,17,289,02,1,Khaserabad,595,0,595,0,0,0
87,04,17,295,,1,*Dhanyahati,2349,1145,1203,1,0,0
87,04,17,295,01,1,Kuri Kahania,186,61,125,0,0,0
87,04,17,295,02,1,Dhanyahati,844,197,646,1,0,0
87,04,17,295,03,1,Sodkona,1319,887,432,0,0,0
87,04,17,302,,1,*Durgapur (Bara),3744,1291,2453,0,0,0
87,04,17,302,01,1,Durgapur,1564,1279,285,0,0,0
87,04,17,302,02,1,Bolabaria,1276,12,1264,0,0,0
87,04,17,302,03,1,Thakurabad,369,0,369,0,0,0
87,04,17,302,04,1,Haskhali,535,0,535,0,0,0
87,04,17,428,,1,*Hanribhanga,2159,454,1705,0,0,0
87,04,17,428,01,1,Hanribhanga,1081,430,651,0,0,0
87,04,17,428,02,1,Natana,1078,24,1054,0,0,0
87,04,17,528,,1,*Kamalapur,480,311,169,0,0,0
87,04,17,591,,1,*Kodanda,2200,1017,1183,0,0,0
87,04,17,591,01,1,Kodanda,1799,1012,787,0,0,0
87,04,17,591,02,1,Gaiyakhali,401,5,396,0,0,0
87,04,17,793,,1,*Par Bausuli,334,334,0,0,0,0
87,04,17,894,,1,*Shitalpur,782,684,85,13,0,0
87,04,17,900,,1,*Sobdalpur,808,0,808,0,0,0
87,04,17,925,,3,*Sreekalas,1600,1590,10,0,0,0
87,04,25,,,,Baradal Union Total,28037,15195,11953,882,1,6
87,04,25,107,,1,*Baradal,7832,4944,2308,579,1,0
87,04,25,107,01,1,Baradal Bazar,721,557,163,1,0,0
87,04,25,107,02,1,Uttarpara,1247,1209,28,10,0,0
87,04,25,107,03,1,Dakshinpara,2267,851,1415,0,1,0
87,04,25,107,04,1,Christian Para,568,0,0,568,0,0
87,04,25,107,05,1,Madhyapara,2687,2327,360,0,0,0
87,04,25,107,06,1,Pachpota,342,0,342,0,0,0
87,04,25,182,,1,*Buria,1725,740,854,125,0,6
87,04,25,207,,1,*Chak Buria,2634,1265,1369,0,0,0
87,04,25,207,01,1,Baintala,2009,640,1369,0,0,0
87,04,25,207,02,1,Gatir Mahal,625,625,0,0,0,0
87,04,25,245,,1,*Champakhali,4548,3031,1517,0,0,0
87,04,25,245,01,1,Champakhali,291,0,291,0,0,0
87,04,25,245,02,1,Goaldanga,3800,2574,1226,0,0,0
87,04,25,245,03,1,Kheruadanga,457,457,0,0,0,0
