0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
87,,,,,,Satkhira Zila Total,468853,5.9,79.1,15.0,41.8,95.5,2.8,1.7
87,,,,,1,Satkhira Zila,422470,2.8,81.3,15.9,38.2,97.6,0.9,1.5
87,,,,,2,Satkhira Zila,33093,46.3,51.4,2.3,81.4,72.3,24.6,3.2
87,,,,,3,Satkhira Zila,13290,4.8,77.6,17.6,55.5,86.1,11.0,2.9
87,04,,,,,Assasuni Upazila Total,61964,1.3,71.5,27.2,30.7,98.0,0.7,1.3
87,04,,,,1,Assasuni Upazila,59952,1.3,70.6,28.1,30.1,98.2,0.5,1.3
87,04,,,,3,Assasuni Upazila,2012,1.3,98.4,0.3,47.8,93.1,5.7,1.2
87,04,15,,,,Anulia Union Total,5504,0.1,69.9,29.9,25.6,98.6,0.6,0.8
87,04,15,025,,1,*Anulia,494,0.0,100.0,0.0,30.2,97.4,2.2,0.4
87,04,15,025,01,1,Anulia,421,0.0,100.0,0.0,28.3,97.1,2.6,0.2
87,04,15,025,02,1,Nayakhali,73,0.0,100.0,0.0,41.1,98.6,0.0,1.4
87,04,15,081,,1,*Ballabhpur,334,0.0,96.7,3.3,16.5,100.0,0.0,0.0
87,04,15,113,,1,*Bara Nasipur,349,0.0,81.9,18.1,38.4,98.0,0.9,1.1
87,04,15,113,01,1,Chenchua,229,0.0,100.0,0.0,42.8,98.7,1.3,0.0
87,04,15,113,02,1,Jaliakhali,120,0.0,47.5,52.5,30.0,96.7,0.0,3.3
87,04,15,119,,1,*Basudebpur,149,0.0,100.0,0.0,9.4,93.3,5.4,1.3
87,04,15,151,,1,*Bholanathpur,184,0.0,0.0,100.0,41.3,97.3,0.0,2.7
87,04,15,157,,1,*Bichhat,616,0.2,96.3,3.6,33.8,98.1,1.1,0.8
87,04,15,283,,1,*Dakshin Eksara,223,0.0,100.0,0.0,31.8,100.0,0.0,0.0
87,04,15,321,,1,*Eksara,1050,0.3,80.8,19.0,17.6,99.0,0.4,0.7
87,04,15,321,01,1,Uttar Eksara,582,0.5,69.1,30.4,16.7,98.3,0.7,1.0
87,04,15,321,02,1,Madhya Eksara,468,0.0,95.3,4.7,18.8,99.8,0.0,0.2
87,04,15,503,,1,*Kakbasia,378,0.5,39.2,60.3,34.9,99.5,0.3,0.3
87,04,15,692,,1,*Manipur,387,0.5,10.6,88.9,25.3,99.2,0.0,0.8
87,04,15,692,01,1,Manipur,274,0.0,0.4,99.6,23.0,98.9,0.0,1.1
87,04,15,692,02,1,Ghustia (Khalia),113,1.8,35.4,62.8,31.0,100.0,0.0,0.0
87,04,15,711,,1,*Mirzapur,193,0.0,1.6,98.4,25.4,99.5,0.0,0.5
87,04,15,736,,1,*Naka Gadarghat,71,0.0,0.0,100.0,33.8,100.0,0.0,0.0
87,04,15,761,,1,*Nangla,129,0.0,100.0,0.0,34.9,99.2,0.0,0.8
87,04,15,780,,1,*Paikpara,44,0.0,4.5,95.5,52.3,100.0,0.0,0.0
87,04,15,831,,1,*Rajapur,700,0.0,86.1,13.9,11.7,99.3,0.1,0.6
87,04,15,831,01,1,Rajapur,582,0.0,83.3,16.7,12.7,99.5,0.2,0.3
87,04,15,831,02,1,Gorali,118,0.0,100.0,0.0,6.8,98.3,0.0,1.7
87,04,15,957,,1,*Swaranpur,203,0.0,3.4,96.6,31.5,95.6,0.0,4.4
87,04,15,957,01,1,Bagali,121,0.0,0.0,100.0,27.3,94.2,0.0,5.8
87,04,15,957,02,1,Atali,48,0.0,2.1,97.9,37.5,95.8,0.0,4.2
87,04,15,957,03,1,Kuitar Bil,27,0.0,0.0,100.0,44.4,100.0,0.0,0.0
87,04,15,957,04,1,Hamder Kunia,7,0.0,85.7,14.3,14.3,100.0,0.0,0.0
87,04,17,,,,Assasuni Union Total,5422,6.6,80.5,12.9,37.8,97.1,2.2,0.7
87,04,17,,,1,Assasuni Union,3410,9.8,69.9,20.3,32.0,99.4,0.1,0.5
87,04,17,,,3,Assasuni Union,2012,1.3,98.4,0.3,47.8,93.1,5.7,1.2
87,04,17,006,,1,*Adalatpur,216,0.0,52.8,47.2,37.0,99.5,0.0,0.5
87,04,17,037,,3,*Assasuni,1635,1.6,98.2,0.2,50.6,93.1,6.1,0.8
87,04,17,037,01,3,Assasuni,1353,1.9,97.8,0.3,56.1,92.2,6.9,0.9
87,04,17,037,02,3,Manikhali,105,0.0,100.0,0.0,39.0,94.3,5.7,0.0
87,04,17,037,03,3,Jelekhali,76,0.0,100.0,0.0,10.5,98.7,1.3,0.0
87,04,17,037,04,3,Doyerghat,19,0.0,100.0,0.0,26.3,100.0,0.0,0.0
87,04,17,037,05,3,Gucchhagram,82,0.0,100.0,0.0,17.1,98.8,0.0,1.2
87,04,17,201,,1,*Chak Bausuli,78,0.0,34.6,65.4,26.9,97.4,0.0,2.6
87,04,17,289,,1,*Daserati,220,0.5,99.5,0.0,15.9,99.5,0.0,0.5
87,04,17,289,01,1,Daserati,83,0.0,100.0,0.0,42.2,98.8,0.0,1.2
87,04,17,289,02,1,Khaserabad,137,0.7,99.3,0.0,0.0,100.0,0.0,0.0
87,04,17,295,,1,*Dhanyahati,519,0.2,99.6,0.2,56.3,99.4,0.2,0.4
87,04,17,295,01,1,Kuri Kahania,47,0.0,100.0,0.0,55.3,100.0,0.0,0.0
87,04,17,295,02,1,Dhanyahati,182,0.5,99.5,0.0,87.4,98.9,0.5,0.5
87,04,17,295,03,1,Sodkona,290,0.0,99.7,0.3,36.9,99.7,0.0,0.3
87,04,17,302,,1,*Durgapur (Bara),852,0.2,89.1,10.7,17.1,99.8,0.2,0.0
87,04,17,302,01,1,Durgapur,376,0.0,100.0,0.0,38.8,99.5,0.5,0.0
87,04,17,302,02,1,Bolabaria,276,0.7,97.8,1.4,0.0,100.0,0.0,0.0
87,04,17,302,03,1,Thakurabad,87,0.0,0.0,100.0,0.0,100.0,0.0,0.0
87,04,17,302,04,1,Haskhali,113,0.0,100.0,0.0,0.0,100.0,0.0,0.0
87,04,17,428,,1,*Hanribhanga,507,48.5,51.5,0.0,66.3,99.0,0.2,0.8
87,04,17,428,01,1,Hanribhanga,255,52.5,47.5,0.0,92.5,98.0,0.4,1.6
87,04,17,428,02,1,Natana,252,44.4,55.6,0.0,39.7,100.0,0.0,0.0
87,04,17,528,,1,*Kamalapur,105,20.0,80.0,0.0,35.2,99.0,0.0,1.0
87,04,17,591,,1,*Kodanda,477,6.1,17.8,76.1,10.7,99.4,0.0,0.6
87,04,17,591,01,1,Kodanda,389,7.5,1.5,91.0,13.1,99.2,0.0,0.8
87,04,17,591,02,1,Gaiyakhali,88,0.0,89.8,10.2,0.0,100.0,0.0,0.0
87,04,17,793,,1,*Par Bausuli,76,0.0,100.0,0.0,0.0,100.0,0.0,0.0
87,04,17,894,,1,*Shitalpur,171,18.7,80.1,1.2,53.8,100.0,0.0,0.0
87,04,17,900,,1,*Sobdalpur,189,0.5,55.6,43.9,0.0,98.4,0.5,1.1
87,04,17,925,,3,*Sreekalas,377,0.0,99.2,0.8,35.5,93.4,3.7,2.9
87,04,25,,,,Baradal Union Total,6512,0.0,74.0,26.0,24.1,97.9,0.8,1.3
87,04,25,107,,1,*Baradal,1830,0.1,85.6,14.3,34.1,96.3,1.8,1.9
87,04,25,107,01,1,Baradal Bazar,172,0.0,100.0,0.0,64.0,80.8,12.8,6.4
87,04,25,107,02,1,Uttarpara,313,0.0,100.0,0.0,49.8,95.5,2.6,1.9
87,04,25,107,03,1,Dakshinpara,518,0.0,68.3,31.7,7.1,99.6,0.2,0.2
87,04,25,107,04,1,Christian Para,125,0.8,84.0,15.2,52.0,94.4,1.6,4.0
87,04,25,107,05,1,Madhyapara,625,0.2,87.4,12.5,39.0,98.2,0.0,1.8
87,04,25,107,06,1,Pachpota,77,0.0,100.0,0.0,15.6,100.0,0.0,0.0
87,04,25,182,,1,*Buria,418,0.0,100.0,0.0,31.1,92.8,1.0,6.2
87,04,25,207,,1,*Chak Buria,594,0.0,70.9,29.1,13.0,100.0,0.0,0.0
87,04,25,207,01,1,Baintala,464,0.0,89.7,10.3,12.7,100.0,0.0,0.0
87,04,25,207,02,1,Gatir Mahal,130,0.0,3.8,96.2,13.8,100.0,0.0,0.0
87,04,25,245,,1,*Champakhali,1044,0.1,58.6,41.3,17.2,98.3,1.1,0.6
87,04,25,245,01,1,Champakhali,62,1.6,11.3,87.1,8.1,100.0,0.0,0.0
87,04,25,245,02,1,Goaldanga,872,0.0,66.4,33.6,16.3,98.2,1.4,0.5
87,04,25,245,03,1,Kheruadanga,110,0.0,23.6,76.4,30.0,98.2,0.0,1.8
87,04,25,251,,1,*Changdi Bamandanga,316,0.0,5.1,94.9,15.2,100.0,0.0,0.0
87,04,25,333,,1,*Fakrabad,1281,0.0,81.3,18.7,31.6,99.3,0.1,0.6
87,04,25,333,01,1,Fakrabad,640,0.0,100.0,0.0,43.3,99.2,0.0,0.8
87,04,25,333,02,1,Madia,191,0.0,100.0,0.0,12.0,100.0,0.0,0.0
87,04,25,333,03,1,Murarikati,30,0.0,3.3,96.7,30.0,100.0,0.0,0.0
87,04,25,333,04,1,Kadamtala,29,0.0,0.0,100.0,20.7,100.0,0.0,0.0
87,04,25,333,05,1,Lakshmikhola,39,0.0,23.1,76.9,25.6,94.9,2.6,2.6
87,04,25,333,06,1,Hetalbunia,180,0.0,16.7,83.3,18.9,98.9,0.0,1.1
87,04,25,333,07,1,Jelputia,172,0.0,98.8,1.2,26.7,100.0,0.0,0.0
87,04,25,459,,1,*Jamalnagar,467,0.0,100.0,0.0,11.3,99.1,0.2,0.6
87,04,25,554,,1,*Kearganti,562,0.0,48.8,51.2,9.8,98.8,0.0,1.2
87,04,25,554,01,1,Kearganti,226,0.0,100.0,0.0,17.7,99.1,0.0,0.9
87,04,25,554,02,1,Dumurpota,260,0.0,18.5,81.5,4.6,98.5,0.0,1.5
87,04,25,554,03,1,Nurerabad,76,0.0,0.0,100.0,3.9,98.7,0.0,1.3
87,04,34,,,,Budhhata Union Total,6896,3.6,78.9,17.5,33.9,95.9,1.5,2.6
87,04,34,132,,1,*Bausali,156,0.6,5.1,94.2,26.3,92.9,1.3,5.8
87,04,34,132,01,1,Bausali,113,0.0,0.0,100.0,23.9,91.2,1.8,7.1
87,04,34,132,02,1,Buror Chak,9,11.1,88.9,0.0,55.6,100.0,0.0,0.0
87,04,34,132,03,1,Tuskhali,34,0.0,0.0,100.0,26.5,97.1,0.0,2.9
87,04,34,138,,1,*Beula,846,3.2,96.3,0.5,20.8,98.9,0.0,1.1
87,04,34,138,01,1,Beula,619,4.4,95.0,0.6,18.6,99.0,0.0,1.0
87,04,34,138,02,1,Lambadanga,227,0.0,100.0,0.0,26.9,98.7,0.0,1.3
87,04,34,176,,1,*Budhhata,1461,3.3,96.4,0.3,55.2,89.9,5.8,4.3
87,04,34,258,,1,*Chapra,1205,1.4,92.4,6.1,43.7,97.0,0.5,2.5
87,04,34,258,01,1,Chapra,1081,0.3,95.3,4.4,44.5,96.7,0.6,2.8
87,04,34,258,02,1,Jhatikata,30,20.0,80.0,0.0,66.7,100.0,0.0,0.0
87,04,34,258,03,1,Ramdebkati,94,8.5,63.8,27.7,26.6,100.0,0.0,0.0
87,04,34,270,,1,*Chumuria,15,0.0,13.3,86.7,0.0,80.0,0.0,20.0
87,04,34,415,,1,*Gurguri,31,0.0,0.0,100.0,6.5,71.0,0.0,29.0
87,04,34,623,,1,*Kunduria,419,0.0,14.6,85.4,13.4,97.4,0.0,2.6
87,04,34,661,,1,*Uttar Madra,96,1.0,0.0,99.0,51.0,88.5,0.0,11.5
87,04,34,673,,1,*Maheswar Kati,153,3.9,85.6,10.5,48.4,100.0,0.0,0.0
87,04,34,673,01,1,Maheswar Kati,128,4.7,82.8,12.5,57.0,100.0,0.0,0.0
87,04,34,673,02,1,Narayanpur,25,0.0,100.0,0.0,4.0,100.0,0.0,0.0
87,04,34,730,,1,*Naikati,417,0.0,50.1,49.9,12.0,99.3,0.0,0.7
87,04,34,768,,1,*Naoa Para,541,8.1,91.5,0.4,40.9,96.9,0.6,2.6
87,04,34,787,,1,*Paithali,890,1.3,69.8,28.9,17.1,98.1,0.1,1.8
87,04,34,787,01,1,Paithali,394,0.5,74.1,25.4,20.1,99.0,0.3,0.8
87,04,34,787,02,1,Padma Beula,313,3.2,96.8,0.0,17.3,96.8,0.0,3.2
87,04,34,787,03,1,Chila Dangal,98,0.0,12.2,87.8,15.3,96.9,0.0,3.1
