0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
86,,,,,,Shariatpur Zila Total,4472,4440,42940,41248,67549,65887,20772,17938,43152,50071,13185,9062
86,,,,,1,Shariatpur Zila,3769,3821,39095,37529,60661,59233,19211,16613,38335,44726,11908,8274
86,,,,,2,Shariatpur Zila,610,561,3368,3262,6062,5886,1371,1184,4223,4745,1094,680
86,,,,,3,Shariatpur Zila,93,58,477,457,826,768,190,141,594,600,183,108
86,14,,,,,Bhedarganj Upazila Total,664,671,10508,10168,14926,14982,5291,4417,9194,11102,2947,2034
86,14,,,,1,Bhedarganj Upazila,628,626,10257,9938,14480,14537,5177,4338,8869,10694,2869,2006
86,14,,,,2,Bhedarganj Upazila,29,44,219,204,381,396,109,74,278,345,67,21
86,14,,,,3,Bhedarganj Upazila,7,1,32,26,65,49,5,5,47,63,11,7
86,14,,,,,Bhedarganj Paurashava,,,,,,,,,,,,
86,14,01,,,,Ward No-01 Total,6,3,17,8,29,35,4,1,17,21,4,1
86,14,01,863,,2,*Putia (Part),6,3,17,8,29,35,4,1,17,21,4,1
86,14,02,,,,Ward No-02 Total,6,10,32,29,36,57,7,3,29,36,13,2
86,14,02,405,,2,*Gaidya (Part),6,10,32,29,36,57,7,3,29,36,13,2
86,14,03,,,,Ward No-03 Total,3,6,25,26,33,35,17,11,35,46,9,5
86,14,03,405,,2,*Gaidya (Part),3,6,15,20,23,22,10,6,25,30,4,2
86,14,03,863,,2,*Putia(Part),0,0,10,6,10,13,7,5,10,16,5,3
86,14,04,,,,Ward No-04 Total,4,4,18,20,64,51,5,2,28,51,5,1
86,14,04,405,,2,*Gaidya (Part),4,4,15,17,45,39,5,2,20,35,4,0
86,14,04,863,,2,*Putia (Part),0,0,3,3,19,12,0,0,8,16,1,1
86,14,05,,,,Ward No-05 Total,3,4,20,25,30,49,14,10,26,37,12,3
86,14,05,405,,2,*Gaidya (Part),3,4,20,25,30,49,14,10,26,37,12,3
86,14,06,,,,Ward No-06 Total,0,0,24,20,24,36,10,11,21,30,5,3
86,14,06,405,,2,*Gaidya (Part),0,0,24,20,24,36,10,11,21,30,5,3
86,14,07,,,,Ward No-07 Total,7,11,28,27,69,60,18,10,49,54,9,3
86,14,07,405,,2,*Gaidya (Part),7,11,28,27,69,60,18,10,49,54,9,3
86,14,08,,,,Ward No-08 Total,0,0,36,34,66,42,20,13,42,47,7,1
86,14,08,405,,2,*Gaidya (Part),0,0,36,34,66,42,20,13,42,47,7,1
86,14,09,,,,Ward No-09 Total,0,6,19,15,30,31,14,13,31,23,3,2
86,14,09,951,,2,*Shingjala,0,3,3,0,4,6,0,0,2,2,0,0
86,14,09,962,,2,*Surja Dighal,0,3,16,15,26,25,14,13,29,21,3,2
86,14,12,,,,Arshi Nagar Union Total,25,21,754,768,1034,1108,392,342,633,754,170,159
86,14,12,229,,1,*Char Mahish Khali,14,7,361,369,540,551,156,146,280,356,84,75
86,14,12,229,01,1,Maijher Char,0,1,4,14,36,22,1,3,8,14,9,2
86,14,12,229,02,1,Sadarali Amin Khandi,0,0,8,8,14,12,2,0,6,13,3,1
86,14,12,229,03,1,Abdul Aziz Bala Kandi,0,0,25,18,29,32,8,10,10,24,10,2
86,14,12,229,04,1,Joynal Balb Kandi,0,0,6,12,7,23,2,2,12,5,4,1
86,14,12,229,05,1,Abdul Jabbar Kandi,0,1,6,12,16,13,1,2,4,8,0,0
86,14,12,229,06,1,Yusuf Matber Kandi,0,0,5,9,15,9,0,2,5,9,1,1
86,14,12,229,07,1,Nur Mohammad Halder Kandi,0,0,11,14,16,27,7,6,4,11,2,1
86,14,12,229,08,1,Kashem Sarker Kandi,0,0,6,9,2,7,9,5,7,8,2,1
86,14,12,229,09,1,Abdur Razzak Balar Kandi,0,0,31,22,15,19,15,11,14,17,3,6
86,14,12,229,10,1,Gani Munshir Kandi,0,0,21,22,24,20,20,19,22,33,3,5
86,14,12,229,11,1,Abdus Salamat Kandi,1,0,11,10,12,8,3,4,3,4,5,5
86,14,12,229,12,1,Dhali Kandi (Chan Miah),2,0,22,32,86,64,7,15,19,22,6,7
86,14,12,229,13,1,Wahab Balar Kandi,0,0,4,3,3,4,0,2,4,3,0,2
86,14,12,229,14,1,Gafur Mridher Kandi,0,1,49,40,23,41,24,24,29,29,3,5
86,14,12,229,15,1,Subed Balar Kandi,1,1,13,11,27,25,4,0,15,21,3,0
86,14,12,229,16,1,Aziz Daroger Kandi,0,0,8,13,18,26,2,2,11,8,1,1
86,14,12,229,17,1,Balal Hossain Balar Kandi,0,0,6,4,8,11,7,2,5,5,1,1
86,14,12,229,18,1,Yunus Ali Sarder Kandi,0,0,6,6,6,5,9,4,2,8,1,1
86,14,12,229,19,1,Hazrat Ali Munshir Kandi,4,1,0,3,10,4,0,0,2,14,0,1
86,14,12,229,20,1,Suab Ali Sarder Kandi,2,1,4,12,11,7,5,8,15,7,2,4
86,14,12,229,21,1,Wahab Sarder Kandi,1,0,4,3,6,7,0,3,5,8,0,1
86,14,12,229,22,1,Mirchand Sikder Kandi,2,0,18,17,24,22,2,2,11,12,3,5
86,14,12,229,23,1,Nur Mohammad Master Kandi,0,0,17,8,25,16,5,2,10,18,0,2
86,14,12,229,24,1,Afajoddin Howladar Kandi,0,0,32,27,40,50,6,1,12,13,6,6
86,14,12,229,25,1,Mizan Howlader Kandi,0,0,4,5,7,2,0,1,1,3,0,0
86,14,12,229,26,1,Kalu Baler Kandi,1,0,9,10,17,16,5,4,6,3,7,7
86,14,12,229,27,1,Montaj Uddin Sarder Kandi,0,1,26,22,31,42,12,10,31,28,7,7
86,14,12,229,28,1,Gafur Molla Kandi,0,0,5,3,12,17,0,2,7,8,2,0
86,14,12,260,,1,*Char Phylis,11,14,393,399,494,557,236,196,353,398,86,84
86,14,12,260,01,1,Abdul Khair Halder Kandi,2,0,46,48,37,51,27,23,27,41,14,6
86,14,12,260,02,1,Yakub Balar Kandi,1,0,5,6,13,11,2,0,9,8,0,1
86,14,12,260,03,1,Bukal Kandi,1,0,11,6,16,13,10,11,6,5,3,6
86,14,12,260,04,1,Joynal Matbar Kandi,0,0,3,3,0,1,0,0,1,3,0,0
86,14,12,260,05,1,Kachiruddin Bepary Kandi,0,0,16,11,15,23,3,8,17,20,1,1
86,14,12,260,06,1,Sikdar Kandi,0,0,7,10,12,13,7,1,18,8,1,1
86,14,12,260,07,1,Abdul Latif Maji Kandi,0,0,2,4,10,5,3,4,9,6,0,2
86,14,12,260,08,1,Sona Mollar Kandi,0,1,3,6,4,7,1,1,5,5,0,1
86,14,12,260,09,1,Khaler Gajir Kandi,0,0,6,13,11,5,5,2,10,12,2,3
86,14,12,260,10,1,Ismahil Hawladar Kandi,0,0,1,2,6,1,0,0,0,4,0,1
86,14,12,260,11,1,Kala Chand Sarder Kandi,0,0,8,4,10,7,10,4,4,8,3,3
86,14,12,260,12,1,Nayan Sarder Kandi,1,0,2,11,12,8,2,5,9,5,2,1
86,14,12,260,13,1,Fazal Balar Kandi,0,0,5,6,10,9,4,3,4,9,0,1
86,14,12,260,14,1,Ahad Ali Matbar Kandi,3,3,42,51,62,74,22,31,48,52,9,16
86,14,12,260,15,1,Jafar Ali Sarker Kandi,1,0,13,6,6,17,14,5,12,12,2,0
86,14,12,260,16,1,Fazlul Haque Malat Kandi,0,0,20,26,21,30,14,12,9,16,6,4
86,14,12,260,17,1,Shamsul Haque Sarder Kandi,0,3,44,39,39,55,37,28,40,40,15,10
86,14,12,260,18,1,Kadir Mollar Kandi,0,0,2,1,3,3,3,1,5,2,0,0
86,14,12,260,19,1,Abdul Aziz Hawlader Kandi,1,3,14,12,24,19,2,2,16,14,6,0
86,14,12,260,21,1,Kafiluddin Kabiraj Kandi,0,0,16,14,14,23,14,11,16,25,1,4
86,14,12,260,22,1,Johirul Haque Bala Kandi,0,0,32,22,23,36,15,12,16,24,7,6
86,14,12,260,23,1,Danu Miah Hawlader Kandi,0,2,24,27,33,36,7,4,20,10,2,5
86,14,12,260,24,1,Lalchan Bapere Kandi,0,0,9,10,19,22,0,2,8,10,1,1
86,14,12,260,25,1,Chitokhar Kandi,0,0,6,7,2,1,1,1,5,4,0,0
86,14,12,260,26,1,Nur Mohammad Mollar Kandi,1,0,13,16,27,17,11,5,16,16,8,4
86,14,12,260,27,1,Muslem Dargar Kandi,0,0,11,14,15,15,10,6,10,14,1,4
