0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
89,,,,,,Sherpur Zila Total,341443,340769,121,553,1358325,676388,681937,99
89,,,,,1,Sherpur Zila,297006,296638,61,307,1170219,581889,588330,99
89,,,,,2,Sherpur Zila,43048,42754,59,235,182376,91553,90823,101
89,,,,,3,Sherpur Zila,1389,1377,1,11,5730,2946,2784,106
89,37,,,,,Jhenaigati Upazila Total,41117,41052,10,55,160452,79548,80904,98
89,37,,,,1,Jhenaigati Upazila,39728,39675,9,44,154722,76602,78120,98
89,37,,,,3,Jhenaigati Upazila,1389,1377,1,11,5730,2946,2784,106
89,37,12,,,,Dhanshail Union Total,5484,5479,1,4,21682,10756,10926,98
89,37,12,132,,1,*Bhabanikhila,186,185,0,1,787,373,414,90
89,37,12,172,,1,*Bilaspur,222,222,0,0,853,412,441,93
89,37,12,198,,1,*Chapajhora,419,419,0,0,1674,844,830,102
89,37,12,225,,1,*Chhota Malijhikanda,173,173,0,0,647,325,322,101
89,37,12,265,,1,*Dariarpar,945,945,0,0,3508,1750,1758,100
89,37,12,265,01,1,Uttar Dariar Para,424,424,0,0,1485,746,739,101
89,37,12,265,02,1,Dakhin Dariar Para,273,273,0,0,1096,550,546,101
89,37,12,265,03,1,Naya Para,248,248,0,0,927,454,473,96
89,37,12,291,,1,*Dhansail,1495,1493,1,1,6094,3048,3046,100
89,37,12,291,01,1,Chakpara,440,438,1,1,1831,917,914,100
89,37,12,291,02,1,Dhanshail,905,905,0,0,3595,1807,1788,101
89,37,12,291,03,1,Madarpur,150,150,0,0,668,324,344,94
89,37,12,517,,1,*Jagatpur,104,104,0,0,422,219,203,108
89,37,12,623,,1,*Kanduli,1550,1548,0,2,6105,2976,3129,95
89,37,12,623,01,1,Bagervita,606,606,0,0,2331,1122,1209,93
89,37,12,623,02,1,Kanduli,944,942,0,2,3774,1854,1920,97
89,37,12,676,,1,*Kuchni Para,384,384,0,0,1566,792,774,102
89,37,12,769,,1,*Nizamkhila,6,6,0,0,26,17,9,189
89,37,15,,,,Gauripur Union Total,3922,3920,1,1,15551,7717,7834,99
89,37,15,066,,1,*Bangaon,2069,2069,0,0,7820,3871,3949,98
89,37,15,066,01,1,Bangaon Purba Para,462,462,0,0,1755,875,880,99
