0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
89,,,,,,Sherpur Zila Total,498986,33.6,65.5,0.7,0.2,511835,21.4,68.7,9.0,0.9
89,,,,,1,Sherpur Zila,425856,33.0,66.1,0.7,0.2,438907,20.9,69.1,9.1,0.8
89,,,,,2,Sherpur Zila,70883,36.8,62.3,0.5,0.3,70738,24.4,66.4,8.2,1.0
89,,,,,3,Sherpur Zila,2247,37.2,62.4,0.4,0.0,2190,24.1,68.5,6.6,0.7
89,37,,,,,Jhenaigati Upazila Total,58822,33.3,65.9,0.6,0.2,60952,21.3,68.3,9.5,0.9
89,37,,,,1,Jhenaigati Upazila,56575,33.2,66.0,0.6,0.2,58762,21.2,68.3,9.6,0.9
89,37,,,,3,Jhenaigati Upazila,2247,37.2,62.4,0.4,0.0,2190,24.1,68.5,6.6,0.7
89,37,12,,,,Dhanshail Union Total,7843,32.3,66.9,0.6,0.2,8111,20.0,69.5,9.5,0.9
89,37,12,132,,1,*Bhabanikhila,271,31.4,67.5,1.1,0.0,301,22.9,64.5,12.0,0.7
89,37,12,172,,1,*Bilaspur,298,28.5,71.5,0.0,0.0,328,18.6,68.0,11.6,1.8
89,37,12,198,,1,*Chapajhora,609,30.9,67.8,0.8,0.5,601,18.6,71.0,9.5,0.8
89,37,12,225,,1,*Chhota Malijhikanda,235,27.2,72.8,0.0,0.0,241,14.9,71.8,11.6,1.7
89,37,12,265,,1,*Dariarpar,1263,31.1,68.0,0.4,0.5,1307,19.2,72.1,7.9,0.8
89,37,12,265,01,1,Uttar Dariar Para,535,33.5,65.6,0.9,0.0,568,21.3,67.4,10.7,0.5
89,37,12,265,02,1,Dakhin Dariar Para,386,30.3,69.2,0.0,0.5,381,16.8,75.1,6.8,1.3
89,37,12,265,03,1,Naya Para,342,28.4,70.5,0.0,1.2,358,18.4,76.3,4.5,0.8
89,37,12,291,,1,*Dhansail,2204,33.6,66.1,0.3,0.0,2261,21.3,69.9,8.1,0.7
89,37,12,291,01,1,Chakpara,678,37.2,62.5,0.1,0.1,672,24.6,71.0,4.3,0.1
89,37,12,291,02,1,Dhanshail,1306,33.2,66.4,0.4,0.0,1342,19.8,69.7,9.6,0.9
89,37,12,291,03,1,Madarpur,220,25.0,75.0,0.0,0.0,247,20.6,68.0,10.5,0.8
