0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
89,,,,,,Sherpur Zila Total,427515,700131,224465,334384,203050,365747,37.9,40.2,35.7
89,,,,,1,Sherpur Zila,341705,625387,179455,298929,162250,326458,35.3,37.5,33.2
89,,,,,2,Sherpur Zila,82606,73041,43318,34649,39288,38392,53.1,55.6,50.6
89,,,,,3,Sherpur Zila,3204,1703,1692,806,1512,897,65.3,67.7,62.8
89,37,,,,,Jhenaigati Upazila Total,51737,81792,27132,38677,24605,43115,38.7,41.2,36.3
89,37,,,,1,Jhenaigati Upazila,48533,80089,25440,37871,23093,42218,37.7,40.2,35.4
89,37,,,,3,Jhenaigati Upazila,3204,1703,1692,806,1512,897,65.3,67.7,62.8
89,37,12,,,,Dhanshail Union Total,6609,11263,3483,5347,3126,5916,37.0,39.4,34.6
89,37,12,132,,1,*Bhabanikhila,280,364,142,167,138,197,43.5,46.0,41.2
89,37,12,172,,1,*Bilaspur,237,462,120,214,117,248,33.9,35.9,32.1
89,37,12,198,,1,*Chapajhora,499,853,266,424,233,429,36.9,38.6,35.2
89,37,12,225,,1,*Chhota Malijhikanda,100,431,66,199,34,232,18.8,24.9,12.8
89,37,12,265,,1,*Dariarpar,1089,1815,566,869,523,946,37.5,39.4,35.6
89,37,12,265,01,1,Uttar Dariar Para,383,847,200,405,183,442,31.1,33.1,29.3
89,37,12,265,02,1,Dakhin Dariar Para,245,653,123,329,122,324,27.3,27.2,27.4
89,37,12,265,03,1,Naya Para,461,315,243,135,218,180,59.4,64.3,54.8
89,37,12,291,,1,*Dhansail,1925,3100,1013,1481,912,1619,38.3,40.6,36.0
89,37,12,291,01,1,Chakpara,596,928,308,460,288,468,39.1,40.1,38.1
89,37,12,291,02,1,Dhanshail,1202,1764,639,830,563,934,40.5,43.5,37.6
89,37,12,291,03,1,Madarpur,127,408,66,191,61,217,23.7,25.7,21.9
89,37,12,517,,1,*Jagatpur,191,169,109,71,82,98,53.1,60.6,45.6
89,37,12,623,,1,*Kanduli,1645,3383,850,1602,795,1781,32.7,34.7,30.9
89,37,12,623,01,1,Bagervita,685,1236,346,581,339,655,35.7,37.3,34.1
89,37,12,623,02,1,Kanduli,960,2147,504,1021,456,1126,30.9,33.0,28.8
89,37,12,676,,1,*Kuchni Para,637,670,346,310,291,360,48.7,52.7,44.7
89,37,12,769,,1,*Nizamkhila,6,16,5,10,1,6,27.3,33.3,14.3
89,37,15,,,,Gauripur Union Total,4440,8572,2256,4125,2184,4447,34.1,35.4,32.9
89,37,15,066,,1,*Bangaon,2161,4434,1098,2149,1063,2285,32.8,33.8,31.8
89,37,15,066,01,1,Bangaon Purba Para,493,968,239,484,254,484,33.7,33.1,34.4
89,37,15,066,02,1,Bangaon Naya Para,158,409,85,200,73,209,27.9,29.8,25.9
89,37,15,066,03,1,Bangaon Paschim Para,443,807,229,375,214,432,35.4,37.9,33.1
89,37,15,066,04,1,Choutul (Bangaon),196,426,101,214,95,212,31.5,32.1,30.9
89,37,15,066,05,1,Khapara,528,789,265,370,263,419,40.1,41.7,38.6
89,37,15,066,06,1,Gegatala,343,1035,179,506,164,529,24.9,26.1,23.7
89,37,15,305,,1,*Dudhnai,472,291,225,135,247,156,61.9,62.5,61.3
89,37,15,371,,1,*Gauripur,85,258,45,129,40,129,24.8,25.9,23.7
89,37,15,384,,1,*Gazarikura,722,1099,374,510,348,589,39.6,42.3,37.1
89,37,15,424,,1,*Gilagachha Dharapani,448,751,224,352,224,399,37.4,38.9,36.0
89,37,15,464,,1,*Haldibata,369,697,194,349,175,348,34.6,35.7,33.5
89,37,15,596,,1,*Kalakura,183,1042,96,501,87,541,14.9,16.1,13.9
89,37,17,,,,Hatibandha Malijhikanda Union Total,5075,8355,2656,3954,2419,4401,37.8,40.2,35.5
89,37,17,411,,1,*Ghagra Laskar,3287,4539,1700,2107,1587,2432,42.0,44.7,39.5
89,37,17,411,01,1,Ghagra Laskar,128,206,68,98,60,108,38.3,41.0,35.7
89,37,17,411,02,1,Dakhin  Para,305,509,151,233,154,276,37.5,39.3,35.8
89,37,17,411,03,1,Dargar Para,125,246,69,115,56,131,33.7,37.5,29.9
89,37,17,411,04,1,Darji Para,149,105,81,47,68,58,58.7,63.3,54.0
89,37,17,411,05,1,Kamar Para,312,396,158,200,154,196,44.1,44.1,44.0
89,37,17,411,06,1,Kabiraj Para,260,567,148,260,112,307,31.4,36.3,26.7
89,37,17,411,07,1,Kona Para,148,281,73,126,75,155,34.5,36.7,32.6
89,37,17,411,08,1,Khamar Para,43,171,28,75,15,96,20.1,27.2,13.5
89,37,17,411,09,1,Marua Para,323,529,176,248,147,281,37.9,41.5,34.3
89,37,17,411,10,1,Mulla Para,142,206,72,105,70,101,40.8,40.7,40.9
89,37,17,411,11,1,Mondal Para,347,355,170,156,177,199,49.4,52.1,47.1
89,37,17,411,12,1,Malipara,19,110,8,50,11,60,14.7,13.8,15.5
89,37,17,411,13,1,Putal Para,130,169,63,85,67,84,43.5,42.6,44.4
89,37,17,411,14,1,Pradhan Para,409,147,201,64,208,83,73.6,75.8,71.5
89,37,17,411,15,1,Sarkar Para,386,288,195,118,191,170,57.3,62.3,52.9
