0,1,2,3,4,5,6,7,8,9,10,11,12
89,,,,,,Sherpur Zila Total,1358325,1313519,34944,8686,34,1142
89,,,,,1,Sherpur Zila,1170219,1140695,20127,8293,6,1098
89,,,,,2,Sherpur Zila,182376,167623,14341,362,28,22
89,,,,,3,Sherpur Zila,5730,5201,476,31,0,22
89,37,,,,,Jhenaigati Upazila Total,160452,151539,5537,3104,0,272
89,37,,,,1,Jhenaigati Upazila,154722,146338,5061,3073,0,250
89,37,,,,3,Jhenaigati Upazila,5730,5201,476,31,0,22
89,37,12,,,,Dhanshail Union Total,21682,20557,1058,55,0,12
89,37,12,132,,1,*Bhabanikhila,787,787,0,0,0,0
89,37,12,172,,1,*Bilaspur,853,786,67,0,0,0
89,37,12,198,,1,*Chapajhora,1674,1532,131,11,0,0
89,37,12,225,,1,*Chhota Malijhikanda,647,647,0,0,0,0
89,37,12,265,,1,*Dariarpar,3508,3481,27,0,0,0
89,37,12,265,01,1,Uttar Dariar Para,1485,1485,0,0,0,0
89,37,12,265,02,1,Dakhin Dariar Para,1096,1096,0,0,0,0
89,37,12,265,03,1,Naya Para,927,900,27,0,0,0
89,37,12,291,,1,*Dhansail,6094,5612,438,44,0,0
89,37,12,291,01,1,Chakpara,1831,1780,7,44,0,0
89,37,12,291,02,1,Dhanshail,3595,3164,431,0,0,0
89,37,12,291,03,1,Madarpur,668,668,0,0,0,0
89,37,12,517,,1,*Jagatpur,422,222,200,0,0,0
89,37,12,623,,1,*Kanduli,6105,5910,195,0,0,0
89,37,12,623,01,1,Bagervita,2331,2167,164,0,0,0
89,37,12,623,02,1,Kanduli,3774,3743,31,0,0,0
89,37,12,676,,1,*Kuchni Para,1566,1554,0,0,0,12
89,37,12,769,,1,*Nizamkhila,26,26,0,0,0,0
89,37,15,,,,Gauripur Union Total,15551,14766,78,707,0,0
89,37,15,066,,1,*Bangaon,7820,7820,0,0,0,0
89,37,15,066,01,1,Bangaon Purba Para,1755,1755,0,0,0,0
89,37,15,066,02,1,Bangaon Naya Para,651,651,0,0,0,0
89,37,15,066,03,1,Bangaon Paschim Para,1520,1520,0,0,0,0
89,37,15,066,04,1,Choutul (Bangaon),738,738,0,0,0,0
89,37,15,066,05,1,Khapara,1543,1543,0,0,0,0
89,37,15,066,06,1,Gegatala,1613,1613,0,0,0,0
89,37,15,305,,1,*Dudhnai,895,562,65,268,0,0
89,37,15,371,,1,*Gauripur,392,379,13,0,0,0
89,37,15,384,,1,*Gazarikura,2194,1919,0,275,0,0
89,37,15,424,,1,*Gilagachha Dharapani,1479,1351,0,128,0,0
89,37,15,464,,1,*Haldibata,1272,1236,0,36,0,0
89,37,15,596,,1,*Kalakura,1499,1499,0,0,0,0
89,37,17,,,,Hatibandha Malijhikanda Union Total,16062,15533,528,1,0,0
89,37,17,411,,1,*Ghagra Laskar,9369,9298,70,1,0,0
89,37,17,411,01,1,Ghagra Laskar,415,415,0,0,0,0
89,37,17,411,02,1,Dakhin  Para,985,984,0,1,0,0
89,37,17,411,03,1,Dargar Para,452,452,0,0,0,0
89,37,17,411,04,1,Darji Para,296,296,0,0,0,0
89,37,17,411,05,1,Kamar Para,818,818,0,0,0,0
89,37,17,411,06,1,Kabiraj Para,1000,1000,0,0,0,0
89,37,17,411,07,1,Kona Para,519,519,0,0,0,0
89,37,17,411,08,1,Khamar Para,271,271,0,0,0,0
89,37,17,411,09,1,Marua Para,1019,1019,0,0,0,0
89,37,17,411,10,1,Mulla Para,404,404,0,0,0,0
89,37,17,411,11,1,Mondal Para,821,821,0,0,0,0
89,37,17,411,12,1,Malipara,162,92,70,0,0,0
