0,1,2,3,4,5,6,7,8,9,10,11,12
88,,,,,,Sirajganj Zila Total,593561,714971,3097489,3096259,1230,1290
88,,,,,1,Sirajganj Zila,,615797,2660912,2660127,785,
88,,,,,2,Sirajganj Zila,,84287,376432,376001,431,
88,,,,,3,Sirajganj Zila,,14887,60145,60131,14,
88,11,,,,,Belkuchi Upazila Total,39260,74450,352835,352709,126,2221
88,11,,,,1,Belkuchi Upazila,,58221,277471,277407,64,
88,11,,,,2,Belkuchi Upazila,,16229,75364,75302,62,
88,11,,,,2,Belkuchi Paurashava,,16229,75364,75302,62,
88,11,01,,,,Ward No-01 Total,,1772,8199,8199,0,
88,11,01,137,,2,*Boyrabari,,378,1685,1685,0,
88,11,01,192,,2,*Dakshin Subansara,,808,3618,3618,0,
88,11,01,926,,2,*Subarnasara,,586,2896,2896,0,
88,11,02,,,,Ward No-02 Total,,3369,15853,15853,0,
88,11,02,343,,2,*Delua,,1365,6386,6386,0,
88,11,02,640,,2,*Kidra Matia,,1571,7424,7424,0,
88,11,02,937,,2,*Sohagpur,,433,2043,2043,0,
88,11,03,,,,Ward No-03 Total,,2590,11962,11909,53,
88,11,03,240,,2,*Chalabhad (Purba),,2590,11962,11909,53,
88,11,04,,,,Ward No-04 Total,,1852,7321,7321,0,
88,11,04,240,,2,*Chalabhad (Paschim),,1132,4661,4661,0,
88,11,04,324,,2,*Jiduri,,720,2660,2660,0,
88,11,05,,,,Ward No-05 Total,,1329,6311,6311,0,
88,11,05,434,,2,*Garamasi,,1329,6311,6311,0,
88,11,06,,,,Ward No-06 Total,,1498,6962,6962,0,
88,11,06,434,,2,*Dakshin Chandanganti,,1498,6962,6962,0,
88,11,07,,,,Ward No-07 Total,,1367,6932,6923,9,
88,11,07,754,,2,*Mukundaganti,,1367,6932,6923,9,
88,11,08,,,,Ward No-08 Total,,915,4482,4482,0,
88,11,08,560,,2,*Shernagar,,915,4482,4482,0,
88,11,09,,,,Ward No-09 Total,,1537,7342,7342,0,
88,11,09,560,,2,*Kamar Para,,1537,7342,7342,0,
88,11,13,,,,Bara Dhul Union Total,7269,4807,19396,19396,0,659
88,11,13,077,,1,*Balia Para,,81,327,327,0,
88,11,13,091,,1,*Bangkhuri,,83,351,351,0,
88,11,13,099,,1,*Bara Dhul,,433,1570,1570,0,
88,11,13,105,,1,*Kol,,80,350,350,0,
88,11,13,171,,1,*Bhangabari,,80,326,326,0,
88,11,13,194,,1,*Bil Mahisha,,396,1603,1603,0,
88,11,13,199,,1,*Binnabari,,108,362,362,0,
88,11,13,279,,1,*Char Bell,,1467,5782,5782,0,
88,11,13,314,,1,*Chhota Dhul,,120,459,459,0,
88,11,13,408,,1,*Durlabhganti,,80,304,304,0,
88,11,13,423,,1,*Gachh Chapri,,689,3087,3087,0,
88,11,13,565,,1,*Katanga,,102,380,380,0,
88,11,13,583,,1,*Kirtikul Makarkul,,120,456,456,0,
88,11,13,609,,1,*Khidir,,23,85,85,0,
88,11,13,612,,1,*Khidra Chapri,,715,3083,3083,0,
88,11,13,783,,1,*Naoda Alakdia,,30,131,131,0,
88,11,13,983,,1,*Tarabaria,,200,740,740,0,
88,11,27,,,,Belkuchi Union Total,3095,2065,10089,10089,0,806
88,11,27,148,,1,*Belkuchi,,521,2654,2654,0,
88,11,27,307,,1,*Hat Bayra,,119,577,577,0,
88,11,27,308,,1,*Chhota Beara Kharua,,232,1046,1046,0,
88,11,27,343,,1,*Delua (Part),,756,3534,3534,0,
88,11,27,343,01,1,Ranipura,,247,1016,1016,0,
88,11,27,343,02,1,Dariapur,,90,444,444,0,
88,11,27,343,03,1,Char Delua,,367,1831,1831,0,
88,11,27,343,04,1,Delua (Part),,52,243,243,0,
88,11,27,714,,1,*Mantala,,110,579,579,0,
88,11,27,761,,1,*Mulkandi,,327,1699,1699,0,
88,11,40,,,,Bhangabari Union Total,5877,11096,53380,53376,4,2244
88,11,40,011,,1,*Adachaki,,1047,4752,4752,0,
88,11,40,205,,1,*Biswasbari,,309,1424,1424,0,
88,11,40,228,,1,*Buniaganti,,959,4749,4749,0,
88,11,40,228,01,1,Uttar Buniganti,,443,2023,2023,0,
88,11,40,228,02,1,Dakshin Buniganti,,516,2726,2726,0,
88,11,40,251,,1,*Chandanganti,,239,1171,1171,0,
88,11,40,354,,1,*Deluakandi,,339,1424,1424,0,
88,11,40,411,,1,*Gabgachhi,,951,4561,4561,0,
88,11,40,411,01,1,Gabgachhi,,526,2558,2558,0,
88,11,40,411,02,1,Chandangati,,425,2003,2003,0,
88,11,40,526,,1,*Joknala,,1294,6317,6317,0,
88,11,40,526,01,1,Joknala,,318,1551,1551,0,
88,11,40,526,02,1,Chak Nalua,,120,543,543,0,
88,11,40,526,03,1,Char Joknala,,341,1647,1647,0,
88,11,40,526,04,1,Bhutia Para,,99,490,490,0,
88,11,40,526,05,1,Saldair,,416,2086,2086,0,
88,11,40,606,,1,*Konabari Pathar,,199,988,988,0,
88,11,40,617,,1,*Kidra Joknala,,70,379,379,0,
88,11,40,789,,1,*Nishiboyra,,467,2176,2176,0,
88,11,40,903,,1,*Selbarsa,,378,1696,1696,0,
88,11,40,914,,1,*Sener Bhangabari,,519,2366,2366,0,
88,11,40,949,,1,*Shyamganti,,453,2502,2502,0,
88,11,40,960,,1,*Sonamukhi,,170,796,796,0,
88,11,40,972,,1,*Tamai,,3702,18079,18075,4,
88,11,40,972,01,1,Tamai,,2360,11890,11886,4,
88,11,40,972,02,1,Rayan Para,,531,2497,2497,0,
88,11,40,972,03,1,Kalia Para,,398,1745,1745,0,
88,11,40,972,04,1,Kuthi Para,,413,1947,1947,0,
88,11,54,,,,Daulatpur Union Total,5149,18069,88236,88198,38,4235
88,11,54,034,,1,*Ajogara,,459,2022,2022,0,
88,11,54,125,,1,*Boyra,,976,5145,5116,29,
88,11,54,171,,1,*Bhangabari,,1128,5665,5665,0,
88,11,54,171,01,1,Bhangabari,,445,2218,2218,0,
88,11,54,171,02,1,Barapur,,683,3447,3447,0,
88,11,54,331,,1,*Daulatpur,,3365,16435,16435,0,
88,11,54,331,01,1,Daulatpur,,2241,10722,10722,0,
88,11,54,331,02,1,Panch Takthukni,,1124,5713,5713,0,
88,11,54,400,,1,*Dhulgagrakhali,,1166,5776,5776,0,
88,11,54,480,,1,*Gopalpur,,2732,13108,13108,0,
88,11,54,491,,1,*Gumurkhi,,3671,17641,17641,0,
88,11,54,514,,1,*Jamtail,,1322,6247,6247,0,
88,11,54,629,,1,*Khidra Goprikhi,,502,2484,2484,0,
88,11,54,709,,1,*Mamudpur,,764,3954,3945,9,
88,11,54,709,01,1,Mamudpur,,578,3009,3009,0,
88,11,54,709,02,1,Bilpara,,8,38,38,0,
88,11,54,709,03,1,Solakura,,178,907,898,9,
88,11,54,731,,1,*Meghulla,,455,2259,2259,0,
88,11,54,857,,1,*Saldair,,147,813,813,0,
88,11,54,994,,1,*Tenyasia,,1382,6687,6687,0,
88,11,67,,,,Dhukaria Bera Union Total,7472,11913,58039,58036,3,1919
88,11,67,160,,1,*Bera,,1506,7150,7150,0,
88,11,67,160,01,1,Dhukaria Bera,,1416,6744,6744,0,
88,11,67,160,02,1,Bera Roypara,,90,406,406,0,
88,11,67,217,,1,*Brahmangram,,221,1085,1085,0,
88,11,67,263,,1,*Chand Metuani,,230,1194,1194,0,
88,11,67,297,,1,*Char Ghughat,,333,1569,1569,0,
88,11,67,297,01,1,Char Ghughat,,154,667,667,0,
88,11,67,297,02,1,Balabari,,179,902,902,0,
88,11,67,377,,1,*Dhukaria,,1261,6358,6358,0,
