0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
88,,,,,,Sirajganj Zila Total,713064,3.0,10.9,20.6,26.0,18.8,10.2,5.0,5.5,4.3
88,,,,,1,Sirajganj Zila,614825,3.0,11.0,20.5,26.0,18.9,10.2,5.0,5.4,4.3
88,,,,,2,Sirajganj Zila,83443,3.0,9.8,20.4,26.7,18.5,10.1,5.0,6.4,4.4
88,,,,,3,Sirajganj Zila,14796,4.1,14.7,22.9,25.4,16.8,8.1,3.9,4.1,4.0
88,11,,,,,Belkuchi Upazila Total,74196,1.9,8.4,17.3,23.8,20.2,12.9,7.0,8.4,4.7
88,11,,,,1,Belkuchi Upazila,58083,1.8,8.2,17.1,23.6,20.3,13.1,7.3,8.6,4.7
88,11,,,,2,Belkuchi Upazila,16113,2.5,9.2,18.1,24.6,19.7,12.1,6.1,7.7,4.6
88,11,,,,2,Belkuchi Paurashava,16113,2.5,9.2,18.1,24.6,19.7,12.1,6.1,7.7,4.6
88,11,01,,,,Ward No-01 Total,1759,2.3,8.5,17.7,25.3,20.9,11.5,6.5,7.3,4.6
88,11,01,137,,2,*Boyrabari,378,1.9,8.5,20.6,28.0,18.3,10.6,5.8,6.3,4.5
88,11,01,192,,2,*Dakshin Subansara,804,2.1,9.8,18.5,26.5,19.5,11.6,5.8,6.1,4.5
88,11,01,926,,2,*Subarnasara,577,2.9,6.6,14.6,21.8,24.6,12.1,7.8,9.5,4.9
88,11,02,,,,Ward No-02 Total,3358,1.7,7.4,16.9,25.6,19.9,14.5,6.5,7.5,4.7
88,11,02,343,,2,*Delua,1365,1.4,7.2,17.4,25.1,20.6,15.2,5.9,7.2,4.7
88,11,02,640,,2,*Kidra Matia,1568,2.2,7.0,16.6,26.2,19.5,13.9,6.8,7.8,4.7
88,11,02,937,,2,*Sohagpur,425,0.7,9.4,16.7,25.2,19.3,14.1,7.3,7.3,4.7
88,11,03,,,,Ward No-03 Total,2568,2.1,10.8,18.3,24.3,19.1,12.2,6.2,7.0,4.5
88,11,03,240,,2,*Chalabhad (Purba),2568,2.1,10.8,18.3,24.3,19.1,12.2,6.2,7.0,4.5
88,11,04,,,,Ward No-04 Total,1826,6.8,16.6,24.2,22.2,16.0,6.2,3.1,4.8,3.9
88,11,04,240,,2,*Chalabhad (Paschim),1107,6.7,14.2,25.4,22.9,15.7,6.1,3.2,5.9,4.0
88,11,04,324,,2,*Jiduri,719,7.1,20.3,22.4,21.3,16.6,6.4,2.9,3.1,3.7
88,11,05,,,,Ward No-05 Total,1320,2.2,8.7,16.3,25.4,21.6,11.9,5.5,8.4,4.7
88,11,05,434,,2,*Garamasi,1320,2.2,8.7,16.3,25.4,21.6,11.9,5.5,8.4,4.7
88,11,06,,,,Ward No-06 Total,1486,1.9,7.1,17.8,26.8,20.5,12.6,6.3,7.0,4.6
88,11,06,434,,2,*Dakshin Chandanganti,1486,1.9,7.1,17.8,26.8,20.5,12.6,6.3,7.0,4.6
88,11,07,,,,Ward No-07 Total,1363,1.9,6.9,18.6,23.5,18.0,11.8,7.3,12.0,5.0
88,11,07,754,,2,*Mukundaganti,1363,1.9,6.9,18.6,23.5,18.0,11.8,7.3,12.0,5.0
88,11,08,,,,Ward No-08 Total,911,1.1,7.8,14.7,23.7,23.2,13.6,7.4,8.6,4.9
88,11,08,560,,2,*Shernagar,911,1.1,7.8,14.7,23.7,23.2,13.6,7.4,8.6,4.9
88,11,09,,,,Ward No-09 Total,1522,2.6,7.8,16.7,23.6,20.1,13.6,7.0,8.6,4.8
88,11,09,560,,2,*Kamar Para,1522,2.6,7.8,16.7,23.6,20.1,13.6,7.0,8.6,4.8
88,11,13,,,,Bara Dhul Union Total,4798,1.3,14.7,26.5,23.9,16.2,9.6,4.8,3.1,4.0
88,11,13,077,,1,*Balia Para,81,2.5,16.0,23.5,21.0,19.8,8.6,4.9,3.7,4.0
88,11,13,091,,1,*Bangkhuri,83,0.0,16.9,18.1,26.5,16.9,12.0,6.0,3.6,4.2
88,11,13,099,,1,*Bara Dhul,433,1.8,17.1,34.4,24.5,12.7,5.3,3.2,0.9,3.6
88,11,13,105,,1,*Kol,80,0.0,6.3,23.8,30.0,21.3,8.8,5.0,5.0,4.4
88,11,13,171,,1,*Bhangabari,80,1.3,20.0,23.8,17.5,15.0,13.8,3.8,5.0,4.1
88,11,13,194,,1,*Bil Mahisha,396,3.8,14.1,23.2,24.2,14.9,11.4,5.1,3.3,4.0
88,11,13,199,,1,*Binnabari,108,8.3,20.4,34.3,16.7,11.1,5.6,1.9,1.9,3.4
88,11,13,279,,1,*Char Bell,1462,0.9,17.0,28.2,22.6,15.3,8.8,4.2,3.1,3.9
88,11,13,314,,1,*Chhota Dhul,120,0.0,10.8,32.5,35.0,12.5,5.0,3.3,0.8,3.8
88,11,13,408,,1,*Durlabhganti,80,0.0,28.8,17.5,23.8,16.3,6.3,5.0,2.5,3.8
88,11,13,423,,1,*Gachh Chapri,688,0.4,9.4,21.4,23.5,19.9,13.4,7.4,4.5,4.5
88,11,13,565,,1,*Katanga,102,0.0,16.7,36.3,28.4,6.9,3.9,5.9,2.0,3.7
88,11,13,583,,1,*Kirtikul Makarkul,120,0.8,11.7,35.8,24.2,19.2,4.2,2.5,1.7,3.8
88,11,13,609,,1,*Khidir,23,0.0,17.4,30.4,34.8,8.7,4.3,0.0,4.3,3.7
88,11,13,612,,1,*Khidra Chapri,712,1.1,12.2,21.3,23.0,19.5,12.6,5.8,4.4,4.3
88,11,13,783,,1,*Naoda Alakdia,30,0.0,3.3,30.0,26.7,16.7,13.3,10.0,0.0,4.4
88,11,13,983,,1,*Tarabaria,200,1.0,16.0,30.0,30.0,13.5,7.5,1.5,0.5,3.7
88,11,27,,,,Belkuchi Union Total,2060,2.1,7.3,14.4,22.7,20.1,15.5,8.1,9.8,4.9
88,11,27,148,,1,*Belkuchi,521,1.2,4.6,11.7,21.3,24.0,18.6,9.0,9.6,5.1
88,11,27,307,,1,*Hat Bayra,119,2.5,6.7,16.0,17.6,25.2,12.6,10.1,9.2,4.8
88,11,27,308,,1,*Chhota Beara Kharua,231,0.4,9.5,19.0,26.0,20.3,13.4,6.1,5.2,4.5
88,11,27,343,,1,*Delua (Part),752,3.5,9.2,15.7,24.9,18.6,13.8,5.9,8.5,4.6
88,11,27,343,01,1,Ranipura,247,4.9,15.8,15.0,27.5,16.2,12.6,3.6,4.5,4.1
88,11,27,343,02,1,Dariapur,90,2.2,8.9,17.8,23.3,17.8,14.4,5.6,10.0,4.9
88,11,27,343,03,1,Char Delua,363,3.0,5.0,14.6,23.7,21.8,14.3,7.4,10.2,4.9
88,11,27,343,04,1,Delua (Part),52,1.9,7.7,23.1,23.1,9.6,15.4,5.8,13.5,4.7
88,11,27,714,,1,*Mantala,110,0.9,5.5,16.4,18.2,14.5,20.0,9.1,15.5,5.3
88,11,27,761,,1,*Mulkandi,327,1.8,6.7,11.3,21.1,17.4,15.3,11.9,14.4,5.2
88,11,40,,,,Bhangabari Union Total,11061,1.5,7.5,16.9,24.0,21.8,12.8,6.9,8.6,4.8
88,11,40,011,,1,*Adachaki,1047,1.2,10.1,18.5,25.6,19.6,11.1,6.4,7.4,4.5
