0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
88,,,,,,Sirajganj Zila Total,1092312,502898,589414,431048,22650,2142,924,4777,486158,64931,
88,,,,,1,Sirajganj Zila,980363,452187,528176,389702,18592,1805,805,4455,440082,56225,
88,,,,,2,Sirajganj Zila,91073,41316,49757,33453,3656,259,102,268,36486,7336,
88,,,,,3,Sirajganj Zila,20876,9395,11481,7893,402,78,17,54,9590,1370,
88,11,,,,,Belkuchi Upazila Total,105801,49588,56213,40909,3141,151,82,310,43544,8218,
88,11,,,,1,Belkuchi Upazila,85198,39816,45382,33066,2239,115,64,253,35843,6382,
88,11,,,,2,Belkuchi Upazila,20603,9772,10831,7843,902,36,18,57,7701,1836,
88,11,,,,2,Belkuchi Paurashava,20603,9772,10831,7843,902,36,18,57,7701,1836,
88,11,01,,,,Ward No-01 Total,2107,974,1133,788,79,3,0,10,792,173,
88,11,01,137,,2,*Boyrabari,469,213,256,168,11,0,0,4,206,41,
88,11,01,192,,2,*Dakshin Subansara,748,330,418,262,40,2,0,6,273,60,
88,11,01,926,,2,*Subarnasara,890,431,459,358,28,1,0,0,313,72,
88,11,02,,,,Ward No-02 Total,5150,2465,2685,2011,214,9,3,7,1939,438,
88,11,02,343,,2,*Delua,2340,1138,1202,942,119,4,2,3,845,189,
88,11,02,640,,2,*Kidra Matia,2267,1035,1232,826,92,4,0,2,892,203,
88,11,02,937,,2,*Sohagpur,543,292,251,243,3,1,1,2,202,46,
88,11,03,,,,Ward No-03 Total,3931,1930,2001,1492,203,8,1,11,1374,419,
88,11,03,240,,2,*Chalabhad (Purba),3931,1930,2001,1492,203,8,1,11,1374,419,
88,11,04,,,,Ward No-04 Total,1460,690,770,576,95,3,3,3,535,108,
88,11,04,240,,2,*Chalabhad (Paschim),957,475,482,387,87,3,1,2,306,83,
88,11,04,324,,2,*Jiduri,503,215,288,189,8,0,2,1,229,25,
88,11,05,,,,Ward No-05 Total,1466,659,807,521,44,0,0,6,594,132,
88,11,05,434,,2,*Garamasi,1466,659,807,521,44,0,0,6,594,132,
88,11,06,,,,Ward No-06 Total,1919,878,1041,734,81,5,6,5,783,134,
88,11,06,434,,2,*Dakshin Chandanganti,1919,878,1041,734,81,5,6,5,783,134,
88,11,07,,,,Ward No-07 Total,1731,821,910,648,85,1,0,1,610,171,
88,11,07,754,,2,*Mukundaganti,1731,821,910,648,85,1,0,1,610,171,
88,11,08,,,,Ward No-08 Total,827,354,473,274,36,0,0,4,331,76,
88,11,08,560,,2,*Shernagar,827,354,473,274,36,0,0,4,331,76,106
88,11,09,,,,Ward No-09 Total,2012,1001,1011,799,65,7,5,10,743,185,198
