0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
88,,,,,,Sirajganj Zila Total,713064,2.3,9.6,87.0,1.2,17.9,42.8,34.7,4.7
88,,,,,1,Sirajganj Zila,614825,1.1,7.5,90.3,1.1,15.8,43.1,36.3,4.8
88,,,,,2,Sirajganj Zila,83443,11.2,24.9,62.8,1.1,33.6,38.3,24.3,3.8
88,,,,,3,Sirajganj Zila,14796,4.1,10.2,83.4,2.3,16.8,55.0,25.8,2.4
88,11,,,,,Belkuchi Upazila Total,74196,1.7,11.6,85.1,1.5,12.9,39.9,42.0,5.3
88,11,,,,1,Belkuchi Upazila,58083,1.4,10.0,87.1,1.6,11.5,40.6,42.5,5.3
88,11,,,,2,Belkuchi Upazila,16113,3.0,17.7,78.0,1.3,17.7,37.2,39.8,5.2
88,11,,,,2,Belkuchi Paurashava,16113,3.0,17.7,78.0,1.3,17.7,37.2,39.8,5.2
88,11,01,,,,Ward No-01 Total,1759,0.9,8.0,89.5,1.6,7.4,31.3,52.8,8.5
88,11,01,137,,2,*Boyrabari,378,1.9,5.8,89.7,2.6,2.9,13.2,74.3,9.5
88,11,01,192,,2,*Dakshin Subansara,804,0.6,10.4,88.2,0.7,11.4,40.5,44.3,3.7
88,11,01,926,,2,*Subarnasara,577,0.7,6.1,91.2,2.1,4.9,30.2,50.4,14.6
88,11,02,,,,Ward No-02 Total,3358,0.3,5.3,92.3,2.1,9.7,27.6,50.0,12.7
88,11,02,343,,2,*Delua,1365,0.1,3.4,94.0,2.4,5.9,20.8,60.4,12.8
88,11,02,640,,2,*Kidra Matia,1568,0.5,8.3,90.0,1.2,12.6,35.8,41.0,10.6
88,11,02,937,,2,*Sohagpur,425,0.0,0.2,95.1,4.7,11.1,19.1,49.6,20.2
88,11,03,,,,Ward No-03 Total,2568,1.4,8.5,87.5,2.6,11.4,34.2,49.5,4.9
88,11,03,240,,2,*Chalabhad (Purba),2568,1.4,8.5,87.5,2.6,11.4,34.2,49.5,4.9
88,11,04,,,,Ward No-04 Total,1826,8.2,37.8,53.5,0.5,25.7,62.3,11.7,0.4
88,11,04,240,,2,*Chalabhad (Paschim),1107,10.7,51.1,37.5,0.7,37.8,52.1,9.5,0.6
88,11,04,324,,2,*Jiduri,719,4.5,17.4,78.0,0.1,7.1,77.9,15.0,0.0
88,11,05,,,,Ward No-05 Total,1320,2.3,25.3,71.4,1.0,13.4,71.5,14.9,0.2
88,11,05,434,,2,*Garamasi,1320,2.3,25.3,71.4,1.0,13.4,71.5,14.9,0.2
88,11,06,,,,Ward No-06 Total,1486,1.3,10.3,87.8,0.5,46.6,13.9,38.7,0.9
88,11,06,434,,2,*Dakshin Chandanganti,1486,1.3,10.3,87.8,0.5,46.6,13.9,38.7,0.9
88,11,07,,,,Ward No-07 Total,1363,4.6,12.2,82.9,0.3,17.8,40.3,36.8,5.1
88,11,07,754,,2,*Mukundaganti,1363,4.6,12.2,82.9,0.3,17.8,40.3,36.8,5.1
88,11,08,,,,Ward No-08 Total,911,9.9,49.1,41.1,0.0,41.4,33.3,22.7,2.6
88,11,08,560,,2,*Shernagar,911,9.9,49.1,41.1,0.0,41.4,33.3,22.7,2.6
88,11,09,,,,Ward No-09 Total,1522,4.1,34.5,60.7,0.7,9.9,33.0,55.8,1.3
88,11,09,560,,2,*Kamar Para,1522,4.1,34.5,60.7,0.7,9.9,33.0,55.8,1.3
88,11,13,,,,Bara Dhul Union Total,4798,0.3,0.4,92.3,7.0,5.8,37.0,47.9,9.4
88,11,13,077,,1,*Balia Para,81,0.0,0.0,30.9,69.1,0.0,4.9,27.2,67.9
88,11,13,091,,1,*Bangkhuri,83,0.0,0.0,100.0,0.0,97.6,0.0,2.4,0.0
88,11,13,099,,1,*Bara Dhul,433,0.5,1.8,96.1,1.6,7.2,40.6,41.6,10.6
88,11,13,105,,1,*Kol,80,0.0,0.0,72.5,27.5,0.0,12.5,68.8,18.8
88,11,13,171,,1,*Bhangabari,80,0.0,0.0,40.0,60.0,1.3,0.0,73.8,25.0
88,11,13,194,,1,*Bil Mahisha,396,0.0,0.0,97.2,2.8,9.3,54.5,30.3,5.8
88,11,13,199,,1,*Binnabari,108,0.0,0.9,54.6,44.4,0.0,4.6,75.0,20.4
88,11,13,279,,1,*Char Bell,1462,0.4,0.4,91.2,8.0,5.4,45.1,43.9,5.6
88,11,13,314,,1,*Chhota Dhul,120,0.0,0.0,99.2,0.8,0.0,57.5,42.5,0.0
88,11,13,408,,1,*Durlabhganti,80,0.0,0.0,90.0,10.0,1.3,23.8,53.8,21.3
88,11,13,423,,1,*Gachh Chapri,688,0.3,0.6,98.8,0.3,1.2,26.9,63.1,8.9
88,11,13,565,,1,*Katanga,102,0.0,0.0,100.0,0.0,0.0,49.0,51.0,0.0
88,11,13,583,,1,*Kirtikul Makarkul,120,0.0,0.0,100.0,0.0,0.0,35.0,62.5,2.5
88,11,13,609,,1,*Khidir,23,4.3,0.0,95.7,0.0,0.0,0.0,100.0,0.0
88,11,13,612,,1,*Khidra Chapri,712,0.1,0.3,97.8,1.8,4.8,30.1,52.1,13.1
88,11,13,783,,1,*Naoda Alakdia,30,0.0,0.0,93.3,6.7,0.0,53.3,46.7,0.0
88,11,13,983,,1,*Tarabaria,200,0.0,0.0,99.0,1.0,2.0,54.5,37.0,6.5
88,11,27,,,,Belkuchi Union Total,2060,0.2,1.3,97.8,0.7,1.7,26.9,61.6,9.9
88,11,27,148,,1,*Belkuchi,521,0.2,0.0,98.7,1.2,0.2,30.1,67.2,2.5
88,11,27,307,,1,*Hat Bayra,119,1.7,0.0,98.3,0.0,0.0,0.0,100.0,0.0
88,11,27,308,,1,*Chhota Beara Kharua,231,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
88,11,27,343,,1,*Delua (Part),752,0.3,3.1,95.6,1.1,4.3,47.1,37.6,11.0
88,11,27,343,01,1,Ranipura,247,0.0,0.8,97.2,2.0,1.6,78.1,15.4,4.9
88,11,27,343,02,1,Dariapur,90,0.0,11.1,88.9,0.0,11.1,44.4,44.4,0.0
88,11,27,343,03,1,Char Delua,363,0.6,2.2,96.4,0.8,0.6,23.7,56.2,19.6
88,11,27,343,04,1,Delua (Part),52,0.0,5.8,94.2,0.0,30.8,67.3,1.9,0.0
88,11,27,714,,1,*Mantala,110,0.0,2.7,97.3,0.0,0.9,11.8,80.0,7.3
88,11,27,761,,1,*Mulkandi,327,0.0,0.0,99.7,0.3,0.0,9.2,60.6,30.3
88,11,40,,,,Bhangabari Union Total,11061,2.1,18.4,78.9,0.6,6.0,47.6,44.0,2.5
88,11,40,011,,1,*Adachaki,1047,3.4,32.4,64.1,0.1,20.1,58.5,21.4,0.0
88,11,40,205,,1,*Biswasbari,309,0.0,41.1,58.9,0.0,17.5,38.5,44.0,0.0
88,11,40,228,,1,*Buniaganti,950,2.7,15.6,80.9,0.7,2.1,75.1,22.6,0.2
88,11,40,228,01,1,Uttar Buniganti,434,5.5,23.0,69.8,1.6,2.1,91.0,6.7,0.2
88,11,40,228,02,1,Dakshin Buniganti,516,0.4,9.3,90.3,0.0,2.1,61.6,36.0,0.2
88,11,40,251,,1,*Chandanganti,239,0.4,6.3,93.3,0.0,0.0,22.2,76.6,1.3
88,11,40,354,,1,*Deluakandi,339,0.9,15.9,83.2,0.0,0.0,17.1,82.9,0.0
88,11,40,411,,1,*Gabgachhi,951,1.1,11.6,85.7,1.7,7.7,47.3,41.0,4.0
88,11,40,411,01,1,Gabgachhi,526,1.0,16.5,80.6,1.9,0.2,47.9,47.7,4.2
88,11,40,411,02,1,Chandangati,425,1.2,5.4,92.0,1.4,16.9,46.6,32.7,3.8
88,11,40,526,,1,*Joknala,1294,1.0,14.8,84.2,0.0,0.4,26.1,69.1,4.4
88,11,40,526,01,1,Joknala,318,2.2,6.6,91.2,0.0,0.3,13.5,78.0,8.2
88,11,40,526,02,1,Chak Nalua,120,0.8,45.8,53.3,0.0,0.0,58.3,41.7,0.0
88,11,40,526,03,1,Char Joknala,341,0.3,14.1,85.6,0.0,0.0,3.2,92.1,4.7
88,11,40,526,04,1,Bhutia Para,99,3.0,16.2,80.8,0.0,2.0,13.1,71.7,13.1
88,11,40,526,05,1,Saldair,416,0.2,12.3,87.5,0.0,0.5,48.3,50.7,0.5
88,11,40,606,,1,*Konabari Pathar,199,0.5,8.5,89.4,1.5,2.5,38.7,56.3,2.5
88,11,40,617,,1,*Kidra Joknala,70,0.0,11.4,88.6,0.0,0.0,7.1,92.9,0.0
88,11,40,789,,1,*Nishiboyra,467,1.1,15.4,83.5,0.0,3.9,50.7,32.5,12.8
88,11,40,903,,1,*Selbarsa,378,0.5,23.8,74.6,1.1,10.8,44.4,37.8,6.9
88,11,40,914,,1,*Sener Bhangabari,518,2.7,24.3,69.1,3.9,4.6,39.6,54.1,1.7
88,11,40,949,,1,*Shyamganti,452,3.5,21.5,75.0,0.0,3.3,78.5,16.2,2.0
88,11,40,960,,1,*Sonamukhi,170,0.6,6.5,92.4,0.6,1.8,9.4,87.6,1.2
88,11,40,972,,1,*Tamai,3678,2.9,17.2,79.6,0.4,5.3,50.5,42.6,1.7
88,11,40,972,01,1,Tamai,2337,4.3,24.2,71.2,0.3,7.2,64.8,26.6,1.4
88,11,40,972,02,1,Rayan Para,531,0.2,4.3,95.1,0.4,0.2,39.9,57.3,2.6
88,11,40,972,03,1,Kalia Para,397,0.8,4.0,94.0,1.3,5.0,21.2,73.0,0.8
88,11,40,972,04,1,Kuthi Para,413,0.2,6.5,93.2,0.0,1.0,11.6,84.5,2.9
88,11,54,,,,Daulatpur Union Total,17997,1.6,7.2,89.4,1.8,18.1,33.3,41.7,6.8
88,11,54,034,,1,*Ajogara,459,0.4,0.0,99.6,0.0,11.1,35.5,18.7,34.6
88,11,54,125,,1,*Boyra,973,1.7,6.5,91.2,0.6,43.8,37.5,17.3,1.4
88,11,54,171,,1,*Bhangabari,1126,0.3,7.2,92.5,0.1,20.8,19.0,51.5,8.7
88,11,54,171,01,1,Bhangabari,445,0.2,12.6,87.0,0.2,20.2,33.0,31.7,15.1
88,11,54,171,02,1,Barapur,681,0.3,3.7,96.0,0.0,21.1,9.8,64.5,4.6
88,11,54,331,,1,*Daulatpur,3361,0.5,7.1,90.1,2.4,19.6,25.5,44.8,10.0
88,11,54,331,01,1,Daulatpur,2239,0.6,10.3,87.7,1.4,22.7,27.6,44.9,4.7
88,11,54,331,02,1,Panch Takthukni,1122,0.2,0.7,94.8,4.3,13.5,21.3,44.7,20.5
88,11,54,400,,1,*Dhulgagrakhali,1165,1.6,10.6,85.9,1.8,16.1,45.2,34.7,4.1
88,11,54,480,,1,*Gopalpur,2705,4.7,10.4,84.8,0.1,12.5,32.0,53.0,2.6
88,11,54,491,,1,*Gumurkhi,3647,1.7,10.1,83.3,4.9,19.0,34.6,38.9,7.5
88,11,54,514,,1,*Jamtail,1314,0.7,2.7,96.7,0.0,9.5,60.0,28.6,1.8
88,11,54,629,,1,*Khidra Goprikhi,502,0.0,1.0,98.8,0.2,9.6,17.7,52.0,20.7
88,11,54,709,,1,*Mamudpur,764,2.0,6.4,90.6,1.0,22.8,29.5,41.1,6.7
88,11,54,709,01,1,Mamudpur,578,2.6,8.0,88.4,1.0,18.5,32.7,44.8,4.0
88,11,54,709,02,1,Bilpara,8,0.0,0.0,87.5,12.5,12.5,0.0,12.5,75.0
88,11,54,709,03,1,Solakura,178,0.0,1.7,97.8,0.6,37.1,20.2,30.3,12.4
88,11,54,731,,1,*Meghulla,455,0.9,1.3,95.4,2.4,9.5,62.9,22.0,5.7
88,11,54,857,,1,*Saldair,147,0.7,1.4,98.0,0.0,44.9,32.7,17.7,4.8
88,11,54,994,,1,*Tenyasia,1379,0.4,3.1,95.6,0.9,15.4,22.1,60.9,1.6
88,11,67,,,,Dhukaria Bera Union Total,11910,0.6,2.7,96.3,0.4,12.0,47.9,38.4,1.7
88,11,67,160,,1,*Bera,1505,1.3,3.1,95.2,0.4,21.7,54.0,23.7,0.5
88,11,67,160,01,1,Dhukaria Bera,1415,1.4,3.3,94.9,0.4,23.1,57.0,19.3,0.6
88,11,67,160,02,1,Bera Roypara,90,0.0,0.0,100.0,0.0,0.0,6.7,93.3,0.0
88,11,67,217,,1,*Brahmangram,221,1.8,0.9,97.3,0.0,0.0,79.6,19.5,0.9
88,11,67,263,,1,*Chand Metuani,230,0.0,2.6,97.4,0.0,31.3,56.1,12.6,0.0
88,11,67,297,,1,*Char Ghughat,333,1.2,1.2,97.6,0.0,8.1,45.0,46.5,0.3
88,11,67,297,01,1,Char Ghughat,154,0.6,0.0,99.4,0.0,10.4,29.9,59.7,0.0
