0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
88,,,,,,Sirajganj Zila Total,713064,1.3,95.5,3.2,47.1,92.6,3.4,4.0
88,,,,,1,Sirajganj Zila,614825,0.4,96.2,3.4,42.5,94.9,2.0,3.1
88,,,,,2,Sirajganj Zila,83443,7.9,90.4,1.7,79.9,75.8,13.0,11.1
88,,,,,3,Sirajganj Zila,14796,2.7,95.7,1.6,52.5,90.1,5.9,3.9
88,11,,,,,Belkuchi Upazila Total,74196,0.5,96.9,2.5,55.7,92.7,2.4,4.9
88,11,,,,1,Belkuchi Upazila,58083,0.5,97.1,2.4,52.2,93.7,1.5,4.8
88,11,,,,2,Belkuchi Upazila,16113,0.7,96.3,3.0,68.4,88.9,5.6,5.5
88,11,,,,2,Belkuchi Paurashava,16113,0.7,96.3,3.0,68.4,88.9,5.6,5.5
88,11,01,,,,Ward No-01 Total,1759,0.5,94.8,4.7,74.4,93.2,3.5,3.3
88,11,01,137,,2,*Boyrabari,378,0.3,91.3,8.5,68.3,98.4,0.0,1.6
88,11,01,192,,2,*Dakshin Subansara,804,0.4,96.4,3.2,78.1,92.8,4.5,2.7
88,11,01,926,,2,*Subarnasara,577,0.7,95.0,4.3,73.3,90.3,4.5,5.2
88,11,02,,,,Ward No-02 Total,3358,0.0,91.9,8.1,32.8,87.0,3.1,9.8
88,11,02,343,,2,*Delua,1365,0.0,93.0,7.0,23.3,90.8,1.0,8.2
88,11,02,640,,2,*Kidra Matia,1568,0.0,90.9,9.1,49.9,88.5,0.6,10.9
88,11,02,937,,2,*Sohagpur,425,0.0,91.8,8.2,0.7,69.6,19.3,11.1
88,11,03,,,,Ward No-03 Total,2568,0.7,95.9,3.4,73.9,92.8,2.9,4.3
88,11,03,240,,2,*Chalabhad (Purba),2568,0.7,95.9,3.4,73.9,92.8,2.9,4.3
88,11,04,,,,Ward No-04 Total,1826,1.6,97.8,0.7,89.6,76.6,18.7,4.8
88,11,04,240,,2,*Chalabhad (Paschim),1107,2.4,97.2,0.4,93.8,68.7,25.8,5.4
88,11,04,324,,2,*Jiduri,719,0.3,98.6,1.1,83.3,88.6,7.6,3.8
88,11,05,,,,Ward No-05 Total,1320,0.9,99.0,0.1,79.5,92.3,4.2,3.5
88,11,05,434,,2,*Garamasi,1320,0.9,99.0,0.1,79.5,92.3,4.2,3.5
88,11,06,,,,Ward No-06 Total,1486,0.1,99.9,0.0,72.6,94.8,1.8,3.4
88,11,06,434,,2,*Dakshin Chandanganti,1486,0.1,99.9,0.0,72.6,94.8,1.8,3.4
88,11,07,,,,Ward No-07 Total,1363,0.6,98.6,0.8,80.2,82.0,10.1,7.9
88,11,07,754,,2,*Mukundaganti,1363,0.6,98.6,0.8,80.2,82.0,10.1,7.9
88,11,08,,,,Ward No-08 Total,911,2.6,97.4,0.0,83.8,91.5,6.1,2.3
88,11,08,560,,2,*Shernagar,911,2.6,97.4,0.0,83.8,91.5,6.1,2.3
88,11,09,,,,Ward No-09 Total,1522,0.7,98.1,1.2,72.0,92.6,2.9,4.5
88,11,09,560,,2,*Kamar Para,1522,0.7,98.1,1.2,72.0,92.6,2.9,4.5
88,11,13,,,,Bara Dhul Union Total,4798,0.0,89.2,10.7,3.9,96.4,0.8,2.8
88,11,13,077,,1,*Balia Para,81,0.0,50.6,49.4,1.2,86.4,0.0,13.6
88,11,13,091,,1,*Bangkhuri,83,0.0,100.0,0.0,0.0,100.0,0.0,0.0
88,11,13,099,,1,*Bara Dhul,433,0.0,83.6,16.4,1.2,99.5,0.0,0.5
88,11,13,105,,1,*Kol,80,0.0,73.8,26.3,10.0,90.0,5.0,5.0
88,11,13,171,,1,*Bhangabari,80,0.0,80.0,20.0,2.5,30.0,3.8,66.3
88,11,13,194,,1,*Bil Mahisha,396,0.0,90.7,9.3,3.8,99.7,0.0,0.3
88,11,13,199,,1,*Binnabari,108,0.0,77.8,22.2,0.0,89.8,0.0,10.2
88,11,13,279,,1,*Char Bell,1462,0.0,88.0,12.0,5.3,98.6,1.0,0.4
88,11,13,314,,1,*Chhota Dhul,120,0.0,98.3,1.7,4.2,96.7,3.3,0.0
88,11,13,408,,1,*Durlabhganti,80,0.0,85.0,15.0,2.5,100.0,0.0,0.0
88,11,13,423,,1,*Gachh Chapri,688,0.0,99.4,0.6,1.6,99.1,0.6,0.3
88,11,13,565,,1,*Katanga,102,0.0,100.0,0.0,0.0,95.1,4.9,0.0
88,11,13,583,,1,*Kirtikul Makarkul,120,0.8,87.5,11.7,9.2,100.0,0.0,0.0
88,11,13,609,,1,*Khidir,23,0.0,100.0,0.0,0.0,100.0,0.0,0.0
88,11,13,612,,1,*Khidra Chapri,712,0.1,86.4,13.5,5.8,93.1,0.4,6.5
88,11,13,783,,1,*Naoda Alakdia,30,0.0,93.3,6.7,0.0,100.0,0.0,0.0
88,11,13,983,,1,*Tarabaria,200,0.0,100.0,0.0,5.0,100.0,0.0,0.0
