0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
90,,,,,,Sunamganj Zila Total,438752,2.2,6.6,11.5,15.8,17.5,15.6,11.8,19.1,5.6
90,,,,,1,Sunamganj Zila,393203,2.1,6.5,11.4,15.6,17.4,15.7,12.0,19.3,5.6
90,,,,,2,Sunamganj Zila,31317,2.6,6.9,12.2,18.0,17.6,14.5,10.1,18.1,5.5
90,,,,,3,Sunamganj Zila,14232,2.7,7.0,12.4,17.7,18.5,14.5,11.0,16.2,5.3
90,18,,,,,Bishwambarpur Upazila Total,29288,2.4,7.2,12.4,16.6,18.2,15.7,11.6,15.8,5.3
90,18,,,,1,Bishwambarpur Upazila,28712,2.4,7.2,12.4,16.6,18.3,15.7,11.6,15.8,5.3
90,18,,,,3,Bishwambarpur Upazila,576,3.0,7.5,13.9,18.4,16.8,13.9,10.8,15.8,5.3
90,18,17,,,,Dakshin Badaghat Union Total,4494,2.0,6.5,11.3,15.0,17.2,16.6,12.3,19.0,5.6
90,18,17,041,,1,*Amuria,244,1.6,4.9,7.8,16.8,16.8,18.9,10.7,22.5,5.7
90,18,17,074,,1,*Angrali Sonar Haor (Part-2),102,0.0,2.9,5.9,15.7,13.7,21.6,11.8,28.4,6.3
90,18,17,112,,1,*Binnakuli Chak,756,1.1,5.2,8.7,14.7,17.2,15.5,12.3,25.4,6.0
90,18,17,112,01,1,Sirajpur,494,0.6,5.1,9.9,16.6,17.4,15.8,11.7,22.9,5.9
90,18,17,112,02,1,Baghgaon,262,1.9,5.3,6.5,11.1,16.8,14.9,13.4,30.2,6.3
90,18,17,124,,1,*Baghmara,1089,3.0,6.3,13.1,16.3,18.7,17.4,10.1,15.0,5.3
90,18,17,124,01,1,Baghmara,125,9.6,7.2,16.0,12.0,24.0,13.6,9.6,8.0,4.6
90,18,17,124,02,1,Bhati Para,65,3.1,6.2,15.4,30.8,23.1,18.5,0.0,3.1,4.4
90,18,17,124,03,1,Lalulapur,149,1.3,4.0,12.1,12.8,21.5,17.4,9.4,21.5,5.8
90,18,17,124,04,1,Saridharpur,133,3.0,3.0,18.0,19.5,19.5,15.0,10.5,11.3,5.0
90,18,17,124,05,1,Natun Baghmara,198,3.0,15.2,15.2,17.2,14.6,16.2,9.1,9.6,4.7
