0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
90,,,,,,Sunamganj Zila Total,682866,1269070,358782,614633,324084,654437,35.0,36.9,33.1
90,,,,,1,Sunamganj Zila,573708,1165488,299123,564580,274585,600908,33.0,34.6,31.4
90,,,,,2,Sunamganj Zila,83051,66708,45377,32264,37674,34444,55.5,58.4,52.2
90,,,,,3,Sunamganj Zila,26107,36874,14282,17789,11825,19085,41.5,44.5,38.3
90,18,,,,,Bishwambarpur Upazila Total,41666,78859,21235,38693,20431,40166,34.6,35.4,33.7
90,18,,,,1,Bishwambarpur Upazila,40321,77660,20466,38156,19855,39504,34.2,34.9,33.4
90,18,,,,3,Bishwambarpur Upazila,1345,1199,769,537,576,662,52.9,58.9,46.5
90,18,17,,,,Dakshin Badaghat Union Total,5600,13396,2848,6573,2752,6823,29.5,30.2,28.7
90,18,17,041,,1,*Amuria,233,856,124,408,109,448,21.4,23.3,19.6
90,18,17,074,,1,*Angrali Sonar Haor (Part-2),114,386,60,188,54,198,22.8,24.2,21.4
90,18,17,112,,1,*Binnakuli Chak,1064,2254,559,1056,505,1198,32.1,34.6,29.7
90,18,17,112,01,1,Sirajpur,677,1369,339,629,338,740,33.1,35.0,31.4
90,18,17,112,02,1,Baghgaon,387,885,220,427,167,458,30.4,34.0,26.7
90,18,17,124,,1,*Baghmara,1318,3164,660,1573,658,1591,29.4,29.6,29.3
90,18,17,124,01,1,Baghmara,217,260,102,128,115,132,45.5,44.3,46.6
90,18,17,124,02,1,Bhati Para,103,137,56,74,47,63,42.9,43.1,42.7
90,18,17,124,03,1,Lalulapur,97,550,55,285,42,265,15.0,16.2,13.7
90,18,17,124,04,1,Saridharpur,183,385,88,184,95,201,32.2,32.4,32.1
90,18,17,124,05,1,Natun Baghmara,265,426,134,190,131,236,38.4,41.4,35.7
90,18,17,124,06,1,Jagonathpur,70,400,39,191,31,209,14.9,17.0,12.9
90,18,17,124,07,1,Durgapur,358,710,172,366,186,344,33.5,32.0,35.1
90,18,17,124,09,1,Sonapur,25,296,14,155,11,141,7.8,8.3,7.2
90,18,17,160,,1,*Butaj (Part-1),24,262,10,130,14,132,8.4,7.1,9.6
90,18,17,198,,1,*Chhatrish,67,281,30,143,37,138,19.3,17.3,21.1
90,18,17,315,,1,*Gagra (Purba Miar Chak),57,224,33,113,24,111,20.3,22.6,17.8
90,18,17,371,,1,*Ikaratia,647,1831,321,907,326,924,26.1,26.1,26.1
90,18,17,371,01,1,Ikaratia,198,369,107,177,91,192,34.9,37.7,32.2
90,18,17,371,02,1,Noagaon,72,195,38,96,34,99,27.0,28.4,25.6
90,18,17,371,03,1,Basantapur,239,641,118,319,121,322,27.2,27.0,27.3
90,18,17,371,04,1,Ullasnagar,83,383,25,190,58,193,17.8,11.6,23.1
90,18,17,371,05,1,Gandamara,55,243,33,125,22,118,18.5,20.9,15.7
90,18,17,530,,1,*Meruakhola (Part),317,407,172,213,145,194,43.8,44.7,42.8
90,18,17,530,01,1,Jalilpur,249,237,136,124,113,113,51.2,52.3,50.0
90,18,17,530,02,1,Rahimpur,68,170,36,89,32,81,28.6,28.8,28.3
90,18,17,577,,1,*Manbeg,338,1015,185,487,153,528,25.0,27.5,22.5
90,18,17,577,01,1,Manbeg,81,163,41,76,40,87,33.2,35.0,31.5
90,18,17,577,02,1,Miar Char,257,852,144,411,113,441,23.2,25.9,20.4
90,18,17,580,,1,*Narayanpur,35,132,17,66,18,66,21.0,20.5,21.4
90,18,17,596,,1,*Omarpur,988,1375,487,714,501,661,41.8,40.5,43.1
90,18,17,596,01,1,Omarpur,228,431,113,228,115,203,34.6,33.1,36.2
90,18,17,596,02,1,Shakiar Khola,621,773,309,392,312,381,44.5,44.1,45.0
90,18,17,596,03,1,Madhu Pur,139,171,65,94,74,77,44.8,40.9,49.0
90,18,17,741,,1,*Purangaon,367,1020,176,493,191,527,26.5,26.3,26.6
90,18,17,887,,1,*Purba Shahapur,31,189,14,82,17,107,14.1,14.6,13.7
90,18,20,,,,Dhonpur Union Total,11490,17515,5824,8350,5666,9165,39.6,41.1,38.2
90,18,20,248,,1,*Chatar Kaona,2591,3803,1288,1837,1303,1966,40.5,41.2,39.9
90,18,20,248,01,1,Chatar Kaona,1013,1330,490,638,523,692,43.2,43.4,43.0
90,18,20,248,02,1,Hala Badi,618,778,302,374,316,404,44.3,44.7,43.9
90,18,20,248,03,1,Bata Gara,196,213,94,114,102,99,47.9,45.2,50.7
90,18,20,248,04,1,Madhya Nagar,191,593,106,282,85,311,24.4,27.3,21.5
90,18,20,248,05,1,Tara Ngia,351,306,187,138,164,168,53.4,57.5,49.4
90,18,20,248,06,1,Madhya Nagar Naya Para,93,130,49,67,44,63,41.7,42.2,41.1
90,18,20,248,07,1,Madhya Nagar Reserve,77,305,38,150,39,155,20.2,20.2,20.1
90,18,20,248,08,1,Goal Para,52,148,22,74,30,74,26.0,22.9,28.8
90,18,20,530,,1,*Meruakhola (Part),5879,8652,2974,4175,2905,4477,40.5,41.6,39.4
90,18,20,530,01,1,Meruakhola,748,1294,394,610,354,684,36.6,39.2,34.1
90,18,20,530,02,1,Islampur,214,849,108,422,106,427,20.1,20.4,19.9
90,18,20,530,03,1,Ramnagar,46,168,26,73,20,95,21.5,26.3,17.4
90,18,20,530,04,1,Sureshnagar,425,613,212,296,213,317,40.9,41.7,40.2
90,18,20,530,05,1,Katakhali,127,87,66,38,61,49,59.3,63.5,55.5
90,18,20,530,06,1,Boalia,127,424,64,206,63,218,23.0,23.7,22.4
90,18,20,530,07,1,Chargaon,696,849,351,410,345,439,45.0,46.1,44.0
90,18,20,530,08,1,Asamgaon,99,126,44,65,55,61,44.0,40.4,47.4
90,18,20,530,09,1,Dudpur,307,587,141,278,166,309,34.3,33.7,34.9
90,18,20,530,10,1,Lakshmipar,414,689,217,336,197,353,37.5,39.2,35.8
90,18,20,530,11,1,Purba Raj Nagar,178,437,90,215,88,222,28.9,29.5,28.4
90,18,20,530,12,1,Paschim Rajnagar,163,226,92,112,71,114,41.9,45.1,38.4
90,18,20,530,13,1,Kalutia,34,71,18,32,16,39,32.4,36.0,29.1
90,18,20,530,14,1,Dhan Pur,1053,697,551,330,502,367,60.2,62.5,57.8
90,18,20,530,15,1,Chan Dergaon,374,409,182,205,192,204,47.8,47.0,48.5
90,18,20,530,16,1,Chalita Daba,92,207,33,116,59,91,30.8,22.1,39.3
90,18,20,530,17,1,Kait Kana,284,294,129,134,155,160,49.1,49.0,49.2
90,18,20,530,18,1,Gulgaon,328,414,171,193,157,221,44.2,47.0,41.5
90,18,20,530,19,1,Lotargaon,170,211,85,104,85,107,44.6,45.0,44.3
90,18,20,663,,1,*Puran Suspur,1821,2699,966,1240,855,1459,40.3,43.8,36.9
90,18,20,663,01,1,Gamair Tala,452,1059,239,474,213,585,29.9,33.5,26.7
90,18,20,663,02,1,Shil Doar,687,817,370,366,317,451,45.7,50.3,41.3
90,18,20,663,03,1,China Kandi,562,611,298,298,264,313,47.9,50.0,45.8
90,18,20,663,04,1,Raja Para,120,212,59,102,61,110,36.1,36.6,35.7
90,18,20,845,,1,*Sus Pur,1199,2361,596,1098,603,1263,33.7,35.2,32.3
90,18,20,845,01,1,Machim Pur,645,932,319,429,326,503,40.9,42.6,39.3
90,18,20,845,02,1,Sonatala,169,378,78,172,91,206,30.9,31.2,30.6
90,18,20,845,03,1,Surup Gonj,280,811,143,383,137,428,25.7,27.2,24.2
90,18,20,845,04,1,Mahandra Nagar,105,240,56,114,49,126,30.4,32.9,28.0
90,18,34,,,,Fatehpur Union Total,7308,14486,3701,7153,3607,7333,33.5,34.1,33.0
90,18,34,025,,1,*Alipur,49,257,28,135,21,122,16.0,17.2,14.7
90,18,34,033,,1,*Alamdahar,100,181,44,86,56,95,35.6,33.8,37.1
90,18,34,066,,1,*Anantapur,316,1506,179,776,137,730,17.3,18.7,15.8
90,18,34,066,01,1,Kaya,128,171,68,83,60,88,42.8,45.0,40.5
90,18,34,066,02,1,Kotakhali,116,1153,63,606,53,547,9.1,9.4,8.8
90,18,34,066,03,1,Pachisha,72,182,48,87,24,95,28.3,35.6,20.2
90,18,34,074,,1,*Angaruli Soner Haor (Part-1),721,2529,401,1255,320,1274,22.2,24.2,20.1
90,18,34,074,01,1,Bishwambarpur,229,757,129,376,100,381,23.2,25.5,20.8
90,18,34,074,02,1,Bahadurpur,78,295,50,149,28,146,20.9,25.1,16.1
90,18,34,074,03,1,Chandargaon,53,272,30,133,23,139,16.3,18.4,14.2
90,18,34,074,04,1,Lakhmipur,98,293,50,140,48,153,25.1,26.3,23.9
90,18,34,074,05,1,Gagtia,6,376,4,186,2,190,1.6,2.1,1.0
90,18,34,074,06,1,Gopalpur,110,365,63,180,47,185,23.2,25.9,20.3
90,18,34,074,07,1,Rajnagar,147,171,75,91,72,80,46.2,45.2,47.4
90,18,34,116,,1,*Baghua,263,866,124,452,139,414,23.3,21.5,25.1
90,18,34,132,,1,*Basantapur,297,620,137,303,160,317,32.4,31.1,33.5
90,18,34,232,,1,*Chandbari,347,769,176,395,171,374,31.1,30.8,31.4
90,18,34,315,,1,*Dulbar Char,138,307,73,148,65,159,31.0,33.0,29.0
90,18,34,397,,1,*Kachukhali,82,208,40,102,42,106,28.3,28.2,28.4
90,18,34,431,,1,*Lakha,215,191,110,87,105,104,53.0,55.8,50.2
