0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
90,,,,,,Sunamganj Zila Total,2467968,1.5,0.2,0.4,0.2,0.5,0.2,0.1
90,,,,,1,Sunamganj Zila,2211851,1.6,0.2,0.4,0.2,0.5,0.2,0.1
90,,,,,2,Sunamganj Zila,178552,1.3,0.2,0.3,0.1,0.5,0.2,0.1
90,,,,,3,Sunamganj Zila,77565,1.2,0.2,0.3,0.1,0.4,0.1,0.1
90,18,,,,,Bishwambarpur Upazila Total,156381,1.3,0.2,0.3,0.2,0.4,0.1,0.1
90,18,,,,1,Bishwambarpur Upazila,153225,1.2,0.2,0.3,0.2,0.4,0.1,0.1
90,18,,,,3,Bishwambarpur Upazila,3156,1.7,0.4,0.3,0.2,0.7,0.1,0.1
90,18,17,,,,Dakshin Badaghat Union Total,25000,0.9,0.2,0.2,0.1,0.3,0.1,0.0
90,18,20,,,,Dhonpur Union Total,37376,1.4,0.2,0.3,0.2,0.5,0.1,0.1
90,18,34,,,,Fatehpur Union Total,27737,1.5,0.2,0.3,0.2,0.5,0.1,0.1
90,18,77,,,,Palash Union Total,28893,1.1,0.3,0.3,0.1,0.3,0.1,0.1
90,18,77,,,1,Palash Union,25737,1.1,0.2,0.3,0.1,0.3,0.1,0.1
90,18,77,,,3,Palash Union,3156,1.7,0.4,0.3,0.2,0.7,0.1,0.1
90,18,80,,,,Sholukabad Union Total,37375,1.3,0.2,0.3,0.2,0.4,0.1,0.1
90,23,,,,,Chhatak Upazila Total,397642,1.5,0.2,0.4,0.1,0.5,0.2,0.1
90,23,,,,1,Chhatak Upazila,346964,1.6,0.2,0.4,0.1,0.5,0.2,0.1
90,23,,,,2,Chhatak Upazila,44364,1.2,0.2,0.1,0.1,0.5,0.2,0.1
90,23,,,,3,Chhatak Upazila,6314,1.2,0.2,0.3,0.1,0.4,0.2,0.0
90,23,,,,,Chhatak Paurashava,,,,,,,,
90,23,01,,,,Ward No-01 Total,3380,1.6,0.3,0.2,0.3,0.4,0.3,0.1
90,23,02,,,,Ward No-02 Total,3668,0.6,0.1,0.1,0.1,0.2,0.1,0.1
90,23,03,,,,Ward No-03 Total,4742,1.3,0.3,0.2,0.1,0.5,0.2,0.1
90,23,04,,,,Ward No-04 Total,5995,1.6,0.2,0.2,0.1,0.9,0.2,0.1
90,23,05,,,,Ward No-05 Total,2843,0.9,0.1,0.1,0.0,0.4,0.1,0.1
