0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
91,,,,,,Sylhet Zila Total,596081,589425,644,6012,3434188,1726965,1707223,101
91,,,,,1,Sylhet Zila,449872,448273,266,1333,2680639,1330095,1350544,98
91,,,,,2,Sylhet Zila,118834,114290,342,4202,603088,319839,283249,113
91,,,,,3,Sylhet Zila,27375,26862,36,477,150461,77031,73430,105
91,08,,,,,Balaganj Upazila Total,54246,54058,46,142,320227,157975,162252,97
91,08,,,,1,Balaganj Upazila,52841,52654,46,141,312416,154074,158342,97
91,08,,,,3,Balaganj Upazila,1405,1404,0,1,7811,3901,3910,100
91,08,11,,,,Balaganj Union Total,4565,4551,3,11,27505,13573,13932,97
91,08,11,,,1,Balaganj Union,3160,3147,3,10,19694,9672,10022,97
91,08,11,,,3,Balaganj Union,1405,1404,0,1,7811,3901,3910,100
91,08,11,012,,1,*Adityapur,165,164,0,1,1149,562,587,96
91,08,11,012,01,1,Adityapur,106,106,0,0,767,366,401,91
91,08,11,012,02,1,Satyapur,59,58,0,1,382,196,186,105
91,08,11,075,,1,*Babrakpur,112,112,0,0,703,349,354,99
91,08,11,108,,1,*Bara Char,222,222,0,0,1305,648,657,99
91,08,11,108,01,1,Bara Char,138,138,0,0,847,423,424,100
91,08,11,108,02,1,Noapatan,84,84,0,0,458,225,233,97
91,08,11,146,,1,*Brittania,107,107,0,0,566,306,260,118
91,08,11,146,01,1,Brittania,83,83,0,0,433,235,198,119
91,08,11,146,02,1,Kalakanu,24,24,0,0,133,71,62,115
91,08,11,167,,3,*Chandpur,943,942,0,1,5267,2658,2609,102
91,08,11,167,01,3,Chandpur,229,229,0,0,1483,716,767,93
91,08,11,167,02,3,Prasannapur,72,72,0,0,495,239,256,93
91,08,11,167,03,3,Balaganj Bazar,642,641,0,1,3289,1703,1586,107
91,08,11,171,,1,*Char Bhuabatan,127,127,0,0,688,360,328,110
91,08,11,171,01,1,Char Bhuabatan,55,55,0,0,326,163,163,100
91,08,11,171,02,1,Batapatan,72,72,0,0,362,197,165,119
91,08,11,209,,3,*Digar Berkuri,462,462,0,0,2544,1243,1301,96
91,08,11,209,01,3,Radhakuna,319,319,0,0,1689,810,879,92
91,08,11,209,02,3,Korcharpar,143,143,0,0,855,433,422,103
91,08,11,250,,1,*Gaharmolai,98,95,0,3,619,303,316,96
91,08,11,271,,1,*Gorapur,174,173,0,1,1088,531,557,95
