0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
91,,,,,,Sylhet Zila Total,3434188,12.2,14.2,12.7,10.7,9.2,8.4,20.8,5.3,2.4,4.1
91,,,,,1,Sylhet Zila,2680639,12.8,15.0,13.1,10.6,8.6,7.8,20.1,5.2,2.5,4.3
91,,,,,2,Sylhet Zila,603088,9.7,11.0,10.9,11.0,11.8,10.8,23.8,5.5,2.3,3.3
91,,,,,3,Sylhet Zila,150461,11.6,13.2,12.2,11.1,9.8,9.3,21.8,5.2,2.3,3.6
91,08,,,,,Balaganj Upazila Total,320227,11.7,14.0,12.9,11.1,8.9,8.1,20.4,5.4,2.7,4.8
91,08,,,,1,Balaganj Upazila,312416,11.7,14.0,12.9,11.1,8.9,8.1,20.3,5.4,2.7,4.8
91,08,,,,3,Balaganj Upazila,7811,11.3,12.7,12.1,11.6,8.5,8.2,23.2,6.0,2.2,4.1
91,08,11,,,,Balaganj Union Total,27505,11.6,13.5,13.0,11.8,8.9,7.8,20.9,5.4,2.7,4.3
91,08,11,,,1,Balaganj Union,19694,11.7,13.8,13.4,11.9,9.0,7.7,20.0,5.2,2.9,4.4
91,08,11,,,3,Balaganj Union,7811,11.3,12.7,12.1,11.6,8.5,8.2,23.2,6.0,2.2,4.1
91,08,11,012,,1,*Adityapur,1149,11.0,12.2,11.8,12.0,10.9,6.4,21.3,5.7,2.5,6.1
91,08,11,012,01,1,Adityapur,767,12.1,14.0,12.1,10.7,8.6,7.8,21.9,5.0,2.5,5.3
91,08,11,012,02,1,Satyapur,382,8.6,8.6,11.3,14.7,15.4,3.7,20.2,7.3,2.6,7.6
91,08,11,075,,1,*Babrakpur,703,13.5,14.2,11.9,7.8,7.7,8.8,21.6,5.1,4.0,5.3
91,08,11,108,,1,*Bara Char,1305,11.1,12.2,13.6,11.0,10.1,8.0,21.4,5.7,2.3,4.6
91,08,11,108,01,1,Bara Char,847,11.5,12.0,12.6,10.3,9.9,7.4,24.1,5.7,1.8,4.7
91,08,11,108,02,1,Noapatan,458,10.5,12.4,15.3,12.4,10.5,9.0,16.4,5.9,3.3,4.4
91,08,11,146,,1,*Brittania,566,10.4,18.2,14.5,7.2,7.6,8.8,22.4,3.5,2.8,4.4
91,08,11,146,01,1,Brittania,433,11.1,19.6,14.8,7.2,7.2,8.3,22.9,3.0,2.8,3.2
91,08,11,146,02,1,Kalakanu,133,8.3,13.5,13.5,7.5,9.0,10.5,21.1,5.3,3.0,8.3
91,08,11,167,,3,*Chandpur,5267,11.0,11.8,11.9,11.8,9.1,8.7,23.8,6.0,2.4,3.6
91,08,11,167,01,3,Chandpur,1483,10.0,11.3,10.5,12.4,9.7,9.6,23.5,6.1,2.8,4.0
91,08,11,167,02,3,Prasannapur,495,11.7,12.9,13.1,10.7,8.3,7.9,22.0,5.1,3.0,5.3
91,08,11,167,03,3,Balaganj Bazar,3289,11.2,11.9,12.4,11.6,8.9,8.5,24.1,6.0,2.1,3.3
91,08,11,171,,1,*Char Bhuabatan,688,12.2,13.4,14.4,13.2,10.2,6.1,18.8,6.0,3.5,2.3
91,08,11,171,01,1,Char Bhuabatan,326,13.8,12.3,15.0,11.0,9.2,5.8,20.9,5.8,3.7,2.5
91,08,11,171,02,1,Batapatan,362,10.8,14.4,13.8,15.2,11.0,6.4,16.9,6.1,3.3,2.2
91,08,11,209,,3,*Digar Berkuri,2544,12.0,14.5,12.4,11.4,7.5,7.1,22.2,6.2,1.8,4.9
91,08,11,209,01,3,Radhakuna,1689,11.9,12.4,11.7,10.8,8.8,8.2,22.7,6.1,2.0,5.4
91,08,11,209,02,3,Korcharpar,855,12.3,18.6,13.7,12.5,4.9,4.9,21.2,6.4,1.5,4.0
91,08,11,250,,1,*Gaharmolai,619,13.9,17.3,14.4,10.0,9.7,5.8,17.1,5.0,2.6,4.2
91,08,11,271,,1,*Gorapur,1088,12.9,15.0,13.3,9.2,9.8,9.7,18.8,5.0,2.6,3.8
91,08,11,271,01,1,Gorapur,289,14.5,17.6,15.9,8.0,6.6,9.7,19.4,3.8,1.7,2.8
91,08,11,271,02,1,Char Bota,799,12.3,14.0,12.4,9.6,11.0,9.6,18.6,5.4,2.9,4.1
91,08,11,317,,1,*Hasampur,827,10.3,12.9,12.9,12.5,10.0,7.9,19.6,5.6,3.7,4.6
91,08,11,330,,1,*Hossainpur,1450,12.6,17.2,13.4,9.0,5.4,7.2,21.9,5.4,3.7,4.3
91,08,11,330,01,1,Hossainpur,907,12.2,16.4,14.2,9.0,5.4,6.8,21.3,5.4,4.7,4.4
91,08,11,330,02,1,Kaliargaon,543,13.3,18.6,12.0,8.8,5.3,7.7,22.8,5.3,1.8,4.2
91,08,11,447,,1,*Kashipur,2828,10.7,11.6,13.2,13.7,9.4,8.2,20.7,5.7,2.8,3.9
91,08,11,447,01,1,Kashipur,1148,10.9,11.6,13.9,14.6,9.1,7.8,20.6,5.0,2.4,4.0
91,08,11,447,02,1,Rupia,781,13.1,12.9,13.6,10.1,7.8,9.2,20.2,6.4,2.9,3.7
91,08,11,447,03,1,Gaurinathpur,537,7.1,9.1,13.0,14.9,10.6,8.9,21.0,7.3,3.7,4.3
91,08,11,447,04,1,Jagatpur,362,10.8,12.7,10.5,16.6,11.9,6.4,21.3,4.4,2.2,3.3
91,08,11,468,,1,*Kazipur,2477,12.8,14.4,13.0,11.1,8.2,8.4,20.4,4.9,2.4,4.4
91,08,11,468,01,1,Kazipur,783,12.3,13.3,13.5,10.9,8.3,10.0,20.6,4.2,3.1,4.0
91,08,11,468,02,1,Majlishpur,771,12.7,14.1,13.5,10.5,9.9,8.7,18.2,5.1,2.3,5.1
91,08,11,468,03,1,Kudlatipur,256,14.1,19.5,10.9,12.9,6.3,5.1,22.7,5.1,0.8,2.7
91,08,11,468,04,1,Char Bhita,479,13.6,15.7,12.7,11.1,6.7,6.9,22.1,5.6,2.1,3.5
91,08,11,468,05,1,Ilashpur,188,12.2,10.1,11.7,11.7,8.0,9.0,21.3,4.8,3.2,8.0
91,08,11,668,,1,*Narayanpur (Part),224,10.3,16.5,12.5,10.7,12.5,7.1,21.4,4.9,1.3,2.7
