0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
91,,,,,,Sylhet Zila Total,67134,65531,,118533 115642,20980,,12563 133278 150825,,4040,,1391 133114 150916,
91,,,,,1,Sylhet Zila,47145,47572,95451,93484,10497,,5391 100041 115796,,1842,560,,93155 114842
91,,,,,2,Sylhet Zila,16704,14832,17791,17145,9548,6514,27222,27912,2013,760,33217,29130
91,,,,,3,Sylhet Zila,3285,3127,5291,5013,935,658,6015,7117,185,71,6742,6944
91,08,,,,,Balaganj Upazila Total,5547,5568,11895,12536,1041,486,12854,14104,141,41,12004,13809
91,08,,,,1,Balaganj Upazila,5374,5372,11634,12258,1007,452,12557,13802,139,37,11709,13469
91,08,,,,3,Balaganj Upazila,173,196,261,278,34,34,297,302,2,4,295,340
91,08,11,,,,Balaganj Union Total,506,588,1066,1096,91,71,1123,1159,12,5,974,1159
91,08,11,,,1,Balaganj Union,333,392,805,818,57,37,826,857,10,1,679,819
91,08,11,,,3,Balaganj Union,173,196,261,278,34,34,297,302,2,4,295,340
91,08,11,012,,1,*Adityapur,23,23,32,60,7,4,57,57,1,0,41,32
91,08,11,012,01,1,Adityapur,16,13,16,37,3,1,30,32,1,0,30,29
91,08,11,012,02,1,Satyapur,7,10,16,23,4,3,27,25,0,0,11,3
91,08,11,075,,1,*Babrakpur,5,3,28,19,1,0,25,28,0,0,31,31
91,08,11,108,,1,*Bara Char,28,27,37,52,4,4,62,62,0,0,43,61
91,08,11,108,01,1,Bara Char,12,23,22,30,3,4,38,39,0,0,25,38
91,08,11,108,02,1,Noapatan,16,4,15,22,1,0,24,23,0,0,18,23
91,08,11,146,,1,*Brittania,2,3,19,17,0,1,19,23,0,0,18,32
91,08,11,146,01,1,Brittania,2,2,17,10,0,0,10,21,0,0,12,24
91,08,11,146,02,1,Kalakanu,0,1,2,7,0,1,9,2,0,0,6,8
91,08,11,167,,3,*Chandpur,136,149,158,176,28,32,217,200,2,3,221,234
91,08,11,167,01,3,Chandpur,34,39,55,56,10,9,63,62,1,1,67,74
91,08,11,167,02,3,Prasannapur,7,14,13,19,5,3,19,14,0,0,20,19
91,08,11,167,03,3,Balaganj Bazar,95,96,90,101,13,20,135,124,1,2,134,141
91,08,11,171,,1,*Char Bhuabatan,19,5,32,35,2,0,34,34,1,0,18,23
91,08,11,171,01,1,Char Bhuabatan,5,4,9,18,0,0,16,14,0,0,9,10
91,08,11,171,02,1,Batapatan,14,1,23,17,2,0,18,20,1,0,9,13
91,08,11,209,,3,*Digar Berkuri,37,47,103,102,6,2,80,102,0,1,74,106
91,08,11,209,01,3,Radhakuna,27,39,51,65,4,2,64,78,0,1,62,76
91,08,11,209,02,3,Korcharpar,10,8,52,37,2,0,16,24,0,0,12,30
91,08,11,250,,1,*Gaharmolai,8,12,21,21,0,0,28,32,0,0,16,20
91,08,11,271,,1,*Gorapur,12,16,38,34,1,0,42,64,1,0,50,54
91,08,11,271,01,1,Gorapur,0,3,13,7,0,0,8,11,0,0,13,15
91,08,11,271,02,1,Char Bota,12,13,25,27,1,0,34,53,1,0,37,39
91,08,11,317,,1,*Hasampur,19,24,30,30,3,2,37,41,0,0,26,39
91,08,11,330,,1,*Hossainpur,14,20,50,46,1,1,35,41,0,0,32,72
91,08,11,330,01,1,Hossainpur,9,16,27,30,1,1,24,23,0,0,23,39
91,08,11,330,02,1,Kaliargaon,5,4,23,16,0,0,11,18,0,0,9,33
91,08,11,447,,1,*Kashipur,49,62,137,139,9,7,134,116,3,0,108,122
91,08,11,447,01,1,Kashipur,20,26,62,60,3,2,54,46,0,0,41,49
91,08,11,447,02,1,Rupia,8,5,32,34,0,0,39,22,1,0,34,37
91,08,11,447,03,1,Gaurinathpur,15,20,20,25,4,2,20,31,1,0,23,24
91,08,11,447,04,1,Jagatpur,6,11,23,20,2,3,21,17,1,0,10,12
91,08,11,468,,1,*Kazipur,41,43,96,94,10,8,75,111,1,0,92,115
91,08,11,468,01,1,Kazipur,12,19,23,31,5,3,22,35,1,0,29,48
91,08,11,468,02,1,Majlishpur,12,12,27,30,2,4,30,40,0,0,33,34
91,08,11,468,03,1,Kudlatipur,3,1,16,13,0,0,5,11,0,0,6,7
91,08,11,468,04,1,Char Bhita,11,8,19,15,3,1,10,18,0,0,13,20
91,08,11,468,05,1,Ilashpur,3,3,11,5,0,0,8,7,0,0,11,6
91,08,11,668,,1,*Narayanpur (Part),3,2,7,12,1,0,17,10,1,0,9,6
91,08,11,748,,1,*Pirpur,14,30,38,32,3,0,35,19,0,0,26,28
91,08,11,748,01,1,Pirpur,9,12,25,12,1,0,14,10,0,0,13,13
91,08,11,748,02,1,Chak Pirpur,5,18,13,20,2,0,21,9,0,0,13,15
91,08,11,819,,1,*Rifatpur,37,50,106,94,5,5,96,99,1,0,76,89
91,08,11,819,01,1,Rifatpur,15,22,67,44,2,3,58,55,1,0,38,59
91,08,11,819,02,1,Char Subia (Mahananda),9,14,20,20,2,0,22,20,0,0,23,18
91,08,11,819,03,1,Char Haria,0,2,7,14,1,0,4,7,0,0,7,6
91,08,11,819,04,1,Gopkanu,13,12,12,16,0,2,12,17,0,0,8,6
91,08,11,875,,1,*Shahibagh (Part),12,6,29,22,1,2,28,25,0,0,17,25
91,08,11,884,,1,*Sharifnagar (Part),6,8,23,27,1,0,14,26,0,1,20,14
91,08,11,884,01,1,Jinarpur,0,3,7,9,1,0,4,13,0,1,5,4
91,08,11,884,02,1,Berakhal,6,5,16,18,0,0,10,13,0,0,15,10
91,08,11,890,,1,*Sibia,8,16,34,34,2,1,38,25,0,0,23,25
91,08,11,986,,1,*Trilochanpur,33,42,48,50,6,2,50,44,1,0,33,31
91,08,11,986,01,1,Trilochanpur,27,29,23,30,4,1,36,29,1,0,24,22
91,08,11,986,02,1,Char Natha,0,2,6,8,0,0,6,3,0,0,2,2
91,08,11,986,03,1,Char Sukia,3,3,8,5,0,0,4,5,0,0,4,3
91,08,11,986,04,1,Madaripur,3,8,11,7,2,1,4,7,0,0,3,4
91,08,13,,,,Boaljur Bazar Union Total,256,296,613,686,48,22,733,815,4,4,584,734
91,08,13,025,,1,*Akupur,14,25,17,22,5,2,28,32,0,0,29,38
91,08,13,025,01,1,Bangalia,5,7,7,8,0,1,14,8,0,0,9,10
91,08,13,025,02,1,Shibpur,3,8,4,5,1,0,5,8,0,0,4,9
91,08,13,025,03,1,Mohammed Shal,6,10,6,9,4,1,9,16,0,0,16,19
91,08,13,104,,1,*Banigaon,6,2,14,22,3,0,17,27,0,0,16,24
91,08,13,104,01,1,Banigaon,4,1,7,16,2,0,12,20,0,0,9,14
91,08,13,104,02,1,Binodpur,2,0,3,3,1,0,4,0,0,0,3,6
91,08,13,104,03,1,Uzialpur,0,1,4,3,0,0,1,7,0,0,4,4
91,08,13,142,,1,*Bhurbhuria,1,7,12,8,1,0,9,14,0,0,10,21
91,08,13,163,,1,*Chandair Para,35,38,41,43,8,3,59,85,0,1,38,38
91,08,13,367,,1,*Dakshin Islampur,9,19,16,28,6,3,30,26,0,0,21,31
91,08,13,367,01,1,Karmapur,8,15,13,17,6,3,19,18,0,0,14,23
