0,1,2,3,4,5,6,7,8,9,10,11,12
93,,,,,,Tangail Zila Total,843703,870102,3605083,3603579,1504,1056
93,,,,,1,Tangail Zila,,742002,3061298,3060352,946,
93,,,,,2,Tangail Zila,,109848,469660,469102,558,
93,,,,,3,Tangail Zila,,18252,74125,74125,0,
93,09,,,,,Basail Upazila Total,38988,38565,159870,159823,47,1013
93,09,,,,1,Basail Upazila,,35411,146374,146327,47,
93,09,,,,3,Basail Upazila,,3154,13496,13496,0,
93,09,11,,,,Basail Union Total,6456,6388,26706,26706,0,1022
93,09,11,,,1,Basail Union,,3234,13210,13210,0,
93,09,11,,,3,Basail Union,,3154,13496,13496,0,
93,09,11,134,,1,*Balina,,324,1329,1329,0,
93,09,11,156,,1,*Banda Kumarjani,,87,413,413,0,
93,09,11,212,,1,*Barni Kesari,,325,1355,1355,0,
93,09,11,234,,3,*Basail,,3154,13496,13496,0,
93,09,11,234,01,3,Basail,,2805,12022,12022,0,
93,09,11,234,02,3,Andha Para,,349,1474,1474,0,
93,09,11,279,,1,*Brahman Paril,,346,1349,1349,0,
93,09,11,436,,1,*Handuli Para,,264,1137,1137,0,
93,09,11,637,,1,*Maijkhara,,182,739,739,0,
93,09,11,704,,1,*Mirikpur,,1231,5059,5059,0,
93,09,11,704,01,1,Mirikpur,,414,1785,1785,0,
93,09,11,704,02,1,Naikanibari,,817,3274,3274,0,
93,09,11,849,,1,*Rasara,,475,1829,1829,0,
93,09,35,,,,Fulki Union Total,6850,7356,29792,29792,0,1075
93,09,35,022,,1,*Aisara,,959,3876,3876,0,
93,09,35,122,,1,*Balia,,339,1339,1339,0,
93,09,35,122,01,1,Uttarpara,,180,753,753,0,
93,09,35,122,02,1,Dakshinpara,,159,586,586,0,
93,09,35,346,,1,*Dohar,,218,884,884,0,
93,09,35,380,,1,*Ekdala,,482,1974,1974,0,
93,09,35,391,,1,*Fulki,,925,3948,3948,0,
93,09,35,391,01,1,Paschimpara,,483,2068,2068,0,
93,09,35,391,02,1,Madhyapara,,150,644,644,0,
93,09,35,391,03,1,Dakshinpara,,292,1236,1236,0,
