0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
93,,,,,,Tangail Zila Total,12025,11758,112928,109372,178131,170626,52547,46091,126146,119969,27737,16868
93,,,,,1,Tangail Zila,9266,9072,98837,95719,152001,146419,46275,40607,104892,101590,23980,14317
93,,,,,2,Tangail Zila,2476,2439,11923,11579,22468,20779,5211,4611,18836,15915,3165,2194
93,,,,,3,Tangail Zila,283,247,2168,2074,3662,3428,1061,873,2418,2464,592,357
93,09,,,,,Basail Upazila Total,478,455,4489,4415,7112,7046,1933,1757,5144,5120,927,647
93,09,,,,1,Basail Upazila,406,401,4136,4069,6529,6474,1733,1592,4715,4729,835,588
93,09,,,,3,Basail Upazila,72,54,353,346,583,572,200,165,429,391,92,59
93,09,11,,,,Basail Union Total,101,79,721,739,1180,1150,377,315,858,817,169,118
93,09,11,,,1,Basail Union,29,25,368,393,597,578,177,150,429,426,77,59
93,09,11,,,3,Basail Union,72,54,353,346,583,572,200,165,429,391,92,59
93,09,11,134,,1,*Balina,0,1,40,42,48,45,20,21,48,47,5,4
93,09,11,156,,1,*Banda Kumarjani,0,0,16,14,9,19,6,7,11,13,2,2
93,09,11,212,,1,*Barni Kesari,4,2,50,43,82,72,10,12,46,35,5,4
93,09,11,234,,3,*Basail,72,54,353,346,583,572,200,165,429,391,92,59
93,09,11,234,01,3,Basail,68,51,310,300,523,523,170,122,385,364,79,50
93,09,11,234,02,3,Andha Para,4,3,43,46,60,49,30,43,44,27,13,9
93,09,11,279,,1,*Brahman Paril,6,7,28,46,93,79,7,7,50,60,7,3
93,09,11,436,,1,*Handuli Para,1,0,20,40,54,62,17,9,30,43,1,3
93,09,11,637,,1,*Maijkhara,3,3,20,16,37,28,9,6,28,29,2,3
93,09,11,704,,1,*Mirikpur,13,11,144,131,194,197,67,60,171,166,36,22
93,09,11,704,01,1,Mirikpur,7,7,55,48,81,67,23,13,55,62,18,12
93,09,11,704,02,1,Naikanibari,6,4,89,83,113,130,44,47,116,104,18,10
93,09,11,849,,1,*Rasara,2,1,50,61,80,76,41,28,45,33,19,18
93,09,35,,,,Fulki Union Total,65,68,844,893,1308,1337,370,325,967,987,191,114
93,09,35,022,,1,*Aisara,11,6,109,124,145,163,58,43,135,94,30,10
93,09,35,122,,1,*Balia,0,0,37,36,56,62,15,9,33,47,5,4
93,09,35,122,01,1,Uttarpara,0,0,24,19,28,37,8,4,17,30,3,1
93,09,35,122,02,1,Dakshinpara,0,0,13,17,28,25,7,5,16,17,2,3
93,09,35,346,,1,*Dohar,1,2,23,26,35,27,17,15,30,36,3,3
93,09,35,380,,1,*Ekdala,12,7,47,49,104,101,14,15,46,68,14,6
93,09,35,391,,1,*Fulki,12,10,121,120,177,159,59,53,116,139,26,21
93,09,35,391,01,1,Paschimpara,9,7,73,63,91,89,36,24,56,66,14,10
93,09,35,391,02,1,Madhyapara,1,0,19,24,19,16,15,14,18,23,4,7
93,09,35,391,03,1,Dakshinpara,2,3,29,33,67,54,8,15,42,50,8,4
93,09,35,447,,1,*Jasihati,3,7,86,96,124,125,19,24,95,85,11,12
93,09,35,447,01,1,Jasihati,1,4,74,78,107,100,16,21,80,76,7,11
93,09,35,447,02,1,Hakimpur,2,3,12,18,17,25,3,3,15,9,4,1
93,09,35,469,,1,*Jhanjhania,5,8,27,26,44,45,7,3,38,38,6,1
93,09,35,570,,1,*Karatia Para,1,1,28,35,55,64,11,3,38,40,11,8
93,09,35,603,,1,*Khatra,0,0,41,49,69,62,34,28,34,59,16,9
93,09,35,659,,1,*Maitha,15,19,188,201,331,328,86,79,246,241,44,20
93,09,35,659,01,1,Maitha Uttar Para,3,0,53,46,54,45,25,30,53,48,6,4
93,09,35,659,02,1,Kusti Para,1,0,6,8,16,11,7,8,18,10,1,0
93,09,35,659,03,1,Gass Para,2,4,35,43,73,74,11,11,60,62,11,1
93,09,35,659,04,1,Kamala Para,0,0,9,16,30,32,8,7,22,18,8,2
93,09,35,659,05,1,Aik Para,2,5,31,19,37,44,17,10,25,26,6,6
93,09,35,659,06,1,Char Para,3,5,11,27,37,28,7,6,26,34,4,2
93,09,35,659,07,1,Suna Para,4,2,11,13,36,41,1,1,14,13,4,0
93,09,35,659,08,1,Saduli Para,0,3,32,29,48,53,10,6,28,30,4,5
93,09,35,693,,1,*Murakair,2,2,21,18,21,20,3,4,19,8,3,6
93,09,35,760,,1,*Nedhar,0,2,32,36,28,43,7,13,28,26,4,2
93,09,35,771,,1,*Nirail,2,2,17,11,21,33,5,3,17,24,1,3
93,09,35,983,,1,*Tirancha,1,2,67,66,98,105,35,33,92,82,17,9
93,09,47,,,,Habla Union Total,117,107,859,809,1464,1433,253,262,1041,1034,127,101
93,09,47,044,,1,*Aruha,4,5,37,31,62,34,5,5,41,31,1,3
93,09,47,111,,1,*Baira,1,5,7,15,16,12,7,13,10,12,1,2
93,09,47,178,,1,*Baoikhola,14,15,32,30,77,76,8,2,46,63,18,2
93,09,47,245,,1,*Bhair Para,7,9,18,12,47,50,0,3,18,27,4,5
93,09,47,290,,1,*Chhaisata,1,3,35,42,82,79,12,11,40,49,5,5
93,09,47,413,,1,*Gulya,1,4,54,50,75,57,28,21,41,44,6,4
93,09,47,424,,1,*Habla Tengari Para,34,14,229,227,362,395,58,81,297,289,29,29
93,09,47,424,01,1,Bilpara,2,0,22,23,28,37,2,12,25,27,1,1
93,09,47,424,02,1,Habla Tengari Para,9,6,48,66,103,100,14,23,94,66,9,10
93,09,47,424,03,1,Purbapara,5,1,45,24,51,68,3,2,48,36,1,6
93,09,47,424,04,1,Dakshinpara,8,2,70,79,125,105,33,42,77,101,8,8
93,09,47,424,05,1,Uttarpara,6,3,23,17,28,44,2,1,29,34,3,2
93,09,47,424,06,1,Gosakhali,4,2,21,18,27,41,4,1,24,25,7,2
93,09,47,480,,1,*Jibaneshwar,0,0,29,18,27,13,19,14,19,18,5,5
93,09,47,581,,1,*Karati Para,6,10,112,100,188,170,28,37,138,125,19,18
93,09,47,670,,1,*Matara,12,7,89,95,138,154,34,20,108,112,8,6
93,09,47,715,,1,*Nahali,0,1,28,29,49,56,7,7,31,29,2,4
93,09,47,782,,1,*Paschim Pauli,15,5,25,41,73,56,8,12,43,39,6,5
93,09,47,793,,1,*Patkhaguri,11,14,74,43,110,136,12,10,76,73,12,3
93,09,47,793,01,1,Dakshinpara,3,8,56,30,79,102,11,7,48,48,6,2
93,09,47,793,02,1,Uttarpara,8,6,18,13,31,34,1,3,28,25,6,1
93,09,47,927,,1,*Sonalia,11,15,90,76,158,145,27,26,133,123,11,10
93,09,59,,,,Kanchanpur Union Total,73,90,689,678,1111,1097,290,275,719,801,133,91
93,09,59,011,,1,*Adajan,5,9,36,50,101,58,5,7,56,52,3,6
93,09,59,458,,1,*Jautuki,0,2,65,54,81,93,19,22,59,59,11,1
93,09,59,547,,1,*Kanchanpur,55,56,400,386,628,651,188,156,402,470,74,52
93,09,59,547,01,1,Bilpara,0,0,15,15,13,14,2,6,8,17,4,2
93,09,59,547,02,1,Kazi Para,3,3,54,50,79,81,19,17,52,65,11,6
93,09,59,547,03,1,Sakria Char,1,0,45,46,38,41,31,26,29,29,12,9
93,09,59,547,04,1,Dakshinpara,6,15,53,37,84,79,31,18,63,72,10,4
93,09,59,547,05,1,Tarabari,3,3,20,18,25,34,12,7,11,19,4,2
93,09,59,547,06,1,Kodalia Para,3,2,14,18,21,33,3,4,8,9,0,2
