0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
93,,,,,,Tangail Zila Total,3605083,1.4,0.2,0.3,0.1,0.5,0.2,0.1
93,,,,,1,Tangail Zila,3061298,1.5,0.2,0.3,0.1,0.6,0.2,0.1
93,,,,,2,Tangail Zila,469660,1.1,0.1,0.2,0.1,0.4,0.2,0.1
93,,,,,3,Tangail Zila,74125,1.6,0.2,0.4,0.1,0.6,0.2,0.1
93,09,,,,,Basail Upazila Total,159870,1.4,0.2,0.3,0.1,0.5,0.2,0.1
93,09,,,,1,Basail Upazila,146374,1.4,0.2,0.3,0.1,0.5,0.2,0.1
93,09,,,,3,Basail Upazila,13496,1.0,0.1,0.1,0.1,0.4,0.2,0.1
93,09,11,,,,Basail Union Total,26706,1.1,0.2,0.2,0.1,0.4,0.2,0.1
93,09,11,,,1,Basail Union,13210,1.3,0.2,0.2,0.2,0.3,0.2,0.1
93,09,11,,,3,Basail Union,13496,1.0,0.1,0.1,0.1,0.4,0.2,0.1
93,09,35,,,,Fulki Union Total,29792,1.6,0.2,0.5,0.1,0.6,0.2,0.0
93,09,47,,,,Habla Union Total,31814,1.6,0.2,0.3,0.1,0.6,0.2,0.1
93,09,59,,,,Kanchanpur Union Total,24243,1.6,0.3,0.2,0.2,0.5,0.2,0.1
93,09,71,,,,Kashil Union Total,25761,0.9,0.2,0.1,0.1,0.4,0.2,0.0
93,09,83,,,,Kaoaljani Union Total,21554,1.5,0.2,0.3,0.2,0.5,0.2,0.1
93,19,,,,,Bhuapur Upazila Total,189913,1.5,0.2,0.3,0.1,0.6,0.2,0.0
93,19,,,,1,Bhuapur Upazila,161205,1.5,0.2,0.3,0.1,0.6,0.2,0.0
93,19,,,,2,Bhuapur Upazila,28708,1.2,0.2,0.2,0.1,0.6,0.1,0.1
93,19,,,,2,Bhuapur Paurashava,28708,1.2,0.2,0.2,0.1,0.6,0.1,0.1
93,19,01,,,,Ward No-01 Total,2155,1.2,0.2,0.3,0.1,0.5,0.0,0.0
93,19,02,,,,Ward No-02 Total,2385,1.8,0.1,0.2,0.2,1.2,0.2,0.0
93,19,03,,,,Ward No-03 Total,1985,3.0,0.5,0.5,0.4,1.4,0.2,0.2
93,19,04,,,,Ward No-04 Total,4352,0.9,0.2,0.1,0.1,0.3,0.3,0.0
93,19,05,,,,Ward No-05 Total,1956,2.1,0.4,0.3,0.1,0.8,0.5,0.2
93,19,06,,,,Ward No-06 Total,1901,1.1,0.1,0.2,0.1,0.5,0.1,0.2
93,19,07,,,,Ward No-07 Total,2204,0.8,0.1,0.1,0.0,0.5,0.0,0.0
93,19,08,,,,Ward No-08 Total,4802,0.7,0.1,0.0,0.1,0.4,0.1,0.0
93,19,09,,,,Ward No-09 Total,6453,1.0,0.2,0.1,0.2,0.4,0.1,0.0
93,19,13,,,,Arjuna Union Total,26793,2.3,0.1,0.8,0.2,0.8,0.3,0.1
93,19,27,,,,Aloa Union Total,27500,1.3,0.2,0.3,0.1,0.6,0.1,0.1
93,19,40,,,,Falda Union Total,21497,1.5,0.2,0.3,0.1,0.5,0.2,0.0
93,19,54,,,,Gabsara Union Total,26678,1.4,0.2,0.2,0.2,0.5,0.2,0.0
93,19,67,,,,Gobindasi Union Total,33439,1.5,0.2,0.3,0.1,0.7,0.2,0.0
93,19,81,,,,Nikrail Union Total,25813,1,0.2,0.1,0.1,0.5,0.1,0.0
93,19,81,988,,,Cantonment,515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,23,,,,,Delduar Upazila Total,207278,1.7,0.2,0.4,0.2,0.6,0.2,0.1
93,23,,,,1,Delduar Upazila,193176,1.7,0.2,0.4,0.2,0.6,0.2,0.1
93,23,,,,3,Delduar Upazila,14102,1.3,0.2,0.4,0.1,0.3,0.2,0.1
93,23,11,,,,Atia Union Total,30428,1.7,0.2,0.4,0.2,0.6,0.2,0.1
93,23,23,,,,Delduar Union Total,30942,1.8,0.2,0.5,0.2,0.5,0.2,0.1
93,23,23,,,1,Delduar Union,16840,2.1,0.2,0.7,0.3,0.7,0.3,0.1
93,23,23,,,3,Delduar Union,14102,1.3,0.2,0.4,0.1,0.3,0.2,0.1
93,23,35,,,,Deoli Union Total,16718,2.1,0.2,0.6,0.3,0.8,0.2,0.1
93,23,41,,,,Dubail Union Total,24639,1.6,0.1,0.3,0.2,0.6,0.3,0.1
93,23,47,,,,Elasin Union Total,27897,2.1,0.2,0.7,0.3,0.6,0.2,0.1
93,23,59,,,,Fazilhati Union Total,20892,1.7,0.2,0.3,0.1,0.8,0.1,0.0
93,23,65,,,,Lauhati Union Total,23959,1.2,0.2,0.2,0.1,0.5,0.2,0.1
93,23,71,,,,Pathrail Union Total,31803,1.3,0.2,0.2,0.1,0.5,0.2,0.1
93,25,,,,,Dhanbari Upazila Total,176068,1.5,0.2,0.3,0.2,0.6,0.2,0.1
93,25,,,,1,Dhanbari Upazila,139943,1.6,0.2,0.3,0.2,0.6,0.2,0.1
93,25,,,,2,Dhanbari Upazila,36125,1.2,0.2,0.2,0.1,0.5,0.2,0.1
