0,1,2,3,4,5,6,7,8,9,10,11,12
94,,,,,,Thakurgaon Zila Total,440277,320786,1390042,1389720,322,780
94,,,,,1,Thakurgaon Zila,,284009,1228733,1228615,118,
94,,,,,2,Thakurgaon Zila,,28432,126051,125938,113,
94,,,,,3,Thakurgaon Zila,,8345,35258,35167,91,
94,08,,,,,Baliadangi Upazila Total,70210,45509,195049,195039,10,686
94,08,,,,1,Baliadangi Upazila,,41757,179703,179693,10,
94,08,,,,3,Baliadangi Upazila,,3752,15346,15346,0,
94,08,10,,,,Amjankhore Union Total,9219,4843,23441,23441,0,628
94,08,10,025,,1,*Amjankhore,,567,2781,2781,0,
94,08,10,204,,1,*Beurjhari,,731,3333,3333,0,
94,08,10,535,,1,*Harinmari,,797,4128,4128,0,
94,08,10,841,,1,*Ratnai,,1070,5240,5240,0,
94,08,10,956,,1,*Taranjubari,,341,1549,1549,0,
94,08,10,982,,1,*Udaypur,,1337,6410,6410,0,
94,08,21,,,,Barabari Union Total,8419,5971,24715,24715,0,725
94,08,21,,,1,Barabari Union,,3975,16647,16647,0,
94,08,21,,,3,Barabari Union,,1996,8068,8068,0,
94,08,21,076,,3,*Baliadangi,,1996,8068,8068,0,
94,08,21,127,,1,*Barabari,,1162,4972,4972,0,
94,08,21,140,,1,*Barakot,,429,1700,1700,0,
94,08,21,153,,1,*Belbari,,251,1023,1023,0,
94,08,21,165,,1,*Belhara,,513,2210,2210,0,
94,08,21,484,,1,*Goalkari,,751,3169,3169,0,
94,08,21,523,,1,*Haoda,,112,501,501,0,
94,08,21,548,,1,*Haripur,,353,1452,1452,0,
94,08,21,752,,1,*Malancha,,82,334,334,0,
94,08,21,905,,1,*Sarmangla,,322,1286,1286,0,
94,08,31,,,,Bara Palashbari Union Total,9752,5883,25329,25329,0,642
94,08,31,114,,1,*Bara Palashbari,,1740,7493,7493,0,
94,08,31,178,,1,*Belsara,,524,2248,2248,0,
94,08,31,280,,1,*Bobra,,287,1156,1156,0,
94,08,31,357,,1,*Choch Para,,594,2560,2560,0,
94,08,31,369,,1,*Dakshin Duari,,271,1116,1116,0,
94,08,31,459,,1,*Fatehpur,,93,367,367,0,
94,08,31,471,,1,*Gariali,,281,1278,1278,0,
94,08,31,574,,1,*Jhikra,,140,625,625,0,
94,08,31,586,,1,*Jiabari,,215,942,942,0,
94,08,31,625,,1,*Karua,,338,1514,1514,0,
94,08,31,637,,1,*Kasuakhadimganj,,417,1868,1868,0,
94,08,31,676,,1,*Kismat Palashbari,,410,1856,1856,0,
94,08,31,829,,1,*Parua,,446,1773,1773,0,
94,08,31,943,,1,*Sopra,,127,533,533,0,
94,08,42,,,,Bhanor Union Total,8776,5802,24178,24173,5,681
94,08,42,038,,1,*Arazi Durlabhpur,,113,461,461,0,
94,08,42,229,,1,*Bhanor,,2047,8631,8631,0,
94,08,42,255,,1,*Bishrampur,,1147,4815,4815,0,
94,08,42,267,,1,*Boaldhar,,371,1486,1486,0,
94,08,42,446,,1,*Durgapur,,455,2036,2036,0,
94,08,42,510,,1,*Haldibari,,173,756,756,0,
94,08,42,612,,1,*Kalandia,,1305,5239,5234,5,
94,08,42,931,,1,*Sidhor,,191,754,754,0,
94,08,52,,,,Charol Union Total,8011,5820,24958,24953,5,770
94,08,52,242,,1,*Bhot Para,,197,883,883,0,
94,08,52,306,,1,*Charol,,1429,6149,6149,0,
94,08,52,344,,1,*Chhota Singa,,770,3228,3223,5,
94,08,52,420,,1,*Dogachhi,,1128,4777,4777,0,
94,08,52,650,,1,*Khalipur,,689,2912,2912,0,
94,08,52,727,,1,*Madhupur,,624,2723,2723,0,
94,08,52,790,,1,*Nauria Para,,88,338,338,0,
94,08,52,816,,1,*Pardeshi Para,,385,1716,1716,0,
94,08,52,867,,1,*Sabajpur,,510,2232,2232,0,
94,08,63,,,,Dhantala Union Total,8810,5137,22209,22209,0,623
94,08,63,102,,1,*Banagaon,,613,2603,2603,0,
94,08,63,216,,1,*Bhandar Daha,,744,3307,3307,0,
94,08,63,318,,1,*Chautaki,,224,1009,1009,0,
94,08,63,395,,1,*Dhantala,,833,3408,3408,0,
94,08,63,408,,1,*Dhukurjhari,,726,3231,3231,0,
94,08,63,497,,1,*Habipara,,172,744,744,0,
94,08,63,778,,1,*Nageshwarbari,,770,3122,3122,0,
94,08,63,969,,1,*Thumnia,,1055,4785,4785,0,
94,08,73,,,,Duosuo Union Total,7989,6754,27301,27301,0,844
94,08,73,,,1,Duosuo Union,,4998,20023,20023,0,
94,08,73,,,3,Duosuo Union,,1756,7278,7278,0,
94,08,73,012,,1,*Alok Chhipi,,197,719,719,0,
94,08,73,051,,1,*Arazi Saralia,,197,843,843,0,
94,08,73,191,,1,*Bengrol Jiabari,,326,1302,1302,0,
94,08,73,331,,1,*Chhota Palashbari,,347,1312,1312,0,
94,08,73,433,,3,*Duosuo,,1756,7278,7278,0,
94,08,73,599,,1,*Kadasuka,,266,1028,1028,0,
94,08,73,688,,1,*Lalapur,,1337,5444,5444,0,
94,08,73,714,,1,*Madhabpur,,100,398,398,0,
94,08,73,739,,1,*Mahishmari,,792,3189,3189,0,
94,08,73,854,,1,*Raipur,,108,429,429,0,
94,08,73,880,,1,*Sangaon,,1034,4275,4275,0,
94,08,73,892,,1,*Saralia,,294,1084,1084,0,
94,08,84,,,,Paria Union Total,9234,5299,22918,22918,0,613
94,08,84,063,,1,*Bad Michhil,,464,2034,2034,0,
94,08,84,089,,1,*Bamunia,,267,1081,1081,0,
94,08,84,293,,1,*Chak Daha,,316,1333,1333,0,
94,08,84,382,,1,*Dakshin Paria,,731,3395,3395,0,
94,08,84,561,,1,*Jaunia,,580,2527,2527,0,
94,08,84,663,,1,*Khudra Machhkhuria,,193,791,791,0,
94,08,84,701,,1,*Machhkhuria,,643,2719,2719,0,
94,08,84,765,,1,*Mesni,,147,593,593,0,
94,08,84,803,,1,*Panch Dayal,,193,755,755,0,
94,08,84,918,,1,*Saula Dogachhi,,1019,4338,4338,0,
94,08,84,994,,1,*Uttar Paria,,746,3352,3352,0,
94,51,,,,,Haripur Upazila Total,49686,32607,147947,147843,104,736
94,51,,,,1,Haripur Upazila,,30930,140659,140645,14,
94,51,,,,3,Haripur Upazila,,1677,7288,7198,90,
94,51,13,,,,Amgaon Union Total,8565,5999,27478,27478,0,793
94,51,13,013,,1,*Amgaon,,1361,6255,6255,0,
94,51,13,145,,1,*Belua,,231,1087,1087,0,
94,51,13,212,,1,*Bhetna,,378,1932,1932,0,
94,51,13,464,,1,*Jamun,,1190,5565,5565,0,
94,51,13,490,,1,*Kadiara,,87,420,420,0,
94,51,13,504,,1,*Kamar Pukur,,598,2545,2545,0,
94,51,13,543,,1,*Khamar,,441,1976,1976,0,
94,51,13,623,,1,*Lakhara,,185,804,804,0,
94,51,13,769,,1,*Nandagaon,,1134,5125,5125,0,
94,51,13,795,,1,*Nilgaon,,102,468,468,0,
94,51,13,888,,1,*Siallar,,179,782,782,0,
94,51,13,941,,1,*Sohar,,113,519,519,0,
94,51,27,,,,Bakua Union Total,9141,4980,23078,23078,0,624
94,51,27,053,,1,*Bakua,,1347,6206,6206,0,
94,51,27,066,,1,*Balihanda,,146,745,745,0,
94,51,27,106,,1,*Barampur,,634,3197,3197,0,
94,51,27,182,,1,*Bhaishagachh Ruhia,,478,2172,2172,0,
94,51,27,238,,1,*Buzruk,,670,3072,3072,0,
94,51,27,344,,1,*Dhukuria,,375,1679,1679,0,
94,51,27,371,,1,*Gajdhumdanga,,296,1449,1449,0,
94,51,27,583,,1,*Kismat Bhaisha,,168,855,855,0,
94,51,27,716,,1,*Manik Khari,,221,1034,1034,0,
94,51,27,782,,1,*Nargun,,98,437,437,0,
94,51,27,915,,1,*Singari,,401,1606,1606,0,
94,51,27,955,,1,*Tantihat,,146,626,626,0,
94,51,27,955,01,1,Tantihat,,128,559,559,0,
94,51,27,955,02,1,Chandipur,,18,67,67,0,
94,51,40,,,,Bhaturia Union Total,7631,4947,20512,20510,2,664
94,51,40,039,,1,*Bahati,,297,1241,1241,0,
94,51,40,198,,1,*Bhaturia,,523,2303,2303,0,
94,51,40,256,,1,*Chapasar,,497,2053,2053,0,
94,51,40,331,,1,*Dhakdaha Gopalpur,,321,1333,1333,0,
94,51,40,348,,1,*Gar Bhabanipur,,525,2223,2223,0,
94,51,40,411,,1,*Gopalpur,,93,358,358,0,
94,51,40,451,,1,*Jadabpur,,176,754,754,0,
