0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
94,,,,,,Thakurgaon Zila Total,320786,319929,150,707,1390042,701281,688761,102
94,,,,,1,Thakurgaon Zila,284009,283721,75,213,1228733,618922,609811,101
94,,,,,2,Thakurgaon Zila,28432,27910,65,457,126051,64426,61625,105
94,,,,,3,Thakurgaon Zila,8345,8298,10,37,35258,17933,17325,104
94,08,,,,,Baliadangi Upazila Total,45509,45445,11,53,195049,98769,96280,103
94,08,,,,1,Baliadangi Upazila,41757,41729,8,20,179703,90820,88883,102
94,08,,,,3,Baliadangi Upazila,3752,3716,3,33,15346,7949,7397,107
94,08,10,,,,Amjankhore Union Total,4843,4837,3,3,23441,11899,11542,103
94,08,10,025,,1,*Amjankhore,567,567,0,0,2781,1425,1356,105
94,08,10,204,,1,*Beurjhari,731,730,1,0,3333,1715,1618,106
94,08,10,535,,1,*Harinmari,797,794,1,2,4128,2096,2032,103
94,08,10,841,,1,*Ratnai,1070,1069,1,0,5240,2662,2578,103
94,08,10,956,,1,*Taranjubari,341,341,0,0,1549,764,785,97
94,08,10,982,,1,*Udaypur,1337,1336,0,1,6410,3237,3173,102
94,08,21,,,,Barabari Union Total,5971,5945,1,25,24715,12549,12166,103
94,08,21,,,1,Barabari Union,3975,3969,1,5,16647,8366,8281,101
94,08,21,,,3,Barabari Union,1996,1976,0,20,8068,4183,3885,108
94,08,21,076,,3,*Baliadangi,1996,1976,0,20,8068,4183,3885,108
94,08,21,127,,1,*Barabari,1162,1160,0,2,4972,2490,2482,100
94,08,21,140,,1,*Barakot,429,429,0,0,1700,868,832,104
94,08,21,153,,1,*Belbari,251,251,0,0,1023,497,526,94
94,08,21,165,,1,*Belhara,513,513,0,0,2210,1119,1091,103
94,08,21,484,,1,*Goalkari,751,747,1,3,3169,1604,1565,102
94,08,21,523,,1,*Haoda,112,112,0,0,501,249,252,99
94,08,21,548,,1,*Haripur,353,353,0,0,1452,746,706,106
94,08,21,752,,1,*Malancha,82,82,0,0,334,172,162,106
94,08,21,905,,1,*Sarmangla,322,322,0,0,1286,621,665,93
94,08,31,,,,Bara Palashbari Union Total,5883,5882,1,0,25329,12728,12601,101
94,08,31,114,,1,*Bara Palashbari,1740,1739,1,0,7493,3776,3717,102
94,08,31,178,,1,*Belsara,524,524,0,0,2248,1118,1130,99
