0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
94,,,,,,Thakurgaon Zila Total,3969,4036,49852,47611,74720,69547,19756,17215,51097,52267,11028,6896
94,,,,,1,Thakurgaon Zila,3308,3374,45294,43262,66922,62322,17985,15458,44949,46242,9901,5940
94,,,,,2,Thakurgaon Zila,561,570,3310,3182,5980,5596,1241,1282,4798,4715,907,785
94,,,,,3,Thakurgaon Zila,100,92,1248,1167,1818,1629,530,475,1350,1310,220,171
94,08,,,,,Baliadangi Upazila Total,519,483,7635,7353,10441,9473,3330,2865,6882,6638,1515,1119
94,08,,,,1,Baliadangi Upazila,494,452,7071,6808,9656,8805,3050,2622,6336,6133,1428,1037
94,08,,,,3,Baliadangi Upazila,25,31,564,545,785,668,280,243,546,505,87,82
94,08,10,,,,Amjankhore Union Total,63,58,1046,1070,1196,1166,597,484,655,632,262,210
94,08,10,025,,1,*Amjankhore,3,7,125,127,156,143,60,49,97,70,43,19
94,08,10,204,,1,*Beurjhari,24,10,134,145,172,176,80,55,73,79,43,43
94,08,10,535,,1,*Harinmari,9,7,159,187,210,204,88,89,122,137,47,19
94,08,10,841,,1,*Ratnai,16,13,259,246,255,262,171,138,125,126,57,61
94,08,10,956,,1,*Taranjubari,2,1,61,75,83,62,47,40,36,50,10,15
94,08,10,982,,1,*Udaypur,9,20,308,290,320,319,151,113,202,170,62,53
94,08,21,,,,Barabari Union Total,39,41,948,942,1247,1116,446,399,885,817,199,166
94,08,21,,,1,Barabari Union,19,22,656,664,894,791,279,251,604,557,156,124
94,08,21,,,3,Barabari Union,20,19,292,278,353,325,167,148,281,260,43,42
94,08,21,076,,3,*Baliadangi,20,19,292,278,353,325,167,148,281,260,43,42
94,08,21,127,,1,*Barabari,3,2,219,212,280,254,72,56,201,173,41,24
94,08,21,140,,1,*Barakot,1,0,69,66,60,57,58,50,55,42,22,25
94,08,21,153,,1,*Belbari,0,5,38,40,68,67,17,18,33,33,8,6
94,08,21,165,,1,*Belhara,1,3,93,101,130,99,46,57,61,55,34,22
94,08,21,484,,1,*Goalkari,11,8,95,115,165,160,46,24,102,103,22,23
94,08,21,523,,1,*Haoda,2,0,18,14,31,20,3,4,18,23,1,3
94,08,21,548,,1,*Haripur,0,2,53,55,87,47,17,22,58,58,16,8
94,08,21,752,,1,*Malancha,0,0,12,13,19,18,4,8,21,13,4,0
94,08,21,905,,1,*Sarmangla,1,2,59,48,54,69,16,12,55,57,8,13
94,08,31,,,,Bara Palashbari Union Total,47,47,1090,1083,1433,1325,524,383,890,856,204,175
94,08,31,114,,1,*Bara Palashbari,16,8,341,336,379,349,152,106,271,271,59,43
94,08,31,178,,1,*Belsara,3,1,96,116,134,114,52,29,88,89,18,14
94,08,31,280,,1,*Bobra,1,1,51,58,69,55,27,23,38,33,12,12
94,08,31,357,,1,*Choch Para,7,10,101,89,146,146,34,24,81,81,20,25
94,08,31,369,,1,*Dakshin Duari,1,5,39,60,64,65,10,14,32,38,10,4
94,08,31,459,,1,*Fatehpur,0,0,12,19,27,23,8,1,8,13,9,2
94,08,31,471,,1,*Gariali,0,0,65,65,85,64,29,28,42,37,9,10
94,08,31,574,,1,*Jhikra,2,6,24,26,24,31,15,5,22,20,4,1
94,08,31,586,,1,*Jiabari,0,0,63,41,45,58,25,24,19,19,5,8
94,08,31,625,,1,*Karua,0,0,70,61,99,76,41,32,49,57,16,11
94,08,31,637,,1,*Kasuakhadimganj,7,4,80,73,93,108,41,41,55,51,19,14
94,08,31,676,,1,*Kismat Palashbari,7,7,56,75,112,91,39,26,85,64,11,11
94,08,31,829,,1,*Parua,2,4,68,44,101,100,45,28,82,69,9,11
94,08,31,943,,1,*Sopra,1,1,24,20,55,45,6,2,18,14,3,9
94,08,42,,,,Bhanor Union Total,73,53,887,829,1254,1129,357,340,941,934,173,103
94,08,42,038,,1,*Arazi Durlabhpur,0,0,19,17,20,20,7,5,9,14,6,4
94,08,42,229,,1,*Bhanor,31,15,325,295,477,368,139,128,369,375,54,41
94,08,42,255,,1,*Bishrampur,12,20,179,177,246,241,78,84,157,171,41,21
94,08,42,267,,1,*Boaldhar,12,8,58,40,76,61,24,18,65,37,17,13
94,08,42,446,,1,*Durgapur,7,1,78,66,107,105,26,22,96,79,12,5
94,08,42,510,,1,*Haldibari,0,1,29,29,36,42,7,5,32,37,3,0
94,08,42,612,,1,*Kalandia,9,7,170,170,259,244,63,76,189,205,28,15
94,08,42,931,,1,*Sidhor,2,1,29,35,33,48,13,2,24,16,12,4
94,08,52,,,,Charol Union Total,49,50,983,969,1296,1200,356,307,941,934,149,85
94,08,52,242,,1,*Bhot Para,1,0,30,40,46,39,14,13,31,32,4,6
94,08,52,306,,1,*Charol,16,14,213,199,271,253,94,79,261,233,31,23
94,08,52,344,,1,*Chhota Singa,5,8,117,114,168,152,42,43,146,143,19,9
94,08,52,420,,1,*Dogachhi,5,9,209,205,283,266,80,55,165,177,36,13
94,08,52,650,,1,*Khalipur,3,2,117,129,118,133,40,56,105,92,24,11
94,08,52,727,,1,*Madhupur,7,4,134,127,140,120,36,23,95,110,11,7
94,08,52,790,,1,*Nauria Para,0,0,17,10,23,20,3,0,6,12,2,4
94,08,52,816,,1,*Pardeshi Para,0,1,61,66,114,98,28,22,66,77,9,5
94,08,52,867,,1,*Sabajpur,12,12,85,79,133,119,19,16,66,58,13,7
94,08,63,,,,Dhantala Union Total,106,117,793,708,1191,1092,253,241,767,767,153,104
94,08,63,102,,1,*Banagaon,9,10,96,88,142,129,26,12,69,91,19,10
94,08,63,216,,1,*Bhandar Daha,61,61,66,79,180,164,11,24,120,116,18,27
94,08,63,318,,1,*Chautaki,9,14,29,20,48,47,24,11,33,22,6,3
94,08,63,395,,1,*Dhantala,4,11,155,115,206,182,46,41,128,107,10,5
94,08,63,408,,1,*Dhukurjhari,12,10,130,105,191,172,43,48,120,119,16,15
94,08,63,497,,1,*Habipara,1,0,24,29,35,29,9,14,15,24,5,2
94,08,63,778,,1,*Nageshwarbari,4,5,108,108,174,156,24,36,110,112,18,14
94,08,63,969,,1,*Thumnia,6,6,185,164,215,213,70,55,172,176,61,28
94,08,73,,,,Duosuo Union Total,73,59,1045,925,1554,1319,452,379,992,916,188,134
94,08,73,,,1,Duosuo Union,68,47,773,658,1122,976,339,284,727,671,144,94
94,08,73,,,3,Duosuo Union,5,12,272,267,432,343,113,95,265,245,44,40
94,08,73,012,,1,*Alok Chhipi,1,3,21,22,47,40,7,4,31,32,2,1
94,08,73,051,,1,*Arazi Saralia,1,2,21,28,58,45,6,3,24,29,4,1
94,08,73,191,,1,*Bengrol Jiabari,2,0,58,52,66,67,21,31,64,32,15,3
94,08,73,331,,1,*Chhota Palashbari,7,1,49,47,83,60,18,22,48,41,7,4
94,08,73,433,,3,*Duosuo,5,12,272,267,432,343,113,95,265,245,44,40
94,08,73,599,,1,*Kadasuka,5,2,32,27,64,48,8,10,44,41,2,3
94,08,73,688,,1,*Lalapur,3,8,205,167,281,245,111,98,194,194,50,25
94,08,73,714,,1,*Madhabpur,2,0,11,15,21,18,4,10,20,17,2,4
94,08,73,739,,1,*Mahishmari,18,12,97,98,224,179,36,20,110,104,21,12
94,08,73,854,,1,*Raipur,1,0,15,18,38,25,1,2,13,14,2,2
94,08,73,880,,1,*Sangaon,27,17,214,162,183,182,121,82,146,136,35,37
94,08,73,892,,1,*Saralia,1,2,50,22,57,67,6,2,33,31,4,2
94,08,84,,,,Paria Union Total,69,58,843,827,1270,1126,345,332,811,782,187,142
94,08,84,063,,1,*Bad Michhil,10,8,68,70,116,118,19,13,80,77,14,7
94,08,84,089,,1,*Bamunia,5,2,38,34,73,52,9,13,33,41,6,4
94,08,84,293,,1,*Chak Daha,1,1,50,47,61,49,29,26,50,45,18,8
94,08,84,382,,1,*Dakshin Paria,1,0,125,127,179,201,49,39,126,125,28,19
94,08,84,561,,1,*Jaunia,6,10,92,74,142,109,40,46,76,74,24,18
94,08,84,663,,1,*Khudra Machhkhuria,0,2,17,32,31,48,15,9,28,31,2,0
94,08,84,701,,1,*Machhkhuria,18,13,99,91,160,123,68,62,100,90,29,16
94,08,84,765,,1,*Mesni,0,1,21,31,31,45,12,13,23,22,8,4
94,08,84,803,,1,*Panch Dayal,8,2,21,17,40,29,7,5,42,31,4,4
94,08,84,918,,1,*Saula Dogachhi,10,6,159,179,241,191,70,59,158,144,24,33
94,08,84,994,,1,*Uttar Paria,10,13,153,125,196,161,27,47,95,102,30,29
94,51,,,,,Haripur Upazila Total,218,194,5855,5697,8667,8352,2744,2345,5659,6023,1549,809
94,51,,,,1,Haripur Upazila,205,187,5614,5457,8255,7986,2645,2259,5368,5730,1485,779
94,51,,,,3,Haripur Upazila,13,7,241,240,412,366,99,86,291,293,64,30
94,51,13,,,,Amgaon Union Total,57,57,1093,1075,1542,1539,557,437,1043,1115,305,145
94,51,13,013,,1,*Amgaon,3,4,304,285,335,302,155,109,212,237,79,48
94,51,13,145,,1,*Belua,2,9,46,29,70,75,19,9,48,48,8,4
94,51,13,212,,1,*Bhetna,4,9,60,76,133,111,39,27,81,83,25,5
94,51,13,464,,1,*Jamun,10,2,282,277,295,290,158,124,186,199,76,35
94,51,13,490,,1,*Kadiara,0,0,10,16,27,36,4,3,10,21,1,2
94,51,13,504,,1,*Kamar Pukur,6,7,72,82,133,129,48,33,101,113,20,8
94,51,13,543,,1,*Khamar,3,2,72,73,92,107,39,32,74,84,21,12
94,51,13,623,,1,*Lakhara,0,0,21,21,45,44,10,8,41,33,8,3
94,51,13,769,,1,*Nandagaon,25,23,143,148,287,338,57,71,199,213,52,25
94,51,13,795,,1,*Nilgaon,3,0,20,20,36,29,8,4,20,15,2,0
94,51,13,888,,1,*Siallar,0,1,37,23,54,45,17,13,38,46,7,3
94,51,13,941,,1,*Sohar,1,0,26,25,35,33,3,4,33,23,6,0
94,51,27,,,,Bakua Union Total,19,12,1090,1020,1446,1461,374,349,838,896,270,169
94,51,27,053,,1,*Bakua,12,1,274,248,388,456,93,84,227,249,81,26
94,51,27,066,,1,*Balihanda,0,0,26,25,60,37,2,2,20,21,3,1
94,51,27,106,,1,*Barampur,3,3,145,141,204,207,37,58,116,171,42,23
94,51,27,182,,1,*Bhaishagachh Ruhia,1,0,123,92,120,111,41,52,81,45,34,34
94,51,27,238,,1,*Buzruk,2,2,167,139,186,201,55,36,107,107,36,27
94,51,27,344,,1,*Dhukuria,0,4,66,78,109,82,40,27,56,62,26,14
94,51,27,371,,1,*Gajdhumdanga,1,0,51,67,91,86,30,19,50,65,17,9
94,51,27,583,,1,*Kismat Bhaisha,0,0,46,54,50,57,9,21,34,32,6,12
94,51,27,716,,1,*Manik Khari,0,2,72,70,67,64,23,17,35,42,10,5
94,51,27,782,,1,*Nargun,0,0,24,11,29,20,10,7,19,16,1,1
94,51,27,915,,1,*Singari,0,0,75,69,98,100,20,19,69,62,7,9
94,51,27,955,,1,*Tantihat,0,0,21,26,44,40,14,7,24,24,7,8
94,51,27,955,01,1,Tantihat,0,0,17,22,40,38,10,6,23,21,7,8
94,51,27,955,02,1,Chandipur,0,0,4,4,4,2,4,1,1,3,0,0
94,51,40,,,,Bhaturia Union Total,55,47,737,699,1143,1109,377,337,777,794,166,77
94,51,40,039,,1,*Bahati,2,4,32,36,67,70,22,24,46,61,4,7
94,51,40,198,,1,*Bhaturia,2,4,74,64,113,93,40,24,105,64,17,5
94,51,40,256,,1,*Chapasar,4,2,93,66,109,126,37,33,86,82,15,4
94,51,40,331,,1,*Dhakdaha Gopalpur,1,1,42,43,75,82,27,17,48,49,12,2
94,51,40,348,,1,*Gar Bhabanipur,0,0,76,88,96,107,55,57,90,90,12,8
