0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
94,,,,,,Thakurgaon Zila Total,319929,2.8,20.2,72.1,5.0,11.9,15.8,45.3,27.0
94,,,,,1,Thakurgaon Zila,283721,1.9,17.4,75.9,4.9,10.5,13.8,46.4,29.3
94,,,,,2,Thakurgaon Zila,27910,11.4,45.3,36.5,6.8,28.3,37.2,30.4,4.2
94,,,,,3,Thakurgaon Zila,8298,4.0,32.4,61.3,2.2,5.6,12.1,58.8,23.5
94,08,,,,,Baliadangi Upazila Total,45445,2.3,18.2,71.3,8.2,2.3,4.7,44.7,48.3
94,08,,,,1,Baliadangi Upazila,41729,2.2,16.3,72.7,8.8,2.1,4.1,44.0,49.8
94,08,,,,3,Baliadangi Upazila,3716,3.3,40.0,54.8,1.9,4.6,11.6,52.9,30.9
94,08,10,,,,Amjankhore Union Total,4837,1.4,18.3,78.0,2.4,0.6,1.6,37.2,60.7
94,08,10,025,,1,*Amjankhore,567,0.2,15.2,79.9,4.8,0.2,1.1,25.7,73.0
94,08,10,204,,1,*Beurjhari,730,3.2,12.7,81.6,2.5,0.5,0.5,29.9,69.0
94,08,10,535,,1,*Harinmari,794,0.1,27.0,72.2,0.8,0.9,1.9,45.8,51.4
94,08,10,841,,1,*Ratnai,1069,1.6,15.5,82.5,0.4,0.8,0.8,41.7,56.6
94,08,10,956,,1,*Taranjubari,341,1.5,16.7,77.4,4.4,0.0,2.3,52.2,45.5
94,08,10,982,,1,*Udaypur,1336,1.4,20.1,75.1,3.4,0.5,2.5,33.4,63.6
94,08,21,,,,Barabari Union Total,5945,1.9,28.5,65.3,4.2,2.8,8.3,45.4,43.5
94,08,21,,,1,Barabari Union,3969,1.0,23.4,70.5,5.1,1.1,7.3,38.5,53.1
94,08,21,,,3,Barabari Union,1976,3.7,39.0,54.8,2.5,6.2,10.2,59.3,24.3
94,08,21,076,,3,*Baliadangi,1976,3.7,39.0,54.8,2.5,6.2,10.2,59.3,24.3
94,08,21,127,,1,*Barabari,1160,0.6,28.1,63.4,7.8,1.1,4.3,49.1,45.5
94,08,21,140,,1,*Barakot,429,0.0,18.2,77.2,4.7,0.7,6.3,31.9,61.1
94,08,21,153,,1,*Belbari,251,1.2,19.1,78.1,1.6,0.0,3.2,31.5,65.3
94,08,21,165,,1,*Belhara,513,2.1,11.7,82.8,3.3,0.0,13.3,39.2,47.6
94,08,21,484,,1,*Goalkari,747,2.1,25.7,70.4,1.7,1.5,9.2,36.9,52.3
94,08,21,523,,1,*Haoda,112,0.0,31.3,35.7,33.0,2.7,18.8,20.5,58.0
94,08,21,548,,1,*Haripur,353,1.1,17.0,80.7,1.1,3.4,4.0,26.1,66.6
94,08,21,752,,1,*Malancha,82,0.0,15.9,75.6,8.5,0.0,3.7,22.0,74.4
94,08,21,905,,1,*Sarmangla,322,0.0,35.7,61.8,2.5,0.3,9.0,41.3,49.4
94,08,31,,,,Bara Palashbari Union Total,5882,1.5,15.5,80.8,2.2,0.9,2.4,43.3,53.3
94,08,31,114,,1,*Bara Palashbari,1739,3.6,14.5,80.6,1.4,1.2,3.4,37.3,58.1
94,08,31,178,,1,*Belsara,524,0.8,19.7,78.8,0.8,1.9,0.8,41.0,56.3
94,08,31,280,,1,*Bobra,287,0.3,12.5,80.5,6.6,2.1,0.3,46.7,50.9
94,08,31,357,,1,*Choch Para,594,0.2,12.8,86.4,0.7,0.8,1.5,38.0,59.6
94,08,31,369,,1,*Dakshin Duari,271,0.4,15.1,74.5,10.0,0.0,1.1,32.5,66.4
94,08,31,459,,1,*Fatehpur,93,0.0,17.2,81.7,1.1,0.0,2.2,18.3,79.6
94,08,31,471,,1,*Gariali,281,0.4,12.5,84.0,3.2,0.0,1.8,58.0,40.2
94,08,31,574,,1,*Jhikra,140,0.0,44.3,55.7,0.0,0.0,1.4,84.3,14.3
94,08,31,586,,1,*Jiabari,215,1.9,9.3,85.6,3.3,0.0,0.9,27.4,71.6
94,08,31,625,,1,*Karua,338,0.3,18.0,79.6,2.1,0.0,1.5,34.3,64.2
94,08,31,637,,1,*Kasuakhadimganj,417,3.1,5.3,91.1,0.5,0.2,8.2,48.7,42.9
94,08,31,676,,1,*Kismat Palashbari,410,0.2,21.0,73.2,5.6,0.7,3.9,27.1,68.3
94,08,31,829,,1,*Parua,446,0.2,21.3,77.8,0.7,1.8,0.4,72.2,25.6
94,08,31,943,,1,*Sopra,127,0.0,5.5,94.5,0.0,0.0,0.0,99.2,0.8
94,08,42,,,,Bhanor Union Total,5801,1.2,19.0,79.2,0.7,6.5,8.5,44.3,40.7
94,08,42,038,,1,*Arazi Durlabhpur,113,0.9,20.4,78.8,0.0,0.9,3.5,46.9,48.7
94,08,42,229,,1,*Bhanor,2046,0.5,20.8,77.2,1.5,13.1,12.9,35.6,38.4
94,08,42,255,,1,*Bishrampur,1147,2.6,11.8,84.8,0.8,1.7,2.4,60.9,35.0
94,08,42,267,,1,*Boaldhar,371,0.0,19.7,80.3,0.0,1.1,24.0,42.0,32.9
94,08,42,446,,1,*Durgapur,455,0.2,17.8,82.0,0.0,0.9,2.0,52.7,44.4
94,08,42,510,,1,*Haldibari,173,3.5,26.6,69.9,0.0,4.6,1.2,67.1,27.2
94,08,42,612,,1,*Kalandia,1305,1.5,22.6,75.9,0.0,5.4,4.5,39.7,50.4
94,08,42,931,,1,*Sidhor,191,0.0,11.5,88.5,0.0,1.6,20.4,30.9,47.1
94,08,52,,,,Charol Union Total,5815,0.9,16.5,75.3,7.2,2.5,3.3,41.0,53.2
94,08,52,242,,1,*Bhot Para,197,0.0,11.7,87.3,1.0,0.0,2.0,27.4,70.6
94,08,52,306,,1,*Charol,1429,0.7,20.4,71.1,7.8,1.8,3.4,44.4,50.4
94,08,52,344,,1,*Chhota Singa,768,2.1,27.3,65.1,5.5,12.9,8.9,32.3,46.0
94,08,52,420,,1,*Dogachhi,1127,1.9,12.0,85.4,0.8,0.7,1.2,53.1,45.1
94,08,52,650,,1,*Khalipur,688,0.3,6.1,73.0,20.6,0.3,0.9,27.6,71.2
94,08,52,727,,1,*Madhupur,624,0.2,20.7,70.7,8.5,1.0,3.5,40.9,54.6
94,08,52,790,,1,*Nauria Para,88,0.0,5.7,94.3,0.0,0.0,4.5,18.2,77.3
94,08,52,816,,1,*Pardeshi Para,384,0.0,7.0,90.4,2.6,0.0,2.6,56.3,41.1
94,08,52,867,,1,*Sabajpur,510,0.6,19.4,70.2,9.8,0.8,2.9,34.1,62.2
94,08,63,,,,Dhantala Union Total,5133,0.9,14.0,45.8,39.3,1.1,2.9,48.3,47.7
94,08,63,102,,1,*Banagaon,613,0.8,10.0,48.1,41.1,2.1,1.5,29.7,66.7
94,08,63,216,,1,*Bhandar Daha,744,0.3,6.2,90.7,2.8,0.3,0.8,33.9,65.1
94,08,63,318,,1,*Chautaki,224,0.0,10.7,79.0,10.3,0.0,1.8,59.4,38.8
94,08,63,395,,1,*Dhantala,833,0.0,17.0,35.9,47.1,0.7,3.0,68.1,28.2
94,08,63,408,,1,*Dhukurjhari,726,0.0,8.8,35.7,55.5,0.1,1.9,42.7,55.2
94,08,63,497,,1,*Habipara,172,0.0,11.6,40.7,47.7,0.0,1.2,70.9,27.9
94,08,63,778,,1,*Nageshwarbari,770,2.6,13.1,36.0,48.3,0.5,3.5,45.2,50.8
94,08,63,969,,1,*Thumnia,1051,1.6,24.8,28.4,45.1,3.0,6.1,53.7,37.2
94,08,73,,,,Duosuo Union Total,6735,5.0,23.7,67.1,4.2,1.8,5.4,54.5,38.3
94,08,73,,,1,Duosuo Union,4995,5.8,17.5,71.4,5.3,1.5,2.7,57.5,38.3
94,08,73,,,3,Duosuo Union,1740,2.8,41.3,54.9,1.1,2.7,13.2,45.7,38.3
94,08,73,012,,1,*Alok Chhipi,197,2.0,17.8,66.0,14.2,0.0,1.5,45.2,53.3
